Comp,Squad,Number,Player,Pos,Age,Born,Nation,Value,LastClub
Ligue 1,FC Girondins Bordeaux,-,Aaron Boupendza,FWL,20,1996,GAB,0,True
Premier League,Brighton & Hove Albion,-,Aaron Connolly,FWC,17,2000,IRL,0,False
Premier League,West Ham United,3,Aaron Cresswell,DFL,27,1989,ENG,12000000,False
Bundesliga,Borussia Mönchengladbach,-,Aaron Herzog,MFO,19,1998,DEU,100000,False
Bundesliga,Hamburger SV,14,Aaron Hunt,MFO,30,1986,DEU,1500000,False
Premier League,Everton FC,-,Aaron Lennon,FWR,30,1987,ENG,5000000,False
Premier League,Burnley FC,25,Aaron Lennon,FWR,30,1987,ENG,5000000,True
Premier League,Huddersfield Town,10,Aaron Mooy,MF,26,1990,AUS,10000000,False
Premier League,AFC Bournemouth,12,Aaron Ramsdale,GK,19,1998,ENG,500000,True
Premier League,Arsenal FC,8,Aaron Ramsey,MF,26,1990,WAL,45000000,False
Premier League,Crystal Palace,29,Aaron Wan-Bissaka,DFR,19,1997,ENG,1000000,False
La Liga,RCD Espanyol Barcelona,3,Aarón Martín,DFL,20,1997,ESP,12000000,False
Ligue 1,RC Strasbourg Alsace,3,Abdallah Ndour,DFL,23,1993,SEN,600000,False
Premier League,Huddersfield Town,11,Abdelhamid Sabiri,MFO,20,1996,DEU,1000000,False
Bundesliga,1.FSV Mainz 05,4,Abdou Diallo,DFC,21,1996,SEN,12000000,False
Ligue 1,EA Guingamp,9,Abdoul Camara,FWL,27,1990,GIN,1000000,False
Ligue 1,SCO Angers,25,Abdoulaye Bamba,DFR,27,1990,CIV,1000000,False
Ligue 1,FC Nantes,-,Abdoulaye Dabo,FWR,16,2001,FRA,0,False
Ligue 1,Stade Rennais FC,1,Abdoulaye Diallo,GK,25,1992,SEN,1000000,True
Premier League,Watford FC,16,Abdoulaye Doucouré,MF,24,1993,FRA,15000000,False
Ligue 1,FC Nantes,19,Abdoulaye Touré,MFD,23,1994,FRA,8000000,False
Bundesliga,FC Schalke 04,14,Abdul Rahman Baba,DFL,22,1994,GHA,8000000,False
Serie A,AS Roma,22,Abdullahi Nura,DFR,19,1997,NGA,400000,False
Ligue 1,FC Metz,13,Ablie Jallow,FWR,18,1998,GMB,700000,False
Serie A,SS Lazio,99,Abukar Mohamed,MF,18,1999,FIN,50000,False
La Liga,Real Madrid,19,Achraf Hakimi,DFR,18,1998,MAR,5000000,False
Serie A,Benevento Calcio,77,Achraf Lazaar,DFL,25,1992,MAR,1000000,False
Premier League,Newcastle United,-,Achraf Lazaar,DFL,25,1992,MAR,1000000,True
La Liga,Málaga CF,16,Adalberto Peñaranda,FWC,20,1997,VEN,2000000,False
Premier League,Newcastle United,-,Adam Armstrong,FWC,20,1997,ENG,1500000,True
Premier League,AFC Bournemouth,32,Adam Federici,GK,32,1985,AUS,750000,True
Ligue 1,LOSC Lille,1,Adam Jakubech,GK,20,1997,SVK,450000,False
Premier League,Swansea City,-,Adam King,MF,21,1995,SCO,150000,True
Premier League,Liverpool FC,20,Adam Lallana,MFO,29,1988,ENG,25000000,False
