Comp,Squad,Number,Player,Pos,Age,Born,Nation,Value,LastClub
Ligue 1,AS Monaco,-,Adrien Silva,MF,29,1989,PRT,13000000,False
Premier League,Leicester City,23,Adrien Silva,MF,29,1989,PRT,13000000,False
Ligue 1,OGC Nice,5,Adrien Tamèze,MF,24,1994,CMR,8000000,False
Ligue 1,RC Strasbourg Alsace,26,Adrien Thomasson,MF,24,1993,FRA,8000000,False
La Liga,RCD Espanyol Barcelona,28,Adrià Pedrosa,DF,20,1998,ESP,10000000,False
Premier League,West Ham United,13,Adrián,GK,31,1987,ESP,3500000,False
Premier League,Manchester City,82,Adrián Bernabé,MF,17,2001,ESP,0,False
La Liga,SD Huesca,-,Adrián Diéguez,DF,22,1996,ESP,300000,False
La Liga,Deportivo Alavés,-,Adrián Diéguez,DF,22,1996,ESP,300000,True
La Liga,Rayo Vallecano,11,Adrián Embarba,FW,26,1992,ESP,4000000,False
La Liga,Deportivo Alavés,17,Adrián Marín,DF,21,1997,ESP,800000,False
La Liga,FC Barcelona,-,Adrián Ortolá,GK,24,1993,ESP,1000000,True
La Liga,Real Betis Balompié,-,Adrián Tellado,DF,19,1999,ESP,0,False
La Liga,Real Madrid,26,Adrián de la Fuente,DF,19,1999,ESP,300000,False
Serie A,FC Empoli,18,Afriyie Acquah,MF,26,1992,GHA,1800000,False
Bundesliga,FC Schalke 04,15,Ahmed Kutucu,FW,18,2000,TUR,4500000,False
Bundesliga,1.FSV Mainz 05,31,Ahmet Gürleyen,DF,19,1999,DEU,400000,False
Premier League,Burnley FC,41,Aiden O'Neill,MF,19,1998,AUS,500000,True
La Liga,Real Sociedad,29,Aihen Muñoz,DF,20,1997,ESP,7500000,False
Premier League,Arsenal FC,15,Ainsley Maitland-Niles,MF,20,1997,ENG,12000000,False
La Liga,Levante UD,25,Aitor Fernández,GK,27,1991,ESP,2500000,False
La Liga,Villarreal CF,-,Akram Afif,FW,21,1996,QAT,3500000,False
Ligue 1,Stade Reims,4,Alaixys Romao,MF,34,1984,TGO,500000,False
Bundesliga,Borussia Mönchengladbach,14,Alassane Plea,FW,25,1993,FRA,30000000,False
Serie A,ACF Fiorentina,1,Alban Lafont,GK,19,1999,FRA,17000000,False
Ligue 1,FC Girondins Bordeaux,-,Albert Lottin,MF,16,2001,FRA,0,False
Serie A,Atalanta BC,-,Alberto Alari,DF,19,1999,ITA,75000,True
Serie A,Atalanta BC,-,Alberto Almici,DF,25,1993,ITA,500000,True
Serie A,Atalanta BC,-,Alberto Carminati,DF,19,1999,ITA,50000,True
Serie A,Cagliari Calcio,9,Alberto Cerri,FW,22,1996,ITA,6000000,False
Serie A,Juventus FC,-,Alberto Cerri,FW,22,1996,ITA,6000000,True
Serie A,Atalanta BC,-,Alberto Dossena,DF,19,1998,ITA,300000,True
La Liga,Rayo Vallecano,1,Alberto García,GK,33,1985,ESP,500000,False
Serie A,Parma Calcio 1913,88,Alberto Grassi,MF,23,1995,ITA,7000000,False
Serie A,SSC Napoli,-,Alberto Grassi,MF,23,1995,ITA,7000000,True
La Liga,Real Valladolid CF,-,Alberto Guitián,DF,27,1990,ESP,600000,True
La Liga,SD Eibar,-,Alberto Marí,MF,16,2001,ESP,0,False
Premier League,Liverpool FC,18,Alberto Moreno,DF,25,1992,ESP,9000000,False
Serie A,SPAL,43,Alberto Paloschi,FW,28,1990,ITA,2000000,False
Serie A,FC Empoli,-,Alberto Picchi,MF,20,1997,ITA,200000,True
Serie A,UC Sampdoria,6,Albin Ekdal,MF,28,1989,SWE,5000000,False
La Liga,Girona FC,-,Aleix García,MF,21,1997,ESP,3000000,False
Premier League,Manchester City,-,Aleix García,MF,21,1997,ESP,3000000,True
La Liga,Sevilla FC,11,Aleix Vidal,DF,28,1989,ESP,4000000,False
La Liga,Rayo Vallecano,5,Alejandro Catena,DF,23,1994,ESP,400000,True
La Liga,Rayo Vallecano,23,Alejandro Gálvez,DF,29,1989,ESP,1500000,False
Serie A,FC Empoli,9,Alejandro Rodríguez,FW,26,1991,ESP,400000,False
Serie A,Chievo Verona,-,Alejandro Rodríguez,FW,26,1991,ESP,400000,True
Bundesliga,Bayer 04 Leverkusen,6,Aleksandar Dragovic,DF,27,1991,AUT,9000000,True
La Liga,SD Huesca,25,Aleksandar Jovanovic,GK,25,1992,SRB,1000000,False
Serie A,AS Roma,11,Aleksandar Kolarov,DF,32,1985,SRB,8000000,False
Premier League,Fulham FC,9,Aleksandar Mitrovic,FW,23,1994,SRB,25000000,False
Ligue 1,AS Monaco,17,Aleksandr Golovin,MF,22,1996,RUS,25000000,False
Serie A,AC Milan,77,Alen Halilovic,MF,22,1996,HRV,2000000,False
Serie A,Parma Calcio 1913,95,Alessandro Bastoni,DF,19,1999,ITA,15000000,False
Serie A,Inter Milan,-,Alessandro Bastoni,DF,19,1999,ITA,15000000,True
Serie A,SPAL,-,Alessandro Bellemo,MF,22,1995,ITA,150000,True
Serie A,AS Roma,-,Alessandro Bordin,MF,19,1998,ITA,200000,True
Serie A,Torino FC,-,Alessandro Buongiorno,DF,19,1999,ITA,500000,True
Serie A,Cagliari Calcio,-,Alessandro Capello,FW,22,1995,ITA,600000,True
Serie A,SS Lazio,-,Alessandro Cerbara,FW,17,2001,ITA,0,False
Serie A,Chievo Verona,-,Alessandro Confente,GK,20,1998,ITA,125000,True
Serie A,SSC Napoli,22,Alessandro D'Andrea,GK,18,2000,ITA,50000,False
Serie A,Parma Calcio 1913,8,Alessandro Deiola,MF,22,1995,ITA,1200000,False
Serie A,Cagliari Calcio,27,Alessandro Deiola,MF,22,1995,ITA,1200000,True
Serie A,Atalanta BC,-,Alessandro Eleuteri,DF,20,1998,ITA,250000,True
Serie A,Torino FC,51,Alessandro Fiordaliso,DF,19,1999,ITA,200000,True
Serie A,AS Roma,24,Alessandro Florenzi,DF,27,1991,ITA,25000000,False
Serie A,UC Sampdoria,-,Alessandro Gabbani,MF,18,1999,ITA,25000,False
Serie A,FC Empoli,-,Alessandro Giacomel,GK,19,1998,ITA,100000,True
Serie A,Frosinone Calcio,-,Alessandro Gori,MF,19,1999,ITA,25000,True
Serie A,Frosinone Calcio,91,Alessandro Iacobucci,GK,27,1991,ITA,400000,False
Serie A,Atalanta BC,-,Alessandro Mallamo,FW,19,1999,ITA,225000,True
Serie A,Cagliari Calcio,35,Alessandro Marongiu,MF,19,1999,ITA,50000,False
Serie A,US Sassuolo,10,Alessandro Matri,FW,33,1984,ITA,300000,False
Serie A,Inter Milan,-,Alessandro Mattioli,DF,20,1998,ITA,150000,True
Serie A,Parma Calcio 1913,-,Alessandro Minelli,DF,18,1999,ITA,225000,True
Serie A,SS Lazio,96,Alessandro Murgia,MF,21,1996,ITA,5000000,True
Serie A,SPAL,11,Alessandro Murgia,MF,21,1996,ITA,5000000,False
Serie A,FC Empoli,-,Alessandro Piu,FW,21,1996,ITA,400000,True
Serie A,AC Milan,35,Alessandro Plizzari,GK,18,2000,ITA,2500000,True
Serie A,Genoa CFC,-,Alessandro Quaini,MF,19,1998,ITA,150000,True
Serie A,SS Lazio,9,Alessandro Rossi,FW,21,1997,ITA,400000,True
Serie A,Genoa CFC,23,Alessandro Russo,GK,17,2001,ITA,0,False
Serie A,Atalanta BC,-,Alessandro Santopadre,GK,19,1998,ITA,100000,True
Bundesliga,FC Schalke 04,28,Alessandro Schöpf,MF,24,1994,AUT,5000000,False
Serie A,US Sassuolo,3,Alessandro Tripaldelli,DF,19,1999,ITA,500000,True
Serie A,Atalanta BC,-,Alessandro Turrin,GK,21,1997,ITA,75000,True
Serie A,SS Lazio,-,Alessio Bianchi,MF,17,2000,ITA,50000,False
Serie A,Cagliari Calcio,28,Alessio Cragno,GK,24,1994,ITA,20000000,False
Serie A,Parma Calcio 1913,7,Alessio Da Cruz,FW,21,1997,NLD,1500000,True
Serie A,SS Lazio,90,Alessio Furlanetto,GK,16,2002,ITA,0,False
Serie A,AS Roma,53,Alessio Riccardi,MF,17,2001,ITA,0,False
Serie A,Genoa CFC,-,Alessio Rollandi,GK,18,1999,ITA,50000,True
Serie A,AC Milan,13,Alessio Romagnoli,DF,23,1995,ITA,50000000,False
Serie A,SSC Napoli,-,Alessio Zerbin,FW,19,1999,ITA,150000,True
La Liga,Real Betis Balompié,-,Alex Alegría,FW,25,1992,ESP,800000,True
La Liga,Rayo Vallecano,-,Alex Alegría,FW,25,1992,ESP,800000,False
Serie A,UC Sampdoria,25,Alex Ferrari,DF,24,1994,ITA,1500000,False
Serie A,Bologna FC 1909,-,Alex Ferrari,DF,24,1994,ITA,1500000,True
Premier League,Arsenal FC,17,Alex Iwobi,FW,22,1996,NGA,25000000,False
Premier League,Southampton FC,1,Alex McCarthy,GK,28,1989,ENG,5000000,False
Serie A,Udinese Calcio,-,Alex Meret,GK,21,1997,ITA,25000000,True
Serie A,SSC Napoli,1,Alex Meret,GK,21,1997,ITA,25000000,False
Premier League,Liverpool FC,21,Alex Oxlade-Chamberlain,MF,24,1993,ENG,35000000,False
Premier League,Huddersfield Town,21,Alex Pritchard,MF,25,1993,ENG,9000000,False
Serie A,Juventus FC,12,Alex Sandro,DF,27,1991,BRA,45000000,False
Premier League,Cardiff City,12,Alex Smithies,GK,28,1990,ENG,3500000,False
Ligue 1,SM Caen,24,Alexander Djiku,DF,23,1994,GHA,8000000,False
Bundesliga,Hertha BSC,-,Alexander Esswein,FW,28,1990,DEU,1000000,True
Bundesliga,VfB Stuttgart,-,Alexander Esswein,FW,28,1990,DEU,1000000,False
Bundesliga,1.FC Nuremberg,35,Alexander Fuchs,MF,21,1997,DEU,1000000,False
Bundesliga,1.FSV Mainz 05,42,Alexander Hack,DF,24,1993,DEU,2500000,False
Bundesliga,Borussia Dortmund,14,Alexander Isak,FW,18,1999,SWE,8000000,True
Bundesliga,VfB Stuttgart,26,Alexander Meyer,GK,27,1991,DEU,300000,False
Bundesliga,FC Schalke 04,35,Alexander Nübel,GK,21,1996,DEU,12000000,False
Bundesliga,SC Freiburg,1,Alexander Schwolow,GK,26,1992,DEU,9000000,False
Bundesliga,TSG 1899 Hoffenheim,33,Alexander Stolz,GK,34,1983,DEU,100000,False
La Liga,CD Leganés,11,Alexander Szymanowski,FW,29,1988,ARG,1500000,False
Premier League,Crystal Palace,9,Alexander Sörloth,FW,22,1995,NOR,6000000,True
Premier League,Arsenal FC,9,Alexandre Lacazette,FW,27,1991,FRA,70000000,False
Ligue 1,FC Girondins Bordeaux,33,Alexandre Lauray,DF,21,1997,FRA,250000,False
Ligue 1,SCO Angers,-,Alexandre Letellier,GK,27,1990,FRA,600000,True
Ligue 1,EA Guingamp,-,Alexandre Mendy,FW,24,1994,GNB,2250000,False
Ligue 1,FC Girondins Bordeaux,-,Alexandre Mendy,FW,24,1994,GNB,2250000,True
Ligue 1,FC Nantes,16,Alexandre Olliero,GK,22,1996,FRA,400000,True
Ligue 1,Olympique Marseille,50,Alexandre Phliponeau,MF,18,2000,FRA,250000,False
Ligue 1,Dijon FCO,-,Alexandre Tégar,DF,17,2000,FRA,0,False
Serie A,AC Milan,-,Alexandro Cavagnera,MF,19,1998,BEL,100000,True
Premier League,AFC Bournemouth,54,Alexandru Dobre,FW,19,1998,ROU,50000,False
Bundesliga,1.FSV Mainz 05,10,Alexandru Maxim,MF,27,1990,ROU,2000000,False
Ligue 1,FC Nantes,-,Alexis Alégué,MF,21,1996,CMR,250000,False
Ligue 1,Amiens SC,-,Alexis Blin,MF,21,1996,FRA,5000000,False
Ligue 1,FC Toulouse,-,Alexis Blin,MF,21,1996,FRA,5000000,True
Ligue 1,AS Saint-Étienne,-,Alexis Guendouz,GK,22,1996,FRA,150000,True
Premier League,Brighton & Hove Albion,-,Alexis Mac Allister,MF,19,1998,ARG,5000000,True
Premier League,Manchester United,7,Alexis Sánchez,FW,29,1988,CHL,35000000,False
La Liga,RCD Espanyol Barcelona,-,Alfa Semedo,MF,20,1997,GNB,2000000,False
Premier League,Southampton FC,32,Alfie Jones,DF,20,1997,ENG,100000,False
Premier League,Fulham FC,26,Alfie Mawson,DF,24,1994,ENG,15000000,False
Premier League,Tottenham Hotspur,41,Alfie Whiteman,GK,19,1998,ENG,0,False
Bundesliga,TSG 1899 Hoffenheim,41,Alfons Amade,MF,18,1999,DEU,350000,False
La Liga,Villarreal CF,16,Alfonso Pedraza,DF,22,1996,ESP,22000000,True
Serie A,US Sassuolo,32,Alfred Duncan,MF,25,1993,GHA,17000000,False
Bundesliga,FC Augsburg,27,Alfred Finnbogason,FW,29,1989,ISL,15000000,False
Serie A,SPAL,1,Alfred Gomis,GK,24,1993,SEN,2000000,False
Serie A,SSC Napoli,-,Alfredo Bifulco,FW,21,1997,ITA,400000,True
Bundesliga,Fortuna Düsseldorf,6,Alfredo Morales,MF,28,1990,USA,2500000,False
Serie A,Juventus FC,-,Alhassane Soumah,FW,22,1996,GIN,150000,False
Serie A,Udinese Calcio,-,Ali Adnan,DF,24,1993,IRQ,1600000,True
Serie A,Atalanta BC,53,Ali Adnan,DF,24,1993,IRQ,1600000,False
Premier League,Burnley FC,42,Ali Koiki,DF,18,1999,ENG,0,False
La Liga,Real Betis Balompié,-,Alin Tosca,DF,26,1992,ROU,1250000,True
Premier League,Brighton & Hove Albion,16,Alireza Jahanbakhsh,FW,24,1993,IRN,15000000,False
Premier League,Liverpool FC,13,Alisson,GK,25,1992,BRA,80000000,False
Bundesliga,Eintracht Frankfurt,-,Allan,MF,21,1997,BRA,1000000,False
Serie A,SSC Napoli,5,Allan,MF,27,1991,BRA,60000000,False
La Liga,CD Leganés,-,Allan Nyom,DF,30,1988,CMR,3000000,False
Ligue 1,OGC Nice,7,Allan Saint-Maximin,FW,21,1997,FRA,25000000,False
Ligue 1,AS Monaco,-,Almamy Touré,DF,22,1996,FRA,6500000,False
Bundesliga,Eintracht Frankfurt,18,Almamy Touré,DF,22,1996,FRA,6500000,True
Ligue 1,Paris Saint-Germain,16,Alphonse Areola,GK,25,1993,FRA,17500000,False
Bundesliga,Bayern Munich,19,Alphonso Davies,DF,17,2000,CAN,10000000,True
Serie A,Udinese Calcio,-,Aly Malle,FW,20,1998,MLI,400000,True
Ligue 1,SM Caen,-,Aly Ndom,MF,22,1996,FRA,600000,False
Ligue 1,Stade Reims,-,Aly Ndom,MF,22,1996,FRA,600000,True
Serie A,SSC Napoli,42,Amadou Diawara,MF,20,1997,GIN,15000000,False
Bundesliga,RB Leipzig,8,Amadou Haidara,MF,20,1998,MLI,20000000,True
La Liga,Getafe CF,-,Amath Ndiaye,FW,21,1996,SEN,4000000,False
Serie A,SSC Napoli,-,Amato Ciciretti,FW,24,1993,ITA,1500000,True
Serie A,Parma Calcio 1913,10,Amato Ciciretti,FW,24,1993,ITA,1500000,False
Ligue 1,Montpellier HSC,8,Ambroise Oyongo,DF,27,1991,CMR,4000000,False
Serie A,ACF Fiorentina,-,Amidu Salifu,MF,25,1992,GHA,125000,True
Serie A,SSC Napoli,34,Amin Younes,MF,24,1993,DEU,8000000,False
Ligue 1,Olympique Lyon,19,Amine Gouiri,FW,18,2000,FRA,4500000,False
Bundesliga,FC Schalke 04,25,Amine Harit,MF,21,1997,MAR,10000000,False
Bundesliga,SC Freiburg,6,Amir Abrashi,MF,28,1990,ALB,2500000,False
Ligue 1,Montpellier HSC,-,Amir Aduev,MF,19,1999,RUS,0,False
Bundesliga,Borussia Dortmund,3,Amos Pieper,DF,20,1998,DEU,450000,False
La Liga,SD Eibar,23,Anaitz Arbilla,DF,31,1987,ESP,2000000,False
Bundesliga,VfB Stuttgart,11,Anastasios Donis,FW,21,1996,GRC,4000000,False
La Liga,SD Huesca,-,Ander Bardají,GK,23,1995,ESP,100000,True
La Liga,Real Sociedad,-,Ander Barrenetxea,FW,16,2001,ESP,10000000,False
La Liga,Athletic Bilbao,21,Ander Capa,DF,26,1992,ESP,3000000,False
La Liga,Real Sociedad,-,Ander Guevara,MF,20,1997,ESP,2500000,False
Premier League,Manchester United,21,Ander Herrera,MF,28,1989,ESP,25000000,False
La Liga,Athletic Bilbao,8,Ander Iturraspe,MF,29,1989,ESP,2500000,False
Premier League,Burnley FC,22,Anders Lindegaard,GK,34,1984,DNK,500000,False
La Liga,Deportivo Alavés,-,Anderson Cruz,FW,22,1996,AGO,200000,True
Bundesliga,Eintracht Frankfurt,-,Andersson Ordóñez,DF,24,1994,ECU,600000,True
La Liga,Real Sociedad,18,Andoni Gorosabel,DF,21,1996,ESP,1500000,False
La Liga,Real Sociedad,-,Andoni Zubiaurre,GK,21,1996,ESP,300000,False
Premier League,Watford FC,18,Andre Gray,FW,27,1991,JAM,15000000,False
Serie A,Inter Milan,-,Andrea Adorante,FW,18,2000,ITA,125000,False
Serie A,Inter Milan,-,Andrea Bandini,DF,24,1994,ITA,100000,True
Serie A,Juventus FC,15,Andrea Barzagli,DF,37,1981,ITA,1000000,False
Serie A,Frosinone Calcio,33,Andrea Beghetto,DF,23,1994,ITA,2000000,False
Serie A,Torino FC,9,Andrea Belotti,FW,24,1993,ITA,35000000,False
Serie A,AC Milan,16,Andrea Bertolacci,MF,27,1991,ITA,3000000,True
Serie A,Atalanta BC,-,Andrea Boffelli,DF,21,1997,ITA,150000,True
Serie A,Inter Milan,-,Andrea Cagnano,DF,20,1998,ITA,125000,True
Serie A,US Sassuolo,-,Andrea Cisco,FW,19,1998,ITA,150000,True
Serie A,Atalanta BC,70,Andrea Colpani,MF,19,1999,ITA,400000,False
Serie A,US Sassuolo,47,Andrea Consigli,GK,31,1987,ITA,4000000,False
Serie A,AC Milan,12,Andrea Conti,DF,24,1994,ITA,15000000,False
Serie A,Parma Calcio 1913,54,Andrea Di Maggio,DF,17,2000,ITA,50000,False
Serie A,Parma Calcio 1913,-,Andrea Dini,GK,22,1996,ITA,200000,False
Serie A,Frosinone Calcio,14,Andrea Errico,MF,19,1999,ITA,75000,False
Serie A,Genoa CFC,39,Andrea Favilli,FW,21,1997,ITA,6000000,False
Serie A,Juventus FC,-,Andrea Favilli,FW,21,1997,ITA,6000000,True
Serie A,FC Empoli,99,Andrea Fulignati,GK,23,1994,ITA,500000,False
Serie A,SPAL,12,Andrea Fulignati,GK,23,1994,ITA,500000,False
Serie A,US Sassuolo,-,Andrea Ghion,MF,18,2000,ITA,100000,False
Serie A,Chievo Verona,-,Andrea Isufaj,FW,18,1999,ITA,200000,True
Serie A,Chievo Verona,-,Andrea Magrini,DF,20,1997,ITA,200000,True
Serie A,AS Roma,52,Andrea Marcucci,MF,19,1999,ITA,300000,False
Serie A,US Sassuolo,-,Andrea Masetti,DF,20,1998,ITA,100000,True
Serie A,Atalanta BC,5,Andrea Masiello,DF,32,1986,ITA,1000000,False
Serie A,AS Roma,-,Andrea Paolelli,DF,20,1997,ITA,50000,False
Serie A,Atalanta BC,-,Andrea Petagna,FW,23,1995,ITA,20000000,True
Serie A,SPAL,37,Andrea Petagna,FW,23,1995,ITA,20000000,False
Serie A,Inter Milan,-,Andrea Pinamonti,FW,19,1999,ITA,10000000,True
Serie A,Frosinone Calcio,89,Andrea Pinamonti,FW,19,1999,ITA,10000000,False
Serie A,Bologna FC 1909,16,Andrea Poli,MF,28,1989,ITA,3000000,False
Ligue 1,AS Monaco,24,Andrea Raggi,DF,34,1984,ITA,250000,False
Serie A,Inter Milan,13,Andrea Ranocchia,DF,30,1988,ITA,3000000,False
Serie A,SPAL,94,Andrea Rizzo Pinna,MF,18,2000,ITA,50000,False
Serie A,AS Roma,-,Andrea Romagnoli,GK,19,1998,ITA,25000,True
Serie A,Inter Milan,-,Andrea Romanò,MF,24,1993,ITA,50000,True
Serie A,Torino FC,-,Andrea Sana,DF,19,1999,ITA,50000,False
Serie A,Chievo Verona,16,Andrea Seculin,GK,27,1990,ITA,300000,False
Serie A,UC Sampdoria,-,Andrea Tozzo,GK,25,1992,ITA,150000,True
Serie A,Bologna FC 1909,-,Andrea Vassallo,FW,20,1997,ITA,150000,True
Serie A,Torino FC,-,Andrea Zaccagno,GK,21,1997,ITA,475000,True
Bundesliga,VfB Stuttgart,32,Andreas Beck,DF,31,1987,DEU,1500000,False
Premier League,Chelsea FC,27,Andreas Christensen,DF,22,1996,DNK,30000000,False
Ligue 1,FC Girondins Bordeaux,-,Andreas Cornelius,FW,25,1993,DNK,3000000,False
Serie A,Atalanta BC,9,Andreas Cornelius,FW,25,1993,DNK,3000000,True
Bundesliga,FC Augsburg,1,Andreas Luthe,GK,31,1987,DEU,700000,False
Premier League,Manchester United,15,Andreas Pereira,MF,22,1996,BRA,10000000,True
Bundesliga,Borussia Mönchengladbach,40,Andreas Poulsen,DF,18,1999,DNK,3000000,False
Serie A,Inter Milan,-,Andreaw Gravillon,DF,20,1998,GLP,5000000,True
Ligue 1,FC Nantes,20,Andrei Girotto,DF,26,1992,BRA,3000000,False
La Liga,Villarreal CF,42,Andrei Ratiu,DF,20,1998,ROU,300000,False
Bundesliga,TSG 1899 Hoffenheim,27,Andrej Kramaric,FW,27,1991,HRV,38000000,False
La Liga,Celta de Vigo,16,Andrew Hjulsager,MF,23,1995,DNK,1000000,True
Premier League,Liverpool FC,26,Andrew Robertson,DF,24,1994,SCO,60000000,False
Premier League,AFC Bournemouth,6,Andrew Surman,MF,31,1986,ENG,2500000,False
Serie A,Udinese Calcio,99,Andrija Balic,MF,20,1997,HRV,2000000,True
La Liga,CD Leganés,-,Andriy Lunin,GK,19,1999,UKR,7500000,False
La Liga,Real Madrid,26,Andriy Lunin,GK,19,1999,UKR,7500000,True
Premier League,West Ham United,20,Andriy Yarmolenko,FW,28,1989,UKR,20000000,False
Premier League,Crystal Palace,10,Andros Townsend,FW,26,1991,ENG,15000000,False
Serie A,Genoa CFC,99,András Schäfer,MF,19,1999,HUN,400000,True
Serie A,SS Lazio,-,André Anderson,MF,18,1999,ITA,900000,True
Premier League,Everton FC,8,André Gomes,MF,24,1993,PRT,28000000,False
La Liga,FC Barcelona,-,André Gomes,MF,24,1993,PRT,28000000,True
Bundesliga,FC Augsburg,28,André Hahn,FW,27,1990,DEU,3500000,False
Bundesliga,Fortuna Düsseldorf,3,André Hoffmann,DF,25,1993,DEU,2500000,False
