Comp,Squad,Number,Player,Pos,Age,Born,Nation,Value,LastClub
Ligue 1,FC Girondins Bordeaux,-,Aaron Boupendza,FW,21,1996,GAB,150000,True
Premier League,Brighton & Hove Albion,44,Aaron Connolly,FW,18,2000,IRL,0,False
Premier League,West Ham United,3,Aaron Cresswell,DF,28,1989,ENG,10000000,False
Premier League,Burnley FC,25,Aaron Lennon,FW,31,1987,ENG,5000000,False
Ligue 1,FC Toulouse,10,Aaron Leya Iseka,FW,20,1997,BEL,3000000,False
Serie A,Bologna FC 1909,-,Aaron Mattia Tabacchi,FW,20,1998,ITA,25000,True
Premier League,Huddersfield Town,10,Aaron Mooy,MF,27,1990,AUS,14000000,False
Premier League,AFC Bournemouth,12,Aaron Ramsdale,GK,20,1998,ENG,750000,True
Premier League,Arsenal FC,8,Aaron Ramsey,MF,27,1990,WAL,40000000,False
Premier League,Huddersfield Town,44,Aaron Rowe,MF,17,2000,ENG,0,False
Bundesliga,1.FSV Mainz 05,-,Aaron Seydel,FW,22,1996,DEU,400000,True
Premier League,Crystal Palace,29,Aaron Wan-Bissaka,DF,20,1997,ENG,35000000,False
La Liga,RCD Espanyol Barcelona,-,Aarón Martín,DF,21,1997,ESP,20000000,True
Bundesliga,1.FSV Mainz 05,-,Aarón Martín,DF,21,1997,ESP,20000000,False
Ligue 1,RC Strasbourg Alsace,3,Abdallah Ndour,DF,24,1993,SEN,600000,False
Ligue 1,Nîmes Olympique,28,Abdel Malik Hsissane,MF,27,1991,MAR,200000,False
Premier League,Huddersfield Town,29,Abdelhamid Sabiri,MF,21,1996,DEU,1500000,False
Serie A,Parma Calcio 1913,8,Abdou Diakhate,MF,19,1998,SEN,400000,True
Bundesliga,Borussia Dortmund,4,Abdou Diallo,DF,22,1996,SEN,35000000,False
Ligue 1,FC Nantes,-,Abdoul Kader Bamba,FW,24,1994,FRA,0,False
La Liga,Rayo Vallecano,21,Abdoulaye Ba,DF,27,1991,SEN,2500000,False
Ligue 1,SCO Angers,25,Abdoulaye Bamba,DF,28,1990,CIV,3000000,False
Ligue 1,FC Nantes,23,Abdoulaye Dabo,FW,17,2001,FRA,1000000,False
Ligue 1,Stade Rennais FC,16,Abdoulaye Diallo,GK,26,1992,SEN,1000000,False
Premier League,Watford FC,16,Abdoulaye Doucouré,MF,25,1993,FRA,25000000,False
Ligue 1,FC Nantes,19,Abdoulaye Touré,MF,24,1994,FRA,10000000,False
Premier League,Chelsea FC,-,Abdul Rahman Baba,DF,23,1994,GHA,5000000,True
Ligue 1,Stade Reims,-,Abdul Rahman Baba,DF,23,1994,GHA,5000000,False
Bundesliga,FC Schalke 04,-,Abdul Rahman Baba,DF,23,1994,GHA,5000000,False
La Liga,FC Barcelona,29,Abel Ruiz,FW,18,2000,ESP,3000000,False
Serie A,UC Sampdoria,-,Abou Diop,FW,24,1993,SEN,250000,True
Premier League,Fulham FC,47,Aboubakar Kamara,FW,23,1995,MRT,2750000,True
Serie A,SS Lazio,99,Abukar Mohamed,MF,19,1999,FIN,75000,False
Bundesliga,Borussia Dortmund,5,Achraf Hakimi,DF,19,1998,MAR,30000000,False
Premier League,Newcastle United,57,Achraf Lazaar,DF,26,1992,MAR,1000000,True
Premier League,Watford FC,17,Adalberto Peñaranda,FW,21,1997,VEN,2000000,True
Bundesliga,Fortuna Düsseldorf,13,Adam Bodzek,MF,32,1985,DEU,400000,False
Ligue 1,LOSC Lille,1,Adam Jakubech,GK,21,1997,SVK,500000,False
Premier League,Liverpool FC,20,Adam Lallana,MF,30,1988,ENG,15000000,False
Premier League,Burnley FC,30,Adam Legzdins,GK,31,1986,ENG,250000,False
Serie A,SS Lazio,77,Adam Marusic,MF,25,1992,MNE,7000000,False
Premier League,Watford FC,11,Adam Masina,DF,24,1994,MAR,7000000,False
Serie A,SSC Napoli,11,Adam Ounas,FW,21,1996,DZA,10000000,False
Premier League,AFC Bournemouth,15,Adam Smith,DF,27,1991,ENG,7000000,False
Bundesliga,1.FC Nuremberg,11,Adam Zrelak,FW,24,1994,SVK,1000000,False
Premier League,Huddersfield Town,11,Adama Diakhaby,FW,21,1996,FRA,8000000,False
Ligue 1,SM Caen,22,Adama Mbengue,DF,24,1993,SEN,2000000,False
Ligue 1,LOSC Lille,5,Adama Soumaoro,DF,26,1992,FRA,10000000,False
Ligue 1,AS Monaco,-,Adama Traoré,MF,23,1995,MLI,2200000,True
Premier League,Wolverhampton Wanderers,37,Adama Traoré,FW,22,1996,ESP,15000000,False
La Liga,Girona FC,11,Aday Benítez,DF,30,1987,ESP,1500000,False
Serie A,Torino FC,10,Adem Ljajic,MF,26,1991,SRB,12000000,True
Premier League,Everton FC,31,Ademola Lookman,FW,20,1997,ENG,20000000,True
Ligue 1,Olympique Marseille,23,Adil Rami,DF,32,1985,FRA,3000000,False
Ligue 1,FC Toulouse,32,Adil Taoui,FW,16,2001,FRA,150000,False
Bundesliga,VfL Wolfsburg,14,Admir Mehmedi,FW,27,1991,CHE,10000000,False
La Liga,Real Sociedad,11,Adnan Januzaj,FW,23,1995,BEL,15000000,False
Premier League,Watford FC,6,Adrian Mariappa,DF,31,1986,JAM,3000000,False
Serie A,Chievo Verona,1,Adrian Semper,GK,20,1998,HRV,1000000,False
Bundesliga,Bayer 04 Leverkusen,-,Adrian Stanilewicz,MF,18,2000,POL,50000,False
Ligue 1,AS Monaco,-,Adrien Bongiovanni,MF,18,1999,BEL,1000000,False
Ligue 1,Stade Rennais FC,23,Adrien Hunou,FW,24,1994,FRA,6000000,False
Ligue 1,Paris Saint-Germain,25,Adrien Rabiot,MF,23,1995,FRA,35000000,False
