SquadIn,Player,Nation,Pos,Value,SquadOut,Fee
AS Monaco,Benjamin Lecomte,FRA,GK,10000000,Montpellier HSC,13500000
AS Monaco,Ruben Aguilar,FRA,DF,12000000,Montpellier HSC,8000000
Montpellier HSC,Téji Savanier,FRA,MF,11000000,Nîmes Olympique,9500000
Montpellier HSC,Andy Delort,DZA,FW,16000000,FC Toulouse,4500000
Montpellier HSC,Jordan Ferri,FRA,MF,4000000,Olympique Lyon,2000000
FC Nantes,Ludovic Blas,FRA,MF,13000000,EA Guingamp,8000000
FC Nantes,Marcus Coco,FRA,FW,2800000,EA Guingamp,3000000
FC Nantes,Molla Wagué,MLI,DF,800000,Udinese Calcio,1200000
FC Nantes,Mehdi Abeid,DZA,MF,2000000,Dijon FCO,NA
OGC Nice,Stanley Nsoki,FRA,DF,5000000,Paris Saint-Germain,12500000
Paris Saint-Germain,Abdou Diallo,SEN,DF,25000000,Borussia Dortmund,32000000
Paris Saint-Germain,Idrissa Gueye,SEN,MF,15000000,Everton FC,30000000
Paris Saint-Germain,Pablo Sarabia,ESP,FW,25000000,Sevilla FC,18000000
Paris Saint-Germain,Keylor Navas,CRI,GK,12000000,Real Madrid,15000000
Paris Saint-Germain,Ander Herrera,ESP,MF,13000000,Manchester United,NA
Stade Rennais FC,M'Baye Niang,SEN,FW,4500000,Torino FC,15000000
Stade Rennais FC,Flavien Tait,FRA,MF,5000000,SCO Angers,9000000
Stade Rennais FC,Edouard Mendy,SEN,GK,25000000,Stade Reims,7600000
Stade Rennais FC,Jonas Martin,FRA,MF,2500000,RC Strasbourg Alsace,4000000
Stade Rennais FC,Metehan Güçlü,TUR,FW,300000,FC Paris Saint-Germain B,1500000
Stade Rennais FC,Jérémy Morel,MDG,DF,400000,Olympique Lyon,NA
Stade Rennais FC,Hakim El Mokeddem,FRA,MF,250000,FC Toulouse,NA
AS Saint-Étienne,Denis Bouanga,GAB,FW,9000000,Nîmes Olympique,4500000
AS Saint-Étienne,Ryad Boudebouz,DZA,MF,2200000,Real Betis Balompié,3500000
AS Saint-Étienne,Sergi Palencia,ESP,DF,2800000,FC Barcelona,2000000
AS Saint-Étienne,Zaydou Youssouf,FRA,MF,5000000,FC Girondins Bordeaux,2000000
RC Strasbourg Alsace,Alexander Djiku,GHA,DF,6500000,SM Caen,4500000
RC Strasbourg Alsace,Sanjin Prcic,BIH,MF,2000000,Levante UD,1000000
FC Toulouse,Wesley Saïd,FRA,FW,1500000,Dijon FCO,8000000
