SquadIn,PlayerIn,NationIn,PosIn,Value,SquadOut,Fee
Cagliari Calcio,Alessandro Tripaldelli,ITA,DF,1000000,US Sassuolo,3000000
Cagliari Calcio,Diego Godín,URY,DF,2000000,Inter Milan,NA
ACF Fiorentina,Alfred Duncan,GHA,MF,10000000,US Sassuolo,15000000
ACF Fiorentina,Christian Kouamé,CIV,FW,8500000,Genoa CFC,11000000
ACF Fiorentina,Antonio Rosati,ITA,GK,100000,Torino FC,NA
ACF Fiorentina,José Callejón,ESP,FW,1500000,SSC Napoli,NA
ACF Fiorentina,Borja Valero,ESP,MF,NA,Inter Milan,NA
ACF Fiorentina,Giacomo Bonaventura,ITA,MF,4000000,AC Milan,NA
Genoa CFC,Mattia Bani,ITA,DF,3000000,Bologna FC 1909,3500000
Genoa CFC,Milan Badelj,HRV,MF,2000000,SS Lazio,NA
Hellas Verona,Adrien Tamèze,CMR,MF,6000000,OGC Nice,3500000
Hellas Verona,Nikola Kalinic,HRV,FW,1500000,Atlético de Madrid,1800000
Inter Milan,Achraf Hakimi,MAR,DF,60000000,Real Madrid,43000000
Inter Milan,Andrea Pinamonti,ITA,FW,12000000,Genoa CFC,8000000
Inter Milan,Aleksandar Kolarov,SRB,DF,1500000,AS Roma,1500000
Inter Milan,Arturo Vidal,CHL,MF,3500000,FC Barcelona,1000000
Juventus FC,Arthur,BRA,MF,40000000,FC Barcelona,72000000
Juventus FC,Nicolò Rovella,ITA,MF,5000000,Genoa CFC,18000000
Juventus FC,Rolando Mandragora,ITA,MF,14000000,Udinese Calcio,10700000
SS Lazio,Mohamed Fares,DZA,MF,5500000,SPAL,8000000
SS Lazio,Pepe Reina,ESP,GK,800000,AC Milan,NA
SS Lazio,Gonzalo Escalante,ARG,MF,3200000,SD Eibar,NA
SS Lazio,Mateo Musacchio,ARG,DF,2000000,AC Milan,NA
AC Milan,Ante Rebic,HRV,FW,32000000,Eintracht Frankfurt,5000000
AC Milan,Simon Kjaer,DNK,DF,10000000,Sevilla FC,3500000
AC Milan,Ciprian Tatarusanu,ROU,GK,600000,Olympique Lyon,500000
SSC Napoli,Victor Osimhen,NGA,FW,50000000,LOSC Lille,70000000
AS Roma,Carles Pérez,ESP,FW,8000000,FC Barcelona,11000000
AS Roma,Pedro,ESP,FW,5000000,Chelsea FC,NA
AS Roma,Henrikh Mkhitaryan,ARM,MF,15000000,Arsenal FC,NA
UC Sampdoria,Adrien Silva,PRT,MF,3000000,Leicester City,NA
US Sassuolo,Vlad Chiriches,ROU,DF,3500000,SSC Napoli,9500000
US Sassuolo,Kaan Ayhan,TUR,DF,6000000,Fortuna Düsseldorf,2500000
Torino FC,Karol Linetty,POL,MF,6000000,UC Sampdoria,7500000
Torino FC,Antonio Sanabria,PRY,FW,7500000,Real Betis Balompié,7000000
Torino FC,Ricardo Rodríguez,CHE,DF,2000000,AC Milan,1950000
Udinese Calcio,Jean-Victor Makengo,FRA,MF,3000000,OGC Nice,3500000
Udinese Calcio,Fernando Llorente,ESP,FW,1000000,SSC Napoli,NA
Udinese Calcio,Roberto Pereyra,ARG,MF,10000000,Watford FC,NA
Udinese Calcio,Gerard Deulofeu,ESP,FW,10000000,Watford FC,NA
Bayern Munich,Leroy Sané,DEU,FW,60000000,Manchester City,45000000
Bayern Munich,Marc Roca,ESP,MF,10000000,RCD Espanyol Barcelona,9000000
Bayern Munich,Bouna Sarr,FRA,DF,4000000,Olympique Marseille,8000000
Bayern Munich,Alexander Nübel,DEU,GK,6000000,FC Schalke 04,NA
Bayern Munich,Tanguy Nianzou,FRA,DF,11000000,Paris Saint-Germain,NA
Bayern Munich,Eric Maxim Choupo-Moting,CMR,FW,3500000,Paris Saint-Germain,NA
Borussia Dortmund,Emre Can,DEU,MF,26000000,Juventus FC,25000000
Borussia Dortmund,Thomas Meunier,BEL,DF,12000000,Paris Saint-Germain,NA
RB Leipzig,Lazar Samardzic,DEU,MF,3000000,Hertha BSC U19,500000
Borussia Mönchengladbach,Manu Koné,FRA,MF,7000000,FC Toulouse,9000000
