Comp,Squad,Number,Player,Pos,Age,Born,Nation,Value,LastClub
Ligue 1,FC Girondins Bordeaux,-,Aaron Boupendza,FWL,22,1996,GAB,200000,True
Premier League,Brighton & Hove Albion,44,Aaron Connolly,FWC,19,2000,IRL,4000000,False
Premier League,West Ham United,3,Aaron Cresswell,DFL,29,1989,ENG,6500000,False
Bundesliga,Borussia Mönchengladbach,-,Aaron Herzog,MFO,21,1998,DEU,125000,False
Premier League,Burnley FC,25,Aaron Lennon,FWR,32,1987,ENG,2400000,False
Ligue 1,FC Toulouse,10,Aaron Leya Iseka,FWC,21,1997,BEL,2000000,False
Premier League,Brighton & Hove Albion,18,Aaron Mooy,MF,28,1990,AUS,9500000,True
Premier League,AFC Bournemouth,12,Aaron Ramsdale,GK,21,1998,ENG,12500000,False
Serie A,Juventus FC,8,Aaron Ramsey,MF,28,1990,WAL,28000000,False
Premier League,Aston Villa,-,Aaron Tshibola,MF,24,1995,COD,800000,False
Premier League,Manchester United,29,Aaron Wan-Bissaka,DFR,21,1997,ENG,32000000,False
La Liga,Granada CF,13,Aarón Escandell,GK,23,1995,ESP,300000,False
Bundesliga,1.FSV Mainz 05,3,Aarón Martín,DFL,22,1997,ESP,10500000,False
Ligue 1,FC Metz,-,Ababacar Lô,DFC,19,2000,SEN,0,False
Ligue 1,RC Strasbourg Alsace,3,Abdallah Ndour,DFL,25,1993,SEN,475000,False
La Liga,Deportivo Alavés,-,Abdallahi Mahmoud,MF,19,2000,MRT,100000,False
Bundesliga,SC Paderborn 07,19,Abdelhamid Sabiri,MFO,22,1996,DEU,1700000,False
Ligue 1,Paris Saint-Germain,22,Abdou Diallo,DFC,23,1996,SEN,28000000,False
Ligue 1,FC Nantes,32,Abdoul Kader Bamba,FWR,25,1994,FRA,1600000,False
Ligue 1,SCO Angers,25,Abdoulaye Bamba,DFR,29,1990,CIV,2000000,False
Ligue 1,FC Nantes,36,Abdoulaye Dabo,FWR,18,2001,FRA,900000,False
Premier League,Watford FC,16,Abdoulaye Doucouré,MF,26,1993,FRA,20000000,False
Ligue 1,Amiens SC,40,Abdoulaye Touré,FWL,18,2000,FRA,150000,False
Ligue 1,FC Nantes,19,Abdoulaye Touré,MFD,25,1994,FRA,8000000,False
Serie A,Hellas Verona,-,Abdoulaye Traoré,FWL,19,2000,CIV,50000,True
La Liga,RCD Mallorca,18,Abdul Rahman Baba,DFL,24,1994,GHA,2400000,False
La Liga,RCD Mallorca,9,Abdón Prats,FWC,26,1992,ESP,650000,False
La Liga,FC Barcelona,29,Abel Ruiz,FWC,19,2000,ESP,4500000,False
Ligue 1,LOSC Lille,-,Abou Ouattara,FWR,19,1999,BFA,100000,False
Bundesliga,Borussia Dortmund,5,Achraf Hakimi,DFR,20,1998,MAR,54000000,False
Premier League,Watford FC,13,Adalberto Peñaranda,FWC,22,1997,VEN,1000000,True
