SquadIn,PlayerIn,NationIn,PosIn,Value,SquadOut,Fee
Athletic Bilbao,Yuri Berchiche,ESP,DF,12000000,Paris Saint-Germain,24000000
Athletic Bilbao,Ibai Gómez,ESP,FW,1200000,Deportivo Alavés,4000000
Athletic Bilbao,Ander Capa,ESP,DF,6000000,SD Eibar,3000000
Athletic Bilbao,Kenan Kodro,BIH,FW,1000000,FC Copenhagen,900000
Athletic Bilbao,Dani García,ESP,MF,3000000,SD Eibar,NA
Atlético de Madrid,Thomas Lemar,FRA,MF,25000000,AS Monaco,72000000
Atlético de Madrid,Rodri,ESP,MF,70000000,Villarreal CF,20000000
Atlético de Madrid,Nikola Kalinic,HRV,FW,1500000,AC Milan,14500000
Atlético de Madrid,Jonny Otto,ESP,DF,15000000,Celta de Vigo,7000000
Atlético de Madrid,Antonio Adán,ESP,GK,3000000,Real Betis Balompié,1000000
