Rk,Player,Nation,Pos,Squad,Comp,Age,Born,Min/90,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
218,Alessandro Bastoni,ITA,DF,Atalanta BC,Serie A,18,1999,1.0,0,1,0,0.0,0.99,0.00,0.00,,13.2,0,0,0,0.0,0.0,0.04,0.0,0.0
219,Bastos,AGO,DF,SS Lazio,Serie A,26,1991,15.6,4,10,4,40.0,0.64,0.26,0.40,1.00,11.4,0,0,0,2.9,2.9,0.29,+1.1,+1.1
220,Michy Batshuayi,BEL,FW,Borussia Dortmund,Bundesliga,23,1993,9.3,7,29,14,48.3,3.11,1.50,0.24,0.50,11.3,0,0,0,5.9,5.9,0.21,+1.1,+1.1
221,Michy Batshuayi,BEL,FW,Chelsea FC,Premier League,23,1993,4.0,2,13,5,38.5,3.25,1.25,0.15,0.40,17.6,0,0,0,1.1,1.1,0.08,+0.9,+0.9
222,Moritz Bauer,AUT,DF,Stoke City,Premier League,25,1992,14.5,0,3,1,33.3,0.21,0.07,0.00,0.00,18.9,0,0,0,0.3,0.3,0.09,-0.3,-0.3
223,Robert Bauer,DEU,DF,SV Werder Bremen,Bundesliga,22,1995,10.6,0,2,0,0.0,0.19,0.00,0.00,,33.7,0,0,0,0.0,0.0,0.01,0.0,0.0
224,Oliver Baumann,DEU,GK,TSG 1899 Hoffenheim,Bundesliga,27,1990,34.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
225,Timo Baumgartl,DEU,DF,VfB Stuttgart,Bundesliga,21,1996,29.0,0,7,1,14.3,0.24,0.03,0.00,0.00,11.9,0,0,0,0.6,0.6,0.08,-0.6,-0.6
226,Julian Baumgartlinger,AUT,MF,Bayer 04 Leverkusen,Bundesliga,29,1988,15.5,1,11,4,36.4,0.71,0.26,0.09,0.25,15.8,0,0,0,0.9,0.9,0.08,+0.1,+0.1
227,Jon Bautista,ESP,FW,Real Sociedad,La Liga,22,1995,2.1,1,8,3,37.5,3.83,1.44,0.13,0.33,9.2,0,0,0,1.7,1.7,0.21,-0.7,-0.7
228,Paul Baysse,FRA,DF,FC Girondins Bordeaux,Ligue 1,29,1988,6.3,0,6,1,16.7,0.95,0.16,0.00,0.00,7.2,0,0,0,0.6,0.6,0.11,-0.6,-0.6
229,Paul Baysse,FRA,DF,Málaga CF,La Liga,29,1988,13.8,1,11,3,27.3,0.80,0.22,0.09,0.33,11.7,0,0,0,0.8,0.8,0.07,+0.2,+0.2
230,Noah Joel Sarenren Bazee,NGA,FW,Hannover 96,Bundesliga,20,1996,1.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
231,Hervé Bazile,HTI,FW,SM Caen,Ligue 1,27,1990,9.8,0,17,5,29.4,1.74,0.51,0.00,0.00,20.0,2,0,0,2.0,2.0,0.12,-2.0,-2.0
232,Riechedly Bazoer,NLD,MF,VfL Wolfsburg,Bundesliga,20,1996,6.6,0,7,2,28.6,1.06,0.30,0.00,0.00,23.1,0,0,0,0.3,0.3,0.05,-0.3,-0.3
233,Enrico Bearzotti,ITA,DF,Hellas Verona,Serie A,20,1996,4.6,0,4,1,25.0,0.88,0.22,0.00,0.00,28.9,0,0,0,0.1,0.1,0.01,-0.1,-0.1
234,Claudio Beauvue,GLP,FW,CD Leganés,La Liga,29,1988,18.6,2,45,11,24.4,2.42,0.59,0.04,0.18,15.9,0,0,0,4.7,4.7,0.11,-2.7,-2.7
235,Bebé,PRT,MF,SD Eibar,La Liga,27,1990,4.1,0,8,1,12.5,1.97,0.25,0.00,0.00,25.5,1,0,0,0.2,0.2,0.03,-0.2,-0.2
236,Ihlas Bebou,TGO,MF,Hannover 96,Bundesliga,23,1994,23.8,5,50,19,38.0,2.10,0.80,0.10,0.26,18.7,0,0,0,6.0,6.0,0.12,-1.0,-1.0
237,Andreas Beck,DEU,DF,VfB Stuttgart,Bundesliga,30,1987,21.4,1,7,3,42.9,0.33,0.14,0.14,0.33,22.2,0,0,0,0.3,0.3,0.04,+0.7,+0.7
238,Henri Bedimo,CMR,DF,Olympique Marseille,Ligue 1,33,1984,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
239,Jan Bednarek,POL,DF,Southampton FC,Premier League,21,1996,4.7,1,1,1,100.0,0.21,0.21,1.00,1.00,8.6,0,0,0,0.1,0.1,0.07,+0.9,+0.9
240,Asmir Begovic,BIH,GK,AFC Bournemouth,Premier League,30,1987,38.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
241,Valon Behrami,CHE,MF,Udinese Calcio,Serie A,32,1985,15.5,1,9,2,22.2,0.58,0.13,0.11,0.50,19.3,0,0,0,0.6,0.6,0.06,+0.4,+0.4
242,Vid Belec,SVN,GK,Benevento Calcio,Serie A,27,1990,12.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
243,Vid Belec,SVN,GK,UC Sampdoria,Serie A,27,1990,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
244,Ishak Belfodil,DZA,FW,SV Werder Bremen,Bundesliga,25,1992,15.0,4,46,22,47.8,3.07,1.47,0.09,0.18,11.5,1,0,0,5.0,5.0,0.11,-1.0,-1.0
245,Stefan Bell,DEU,DF,1.FSV Mainz 05,Bundesliga,25,1991,24.2,1,11,5,45.5,0.45,0.21,0.09,0.20,13.8,0,0,0,1.3,1.3,0.12,-0.3,-0.3
246,Karim Bellarabi,DEU,FW,Bayer 04 Leverkusen,Bundesliga,27,1990,12.7,1,42,16,38.1,3.30,1.26,0.02,0.06,20.3,0,0,0,3.2,3.2,0.08,-2.2,-2.2
247,Héctor Bellerín,ESP,DF,Arsenal FC,Premier League,22,1995,33.9,2,28,8,28.6,0.83,0.24,0.07,0.25,17.0,0,0,0,2.2,2.2,0.08,-0.2,-0.2
248,François Bellugou,FRA,MF,ESTAC Troyes,Ligue 1,30,1987,24.2,0,1,0,0.0,0.04,0.00,0.00,,5.8,0,0,0,0.1,0.1,0.07,-0.1,-0.1
249,Andrea Belotti,ITA,FW,Torino FC,Serie A,23,1993,29.8,10,86,28,32.6,2.88,0.94,0.12,0.36,13.6,0,0,2,11.3,9.8,0.11,-1.3,+0.2
250,Chaouki Ben Saada,TUN,FW,ESTAC Troyes,Ligue 1,33,1984,3.8,0,9,2,22.2,2.38,0.53,0.00,0.00,23.5,1,0,0,0.3,0.3,0.03,-0.3,-0.3
251,Wissam Ben Yedder,FRA,FW,Sevilla FC,La Liga,26,1990,18.9,9,50,26,52.0,2.65,1.38,0.16,0.31,11.2,1,1,1,10.6,9.8,0.20,-1.6,-1.8
252,Diego Benaglio,CHE,GK,AS Monaco,Ligue 1,33,1983,2.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
253,Ahmad Benali,LBY,MF,FC Crotone,Serie A,25,1992,9.0,1,5,3,60.0,0.55,0.33,0.20,0.33,10.9,0,0,0,1.1,1.1,0.23,-0.1,-0.1
254,Yohan Benalouane,TUN,DF,Leicester City,Premier League,30,1987,1.0,0,2,1,50.0,2.00,1.00,0.00,0.00,17.6,0,0,0,0.1,0.1,0.05,-0.1,-0.1
255,Marco Benassi,ITA,MF,ACF Fiorentina,Serie A,22,1994,30.9,5,75,27,36.0,2.43,0.87,0.07,0.19,20.0,0,0,0,4.9,4.9,0.07,+0.1,+0.1
256,Medhi Benatia,MAR,DF,Juventus FC,Serie A,30,1987,19.5,2,14,4,28.6,0.72,0.21,0.14,0.50,9.6,0,0,0,2.5,2.5,0.19,-0.5,-0.5
257,Lars Bender,DEU,DF,Bayer 04 Leverkusen,Bundesliga,28,1989,17.7,2,22,5,22.7,1.24,0.28,0.09,0.40,15.4,0,0,0,1.7,1.7,0.08,+0.3,+0.3
258,Sven Bender,DEU,DF,Bayer 04 Leverkusen,Bundesliga,28,1989,26.1,2,15,6,40.0,0.58,0.23,0.13,0.33,9.1,0,0,0,1.7,1.7,0.11,+0.3,+0.3
259,Lászlo Bénes,SVK,MF,Borussia Mönchengladbach,Bundesliga,19,1997,0.4,0,1,0,0.0,2.37,0.00,0.00,,28.0,0,0,0,0.0,0.0,0.04,0.0,0.0
260,Nicolas Benezet,FRA,FW,EA Guingamp,Ligue 1,26,1991,18.3,3,32,11,34.4,1.75,0.60,0.09,0.27,17.8,5,0,0,2.1,2.1,0.07,+0.9,+0.9
261,Marcel Benger,DEU,MF,Borussia Mönchengladbach,Bundesliga,19,1998,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
262,Walter Benítez,ARG,GK,OGC Nice,Ligue 1,24,1993,28.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
263,Charlison Benschop,CUW,MF,Hannover 96,Bundesliga,27,1989,2.0,1,5,1,20.0,2.45,0.49,0.20,1.00,11.4,0,0,0,0.4,0.4,0.09,+0.6,+0.6
264,Ramy Bensebaini,DZA,DF,Stade Rennais FC,Ligue 1,22,1995,26.0,0,18,4,22.2,0.69,0.15,0.00,0.00,18.9,0,0,0,0.8,0.8,0.05,-0.8,-0.8
265,Nabil Bentaleb,DZA,MF,FC Schalke 04,Bundesliga,22,1994,11.2,4,11,4,36.4,0.98,0.36,0.00,0.00,29.1,0,4,4,3.4,0.4,0.03,+0.6,-0.4
266,Rodrigo Bentancur,URY,MF,Juventus FC,Serie A,20,1997,6.5,0,5,2,40.0,0.77,0.31,0.00,0.00,27.1,0,0,0,0.2,0.2,0.04,-0.2,-0.2
