Rk,Player,Nation,Pos,Squad,Comp,Age,Born,Min/90,CrdY,CrdR,2CrdY,FlsCom,FlsRec,Off,Crs,Int,TklW,PKRec,PKCom,OG,Recov,AWon,ALost,AWon%
1,Patrick van Aanholt,NLD,DF,Crystal Palace,Premier League,26,1990,24.3,7,0,0,18,10,3,42,36,30,0,0,0,225,2,6,25.0
2,Rolando Aarons,ENG,FW,Newcastle United,Premier League,21,1995,1.5,0,0,0,1,3,1,2,2,4,0,0,0,12,2,2,50.0
3,Rolando Aarons,ENG,MF,Hellas Verona,Serie A,21,1995,5.7,0,0,0,8,11,0,6,1,9,0,0,0,22,7,15,31.8
4,Ignazio Abate,ITA,DF,AC Milan,Serie A,30,1986,11.7,3,0,0,11,8,3,26,4,15,0,0,0,106,5,4,55.6
5,Aymen Abdennour,TUN,DF,Olympique Marseille,Ligue 1,27,1989,5.6,3,0,0,7,6,0,0,2,6,0,0,0,57,3,0,100.0
6,Aly Abeid,MRT,DF,Levante UD,La Liga,19,1997,0.8,0,0,0,1,0,0,2,1,1,0,0,0,8,0,2,0.0
7,Mehdi Abeid,DZA,MF,Dijon FCO,Ligue 1,24,1992,13.1,2,0,0,27,17,2,7,15,14,0,0,0,142,3,5,37.5
8,David Abraham,ARG,DF,Eintracht Frankfurt,Bundesliga,31,1986,25.6,3,0,0,11,20,0,6,23,28,0,0,1,378,62,26,70.5
9,Tammy Abraham,ENG,FW,Swansea City,Premier League,19,1997,19.2,0,0,0,15,27,9,11,4,5,0,0,0,61,30,30,50.0
10,Amir Abrashi,ALB,MF,SC Freiburg,Bundesliga,27,1990,9.4,2,0,0,20,27,0,4,11,26,0,0,0,137,21,19,52.5
11,Francesco Acerbi,ITA,DF,US Sassuolo,Serie A,29,1988,38.0,4,0,0,29,31,0,9,47,34,0,1,1,520,103,32,76.3
12,Afriyie Acquah,GHA,MF,Torino FC,Serie A,25,1992,10.6,4,2,1,13,14,0,8,10,7,0,0,0,105,12,13,48.0
13,Charlie Adam,SCO,MF,Stoke City,Premier League,31,1985,4.6,2,1,0,8,8,0,14,2,5,0,0,0,61,5,1,83.3
14,Antonio Adán,ESP,GK,Real Betis Balompié,La Liga,30,1987,30.0,4,0,0,0,4,0,0,0,0,0,0,0,127,0,0,
15,Aday Benítez,ESP,DF,Girona FC,La Liga,29,1987,20.4,10,0,0,38,15,6,99,21,6,0,0,1,187,19,11,63.3
16,Khaled Adénon,BEN,DF,Amiens SC,Ligue 1,32,1985,32.5,9,0,0,51,40,1,1,50,27,0,1,0,394,23,22,51.1
17,Claud Adjapong,ITA,DF,US Sassuolo,Serie A,19,1998,13.6,5,1,0,22,19,2,24,11,19,0,0,0,134,15,11,57.7
18,René Adler,DEU,GK,1.FSV Mainz 05,Bundesliga,32,1985,14.0,0,0,0,1,3,0,0,0,0,0,1,0,79,0,1,0.0
19,Ali Adnan,IRQ,DF,Udinese Calcio,Serie A,23,1993,18.6,4,0,0,20,22,1,53,31,23,0,0,1,174,49,32,60.5
20,Adrián,ESP,GK,West Ham United,Premier League,30,1987,19.0,2,0,0,0,3,0,0,0,0,0,0,0,115,0,0,
21,Aritz Aduriz,ESP,FW,Athletic Bilbao,La Liga,36,1981,23.9,5,0,0,40,40,35,16,0,8,0,0,0,72,63,45,58.3
22,Ibrahim Afellay,NLD,MF,Stoke City,Premier League,31,1986,1.8,1,0,0,1,0,0,0,2,2,0,0,0,15,0,0,
23,Benik Afobe,COD,FW,AFC Bournemouth,Premier League,24,1993,6.8,0,0,0,9,13,4,0,1,3,1,0,0,24,17,24,41.5
24,Martín Aguirregabiria,ESP,DF,Deportivo Alavés,La Liga,21,1996,20.3,4,0,0,20,18,0,35,27,19,0,0,0,244,7,7,50.0
25,Imanol Agirretxe,ESP,FW,Real Sociedad,La Liga,30,1987,2.6,0,0,0,1,4,1,0,0,0,1,0,0,10,6,2,75.0
26,Sergio Agüero,ARG,FW,Manchester City,Premier League,29,1988,21.8,2,0,0,10,17,16,17,8,5,0,0,0,90,6,15,28.6
27,Ruben Aguilar,FRA,DF,Montpellier HSC,Ligue 1,24,1993,27.3,2,0,0,28,49,3,83,33,27,0,0,0,211,9,14,39.1
28,Matías Aguirregaray,URY,DF,UD Las Palmas,La Liga,28,1989,12.8,3,0,0,16,22,1,16,18,15,0,0,0,108,5,10,33.3
29,Jean-Eudes Aholou,CIV,MF,RC Strasbourg Alsace,Ligue 1,23,1994,33.4,4,0,0,43,49,1,1,71,42,0,0,0,405,20,14,58.8
30,Aílton,BRA,DF,VfB Stuttgart,Bundesliga,22,1995,1.2,0,0,0,1,3,0,4,1,2,0,0,0,7,2,3,40.0
31,Youssef Aït Bennasser,MAR,MF,SM Caen,Ligue 1,21,1996,22.8,4,0,0,24,26,0,9,37,28,0,0,0,298,6,13,31.6
32,Arlind Ajeti,ALB,DF,FC Crotone,Serie A,23,1993,14.1,7,0,0,19,6,0,1,13,24,0,1,0,147,23,24,48.9
33,Manuel Akanji,CHE,DF,Borussia Dortmund,Bundesliga,22,1995,10.0,2,0,0,10,5,0,2,7,12,0,0,0,105,17,17,50.0
34,Nathan Aké,NLD,DF,AFC Bournemouth,Premier League,22,1995,37.3,5,0,0,27,19,2,7,38,27,0,0,0,465,61,54,53.0
35,Ager Aketxe,ESP,MF,Athletic Bilbao,La Liga,23,1993,0.5,1,0,0,1,0,0,2,0,1,0,0,0,4,0,1,0.0
36,Chadrac Akolo,COD,FW,VfB Stuttgart,Bundesliga,22,1995,12.2,2,0,0,13,13,9,18,7,10,0,0,0,67,9,21,30.0
37,Kevin Akpoguma,NGA,DF,TSG 1899 Hoffenheim,Bundesliga,22,1995,18.8,1,0,0,22,19,1,6,24,29,0,0,1,172,31,28,52.5
38,David Alaba,AUT,DF,Bayern Munich,Bundesliga,25,1992,17.2,1,0,0,9,6,2,72,10,15,0,0,0,170,15,15,50.0
39,Lucas Alario,ARG,FW,Bayer 04 Leverkusen,Bundesliga,24,1992,17.2,4,1,0,40,42,14,8,6,10,1,0,0,67,48,79,37.8
40,David Alba,ESP,DF,Getafe CF,La Liga,18,1999,0.7,0,0,0,3,0,0,0,0,1,0,0,0,7,0,2,0.0
41,Jordi Alba,ESP,DF,FC Barcelona,La Liga,28,1989,30.5,7,0,0,28,22,16,75,52,30,0,0,0,278,8,10,44.4
42,Raúl Albentosa,ESP,DF,Deportivo de La Coruña,La Liga,28,1988,19.4,5,0,0,15,15,1,3,13,12,0,1,0,226,22,11,66.7
43,Luis Alberto,ESP,MF,SS Lazio,Serie A,24,1992,29.7,5,0,0,20,36,3,53,10,28,1,0,0,205,10,29,25.6
