Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,Min/90,GA,GA/90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKA,PKGA,PKsv,PKm,PK%
1,Antonio Adán,ESP,GK,Real Betis Balompié,La Liga,30,1987,30,30,2700,30.0,53,1.77,128,82,60.9,14,4,12,9,30.0,4,3,1,0,25.0
2,René Adler,DEU,GK,1.FSV Mainz 05,Bundesliga,32,1985,14,14,1260,14.0,18,1.29,51,34,66.7,5,3,6,4,28.6,2,1,0,1,0.0
3,Adrián,ESP,GK,West Ham United,Premier League,30,1987,19,19,1710,19.0,29,1.53,95,68,70.5,7,6,6,6,31.6,1,1,0,0,0.0
4,Alisson,BRA,GK,AS Roma,Serie A,24,1992,37,37,3330,37.0,28,0.76,135,107,81.5,22,8,7,17,45.9,5,3,2,0,40.0
5,Sergio Álvarez,ESP,GK,Celta de Vigo,La Liga,30,1986,17,16,1479,16.4,29,1.76,77,50,63.6,3,6,7,3,18.8,1,1,0,0,0.0
6,Jon Ander Serantes,ESP,GK,CD Leganés,La Liga,27,1989,1,1,90,1.0,2,2.00,9,7,77.8,1,0,0,0,0.0,0,0,0,0,
7,Nícolas,BRA,GK,Hellas Verona,Serie A,29,1988,36,36,3240,36.0,71,1.97,231,167,71.9,7,4,25,7,19.4,8,6,2,0,25.0
8,Miguel Ángel Moyá,ESP,GK,Real Sociedad,La Liga,33,1984,9,9,763,8.5,8,0.94,30,24,80.0,3,2,4,2,22.2,3,2,1,0,33.3
9,Alphonse Areola,FRA,GK,Paris Saint-Germain,Ligue 1,24,1993,34,34,3060,34.0,25,0.74,106,82,77.4,26,6,2,17,50.0,2,1,1,0,50.0
10,Kepa,ESP,GK,Athletic Bilbao,La Liga,22,1994,30,30,2700,30.0,43,1.43,135,96,68.9,7,9,14,7,23.3,3,1,2,0,66.7
11,Sergio Asenjo,ESP,GK,Villarreal CF,La Liga,28,1989,23,23,2070,23.0,30,1.30,89,62,69.7,12,3,8,6,26.1,5,3,2,0,40.0
12,Mariano Barbosa,ARG,GK,Villarreal CF,La Liga,33,1984,13,12,1125,12.5,14,1.12,47,34,72.3,6,3,3,5,41.7,1,1,0,0,0.0
13,Oliver Baumann,DEU,GK,TSG 1899 Hoffenheim,Bundesliga,27,1990,34,34,3060,34.0,48,1.41,146,104,69.2,15,10,9,10,29.4,4,3,1,0,25.0
14,Asmir Begovic,BIH,GK,AFC Bournemouth,Premier League,30,1987,38,38,3420,38.0,61,1.61,173,114,65.9,11,11,16,6,15.8,4,2,1,1,33.3
15,Vid Belec,SVN,GK,UC Sampdoria,Serie A,27,1990,2,2,180,2.0,5,2.50,15,11,73.3,0,0,2,0,0.0,1,1,0,0,0.0
16,Vid Belec,SVN,GK,Benevento Calcio,Serie A,27,1990,13,13,1113,12.4,32,2.59,73,51,60.3,2,0,10,1,7.7,3,3,0,0,0.0
17,Diego Benaglio,CHE,GK,AS Monaco,Ligue 1,33,1983,3,2,225,2.5,0,0.00,6,6,100.0,2,0,0,2,100.0,0,0,0,0,
18,Walter Benítez,ARG,GK,OGC Nice,Ligue 1,24,1993,28,28,2520,28.0,36,1.29,114,83,71.1,12,8,8,7,25.0,5,3,2,0,40.0
19,Etrit Berisha,ALB,GK,Atalanta BC,Serie A,28,1989,31,31,2790,31.0,34,1.10,99,66,66.7,13,10,8,8,25.8,2,1,1,0,50.0
20,Quentin Beunardeau,FRA,GK,FC Metz,Ligue 1,23,1994,1,0,39,0.4,2,4.62,4,2,50.0,0,0,0,0,,0,0,0,0,
21,Albano Bizzarri,ARG,GK,Udinese Calcio,Serie A,39,1977,32,32,2880,32.0,52,1.62,137,91,63.5,11,4,17,8,25.0,5,2,2,1,50.0
22,Rubén Blanco,ESP,GK,Celta de Vigo,La Liga,22,1995,22,22,1941,21.6,31,1.44,90,62,68.9,10,4,8,4,18.2,4,3,0,1,0.0
23,Landry Bonnefoi,FRA,GK,RC Strasbourg Alsace,Ligue 1,33,1983,4,3,272,3.0,6,1.99,17,11,64.7,2,0,1,1,33.3,0,0,0,0,
24,Jean-Christophe Bouet,FRA,GK,Amiens SC,Ligue 1,34,1983,1,1,90,1.0,1,1.00,6,5,83.3,0,0,1,0,0.0,0,0,0,0,
25,Bono,MAR,GK,Girona FC,La Liga,26,1991,30,30,2655,29.5,46,1.56,136,95,69.1,13,6,11,9,30.0,5,4,0,1,0.0
26,Claudio Bravo,CHL,GK,Manchester City,Premier League,34,1983,3,2,226,2.5,1,0.40,5,4,80.0,2,0,0,1,50.0,0,0,0,0,
27,Alberto Brignoli,ITA,GK,Benevento Calcio,Serie A,25,1991,13,11,1126,12.5,31,2.48,71,42,59.2,1,2,10,2,18.2,4,2,0,2,0.0
28,Gianluigi Buffon,ITA,GK,Juventus FC,Serie A,39,1978,21,21,1862,20.7,14,0.68,58,48,81.0,17,2,2,11,52.4,4,3,1,0,25.0
29,Roman Bürki,CHE,GK,Borussia Dortmund,Bundesliga,26,1990,33,33,2969,33.0,43,1.30,140,100,70.7,15,9,9,12,36.4,2,2,0,0,0.0
30,Ludovic Butelle,FRA,GK,SCO Angers,Ligue 1,34,1983,19,19,1652,18.4,22,1.20,70,52,72.9,6,5,7,4,21.1,3,3,0,0,0.0
31,Jack Butland,ENG,GK,Stoke City,Premier League,24,1993,35,35,3150,35.0,61,1.74,198,144,71.7,7,11,17,6,17.1,5,5,0,0,0.0
32,Willy Caballero,ARG,GK,Chelsea FC,Premier League,35,1981,3,3,270,3.0,4,1.33,11,7,63.6,1,1,1,1,33.3,0,0,0,0,
33,Yoan Cardinale,FRA,GK,OGC Nice,Ligue 1,23,1994,10,10,900,10.0,16,1.60,43,28,62.8,3,1,6,3,30.0,0,0,0,0,
34,Kiko Casilla,ESP,GK,Real Madrid,La Liga,30,1986,10,10,900,10.0,11,1.10,32,22,65.6,6,2,2,3,30.0,0,0,0,0,
35,Koen Casteels,BEL,GK,VfL Wolfsburg,Bundesliga,25,1992,34,34,3060,34.0,48,1.41,143,102,70.6,6,15,13,8,23.5,10,6,3,1,33.3
36,Petr Cech,CZE,GK,Arsenal FC,Premier League,35,1982,34,34,3039,33.8,48,1.42,129,86,66.7,16,6,12,11,32.4,6,5,1,0,16.7
37,Nereo Champagne,ARG,GK,CD Leganés,La Liga,32,1985,2,2,180,2.0,6,3.00,9,4,44.4,0,0,2,0,0.0,1,1,0,0,0.0
38,Leandro Chichizola,ARG,GK,UD Las Palmas,La Liga,27,1990,27,27,2430,27.0,47,1.74,152,109,71.1,4,5,18,4,14.8,3,3,0,0,0.0
39,Jasper Cillessen,NLD,GK,FC Barcelona,La Liga,28,1989,1,1,90,1.0,1,1.00,7,6,85.7,1,0,0,1,100.0,0,0,0,0,
