Rk,Player,Nation,Pos,Squad,Comp,Age,Born,Min/90,P_Cmp,P_Att,P_Cmp%,P_TotDist,P_PrgDist,PS_Cmp,PS_Att,PS_Cmp%,PM_Cmp,PM_Att,PM_Cmp%,PL_Cmp,PL_Att,PL_Cmp%,Ast,xA,A-xA,P_KP,P_1/3,P_PPA,P_CrsPA,P_Prog
152,Ludovic Baal,GUF,DF,Stade Rennais FC,Ligue 1,31,1986,12.9,625,820,76.2,11127,5941,270,313,86.3,290,353,82.2,58,134,43.3,1,0.6,+0.4,7,77,8,2,91
153,Khouma Babacar,SEN,FW,ACF Fiorentina,Serie A,24,1993,5.0,76,101,75.2,1227,222,41,51,80.4,23,30,76.7,9,13,69.2,1,0.4,+0.6,7,6,3,0,8
154,Khouma Babacar,SEN,FW,US Sassuolo,Serie A,24,1993,8.3,114,140,81.4,1892,251,64,77,83.1,39,48,81.3,10,12,83.3,1,1.0,0.0,5,6,1,0,9
155,Carlos Bacca,COL,FW,Villarreal CF,La Liga,30,1986,27.5,380,528,72.0,5936,1197,221,288,76.7,125,177,70.6,28,48,58.3,5,4.7,+0.3,30,19,16,4,32
156,Milan Badelj,HRV,MF,ACF Fiorentina,Serie A,28,1989,26.1,1470,1773,82.9,29350,8610,529,627,84.4,698,786,88.8,224,319,70.2,1,2.4,-1.4,44,170,38,7,198
157,Holger Badstuber,DEU,DF,VfB Stuttgart,Bundesliga,28,1989,24.1,915,1081,84.6,20267,6130,261,295,88.5,446,495,90.1,200,278,71.9,0,0.0,0.0,0,39,1,0,39
158,Dylan Bahamboula,COG,FW,Dijon FCO,Ligue 1,22,1995,0.3,10,14,71.4,146,39,7,8,87.5,2,5,40.0,1,1,100.0,0,0.0,0.0,0,0,0,0,1
159,Farès Bahlouli,FRA,MF,LOSC Lille,Ligue 1,22,1995,3.4,103,156,66.0,2058,714,44,55,80.0,35,52,67.3,21,41,51.2,0,0.9,-0.9,10,11,5,3,9
160,Stéphane Bahoken,CMR,FW,RC Strasbourg Alsace,Ligue 1,25,1992,18.5,222,328,67.7,3398,759,119,146,81.5,70,98,71.4,20,38,52.6,1,1.3,-0.3,13,7,18,7,22
161,Daniel Baier,DEU,MF,FC Augsburg,Bundesliga,33,1984,28.2,1196,1607,74.4,25699,8015,382,468,81.6,560,708,79.1,238,386,61.7,2,2.0,0.0,26,165,26,5,192
162,Leon Bailey,JAM,FW,Bayer 04 Leverkusen,Bundesliga,19,1997,24.6,755,1082,69.8,14702,4627,356,428,83.2,256,349,73.4,132,255,51.8,6,5.8,+0.2,58,58,47,23,85
163,Eric Bailly,CIV,DF,Manchester United,Premier League,23,1994,11.1,375,429,87.4,7514,2152,121,131,92.4,194,206,94.2,55,85,64.7,0,0.3,-0.3,2,14,2,0,17
164,Leighton Baines,ENG,DF,Everton FC,Premier League,32,1984,21.2,730,976,74.8,13327,6212,314,355,88.5,313,384,81.5,90,191,47.1,3,2.0,+1.0,24,69,19,9,90
165,Riad Bajić,BIH,FW,Udinese Calcio,Serie A,23,1994,0.9,16,22,72.7,256,93,9,13,69.2,6,6,100.0,1,1,100.0,0,0.2,-0.2,2,2,1,0,3
166,Marvin Bakalorz,DEU,MF,Hannover 96,Bundesliga,27,1989,22.8,440,619,71.1,7408,2159,232,274,84.7,149,216,69.0,49,105,46.7,1,1.8,-0.8,12,43,11,2,54
167,Cédric Bakambu,COD,FW,Villarreal CF,La Liga,26,1991,14.0,200,281,71.2,3000,579,119,149,79.9,63,92,68.5,12,23,52.2,0,1.2,-1.2,12,13,5,0,21
168,Tiemoué Bakayoko,FRA,MF,Chelsea FC,Premier League,22,1994,23.6,940,1098,85.6,16680,4120,422,479,88.1,398,454,87.7,100,126,79.4,2,0.5,+1.5,14,88,9,2,97
169,Zakaria Bakkali,BEL,FW,Deportivo de La Coruña,La Liga,21,1996,10.2,228,316,72.2,3540,842,127,158,80.4,82,110,74.5,17,41,41.5,0,0.6,-0.6,8,15,2,1,22
170,Ridle Baku,DEU,MF,1.FSV Mainz 05,Bundesliga,19,1998,2.6,75,91,82.4,1135,278,39,44,88.6,32,39,82.1,3,6,50.0,0,0.2,-0.2,1,1,0,0,4
171,Keita Baldé,SEN,FW,AS Monaco,Ligue 1,22,1995,16.3,269,392,68.6,4021,794,152,198,76.8,97,135,71.9,12,25,48.0,5,1.8,+3.2,15,9,11,5,24
172,Sam Baldock,ENG,FW,Brighton & Hove Albion,Premier League,28,1989,0.4,4,7,57.1,38,10,4,5,80.0,0,2,0.0,0,0,,0,0.0,0.0,0,0,0,0,0
173,Gareth Bale,WAL,FW,Real Madrid,La Liga,28,1989,19.9,604,770,78.4,10110,2562,336,402,83.6,192,236,81.4,63,105,60.0,4,4.9,-0.9,38,30,48,16,76
174,Mikel Balenziaga,ESP,DF,Athletic Bilbao,La Liga,29,1988,17.2,579,782,74.0,10312,3242,233,281,82.9,299,376,79.5,44,99,44.4,2,0.9,+1.1,8,34,17,13,53
175,Andrija Balic,HRV,MF,Udinese Calcio,Serie A,19,1997,12.0,444,555,80.0,8763,1936,189,221,85.5,187,218,85.8,65,102,63.7,1,0.7,+0.3,16,41,7,1,45
176,Iván Balliu,ALB,DF,FC Metz,Ligue 1,25,1992,21.7,878,1175,74.7,16075,7774,374,425,88.0,387,481,80.5,99,217,45.6,1,1.0,0.0,12,85,27,5,115
177,Fodé Ballo-Touré,SEN,DF,LOSC Lille,Ligue 1,20,1997,22.8,946,1150,82.3,14186,5424,514,568,90.5,360,438,82.2,43,76,56.6,0,0.3,-0.3,8,57,13,6,70
178,Florent Balmont,FRA,MF,Dijon FCO,Ligue 1,37,1980,9.6,416,506,82.2,7321,2036,179,196,91.3,179,207,86.5,42,81,51.9,2,1.2,+0.8,7,38,8,2,50
179,Leon Balogun,NGA,DF,1.FSV Mainz 05,Bundesliga,29,1988,13.0,367,483,76.0,8352,2972,89,115,77.4,199,233,85.4,76,119,63.9,0,0.0,0.0,1,20,2,0,40
180,Mario Balotelli,ITA,FW,OGC Nice,Ligue 1,26,1990,25.2,568,760,74.7,9903,2039,292,359,81.3,178,226,78.8,81,130,62.3,1,4.0,-3.0,33,70,15,1,57
181,Abdoulaye Bamba,CIV,DF,SCO Angers,Ligue 1,27,1990,17.0,621,810,76.7,10272,4933,294,326,90.2,287,348,82.5,33,104,31.7,0,0.3,-0.3,6,43,5,2,51
182,Jonathan Bamba,FRA,FW,AS Saint-Étienne,Ligue 1,21,1996,28.6,874,1185,73.8,14408,3399,431,523,82.4,325,409,79.5,85,173,49.1,6,6.0,0.0,51,63,31,7,81
183,Yacine Bammou,MAR,MF,FC Nantes,Ligue 1,25,1991,8.1,189,257,73.5,2951,817,101,119,84.9,64,84,76.2,15,31,48.4,0,0.2,-0.2,6,9,9,2,14
184,Éver Banega,ARG,MF,Sevilla FC,La Liga,29,1988,26.7,1846,2265,81.5,37998,13553,671,749,89.6,848,965,87.9,317,514,61.7,3,5.2,-2.2,70,281,37,4,310
185,Mattia Bani,ITA,DF,Chievo Verona,Serie A,23,1993,14.6,516,641,80.5,12296,3629,129,153,84.3,251,282,89.0,132,196,67.3,0,0.0,0.0,0,32,2,0,30
186,Beni Baningime,COD,MF,Everton FC,Premier League,18,1998,2.2,67,82,81.7,1188,318,29,33,87.9,29,33,87.9,6,8,75.0,0,0.0,0.0,0,8,1,0,10
187,Leo Baptistão,BRA,FW,RCD Espanyol Barcelona,La Liga,24,1992,29.7,486,746,65.1,7481,1828,269,374,71.9,183,258,70.9,27,66,40.9,3,3.7,-0.7,24,31,23,5,53
188,Sekou Baradji,FRA,MF,Amiens SC,Ligue 1,33,1984,0.1,2,5,40.0,24,0,1,3,33.3,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,0
189,Antonin Barak,CZE,MF,Udinese Calcio,Serie A,22,1994,30.1,912,1158,78.8,15784,4691,428,507,84.4,378,441,85.7,97,174,55.7,3,3.0,0.0,28,96,30,5,130
190,Andrea Barberis,ITA,MF,FC Crotone,Serie A,23,1993,33.7,807,1130,71.4,14272,4520,364,451,80.7,318,414,76.8,97,204,47.5,1,2.1,-1.1,30,68,12,6,77
191,Mariano Barbosa,ARG,GK,Villarreal CF,La Liga,33,1984,12.5,162,253,64.0,4802,3052,29,29,100.0,82,83,98.8,51,141,36.2,0,0.0,0.0,0,1,0,0,0
192,Enis Bardhi,MKD,MF,Levante UD,La Liga,22,1995,17.6,507,661,76.7,9740,2925,230,275,83.6,190,232,81.9,82,142,57.7,1,1.4,-0.4,27,69,12,1,64
193,Phil Bardsley,SCO,DF,Burnley FC,Premier League,32,1985,12.5,390,579,67.4,7492,3803,161,188,85.6,170,247,68.8,54,128,42.2,0,0.8,-0.8,9,53,14,10,45
194,Nicolò Barella,ITA,MF,Cagliari Calcio,Serie A,20,1997,32.8,1225,1631,75.1,23422,6555,531,629,84.4,471,587,80.2,194,347,55.9,2,2.2,-0.2,31,145,37,7,144
195,Philipp Bargfrede,DEU,MF,SV Werder Bremen,Bundesliga,28,1989,20.7,768,967,79.4,15876,4793,239,286,83.6,400,468,85.5,121,181,66.9,1,0.7,+0.3,6,80,4,0,89
196,Ross Barkley,ENG,MF,Chelsea FC,Premier League,23,1993,1.4,38,51,74.5,620,130,20,25,80.0,10,15,66.7,6,9,66.7,0,0.1,-0.1,2,2,2,1,3
197,Aymen Barkok,MAR,MF,Eintracht Frankfurt,Bundesliga,19,1998,3.5,89,119,74.8,1507,213,44,56,78.6,30,35,85.7,11,20,55.0,1,0.6,+0.4,7,5,6,1,7
198,Ashley Barnes,ENG,FW,Burnley FC,Premier League,27,1989,24.1,306,509,60.1,4462,1026,166,249,66.7,110,165,66.7,14,54,25.9,0,1.7,-1.7,18,14,10,3,27
