Rk,Player,Nation,Pos,Squad,Comp,Age,Born,Min/90,SCA,SCA/90,PassLiveSh,PassDeadSh,DribSh,ShSh,FldSh,DefSh,GCA,GCA/90,PassLiveG,PassDeadG,DribG,ShG,FldG,DefG
1,Patrick van Aanholt,NLD,DF,Crystal Palace,Premier League,26,1990,24.3,41,1.69,23,11,4,1,1,1,3,0.12,2,0,1,0,0,0
2,Rolando Aarons,ENG,FW,Newcastle United,Premier League,21,1995,1.5,1,0.65,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
3,Rolando Aarons,ENG,MF,Hellas Verona,Serie A,21,1995,5.7,3,0.52,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0
4,Ignazio Abate,ITA,DF,AC Milan,Serie A,30,1986,11.7,26,2.22,22,2,0,2,0,0,4,0.34,3,0,0,1,0,0
5,Aymen Abdennour,TUN,DF,Olympique Marseille,Ligue 1,27,1989,5.6,1,0.18,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
6,Aly Abeid,MRT,DF,Levante UD,La Liga,19,1997,0.8,3,3.46,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0
7,Mehdi Abeid,DZA,MF,Dijon FCO,Ligue 1,24,1992,13.1,15,1.15,11,1,0,2,0,1,1,0.08,1,0,0,0,0,0
8,David Abraham,ARG,DF,Eintracht Frankfurt,Bundesliga,31,1986,25.6,16,0.63,12,1,0,3,0,0,2,0.08,1,0,0,1,0,0
9,Tammy Abraham,ENG,FW,Swansea City,Premier League,19,1997,19.2,32,1.67,20,0,6,3,2,1,2,0.10,1,0,0,1,0,0
10,Amir Abrashi,ALB,MF,SC Freiburg,Bundesliga,27,1990,9.4,12,1.27,10,0,0,0,2,0,1,0.11,1,0,0,0,0,0
11,Francesco Acerbi,ITA,DF,US Sassuolo,Serie A,29,1988,38.0,28,0.74,25,0,0,0,2,1,0,0.00,0,0,0,0,0,0
12,Afriyie Acquah,GHA,MF,Torino FC,Serie A,25,1992,10.6,15,1.45,11,0,1,1,2,0,0,0.00,0,0,0,0,0,0
13,Charlie Adam,SCO,MF,Stoke City,Premier League,31,1985,4.6,20,4.39,9,3,2,2,3,1,1,0.22,1,0,0,0,0,0
14,Antonio Adán,ESP,GK,Real Betis Balompié,La Liga,30,1987,30.0,4,0.13,4,0,0,0,0,0,1,0.03,1,0,0,0,0,0
15,Aday Benítez,ESP,DF,Girona FC,La Liga,29,1987,20.4,51,2.51,39,2,2,3,5,0,3,0.15,3,0,0,0,0,0
16,Khaled Adénon,BEN,DF,Amiens SC,Ligue 1,32,1985,32.5,7,0.22,4,1,0,0,1,1,1,0.03,1,0,0,0,0,0
17,Claud Adjapong,ITA,DF,US Sassuolo,Serie A,19,1998,13.6,23,1.70,16,0,2,2,2,1,3,0.22,1,0,0,1,1,0
18,René Adler,DEU,GK,1.FSV Mainz 05,Bundesliga,32,1985,14.0,2,0.14,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
19,Ali Adnan,IRQ,DF,Udinese Calcio,Serie A,23,1993,18.6,33,1.78,24,8,0,0,1,0,5,0.27,4,0,0,0,1,0
20,Adrián,ESP,GK,West Ham United,Premier League,30,1987,19.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
21,Aritz Aduriz,ESP,FW,Athletic Bilbao,La Liga,36,1981,23.9,32,1.34,18,1,3,4,5,1,2,0.08,2,0,0,0,0,0
22,Ibrahim Afellay,NLD,MF,Stoke City,Premier League,31,1986,1.8,1,0.54,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
23,Benik Afobe,COD,FW,AFC Bournemouth,Premier League,24,1993,6.8,8,1.34,5,0,1,1,1,0,1,0.17,0,0,0,0,1,0
24,Martín Aguirregabiria,ESP,DF,Deportivo Alavés,La Liga,21,1996,20.3,21,1.03,16,4,1,0,0,0,4,0.20,4,0,0,0,0,0
25,Imanol Agirretxe,ESP,FW,Real Sociedad,La Liga,30,1987,2.6,3,1.21,1,0,0,1,1,0,2,0.81,0,0,0,1,1,0
26,Sergio Agüero,ARG,FW,Manchester City,Premier League,29,1988,21.8,76,3.48,57,0,7,7,3,2,11,0.50,9,0,1,0,0,1
27,Ruben Aguilar,FRA,DF,Montpellier HSC,Ligue 1,24,1993,27.3,60,2.20,45,7,1,3,3,1,6,0.22,5,0,0,1,0,0
28,Matías Aguirregaray,URY,DF,UD Las Palmas,La Liga,28,1989,12.8,18,1.40,16,0,0,1,1,0,1,0.08,0,0,0,1,0,0
29,Jean-Eudes Aholou,CIV,MF,RC Strasbourg Alsace,Ligue 1,23,1994,33.4,32,0.96,24,0,0,5,3,0,7,0.21,4,0,0,1,2,0
30,Aílton,BRA,DF,VfB Stuttgart,Bundesliga,22,1995,1.2,2,1.71,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
31,Youssef Aït Bennasser,MAR,MF,SM Caen,Ligue 1,21,1996,22.8,50,2.19,40,1,2,1,5,1,1,0.04,1,0,0,0,0,0
32,Arlind Ajeti,ALB,DF,FC Crotone,Serie A,23,1993,14.1,11,0.78,7,0,0,1,1,2,2,0.14,1,0,0,1,0,0
33,Manuel Akanji,CHE,DF,Borussia Dortmund,Bundesliga,22,1995,10.0,6,0.60,4,0,1,0,0,1,1,0.10,1,0,0,0,0,0
34,Nathan Aké,NLD,DF,AFC Bournemouth,Premier League,22,1995,37.3,21,0.56,17,0,1,0,2,1,4,0.11,4,0,0,0,0,0
35,Ager Aketxe,ESP,MF,Athletic Bilbao,La Liga,23,1993,0.5,3,7.94,3,0,0,0,0,0,1,2.65,1,0,0,0,0,0
36,Chadrac Akolo,COD,FW,VfB Stuttgart,Bundesliga,22,1995,12.2,28,2.28,22,0,1,3,1,1,2,0.16,0,0,0,1,1,0
37,Kevin Akpoguma,NGA,DF,TSG 1899 Hoffenheim,Bundesliga,22,1995,18.8,14,0.75,14,0,0,0,0,0,1,0.05,1,0,0,0,0,0
38,David Alaba,AUT,DF,Bayern Munich,Bundesliga,25,1992,17.2,42,2.44,35,4,1,2,0,0,3,0.17,3,0,0,0,0,0
39,Lucas Alario,ARG,FW,Bayer 04 Leverkusen,Bundesliga,24,1992,17.2,38,2.22,25,0,5,1,5,2,7,0.41,4,0,1,0,1,1
