Rk,Player,Nation,Pos,Squad,Comp,Age,Born,Min/90,SCA,SCA/90,PassLiveSh,PassDeadSh,DribSh,ShSh,FldSh,DefSh,GCA,GCA/90,PassLiveG,PassDeadG,DribG,ShG,FldG,DefG
40,David Alba,ESP,DF,Getafe CF,La Liga,18,1999,0.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
41,Jordi Alba,ESP,DF,FC Barcelona,La Liga,28,1989,30.5,57,1.87,53,0,0,2,1,1,12,0.39,10,0,0,2,0,0
42,Raúl Albentosa,ESP,DF,Deportivo de La Coruña,La Liga,28,1988,19.4,7,0.36,4,0,0,2,1,0,0,0.00,0,0,0,0,0,0
43,Luis Alberto,ESP,MF,SS Lazio,Serie A,24,1992,29.7,163,5.48,99,49,9,3,2,1,26,0.87,14,8,3,0,1,0
44,Raúl Albiol,ESP,DF,SSC Napoli,Serie A,31,1985,30.5,24,0.79,22,0,0,2,0,0,2,0.07,1,0,0,1,0,0
45,Miiko Albornoz,CHL,DF,Hannover 96,Bundesliga,26,1990,7.8,15,1.93,12,0,0,1,2,0,3,0.39,3,0,0,0,0,0
46,Marc Albrighton,ENG,MF,Leicester City,Premier League,27,1989,28.2,65,2.31,47,14,2,1,1,0,13,0.46,12,1,0,0,0,0
47,Paco Alcácer,ESP,FW,FC Barcelona,La Liga,23,1993,7.8,17,2.21,13,0,0,3,1,0,6,0.78,3,0,0,2,1,0
48,Pedro Alcalá,ESP,DF,Girona FC,La Liga,28,1989,7.6,4,0.52,3,0,0,0,1,0,0,0.00,0,0,0,0,0,0
49,Thiago,ESP,MF,Bayern Munich,Bundesliga,26,1991,13.9,54,3.91,47,2,1,0,2,2,3,0.22,3,0,0,0,0,0
50,David Alcibiade,FRA,DF,FC Nantes,Ligue 1,25,1991,2.3,2,0.87,2,0,0,0,0,0,1,0.43,1,0,0,0,0,0
51,Toby Alderweireld,BEL,DF,Tottenham Hotspur,Premier League,28,1989,13.1,17,1.30,13,0,2,1,1,0,0,0.00,0,0,0,0,0,0
52,Aldo One,CMR,DF,Deportivo de La Coruña,La Liga,22,1995,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
53,Alex Alegría,ESP,FW,Levante UD,La Liga,24,1992,6.9,10,1.42,6,0,0,0,4,0,2,0.28,1,0,0,0,1,0
54,Iván Alejo,ESP,FW,SD Eibar,La Liga,22,1995,12.5,29,2.36,23,0,2,0,4,0,3,0.24,3,0,0,0,0,0
55,Alexander Szymanowski,ARG,FW,CD Leganés,La Liga,28,1988,11.7,27,2.28,20,1,1,2,3,0,3,0.25,2,0,0,0,1,0
56,Trent Alexander-Arnold,ENG,DF,Liverpool FC,Premier League,18,1998,17.5,39,2.23,29,7,1,2,0,0,2,0.11,2,0,0,0,0,0
57,Alexis Ruano,ESP,DF,Deportivo Alavés,La Liga,31,1985,24.3,13,0.54,11,1,0,1,0,0,1,0.04,1,0,0,0,0,0
58,Alisson,BRA,GK,AS Roma,Serie A,24,1992,37.0,5,0.14,4,1,0,0,0,0,1,0.03,1,0,0,0,0,0
59,Allan,BRA,MF,SSC Napoli,Serie A,26,1991,31.7,97,3.05,74,1,6,3,7,6,15,0.47,12,0,0,0,1,2
60,Joe Allen,WAL,MF,Stoke City,Premier League,27,1990,34.9,70,2.01,54,5,1,1,3,6,11,0.32,6,1,0,0,2,2
61,Dele Alli,ENG,MF,Tottenham Hotspur,Premier League,21,1996,32.9,129,3.92,94,1,7,7,17,3,20,0.61,14,0,0,4,2,0
62,José Alonso Lara,ESP,FW,Sevilla FC,La Liga,17,2000,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
63,Júnior Alonso,PRY,DF,LOSC Lille,Ligue 1,24,1993,30.9,21,0.68,19,2,0,0,0,0,2,0.06,2,0,0,0,0,0
64,Marcos Alonso,ESP,DF,Chelsea FC,Premier League,26,1990,31.7,75,2.36,60,3,3,6,2,1,5,0.16,5,0,0,0,0,0
65,Ricardo Álvarez,ARG,MF,UC Sampdoria,Serie A,29,1988,3.0,13,4.55,7,3,0,2,0,1,1,0.35,0,0,0,0,0,1
66,Sergio Álvarez,ESP,GK,Celta de Vigo,La Liga,30,1986,16.4,2,0.12,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
67,Yeray Álvarez,ESP,DF,Athletic Bilbao,La Liga,22,1995,7.5,9,1.20,7,1,0,0,1,0,1,0.13,1,0,0,0,0,0
68,Dani Alves,BRA,DF,Paris Saint-Germain,Ligue 1,34,1983,22.9,84,3.67,72,4,0,7,1,0,12,0.52,12,0,0,0,0,0
69,Ibrahim Amadou,FRA,MF,LOSC Lille,Ligue 1,24,1993,26.7,22,0.82,19,0,0,1,2,0,0,0.00,0,0,0,0,0,0
70,Eloi Amagat,ESP,FW,Girona FC,La Liga,32,1985,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
71,Morgan Amalfitano,FRA,MF,Stade Rennais FC,Ligue 1,32,1985,8.3,15,1.81,12,0,0,3,0,0,2,0.24,1,0,0,1,0,0
72,Romain Amalfitano,FRA,MF,Dijon FCO,Ligue 1,27,1989,30.0,57,1.90,44,3,1,1,4,4,5,0.17,4,1,0,0,0,0
73,Daniel Amartey,GHA,DF,Leicester City,Premier League,22,1994,5.4,1,0.18,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
74,Jordi Amat,ESP,DF,Real Betis Balompié,La Liga,25,1992,22.7,17,0.75,15,0,1,1,0,0,1,0.04,1,0,0,0,0,0
75,Amath Ndiaye,SEN,MF,Getafe CF,La Liga,21,1996,31.5,55,1.72,34,0,9,3,8,1,4,0.12,2,0,1,1,0,0
76,Jordan Amavi,FRA,DF,Olympique Marseille,Ligue 1,23,1994,24.4,46,1.89,32,1,5,5,2,1,9,0.37,7,1,0,1,0,0
77,Stephan Ambrosius,DEU,DF,Hamburger SV,Bundesliga,18,1998,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
78,Kelvin Amian,FRA,DF,FC Toulouse,Ligue 1,19,1998,35.0,27,0.77,20,5,2,0,0,0,3,0.09,2,0,1,0,0,0
79,Nadiem Amiri,DEU,MF,TSG 1899 Hoffenheim,Bundesliga,20,1996,19.4,66,3.41,45,7,6,6,2,0,5,0.26,5,0,0,0,0,0
80,Ethan Ampadu,WAL,DF,Chelsea FC,Premier League,16,2000,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
81,Nordin Amrabat,MAR,FW,Watford FC,Premier League,30,1987,2.2,4,1.82,3,0,0,0,1,0,0,0.00,0,0,0,0,0,0
82,Nordin Amrabat,MAR,FW,CD Leganés,La Liga,30,1987,18.0,52,2.89,34,1,9,3,5,0,8,0.44,5,1,2,0,0,0
83,Jon Ander Serantes,ESP,GK,CD Leganés,La Liga,27,1989,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
84,Joachim Andersen,DNK,DF,UC Sampdoria,Serie A,21,1996,6.1,4,0.66,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0
85,Felipe Anderson,BRA,MF,SS Lazio,Serie A,24,1993,12.9,69,5.40,47,10,10,2,0,0,13,1.02,11,1,1,0,0,0
86,Florin Andone,ROU,FW,Deportivo de La Coruña,La Liga,24,1993,18.2,22,1.21,15,0,0,5,2,0,5,0.28,3,0,0,1,1,0
87,Nícolas,BRA,GK,Hellas Verona,Serie A,29,1988,36.0,7,0.19,4,3,0,0,0,0,1,0.03,1,0,0,0,0,0
88,Benjamin André,FRA,MF,Stade Rennais FC,Ligue 1,26,1990,33.5,67,2.00,61,0,2,2,1,1,6,0.18,6,0,0,0,0,0
89,Marco Andreolli,ITA,DF,Cagliari Calcio,Serie A,31,1986,20.3,1,0.05,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
90,Yoann Andreu,FRA,DF,SCO Angers,Ligue 1,28,1989,23.0,38,1.65,30,3,2,0,1,2,4,0.17,3,0,0,0,1,0
91,Miguel Ángel Guerrero,ESP,FW,CD Leganés,La Liga,27,1990,16.1,26,1.63,19,0,2,4,1,0,6,0.38,3,0,0,2,1,0
92,Miguel Ángel Moyá,ESP,GK,Real Sociedad,La Liga,33,1984,8.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
93,Miguel Rubio,ESP,DF,Getafe CF,La Liga,19,1998,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
94,José Ángel,ESP,DF,SD Eibar,La Liga,27,1989,26.9,64,2.37,32,22,4,2,2,2,11,0.41,5,4,1,1,0,0
95,Gabriele Angella,ITA,DF,Udinese Calcio,Serie A,28,1989,9.9,11,1.11,9,0,0,0,1,1,0,0.00,0,0,0,0,0,0
96,Cristian Ansaldi,ARG,DF,Torino FC,Serie A,30,1986,20.8,51,2.46,30,1,10,3,4,3,7,0.34,5,0,0,1,1,0
97,Luca Antei,ITA,DF,Benevento Calcio,Serie A,25,1992,6.6,2,0.30,1,0,0,1,0,0,0,0.00,0,0,0,0,0,0
98,Mirco Antenucci,ITA,FW,SPAL,Serie A,32,1984,28.6,66,2.31,45,0,5,7,8,1,11,0.38,7,0,0,3,1,0
99,Waldemar Anton,DEU,DF,Hannover 96,Bundesliga,21,1996,25.3,11,0.43,9,0,0,2,0,0,0,0.00,0,0,0,0,0,0
100,Luca Antonelli,ITA,DF,AC Milan,Serie A,30,1987,1.6,1,0.65,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
101,Michail Antonio,ENG,FW,West Ham United,Premier League,27,1990,15.0,31,2.06,18,1,3,1,8,0,3,0.20,0,0,1,1,1,0
102,Mirko Antonucci,ITA,FW,AS Roma,Serie A,18,1999,0.3,2,6.43,2,0,0,0,0,0,1,3.21,1,0,0,0,0,0
103,Vitorino Antunes,PRT,DF,Getafe CF,La Liga,30,1987,31.1,52,1.67,27,20,2,1,0,2,3,0.10,2,1,0,0,0,0
104,Dennis Aogo,DEU,MF,VfB Stuttgart,Bundesliga,30,1987,21.7,40,1.84,26,13,0,1,0,0,6,0.28,2,3,0,1,0,0
105,Houssem Aouar,FRA,MF,Olympique Lyon,Ligue 1,19,1998,27.0,98,3.62,72,1,6,6,9,4,12,0.44,10,0,0,2,0,0
106,Alberto Aquilani,ITA,MF,UD Las Palmas,La Liga,33,1984,14.4,21,1.46,20,0,0,0,1,0,0,0.00,0,0,0,0,0,0
107,Mauro Arambarri,URY,MF,Getafe CF,La Liga,21,1995,23.6,17,0.72,11,0,0,2,2,2,2,0.08,1,0,0,1,0,0
108,Guilherme Arana,BRA,DF,Sevilla FC,La Liga,20,1997,2.1,2,0.94,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
109,Charles Aránguiz,CHL,MF,Bayer 04 Leverkusen,Bundesliga,28,1989,25.6,59,2.30,49,4,0,2,1,3,6,0.23,4,1,0,0,0,1
110,Luiz Araújo,BRA,FW,LOSC Lille,Ligue 1,21,1996,22.4,52,2.32,38,2,5,5,2,0,7,0.31,6,0,0,0,1,0
111,Sergio Araujo,ARG,FW,UD Las Palmas,La Liga,25,1992,0.4,2,4.86,0,0,2,0,0,0,0,0.00,0,0,0,0,0,0
112,Anaitz Arbilla,ESP,DF,SD Eibar,La Liga,30,1987,26.8,32,1.19,24,3,1,2,0,2,5,0.19,4,0,0,1,0,0
113,Alphonse Areola,FRA,GK,Paris Saint-Germain,Ligue 1,24,1993,34.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
114,Scott Arfield,CAN,FW,Burnley FC,Premier League,28,1988,14.8,19,1.28,12,0,2,2,3,0,3,0.20,1,0,1,0,1,0
115,Samuel Armenteros,SWE,FW,Benevento Calcio,Serie A,27,1990,4.8,3,0.63,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0
116,Yoël Armougom,FRA,MF,SM Caen,Ligue 1,19,1998,1.5,1,0.66,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
117,José Manuel Arnáiz,ESP,MF,FC Barcelona,La Liga,22,1995,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
118,Marko Arnautovic,AUT,FW,West Ham United,Premier League,28,1989,25.7,63,2.45,42,2,9,5,5,0,12,0.47,7,0,2,3,0,0
119,Maximilian Arnold,DEU,MF,VfL Wolfsburg,Bundesliga,23,1994,27.3,72,2.64,46,19,1,1,4,1,3,0.11,2,1,0,0,0,0
120,Fiete Arp,DEU,FW,Hamburger SV,Bundesliga,17,2000,9.4,13,1.38,5,0,4,1,1,2,1,0.11,0,0,1,0,0,0
121,Alejandro Arribas,ESP,DF,Deportivo de La Coruña,La Liga,28,1989,3.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
122,Sergio Arribas,ESP,FW,CD Leganés,La Liga,22,1995,0.3,,,,,,,,,,,,,,,,
123,Kepa,ESP,GK,Athletic Bilbao,La Liga,22,1994,30.0,2,0.07,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
124,Harry Arter,IRL,MF,AFC Bournemouth,Premier League,27,1989,10.7,17,1.59,13,2,0,0,0,2,1,0.09,0,0,0,0,0,1
125,Aythami Artiles,ESP,DF,UD Las Palmas,La Liga,31,1986,2.1,1,0.49,1,0,0,0,0,0,1,0.49,1,0,0,0,0,0
126,Kwadwo Asamoah,GHA,DF,Juventus FC,Serie A,28,1988,17.4,31,1.78,27,1,1,0,2,0,4,0.23,3,0,1,0,0,0
127,Takuma Asano,JPN,FW,VfB Stuttgart,Bundesliga,22,1994,8.0,19,2.38,16,0,2,0,0,1,1,0.13,1,0,0,0,0,0
128,Santiago Ascacíbar,ARG,MF,VfB Stuttgart,Bundesliga,20,1997,26.5,25,0.94,17,0,1,2,4,1,1,0.04,0,0,0,1,0,0
129,Sergio Asenjo,ESP,GK,Villarreal CF,La Liga,28,1989,23.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
130,Marco Asensio,ESP,FW,Real Madrid,La Liga,21,1996,20.5,100,4.89,80,9,4,4,3,0,13,0.64,13,0,0,0,0,0
131,Iago Aspas,ESP,FW,Celta de Vigo,La Liga,29,1987,32.6,114,3.49,89,5,12,3,4,1,15,0.46,11,0,4,0,0,0
132,Benoît Assou-Ekotto,CMR,DF,FC Metz,Ligue 1,33,1984,11.7,15,1.28,11,3,1,0,0,0,0,0.00,0,0,0,0,0,0
133,Simon Asta,DEU,MF,FC Augsburg,Bundesliga,16,2001,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
134,Davide Astori,ITA,DF,ACF Fiorentina,Serie A,30,1987,25.0,19,0.76,18,0,0,0,0,1,1,0.04,1,0,0,0,0,0
135,Christian Atsu,GHA,MF,Newcastle United,Premier League,25,1992,19.8,47,2.37,36,1,5,1,4,0,5,0.25,3,0,1,1,0,0
136,Pierre-Emerick Aubameyang,GAB,FW,Arsenal FC,Premier League,28,1989,11.7,25,2.13,21,0,1,2,1,0,8,0.68,6,0,0,1,1,0
137,Pierre-Emerick Aubameyang,GAB,FW,Borussia Dortmund,Bundesliga,28,1989,15.7,34,2.16,23,0,3,6,1,1,10,0.64,4,0,2,3,1,0
138,Jean-Kévin Augustin,FRA,FW,RB Leipzig,Bundesliga,20,1997,14.1,33,2.33,21,0,5,3,4,0,8,0.57,7,0,0,0,1,0
139,Ludwig Augustinsson,SWE,DF,SV Werder Bremen,Bundesliga,23,1994,28.1,56,1.99,38,12,0,5,1,0,2,0.07,0,1,0,1,0,0
140,Yann Aurel Bisseck,DEU,DF,1. FC Köln,Bundesliga,16,2000,1.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
141,Serge Aurier,CIV,DF,Tottenham Hotspur,Premier League,24,1992,15.9,34,2.14,27,1,2,3,1,0,4,0.25,1,0,1,1,1,0
142,Charlie Austin,ENG,FW,Southampton FC,Premier League,28,1989,11.5,19,1.65,13,0,2,3,1,0,2,0.17,1,0,0,1,0,0
143,Danilo Avelar,BRA,DF,Amiens SC,Ligue 1,28,1989,19.2,28,1.46,23,3,0,0,2,0,4,0.21,4,0,0,0,0,0
144,Felipe Avenatti,URY,FW,Bologna FC 1909,Serie A,24,1993,5.2,5,0.97,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0
145,Durel Avounou,COG,MF,SM Caen,Ligue 1,19,1997,7.2,6,0.82,5,0,0,1,0,0,0,0.00,0,0,0,0,0,0
146,Chidozie Awaziem,NGA,DF,FC Nantes,Ligue 1,20,1997,16.8,11,0.66,7,0,1,2,1,0,1,0.06,1,0,0,0,0,0
147,André Ayew,GHA,FW,Swansea City,Premier League,27,1989,10.6,21,1.99,16,1,1,2,1,0,4,0.38,2,0,0,1,1,0
148,André Ayew,GHA,FW,West Ham United,Premier League,27,1989,9.9,13,1.31,7,0,4,0,2,0,4,0.40,3,0,1,0,0,0
149,Jordan Ayew,GHA,FW,Swansea City,Premier League,25,1991,31.7,66,2.08,30,1,13,8,11,3,4,0.13,1,0,1,2,0,0
150,Karim Azamoum,FRA,MF,ESTAC Troyes,Ligue 1,27,1990,25.3,48,1.91,31,9,0,3,0,5,1,0.04,1,0,0,0,0,0
151,César Azpilicueta,ESP,DF,Chelsea FC,Premier League,27,1989,37.0,59,1.59,55,1,0,2,0,1,8,0.22,8,0,0,0,0,0
152,Ludovic Baal,GUF,DF,Stade Rennais FC,Ligue 1,31,1986,12.9,17,1.32,14,1,1,0,0,1,2,0.16,2,0,0,0,0,0
153,Khouma Babacar,SEN,FW,ACF Fiorentina,Serie A,24,1993,5.0,16,3.31,11,0,1,3,1,0,1,0.21,0,0,0,0,1,0
154,Khouma Babacar,SEN,FW,US Sassuolo,Serie A,24,1993,8.3,15,1.81,9,0,2,1,3,0,2,0.24,2,0,0,0,0,0
155,Carlos Bacca,COL,FW,Villarreal CF,La Liga,30,1986,27.5,72,2.58,47,0,19,3,3,0,15,0.54,8,0,7,0,0,0
156,Milan Badelj,HRV,MF,ACF Fiorentina,Serie A,28,1989,26.1,81,3.10,70,0,3,3,2,3,2,0.08,0,0,0,2,0,0
157,Holger Badstuber,DEU,DF,VfB Stuttgart,Bundesliga,28,1989,24.1,4,0.17,3,0,0,0,0,1,0,0.00,0,0,0,0,0,0
158,Dylan Bahamboula,COG,FW,Dijon FCO,Ligue 1,22,1995,0.3,1,3.46,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
159,Farès Bahlouli,FRA,MF,LOSC Lille,Ligue 1,22,1995,3.4,16,4.77,6,7,3,0,0,0,0,0.00,0,0,0,0,0,0
160,Stéphane Bahoken,CMR,FW,RC Strasbourg Alsace,Ligue 1,25,1992,18.5,34,1.84,24,0,1,6,2,1,2,0.11,1,0,1,0,0,0
161,Daniel Baier,DEU,MF,FC Augsburg,Bundesliga,33,1984,28.2,63,2.23,47,3,1,5,6,1,6,0.21,4,1,0,1,0,0
162,Leon Bailey,JAM,FW,Bayer 04 Leverkusen,Bundesliga,19,1997,24.6,110,4.46,62,22,18,5,3,0,11,0.45,6,2,3,0,0,0
163,Eric Bailly,CIV,DF,Manchester United,Premier League,23,1994,11.1,3,0.27,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0
164,Leighton Baines,ENG,DF,Everton FC,Premier League,32,1984,21.2,43,2.03,32,10,1,0,0,0,6,0.28,4,1,1,0,0,0
165,Riad Bajić,BIH,FW,Udinese Calcio,Serie A,23,1994,0.9,4,4.80,3,0,0,1,0,0,0,0.00,0,0,0,0,0,0
166,Marvin Bakalorz,DEU,MF,Hannover 96,Bundesliga,27,1989,22.8,38,1.66,24,0,2,4,6,2,5,0.22,3,0,0,1,0,1
167,Cédric Bakambu,COD,FW,Villarreal CF,La Liga,26,1991,14.0,23,1.63,15,0,2,3,2,1,0,0.00,0,0,0,0,0,0
168,Tiemoué Bakayoko,FRA,MF,Chelsea FC,Premier League,22,1994,23.6,41,1.74,33,0,1,3,1,3,4,0.17,4,0,0,0,0,0
169,Zakaria Bakkali,BEL,FW,Deportivo de La Coruña,La Liga,21,1996,10.2,27,2.68,19,1,4,1,2,0,2,0.20,0,1,0,1,0,0
170,Ridle Baku,DEU,MF,1.FSV Mainz 05,Bundesliga,19,1998,2.6,4,1.54,2,0,1,0,1,0,1,0.38,0,0,1,0,0,0
171,Keita Baldé,SEN,FW,AS Monaco,Ligue 1,22,1995,16.3,35,2.12,22,1,7,2,3,0,7,0.42,5,0,1,1,0,0
172,Sam Baldock,ENG,FW,Brighton & Hove Albion,Premier League,28,1989,0.4,1,2.81,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
173,Gareth Bale,WAL,FW,Real Madrid,La Liga,28,1989,19.9,68,3.39,57,0,4,4,3,0,9,0.45,5,0,1,1,2,0
174,Mikel Balenziaga,ESP,DF,Athletic Bilbao,La Liga,29,1988,17.2,13,0.75,12,0,0,0,1,0,2,0.12,2,0,0,0,0,0
175,Andrija Balic,HRV,MF,Udinese Calcio,Serie A,19,1997,12.0,33,2.76,20,6,4,0,2,1,2,0.17,0,1,0,0,1,0
176,Iván Balliu,ALB,DF,FC Metz,Ligue 1,25,1992,21.7,35,1.61,29,2,1,1,2,0,4,0.18,4,0,0,0,0,0
177,Fodé Ballo-Touré,SEN,DF,LOSC Lille,Ligue 1,20,1997,22.8,23,1.01,18,2,1,0,2,0,0,0.00,0,0,0,0,0,0
178,Florent Balmont,FRA,MF,Dijon FCO,Ligue 1,37,1980,9.6,26,2.73,22,0,1,0,2,1,3,0.32,3,0,0,0,0,0
