Rk,Player,Nation,Pos,Squad,Comp,Age,Born,Min/90,P_Att,P_Live,P_Dead,P_FK,P_TB,P_Press,P_Sw,P_Crs,P_CK,P_InCK,P_OutCK,P_StrCK,P_Ground,P_Low,P_High,P_Left,P_Right,P_Head,P_TI,P_Other,P_Cmp,P_Off,P_Out,P_Int,P_Blocks
55,Alexander Szymanowski,ARG,FW,CD Leganés,La Liga,28,1988,11.7,326,308,18,4,0,63,7,29,10,0,0,0,223,44,59,215,79,27,4,0,220,1,5,10,17
56,Trent Alexander-Arnold,ENG,DF,Liverpool FC,Premier League,18,1998,17.5,1257,1080,177,10,1,255,31,67,11,0,0,0,711,155,391,90,967,39,156,1,917,4,45,33,45
57,Alexis Ruano,ESP,DF,Deportivo Alavés,La Liga,31,1985,24.3,731,603,128,45,0,122,14,4,0,0,0,0,374,80,277,101,445,88,83,4,523,6,30,9,6
58,Alisson,BRA,GK,AS Roma,Serie A,24,1992,37.0,1175,935,240,58,0,124,54,0,0,0,0,0,619,121,435,89,847,5,1,198,959,2,28,4,0
59,Allan,BRA,MF,SSC Napoli,Serie A,26,1991,31.7,1821,1795,26,7,5,311,25,22,4,1,0,2,1373,236,212,167,1577,49,15,9,1558,6,26,39,37
60,Joe Allen,WAL,MF,Stoke City,Premier League,27,1990,34.9,1365,1330,35,12,2,301,18,22,9,2,0,0,988,144,233,238,975,126,1,9,1080,5,27,32,46
61,Dele Alli,ENG,MF,Tottenham Hotspur,Premier League,21,1996,32.9,1256,1220,36,9,7,304,23,23,4,0,0,0,939,152,165,93,1078,48,17,7,972,5,20,33,60
62,José Alonso Lara,ESP,FW,Sevilla FC,La Liga,17,2000,0.1,4,4,0,0,0,0,0,0,0,0,0,0,3,0,1,0,4,0,0,0,3,0,1,0,0
63,Júnior Alonso,PRY,DF,LOSC Lille,Ligue 1,24,1993,30.9,1875,1816,59,33,3,253,54,6,1,0,0,0,1283,128,464,1305,362,139,25,4,1495,4,43,32,24
64,Marcos Alonso,ESP,DF,Chelsea FC,Premier League,26,1990,31.7,1646,1424,222,13,0,312,42,78,0,0,0,0,1027,219,400,1145,183,68,209,4,1277,9,37,36,74
65,Ricardo Álvarez,ARG,MF,UC Sampdoria,Serie A,29,1988,3.0,174,158,16,3,0,27,4,11,10,4,2,2,111,26,37,144,16,7,2,3,131,1,3,6,6
66,Sergio Álvarez,ESP,GK,Celta de Vigo,La Liga,30,1986,16.4,518,397,121,38,0,85,7,0,0,0,0,0,237,28,253,78,394,1,0,32,342,2,22,2,2
