Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def
31,Youssef Aït Bennasser\Youssef-Ait-Bennasser,ma MAR,MF,Caen,fr Ligue 1,21,1996,22.8,50,2.19,40,1,2,1,5,1,1,0.04,1,0,0,0,0,0
32,Arlind Ajeti\Arlind-Ajeti,al ALB,DFMF,Crotone,it Serie A,23,1993,14.1,11,0.78,7,0,0,1,1,2,2,0.14,1,0,0,1,0,0
33,Manuel Akanji\Manuel-Akanji,ch SUI,DF,Dortmund,de Bundesliga,22,1995,10.0,6,0.60,4,0,1,0,0,1,1,0.10,1,0,0,0,0,0
34,Nathan Aké\Nathan-Ake,nl NED,DF,Bournemouth,eng Premier League,22,1995,37.3,21,0.56,17,0,1,0,2,1,4,0.11,4,0,0,0,0,0
35,Ager Aketxe\Ager-Aketxe,es ESP,MF,Athletic Club,es La Liga,23,1993,0.5,3,7.94,3,0,0,0,0,0,1,2.65,1,0,0,0,0,0
36,Chadrac Akolo\Chadrac-Akolo,cd COD,FWMF,Stuttgart,de Bundesliga,22,1995,12.2,28,2.28,22,0,1,3,1,1,2,0.16,0,0,0,1,1,0
37,Kevin Akpoguma\Kevin-Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,22,1995,18.8,14,0.75,14,0,0,0,0,0,1,0.05,1,0,0,0,0,0
38,David Alaba\David-Alaba,at AUT,DF,Bayern Munich,de Bundesliga,25,1992,17.2,42,2.44,35,4,1,2,0,0,3,0.17,3,0,0,0,0,0
39,Lucas Alario\Lucas-Alario,ar ARG,FW,Leverkusen,de Bundesliga,24,1992,17.2,38,2.22,25,0,5,1,5,2,7,0.41,4,0,1,0,1,1
40,David Alba\David-Alba,es ESP,DF,Getafe,es La Liga,18,1999,0.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
41,Jordi Alba\Jordi-Alba,es ESP,DF,Barcelona,es La Liga,28,1989,30.5,57,1.87,53,0,0,2,1,1,12,0.39,10,0,0,2,0,0
42,Raúl Albentosa\Raul-Albentosa,es ESP,DF,La Coruña,es La Liga,28,1988,19.4,7,0.36,4,0,0,2,1,0,0,0.00,0,0,0,0,0,0
43,Luis Alberto\Luis-Alberto,es ESP,MFFW,Lazio,it Serie A,24,1992,29.7,163,5.48,99,49,9,3,2,1,26,0.87,14,8,3,0,1,0
44,Raúl Albiol\Raul-Albiol,es ESP,DF,Napoli,it Serie A,31,1985,30.5,24,0.79,22,0,0,2,0,0,2,0.07,1,0,0,1,0,0
45,Miiko Albornoz\Miiko-Albornoz,cl CHI,DF,Hannover 96,de Bundesliga,26,1990,7.8,15,1.93,12,0,0,1,2,0,3,0.39,3,0,0,0,0,0
46,Marc Albrighton\Marc-Albrighton,eng ENG,MFFW,Leicester City,eng Premier League,27,1989,28.2,65,2.31,47,14,2,1,1,0,13,0.46,12,1,0,0,0,0
47,Paco Alcácer\Paco-Alcacer,es ESP,FWMF,Barcelona,es La Liga,23,1993,7.8,17,2.21,13,0,0,3,1,0,6,0.78,3,0,0,2,1,0
48,Pedro Alcalá\Pedro-Alcala,es ESP,DF,Girona,es La Liga,28,1989,7.6,4,0.52,3,0,0,0,1,0,0,0.00,0,0,0,0,0,0
49,Thiago Alcántara\Thiago-Alcantara,es ESP,MFFW,Bayern Munich,de Bundesliga,26,1991,13.9,54,3.91,47,2,1,0,2,2,3,0.22,3,0,0,0,0,0
50,David Alcibiade\David-Alcibiade,fr FRA,DF,Nantes,fr Ligue 1,25,1991,2.3,2,0.87,2,0,0,0,0,0,1,0.43,1,0,0,0,0,0
51,Toby Alderweireld\Toby-Alderweireld,be BEL,DF,Tottenham,eng Premier League,28,1989,13.1,17,1.30,13,0,2,1,1,0,0,0.00,0,0,0,0,0,0
52,Steve Aldo One\Steve-Aldo-One,cm CMR,DF,La Coruña,es La Liga,22,1995,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
53,Álex Alegría\Alex-Alegria,es ESP,FW,Levante,es La Liga,24,1992,6.9,10,1.42,6,0,0,0,4,0,2,0.28,1,0,0,0,1,0
54,Iván Alejo\Ivan-Alejo,es ESP,FWMF,Eibar,es La Liga,22,1995,12.5,29,2.36,23,0,2,0,4,0,3,0.24,3,0,0,0,0,0
55,Alexander\Alexander,ar ARG,FWMF,Leganés,es La Liga,28,1988,11.7,27,2.28,20,1,1,2,3,0,3,0.25,2,0,0,0,1,0
56,Trent Alexander-Arnold\Trent-Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,18,1998,17.5,39,2.23,29,7,1,2,0,0,2,0.11,2,0,0,0,0,0
57,Alexis\Alexis,es ESP,DF,Alavés,es La Liga,31,1985,24.3,13,0.54,11,1,0,1,0,0,1,0.04,1,0,0,0,0,0
58,Alisson\Alisson,br BRA,GK,Roma,it Serie A,24,1992,37.0,5,0.14,4,1,0,0,0,0,1,0.03,1,0,0,0,0,0
59,Allan\Allan,br BRA,MF,Napoli,it Serie A,26,1991,31.7,97,3.05,74,1,6,3,7,6,15,0.47,12,0,0,0,1,2
60,Joe Allen\Joe-Allen,wal WAL,MF,Stoke City,eng Premier League,27,1990,34.9,70,2.01,54,5,1,1,3,6,11,0.32,6,1,0,0,2,2
61,Dele Alli\Dele-Alli,eng ENG,MFFW,Tottenham,eng Premier League,21,1996,32.9,129,3.92,94,1,7,7,17,3,20,0.61,14,0,0,4,2,0
62,José Alonso Lara\Jose-Alonso-Lara,es ESP,FW,Sevilla,es La Liga,17,2000,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
63,Júnior Alonso\Junior-Alonso,py PAR,DF,Lille,fr Ligue 1,24,1993,30.9,21,0.68,19,2,0,0,0,0,2,0.06,2,0,0,0,0,0
64,Marcos Alonso\Marcos-Alonso,es ESP,DFMF,Chelsea,eng Premier League,26,1990,31.7,75,2.36,60,3,3,6,2,1,5,0.16,5,0,0,0,0,0
65,Ricky Álvarez\Ricky-Alvarez,ar ARG,MFFW,Sampdoria,it Serie A,29,1988,3.0,13,4.55,7,3,0,2,0,1,1,0.35,0,0,0,0,0,1
66,Sergio Álvarez\Sergio-Alvarez,es ESP,GK,Celta Vigo,es La Liga,30,1986,16.4,2,0.12,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
67,Yeray Álvarez\Yeray-Alvarez,es ESP,DF,Athletic Club,es La Liga,22,1995,7.5,9,1.20,7,1,0,0,1,0,1,0.13,1,0,0,0,0,0
68,Dani Alves\Dani-Alves,br BRA,DF,Paris S-G,fr Ligue 1,34,1983,22.9,84,3.67,72,4,0,7,1,0,12,0.52,12,0,0,0,0,0
69,Ibrahim Amadou\Ibrahim-Amadou,fr FRA,MFDF,Lille,fr Ligue 1,24,1993,26.7,22,0.82,19,0,0,1,2,0,0,0.00,0,0,0,0,0,0
70,Eloi Amagat\Eloi-Amagat,es ESP,FWMF,Girona,es La Liga,32,1985,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
71,Morgan Amalfitano\Morgan-Amalfitano,fr FRA,MF,Rennes,fr Ligue 1,32,1985,8.3,15,1.81,12,0,0,3,0,0,2,0.24,1,0,0,1,0,0
72,Romain Amalfitano\Romain-Amalfitano,fr FRA,MF,Dijon,fr Ligue 1,27,1989,30.0,57,1.90,44,3,1,1,4,4,5,0.17,4,1,0,0,0,0
73,Daniel Amartey\Daniel-Amartey,gh GHA,DF,Leicester City,eng Premier League,22,1994,5.4,1,0.18,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
74,Jordi Amat\Jordi-Amat,es ESP,DFMF,Betis,es La Liga,25,1992,22.7,17,0.75,15,0,1,1,0,0,1,0.04,1,0,0,0,0,0
75,Amath\Amath,sn SEN,MFFW,Getafe,es La Liga,21,1996,31.5,55,1.72,34,0,9,3,8,1,4,0.12,2,0,1,1,0,0
76,Jordan Amavi\Jordan-Amavi,fr FRA,DF,Marseille,fr Ligue 1,23,1994,24.4,46,1.89,32,1,5,5,2,1,9,0.37,7,1,0,1,0,0
77,Stephan Ambrosius\Stephan-Ambrosius,de GER,DF,Hamburger SV,de Bundesliga,18,1998,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
78,Kelvin Amian\Kelvin-Amian,fr FRA,DF,Toulouse,fr Ligue 1,19,1998,35.0,27,0.77,20,5,2,0,0,0,3,0.09,2,0,1,0,0,0
79,Nadiem Amiri\Nadiem-Amiri,de GER,MFFW,Hoffenheim,de Bundesliga,20,1996,19.4,66,3.41,45,7,6,6,2,0,5,0.26,5,0,0,0,0,0
80,Ethan Ampadu\Ethan-Ampadu,wal WAL,DF,Chelsea,eng Premier League,16,2000,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
81,Nordin Amrabat\Nordin-Amrabat,ma MAR,FW,Watford,eng Premier League,30,1987,2.2,4,1.82,3,0,0,0,1,0,0,0.00,0,0,0,0,0,0
82,Nordin Amrabat\Nordin-Amrabat,ma MAR,FWMF,Leganés,es La Liga,30,1987,18.0,52,2.89,34,1,9,3,5,0,8,0.44,5,1,2,0,0,0
83,Jon Ander Serantes\Jon-Ander-Serantes,es ESP,GK,Leganés,es La Liga,27,1989,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
84,Joachim Andersen\Joachim-Andersen,dk DEN,DF,Sampdoria,it Serie A,21,1996,6.1,4,0.66,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0
85,Felipe Anderson\Felipe-Anderson,br BRA,MFFW,Lazio,it Serie A,24,1993,12.9,69,5.40,47,10,10,2,0,0,13,1.02,11,1,1,0,0,0
86,Florin Andone\Florin-Andone,ro ROU,FW,La Coruña,es La Liga,24,1993,18.2,22,1.21,15,0,0,5,2,0,5,0.28,3,0,0,1,1,0
