Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog
239,Jan Bednarek\Jan-Bednarek,pl POL,DF,Southampton,eng Premier League,21,1996,4.7,222,25,107,115,7,2,209,0,0,,0,0,129,507,231,5,0,0,2,1,122,120,98.4,2
240,Asmir Begović\Asmir-Begovic,ba BIH,GK,Bournemouth,eng Premier League,30,1987,38.0,1090,1008,1087,4,0,0,801,0,0,,0,0,482,2288,1316,0,0,0,1,0,353,352,99.7,0
241,Valon Behrami\Valon-Behrami,ch SUI,MF,Udinese,it Serie A,32,1985,15.5,709,38,191,442,111,7,695,10,16,62.5,10,1,391,1853,871,28,12,1,5,14,340,314,92.4,13
242,Vid Belec\Vid-Belec,si SVN,GK,Sampdoria,it Serie A,27,1990,2.0,97,87,97,0,0,0,75,0,0,,0,0,52,170,86,0,0,0,0,0,48,48,100.0,0
243,Vid Belec\Vid-Belec,si SVN,GK,Benevento,it Serie A,27,1990,12.4,406,370,406,1,0,0,270,0,0,,0,0,164,940,556,0,0,0,0,0,120,118,98.3,0
244,Ishak Belfodil\Ishak-Belfodil,dz ALG,FW,Werder Bremen,de Bundesliga,25,1992,15.0,628,16,43,274,352,106,616,34,53,64.2,37,3,404,2223,1254,77,23,25,27,34,805,496,61.6,185
245,Stefan Bell\Stefan-Bell,de GER,DF,Mainz 05,de Bundesliga,25,1991,24.2,1181,170,657,556,46,19,1146,2,3,66.7,2,0,612,3543,2043,39,7,0,4,5,567,554,97.7,16
246,Karim Bellarabi\Karim-Bellarabi,de GER,FWMF,Leverkusen,de Bundesliga,27,1990,12.7,732,6,81,321,386,55,698,31,52,59.6,35,1,594,3628,2135,114,28,22,24,34,640,528,82.5,118
247,Héctor Bellerín\Hector-Bellerin,es ESP,DFMF,Arsenal,eng Premier League,22,1995,33.9,2458,119,612,1017,970,112,2257,28,56,50.0,34,4,1609,7694,4429,208,57,20,37,24,1824,1632,89.5,166
248,François Bellugou\Francois-Bellugou,fr FRA,MF,Troyes,fr Ligue 1,30,1987,24.2,1158,55,386,702,140,11,1150,16,24,66.7,20,0,709,3576,1413,42,13,0,9,10,733,685,93.5,30
249,Andrea Belotti\Andrea-Belotti,it ITA,FW,Torino,it Serie A,23,1993,29.8,1038,23,88,479,530,166,1002,27,49,55.1,30,1,691,2856,1433,74,25,20,87,70,1357,772,56.9,300
250,Chaouki Ben Saada\Chaouki-Ben-Saada,tn TUN,FWMF,Troyes,fr Ligue 1,33,1984,3.8,250,7,44,110,122,9,238,13,16,81.3,13,1,199,1152,601,34,8,0,9,15,198,173,87.4,29
251,Wissam Ben Yedder\Wissam-Ben-Yedder,fr FRA,FW,Sevilla,es La Liga,26,1990,18.9,632,3,34,273,363,123,602,18,29,62.1,19,0,484,2160,1120,68,18,22,38,19,803,462,57.5,206
252,Diego Benaglio\Diego-Benaglio,ch SUI,GK,Monaco,fr Ligue 1,33,1983,2.5,56,51,56,0,0,0,41,0,0,,0,0,29,213,128,0,0,0,0,0,17,17,100.0,0
253,Ahmad Benali\Ahmad-Benali,ly LBY,MF,Crotone,it Serie A,25,1992,9.0,477,20,111,262,135,13,452,7,10,70.0,7,0,314,1426,690,41,13,2,10,15,359,290,80.8,41
254,Yohan Benalouane\Yohan-Benalouane,tn TUN,DF,Leicester City,eng Premier League,30,1987,1.0,51,7,20,19,15,1,47,0,0,,0,0,18,92,60,5,1,0,1,0,21,21,100.0,2
255,Marco Benassi\Marco-Benassi,it ITA,MFFW,Fiorentina,it Serie A,22,1994,30.9,1688,35,276,904,618,92,1664,20,33,60.6,20,1,1143,5221,2795,148,61,7,44,31,1332,1157,86.9,225
256,Medhi Benatia\Medhi-Benatia,ma MAR,DF,Juventus,it Serie A,30,1987,19.5,1558,172,792,821,40,15,1538,6,7,85.7,6,1,1116,5366,2375,43,6,0,2,4,1084,1068,98.5,6
257,Lars Bender\Lars-Bender,de GER,DFMF,Leverkusen,de Bundesliga,28,1989,17.7,1182,53,307,632,305,38,1069,13,17,76.5,13,0,667,3371,1888,108,24,4,14,11,762,688,90.3,65
258,Sven Bender\Sven-Bender,de GER,DF,Leverkusen,de Bundesliga,28,1989,26.1,1878,186,917,1013,78,33,1831,8,9,88.9,8,0,1207,7259,3768,94,17,1,5,3,1204,1178,97.8,27
259,László Bénes\Laszlo-Benes,sk SVK,MF,M'Gladbach,de Bundesliga,19,1997,0.4,33,2,7,22,8,0,31,1,3,33.3,2,0,26,78,37,1,2,0,1,0,24,23,95.8,1
260,Nicolas Benezet\Nicolas-Benezet,fr FRA,FWMF,Guingamp,fr Ligue 1,26,1991,18.3,1223,9,128,564,642,72,1124,36,59,61.0,43,0,896,5817,3142,160,55,21,43,40,1066,883,82.8,181
261,Marcel Benger\Marcel-Benger,de GER,MF,M'Gladbach,de Bundesliga,19,1998,0.0,2,0,1,1,0,0,2,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0
262,Walter Benítez\Walter-Benitez,ar ARG,GK,Nice,fr Ligue 1,24,1993,28.0,688,638,687,2,0,0,530,0,0,,0,0,304,1192,641,0,0,0,0,0,262,261,99.6,0
263,Charlison Benschop\Charlison-Benschop,cw CUW,MFFW,Hannover 96,de Bundesliga,27,1989,2.0,80,2,14,35,33,7,77,1,5,20.0,1,0,54,174,79,4,2,0,4,4,76,55,72.4,20
264,Ramy Bensebaini\Ramy-Bensebaini,dz ALG,DF,Rennes,fr Ligue 1,22,1995,26.0,1722,116,657,844,340,28,1561,20,30,66.7,20,1,997,5863,3166,111,33,2,14,6,978,928,94.9,51
