Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog
1,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,eng Premier League,26,1990,24.3,845,1116,75.7,15182,7109,363,411,88.3,377,471,80.0,88,183,48.1,1,1.5,-0.5,17,58,28,7,101
2,Rolando Aarons\Rolando-Aarons,eng ENG,FWMF,Newcastle Utd,eng Premier League,21,1995,1.5,27,41,65.9,408,88,17,22,77.3,8,11,72.7,1,4,25.0,0,0.0,0.0,0,0,1,1,1
3,Rolando Aarons\Rolando-Aarons,eng ENG,MFFW,Hellas Verona,it Serie A,21,1995,5.7,81,115,70.4,1095,304,50,63,79.4,22,34,64.7,3,8,37.5,0,0.2,-0.2,3,5,6,1,9
4,Ignazio Abate\Ignazio-Abate,it ITA,DF,Milan,it Serie A,30,1986,11.7,625,774,80.7,11501,4742,255,280,91.1,294,337,87.2,69,133,51.9,0,0.6,-0.6,11,58,20,8,62
5,Aymen Abdennour\Aymen-Abdennour,tn TUN,DF,Marseille,fr Ligue 1,27,1989,5.6,304,336,90.5,6306,1794,90,99,90.9,166,174,95.4,45,56,80.4,0,0.0,0.0,0,11,0,0,7
6,Aly Abeid\Aly-Abeid,mr MTN,DF,Levante,es La Liga,19,1997,0.8,29,38,76.3,521,188,15,16,93.8,10,11,90.9,4,9,44.4,0,0.2,-0.2,2,0,2,1,2
7,Mehdi Abeid\Mehdi-Abeid,dz ALG,MF,Dijon,fr Ligue 1,24,1992,13.1,519,611,84.9,10250,2390,177,196,90.3,250,281,89.0,81,109,74.3,1,0.2,+0.8,6,48,2,0,47
8,David Abraham\David-Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,31,1986,25.6,1081,1313,82.3,25128,7959,241,275,87.6,588,655,89.8,243,369,65.9,2,0.4,+1.6,6,66,3,2,91
9,Tammy Abraham\Tammy-Abraham,eng ENG,FWMF,Swansea City,eng Premier League,19,1997,19.2,208,309,67.3,3094,683,123,159,77.4,63,95,66.3,13,28,46.4,1,0.7,+0.3,10,19,7,3,19
10,Amir Abrashi\Amir-Abrashi,al ALB,MF,Freiburg,de Bundesliga,27,1990,9.4,260,335,77.6,4482,1183,124,157,79.0,104,124,83.9,26,42,61.9,0,0.5,-0.5,4,20,4,1,30
11,Francesco Acerbi\Francesco-Acerbi,it ITA,DF,Sassuolo,it Serie A,29,1988,38.0,1359,1643,82.7,30660,9085,362,427,84.8,683,760,89.9,301,425,70.8,0,0.8,-0.8,13,104,6,3,97
12,Afriyie Acquah\Afriyie-Acquah,gh GHA,MF,Torino,it Serie A,25,1992,10.6,403,480,84.0,7022,1590,185,208,88.9,172,195,88.2,40,63,63.5,0,0.1,-0.1,3,42,2,0,35
