SquadIn,PlayerIn,NationIn,PosIn,Value,SquadOut,Fee,PlayerOut,PosOut,Relevant,PredRelevant,PredSuccess%
Athletic Bilbao,Yuri Berchiche,ESP,DF,12000000.0,Paris Saint-Germain,24000000.0,Ander Iturraspe,MF,False,False,0.8347883129530069
Athletic Bilbao,Yuri Berchiche,ESP,DF,12000000.0,Paris Saint-Germain,24000000.0,Aritz Aduriz,FW,False,False,0.7275283295645582
Athletic Bilbao,Yuri Berchiche,ESP,DF,12000000.0,Paris Saint-Germain,24000000.0,Enric Saborit,DF,True,True,0.9455167900849876
Athletic Bilbao,Yuri Berchiche,ESP,DF,12000000.0,Paris Saint-Germain,24000000.0,Iñaki Williams,FW,False,False,0.7618073391212724
Athletic Bilbao,Yuri Berchiche,ESP,DF,12000000.0,Paris Saint-Germain,24000000.0,Iñigo Córdoba,FW,False,False,0.8244769160260569
Athletic Bilbao,Yuri Berchiche,ESP,DF,12000000.0,Paris Saint-Germain,24000000.0,Iñigo Lekue,DF,True,True,0.9257081684821572
Athletic Bilbao,Yuri Berchiche,ESP,DF,12000000.0,Paris Saint-Germain,24000000.0,Iñigo Martínez,DF,True,True,0.8812164540967695
Athletic Bilbao,Yuri Berchiche,ESP,DF,12000000.0,Paris Saint-Germain,24000000.0,Kepa,GK,False,False,0.5437238809956905
Athletic Bilbao,Yuri Berchiche,ESP,DF,12000000.0,Paris Saint-Germain,24000000.0,Markel Susaeta,FW,False,False,0.8175177489865163
Athletic Bilbao,Yuri Berchiche,ESP,DF,12000000.0,Paris Saint-Germain,24000000.0,Mikel Balenziaga,DF,True,True,0.9402271689900481
Athletic Bilbao,Yuri Berchiche,ESP,DF,12000000.0,Paris Saint-Germain,24000000.0,Mikel San José,MF,False,False,0.8316548287708682
Athletic Bilbao,Yuri Berchiche,ESP,DF,12000000.0,Paris Saint-Germain,24000000.0,Raúl García,FW,False,False,0.7363081041326597
Athletic Bilbao,Yuri Berchiche,ESP,DF,12000000.0,Paris Saint-Germain,24000000.0,Unai Núñez,DF,True,True,0.8668572872296447
Athletic Bilbao,Yuri Berchiche,ESP,DF,12000000.0,Paris Saint-Germain,24000000.0,Óscar de Marcos,DF,True,True,0.9517704262401134
Athletic Bilbao,Ibai Gómez,ESP,FW,1200000.0,Deportivo Alavés,4000000.0,Ander Iturraspe,MF,False,False,0.7900902961482552
Athletic Bilbao,Ibai Gómez,ESP,FW,1200000.0,Deportivo Alavés,4000000.0,Aritz Aduriz,FW,True,True,0.8547565742372197
Athletic Bilbao,Ibai Gómez,ESP,FW,1200000.0,Deportivo Alavés,4000000.0,Enric Saborit,DF,False,False,0.7493445584997529
Athletic Bilbao,Ibai Gómez,ESP,FW,1200000.0,Deportivo Alavés,4000000.0,Iñaki Williams,FW,True,True,0.9081163228347874
Athletic Bilbao,Ibai Gómez,ESP,FW,1200000.0,Deportivo Alavés,4000000.0,Iñigo Córdoba,FW,True,True,0.8957487132177194
Athletic Bilbao,Ibai Gómez,ESP,FW,1200000.0,Deportivo Alavés,4000000.0,Iñigo Lekue,DF,False,False,0.8182566871669176
Athletic Bilbao,Ibai Gómez,ESP,FW,1200000.0,Deportivo Alavés,4000000.0,Iñigo Martínez,DF,False,False,0.754869102555165
Athletic Bilbao,Ibai Gómez,ESP,FW,1200000.0,Deportivo Alavés,4000000.0,Kepa,GK,False,False,0.5483536687018438
Athletic Bilbao,Ibai Gómez,ESP,FW,1200000.0,Deportivo Alavés,4000000.0,Markel Susaeta,FW,True,True,0.9403070295491598
