Rk,Player,Nation,Pos,Squad,Comp,Age,Born,Min/90,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
1,Ismaël Aaneba,FRA,FW,RC Strasbourg Alsace,Ligue 1,21,1999,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
2,Patrick van Aanholt,NLD,DF,Crystal Palace,Premier League,29,1990,19.7,0,18,6,33.3,0.91,0.30,0.00,0.00,20.3,3,0,0,1.2,1.2,0.07,-1.2,-1.2
3,Issah Abass,GHA,DF,1.FSV Mainz 05,Bundesliga,21,1998,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
4,Yunis Abdelhamid,MAR,DF,Stade Reims,Ligue 1,32,1987,32.1,3,15,5,33.3,0.47,0.16,0.20,0.60,10.2,0,0,0,1.7,1.7,0.11,+1.3,+1.3
5,Sabit Abdulai,GHA,MF,Getafe CF,La Liga,21,1999,0.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
6,Mehdi Abeid,DZA,MF,FC Nantes,Ligue 1,27,1992,14.7,0,20,0,0.0,1.36,0.00,0.00,,22.9,1,0,0,1.0,1.0,0.05,-1.0,-1.0
7,Laurent Abergel,FRA,MF,FC Lorient,Ligue 1,27,1993,32.9,3,30,10,33.3,0.91,0.30,0.10,0.30,25.9,0,0,0,1.3,1.3,0.04,+1.7,+1.7
8,Charles Abi,FRA,FW,AS Saint-Étienne,Ligue 1,20,2000,10.1,3,19,4,21.1,1.87,0.39,0.16,0.75,11.8,0,0,0,2.1,2.1,0.11,+0.9,+0.9
9,Matthis Abline,FRA,FW,Stade Rennais FC,Ligue 1,17,2003,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
10,Pape Abou Cissé,SEN,DF,AS Saint-Étienne,Ligue 1,24,1995,14.0,0,13,3,23.1,0.93,0.21,0.00,0.00,11.3,0,0,0,1.2,1.2,0.09,-1.2,-1.2
11,David Abraham,ARG,DF,Eintracht Frankfurt,Bundesliga,34,1986,13.6,1,9,2,22.2,0.66,0.15,0.11,0.50,16.0,0,0,0,0.7,0.7,0.07,+0.3,+0.3
12,Tammy Abraham,ENG,FW,Chelsea FC,Premier League,22,1997,11.6,6,32,13,40.6,2.77,1.13,0.19,0.46,9.7,0,0,0,6.4,6.4,0.20,-0.4,-0.4
13,Amir Abrashi,ALB,MF,SC Freiburg,Bundesliga,30,1990,0.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
14,Gennaro Acampora,ITA,MF,Spezia Calcio,Serie A,26,1994,4.9,0,9,0,0.0,1.84,0.00,0.00,,25.0,1,0,0,0.3,0.3,0.03,-0.3,-0.3
15,Francesco Acerbi,ITA,DF,SS Lazio,Serie A,32,1988,31.3,0,8,0,0.0,0.26,0.00,0.00,,13.1,0,0,0,1.0,1.0,0.12,-1.0,-1.0
16,Ragnar Ache,DEU,FW,Eintracht Frankfurt,Bundesliga,22,1998,1.1,1,2,1,50.0,1.80,0.90,0.50,1.00,14.7,0,0,0,0.3,0.3,0.13,+0.7,+0.7
17,Marcos Acuña,ARG,DF,Sevilla FC,La Liga,28,1991,25.9,1,18,3,16.7,0.70,0.12,0.06,0.33,20.7,0,0,0,1.1,1.1,0.06,-0.1,-0.1
18,Ché Adams,SCO,FW,Southampton FC,Premier League,24,1996,29.6,9,56,31,55.4,1.89,1.05,0.16,0.29,13.1,0,0,0,8.8,8.8,0.16,+0.2,+0.2
19,Tyler Adams,USA,DF,RB Leipzig,Bundesliga,21,1999,20.6,1,7,4,57.1,0.34,0.19,0.14,0.25,15.4,0,0,0,0.9,0.9,0.13,+0.1,+0.1
20,Sargis Adamyan,ARM,FW,TSG 1899 Hoffenheim,Bundesliga,27,1993,5.3,2,21,6,28.6,3.95,1.13,0.10,0.33,14.6,0,0,0,2.2,2.2,0.10,-0.2,-0.2
21,Tosin Adarabioyo,ENG,DF,Fulham FC,Premier League,22,1997,32.8,0,20,5,25.0,0.61,0.15,0.00,0.00,8.8,0,0,0,1.1,1.1,0.05,-1.1,-1.1
22,Bobby Adekanye,NLD,FW,Cádiz CF,La Liga,21,1999,0.4,0,1,0,0.0,2.50,0.00,0.00,,17.5,0,0,0,0.2,0.2,0.17,-0.2,-0.2
23,Yacine Adli,FRA,MF,FC Girondins Bordeaux,Ligue 1,20,2000,26.9,2,24,9,37.5,0.89,0.33,0.08,0.22,19.9,1,0,0,1.4,1.4,0.06,+0.6,+0.6
24,Andrea Adorante,ITA,FW,Parma Calcio 1913,Serie A,20,2000,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
25,Adrián,ESP,GK,Liverpool FC,Premier League,33,1987,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
