Rk,Player,Nation,Pos,Squad,Comp,Age,Born,Min/90,SCA,SCA/90,PassLiveSh,PassDeadSh,DribSh,ShSh,FldSh,DefSh,GCA,GCA/90,PassLiveG,PassDeadG,DribG,ShG,FldG,DefG
39,Ola Aina,NGA,DF,Fulham FC,Premier League,23,1996,29.6,26,0.88,22,2,0,0,1,1,4,0.14,4,0,0,0,0,0
40,Rayan Aït Nouri,FRA,DF,SCO Angers,Ligue 1,19,2001,2.1,8,3.85,6,0,2,0,0,0,2,0.96,1,0,1,0,0,0
41,Rayan Aït Nouri,FRA,DF,Wolverhampton Wanderers,Premier League,19,2001,15.6,30,1.92,19,3,7,0,1,0,2,0.13,1,0,1,0,0,0
42,Semi Ajayi,NGA,DF,West Bromwich Albion,Premier League,26,1993,30.9,14,0.45,11,0,2,1,0,0,3,0.10,2,0,0,1,0,0
43,Ludovic Ajorque,REU,FW,RC Strasbourg Alsace,Ligue 1,26,1994,33.0,68,2.06,48,0,1,11,8,0,8,0.24,4,0,1,1,2,0
44,Manuel Akanji,CHE,DF,Borussia Dortmund,Bundesliga,25,1995,26.1,15,0.57,10,1,0,2,1,1,1,0.04,1,0,0,0,0,0
45,Carlos Akapo,GNQ,DF,Cádiz CF,La Liga,27,1993,9.6,5,0.52,4,0,1,0,0,0,0,0.00,0,0,0,0,0,0
46,Marley Aké,FRA,FW,Olympique Marseille,Ligue 1,19,2001,1.6,1,0.62,0,0,0,0,1,0,0,0.00,0,0,0,0,0,0
47,Nathan Aké,NLD,DF,Manchester City,Premier League,25,1995,8.9,3,0.34,2,0,0,0,1,0,0,0.00,0,0,0,0,0,0
48,Paul Akouokou,CIV,MF,Real Betis Balompié,La Liga,22,1997,4.2,5,1.19,4,0,0,0,0,1,0,0.00,0,0,0,0,0,0
49,Jean-Daniel Akpa Akpro,CIV,MF,SS Lazio,Serie A,27,1992,11.7,19,1.62,14,0,1,0,1,3,1,0.09,1,0,0,0,0,0
50,Kevin Akpoguma,NGA,DF,TSG 1899 Hoffenheim,Bundesliga,25,1995,13.2,5,0.38,4,1,0,0,0,0,1,0.08,1,0,0,0,0,0
51,David Alaba,AUT,DF,Bayern Munich,Bundesliga,28,1992,29.7,49,1.65,44,1,0,3,0,1,6,0.20,5,1,0,0,0,0
52,Sofiane Alakouch,FRA,DF,Nîmes Olympique,Ligue 1,22,1998,16.7,16,0.96,12,1,1,0,2,0,3,0.18,2,0,0,0,1,0
53,Jony Álamo,ESP,MF,Elche CF,La Liga,18,2001,0.8,1,1.23,1,0,0,0,0,0,1,1.23,1,0,0,0,0,0
54,Lucas Alario,ARG,FW,Bayer 04 Leverkusen,Bundesliga,27,1992,13.8,27,1.95,21,0,2,1,3,0,3,0.22,2,0,0,1,0,0
55,Jordi Alba,ESP,DF,FC Barcelona,La Liga,31,1989,33.6,86,2.56,83,1,1,0,0,1,9,0.27,9,0,0,0,0,0
56,Luis Alberto,ESP,MF,SS Lazio,Serie A,27,1992,29.1,144,4.95,110,24,4,3,2,1,5,0.17,4,0,1,0,0,0
57,Raúl Albiol,ESP,DF,Villarreal CF,La Liga,34,1985,34.6,14,0.40,14,0,0,0,0,0,2,0.06,2,0,0,0,0,0
58,Marc Albrighton,ENG,DF,Leicester City,Premier League,30,1989,19.4,71,3.66,53,5,4,1,2,6,11,0.57,7,2,0,1,0,1
59,Paco Alcácer,ESP,FW,Villarreal CF,La Liga,26,1993,17.2,28,1.63,21,1,2,3,1,0,9,0.52,6,0,1,2,0,0
60,Pedro Alcalá,ESP,DF,Cádiz CF,La Liga,31,1989,10.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
61,Thiago,ESP,MF,Liverpool FC,Premier League,29,1991,20.6,61,2.96,51,2,3,2,1,2,2,0.10,2,0,0,0,0,0
62,Rubén Alcaraz,ESP,MF,Real Valladolid CF,La Liga,29,1991,24.1,22,0.91,20,0,0,2,0,0,2,0.08,2,0,0,0,0,0
63,Omar Alderete,PRY,DF,Hertha BSC,Bundesliga,23,1996,14.4,7,0.48,7,0,0,0,0,0,0,0.00,0,0,0,0,0,0
64,Toby Alderweireld,BEL,DF,Tottenham Hotspur,Premier League,31,1989,24.9,19,0.76,16,0,0,3,0,0,3,0.12,3,0,0,0,0,0
65,Iván Alejo,ESP,MF,Cádiz CF,La Liga,25,1995,9.2,20,2.18,16,1,1,1,1,0,2,0.22,1,0,0,1,0,0
66,Carles Aleñá,ESP,MF,FC Barcelona,La Liga,22,1998,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
67,Carles Aleñá,ESP,MF,Getafe CF,La Liga,22,1998,15.2,57,3.76,29,12,4,6,5,1,2,0.13,2,0,0,0,0,0
68,Rúnar Alex Rúnarsson,ISL,GK,Arsenal FC,Premier League,25,1995,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
69,Trent Alexander-Arnold,ENG,DF,Liverpool FC,Premier League,21,1998,33.7,123,3.65,78,32,7,6,0,0,13,0.39,10,2,0,1,0,0
70,Alfonso González,ESP,MF,Celta de Vigo,La Liga,21,1999,0.4,1,2.65,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
71,Mohamed-Ali Cho,FRA,FW,SCO Angers,Ligue 1,16,2004,3.9,5,1.29,4,0,0,1,0,0,0,0.00,0,0,0,0,0,0
72,Ezgjan Alioski,MKD,DF,Leeds United,Premier League,28,1992,27.3,57,2.08,49,3,0,3,2,0,6,0.22,4,1,0,1,0,0
73,Rachid Alioui,MAR,FW,SCO Angers,Ligue 1,28,1992,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
74,Alisson,BRA,GK,Liverpool FC,Premier League,27,1992,33.0,5,0.15,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0
75,Saturnin Allagbé,BEN,GK,Dijon FCO,Ligue 1,26,1993,12.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
76,Allan,BRA,MF,Everton FC,Premier League,29,1991,22.8,38,1.67,32,0,4,1,1,0,2,0.09,2,0,0,0,0,0
77,Dele Alli,ENG,MF,Tottenham Hotspur,Premier League,24,1996,6.9,22,3.19,18,0,0,1,2,1,3,0.44,2,0,0,1,0,0
78,Miguel Almirón,PRY,MF,Newcastle United,Premier League,26,1994,27.0,63,2.33,47,1,6,3,4,2,4,0.15,3,0,0,1,0,0
79,Marcos Alonso,ESP,DF,Chelsea FC,Premier League,29,1990,10.7,33,3.09,24,2,0,5,1,1,2,0.19,1,0,0,1,0,0
80,Sergio Álvarez,ESP,MF,SD Eibar,La Liga,28,1992,17.4,13,0.75,11,0,0,0,1,1,1,0.06,1,0,0,0,0,0
81,Yeray Álvarez,ESP,DF,Athletic Bilbao,La Liga,25,1995,21.6,12,0.55,11,0,0,1,0,0,0,0.00,0,0,0,0,0,0
82,Bruno Alves,PRT,DF,Parma Calcio 1913,Serie A,38,1981,18.1,7,0.39,6,1,0,0,0,0,0,0.00,0,0,0,0,0,0
83,Steven Alzate,COL,MF,Brighton & Hove Albion,Premier League,21,1998,10.0,25,2.51,20,1,1,3,0,0,1,0.10,1,0,0,0,0,0
84,Ibrahim Amadou,FRA,MF,SCO Angers,Ligue 1,27,1993,16.7,25,1.50,21,0,0,2,0,2,3,0.18,2,0,0,1,0,0
85,Romain Amalfitano,FRA,FW,Dijon FCO,Ligue 1,30,1989,1.3,2,1.55,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
86,Amankwaa Akurugu,GHA,DF,Getafe CF,La Liga,18,2001,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
87,Daniel Amartey,GHA,DF,Leicester City,Premier League,25,1994,8.0,5,0.62,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0
88,Jordan Amavi,FRA,DF,Olympique Marseille,Ligue 1,26,1994,9.0,16,1.77,7,1,1,1,6,0,5,0.55,2,0,0,1,2,0
89,Thierry Ambrose,FRA,FW,FC Metz,Ligue 1,23,1997,8.4,25,2.99,18,1,3,1,2,0,2,0.24,2,0,0,0,0,0
90,Wisdom Amey,ITA,DF,Bologna FC 1909,Serie A,14,2005,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
91,Nadiem Amiri,DEU,MF,Bayer 04 Leverkusen,Bundesliga,23,1996,21.0,71,3.38,48,13,4,6,0,0,11,0.52,8,1,2,0,0,0
92,Ethan Ampadu,WAL,DF,Sheffield United,Premier League,19,2000,23.2,15,0.65,13,1,0,0,1,0,0,0.00,0,0,0,0,0,0
93,Sofyan Amrabat,MAR,MF,ACF Fiorentina,Serie A,23,1996,27.1,34,1.25,31,0,1,2,0,0,2,0.07,1,0,0,1,0,0
94,Jon Ander Garrido,ESP,MF,Cádiz CF,La Liga,30,1989,8.9,10,1.13,7,1,0,0,1,1,2,0.23,1,0,0,0,1,0
95,Joachim Andersen,DNK,DF,Olympique Lyon,Ligue 1,24,1996,2.1,1,0.47,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
96,Joachim Andersen,DNK,DF,Fulham FC,Premier League,24,1996,30.3,26,0.86,24,0,0,1,0,1,2,0.07,2,0,0,0,0,0
97,Djavan Anderson,NLD,DF,SS Lazio,Serie A,25,1995,0.8,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
98,Elliot Anderson,SCO,MF,Newcastle United,Premier League,17,2002,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
99,Felipe Anderson,BRA,FW,West Ham United,Premier League,27,1993,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
100,Sebastian Andersson,SWE,FW,1. FC Köln,Bundesliga,29,1991,12.5,12,0.96,7,0,0,3,1,1,3,0.24,1,0,0,1,1,0
101,Nícolas,BRA,GK,Udinese Calcio,Serie A,32,1988,2.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
102,Benjamin André,FRA,MF,LOSC Lille,Ligue 1,29,1990,32.1,55,1.72,47,0,3,2,3,0,4,0.12,4,0,0,0,0,0
103,Robert Andrich,DEU,MF,1.FC Union Berlin,Bundesliga,25,1994,28.1,55,1.96,42,3,4,1,2,3,8,0.29,6,0,0,0,1,1
104,Victorien Angban,CIV,MF,FC Metz,Ligue 1,23,1996,18.6,26,1.40,25,0,0,0,1,0,2,0.11,2,0,0,0,0,0
105,Ángel Jiménez,ESP,GK,Granada CF,La Liga,18,2002,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
106,Miguel Rubio,ESP,DF,Real Valladolid CF,La Liga,22,1998,1.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
107,José Ángel,ESP,DF,SD Eibar,La Liga,30,1989,10.0,15,1.50,11,3,1,0,0,0,0,0.00,0,0,0,0,0,0
108,Angeliño,ESP,DF,RB Leipzig,Bundesliga,23,1997,24.0,92,3.83,62,15,6,6,3,0,6,0.25,4,1,1,0,0,0
109,Davide Ghislandi,ITA,DF,Atalanta BC,Serie A,19,2001,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
110,Philip Yeboah,GHA,MF,Hellas Verona,Serie A,17,2002,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
111,Cristian Ansaldi,ARG,DF,Torino FC,Serie A,33,1986,21.6,61,2.82,39,13,3,2,1,3,8,0.37,7,0,1,0,0,0
112,Waldemar Anton,DEU,DF,VfB Stuttgart,Bundesliga,24,1996,30.1,28,0.93,22,1,0,1,1,3,5,0.17,4,0,0,0,1,0
113,Josete Miranda,GNQ,MF,Getafe CF,La Liga,22,1998,0.3,1,3.46,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
114,Michail Antonio,ENG,FW,West Ham United,Premier League,30,1990,21.9,65,2.96,34,1,8,7,15,0,11,0.50,5,1,0,2,3,0
115,Valentin Antov,BGR,DF,Bologna FC 1909,Serie A,19,2000,2.6,1,0.39,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
116,Houssem Aouar,FRA,MF,Olympique Lyon,Ligue 1,22,1998,19.8,101,5.10,69,2,11,6,8,5,14,0.71,8,0,1,4,1,0
117,Adil Aouchiche,FRA,MF,AS Saint-Étienne,Ligue 1,18,2002,19.2,94,4.89,50,32,1,2,7,2,8,0.42,5,3,0,0,0,0
118,Dennis Appiah,FRA,DF,FC Nantes,Ligue 1,28,1992,17.3,24,1.39,21,0,2,0,0,1,5,0.29,4,0,1,0,0,0
119,Aritz Arambarri,ESP,DF,Real Sociedad,La Liga,22,1998,0.3,1,3.46,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
120,Mauro Arambarri,URY,MF,Getafe CF,La Liga,24,1995,33.1,54,1.63,28,12,3,3,6,2,2,0.06,1,0,0,1,0,0
121,Charles Aránguiz,CHL,MF,Bayer 04 Leverkusen,Bundesliga,31,1989,18.5,31,1.67,29,0,0,0,0,2,1,0.05,1,0,0,0,0,0
122,Luiz Araújo,BRA,MF,LOSC Lille,Ligue 1,24,1996,16.6,50,3.01,33,0,10,4,2,1,5,0.30,4,0,0,1,0,0
123,Néstor Araújo,MEX,DF,Celta de Vigo,La Liga,28,1991,27.0,8,0.30,8,0,0,0,0,0,1,0.04,1,0,0,0,0,0
124,Ronald Araújo,URY,DF,FC Barcelona,La Liga,21,1999,16.8,9,0.54,5,0,1,1,1,1,1,0.06,0,0,0,1,0,0
125,Anaitz Arbilla,ESP,DF,SD Eibar,La Liga,33,1987,31.2,30,0.96,17,4,4,2,0,3,3,0.10,1,0,1,1,0,0
126,Alphonse Areola,FRA,GK,Fulham FC,Premier League,27,1993,36.0,1,0.03,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0
127,Santiago Arias,COL,DF,Bayer 04 Leverkusen,Bundesliga,28,1992,1.0,1,1.00,0,0,0,0,0,1,0,0.00,0,0,0,0,0,0
128,Karim Aribi,DZA,FW,Nîmes Olympique,Ligue 1,26,1994,3.3,7,2.14,4,0,0,2,1,0,0,0.00,0,0,0,0,0,0
129,Unai Arieta,ESP,FW,SD Eibar,La Liga,21,1999,0.5,1,1.91,0,0,0,1,0,0,0,0.00,0,0,0,0,0,0
130,Nicolò Armini,ITA,DF,SS Lazio,Serie A,19,2001,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
131,Stuart Armstrong,SCO,MF,Southampton FC,Premier League,28,1992,30.7,82,2.67,58,3,6,5,6,4,15,0.49,7,0,2,3,2,1
132,Maximilian Arnold,DEU,MF,VfL Wolfsburg,Bundesliga,26,1994,28.7,92,3.20,34,37,2,6,10,3,12,0.42,5,4,1,0,2,0
133,Tolu Arokodare,NGA,FW,1. FC Köln,Bundesliga,19,2000,1.2,1,0.80,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
134,Sergio Arribas,ESP,FW,Real Madrid,La Liga,18,2001,1.5,4,2.67,4,0,0,0,0,0,2,1.33,2,0,0,0,0,0
135,Kepa,ESP,GK,Chelsea FC,Premier League,25,1994,6.5,1,0.15,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
136,Tolgay Arslan,DEU,MF,Udinese Calcio,Serie A,29,1990,20.2,24,1.19,19,1,1,0,3,0,1,0.05,1,0,0,0,0,0
137,Kwadwo Asamoah,GHA,DF,Cagliari Calcio,Serie A,31,1988,2.5,2,0.80,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
138,Santiago Ascacíbar,ARG,MF,Hertha BSC,Bundesliga,23,1997,8.5,13,1.54,9,0,2,1,1,0,1,0.12,0,0,0,1,0,0
139,Sergio Asenjo,ESP,GK,Villarreal CF,La Liga,31,1989,36.0,3,0.08,2,1,0,0,0,0,1,0.03,1,0,0,0,0,0
140,Marco Asensio,ESP,FW,Real Madrid,La Liga,24,1996,20.8,71,3.42,46,10,6,4,3,2,8,0.39,5,1,1,1,0,0
141,Kristoffer Askildsen,NOR,MF,UC Sampdoria,Serie A,19,2001,1.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
142,Iago Aspas,ESP,FW,Celta de Vigo,La Liga,32,1987,31.8,115,3.61,91,3,12,6,3,0,26,0.82,19,1,4,1,1,0
143,Roger Assalé,CIV,FW,Dijon FCO,Ligue 1,26,1993,9.2,11,1.20,6,0,1,1,2,1,4,0.43,2,0,0,1,1,0
144,Miguel Atienza,ESP,MF,SD Eibar,La Liga,21,1999,9.3,7,0.75,5,0,0,1,0,1,0,0.00,0,0,0,0,0,0
145,Youcef Atal,DZA,DF,OGC Nice,Ligue 1,24,1996,10.6,20,1.88,12,1,5,0,2,0,1,0.09,0,0,1,0,0,0
146,Pierre-Emerick Aubameyang,GAB,FW,Arsenal FC,Premier League,31,1989,25.9,45,1.74,36,0,4,2,3,0,7,0.27,6,0,1,0,0,0
147,Emil Audero,ITA,GK,UC Sampdoria,Serie A,23,1997,37.0,5,0.14,3,2,0,0,0,0,1,0.03,1,0,0,0,0,0
148,Tommaso Augello,ITA,DF,UC Sampdoria,Serie A,25,1994,35.7,49,1.37,44,2,2,1,0,0,4,0.11,4,0,0,0,0,0
149,Jean-Kévin Augustin,FRA,FW,FC Nantes,Ligue 1,23,1997,0.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
150,Ludwig Augustinsson,SWE,DF,SV Werder Bremen,Bundesliga,26,1994,21.7,63,2.90,32,26,0,3,1,1,6,0.28,2,4,0,0,0,0
151,Serge Aurier,CIV,DF,Tottenham Hotspur,Premier League,27,1992,17.8,34,1.91,23,0,4,3,1,3,4,0.22,3,0,1,0,0,0
152,Charlie Austin,ENG,FW,West Bromwich Albion,Premier League,31,1989,1.5,1,0.65,0,0,1,0,0,0,0,0.00,0,0,0,0,0,0
153,Chimy Ávila,ARG,MF,CA Osasuna,La Liga,26,1994,2.2,3,1.34,2,0,0,1,0,0,0,0.00,0,0,0,0,0,0
154,Taiwo Awoniyi,NGA,FW,1.FC Union Berlin,Bundesliga,22,1997,15.1,33,2.19,24,0,3,2,3,1,6,0.40,3,0,1,0,2,0
155,Mehmet Aydin,DEU,DF,FC Schalke 04,Bundesliga,18,2002,5.6,4,0.72,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0
156,Jordan Ayew,GHA,FW,Crystal Palace,Premier League,28,1991,23.3,33,1.42,23,0,2,2,5,1,7,0.30,5,0,0,1,1,0
157,Kaan Ayhan,TUR,DF,US Sassuolo,Serie A,25,1994,8.8,3,0.34,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0
158,Luke Ayling,ENG,DF,Leeds United,Premier League,28,1991,37.8,49,1.30,38,2,3,2,3,1,4,0.11,4,0,0,0,0,0
159,Ramon Azeez,NGA,MF,Granada CF,La Liga,27,1992,1.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
160,César Azpilicueta,ESP,DF,Chelsea FC,Premier League,30,1989,24.3,42,1.73,40,1,0,0,0,1,4,0.16,4,0,0,0,0,0
161,Ludovic Baal,GUF,DF,Stade Brest 29,Ligue 1,34,1986,3.3,7,2.13,5,1,0,0,0,1,1,0.30,1,0,0,0,0,0
162,Carlos Bacca,COL,FW,Villarreal CF,La Liga,33,1986,8.7,13,1.49,9,0,3,1,0,0,2,0.23,1,0,1,0,0,0
163,Loïc Badé,FRA,DF,RC Lens,Ligue 1,20,2000,29.0,19,0.66,16,0,2,1,0,0,0,0.00,0,0,0,0,0,0
164,Milan Badelj,HRV,MF,Genoa CFC,Serie A,31,1989,26.8,53,1.98,46,1,0,0,3,3,6,0.22,5,0,0,0,1,0
165,Édgar Badía,ESP,GK,Elche CF,La Liga,28,1992,30.0,2,0.07,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
166,Álex Baena,ESP,MF,Villarreal CF,La Liga,19,2001,1.5,3,1.97,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0
167,Miguel Baeza,ESP,MF,Celta de Vigo,La Liga,20,2000,6.0,14,2.32,8,2,0,2,1,1,0,0.00,0,0,0,0,0,0
168,Stéphane Bahoken,CMR,FW,SCO Angers,Ligue 1,28,1992,18.0,26,1.45,16,0,4,2,2,2,5,0.28,4,0,1,0,0,0
169,Leon Bailey,JAM,FW,Bayer 04 Leverkusen,Bundesliga,22,1997,23.8,98,4.12,56,15,10,7,9,1,14,0.59,7,4,1,1,0,1
170,Eric Bailly,CIV,DF,Manchester United,Premier League,26,1994,10.2,3,0.29,3,0,0,0,0,0,1,0.10,1,0,0,0,0,0
171,Stefan Bajic,FRA,GK,AS Saint-Étienne,Ligue 1,18,2001,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
172,Tiemoué Bakayoko,FRA,MF,SSC Napoli,Serie A,25,1994,21.8,35,1.60,28,0,1,2,3,1,2,0.09,1,0,0,0,1,0
173,Mitchel Bakker,NLD,DF,Paris Saint-Germain,Ligue 1,20,2000,18.8,33,1.75,32,1,0,0,0,0,3,0.16,2,1,0,0,0,0
174,Ridle Baku,DEU,FW,VfL Wolfsburg,Bundesliga,22,1998,29.8,85,2.86,69,1,4,3,5,3,16,0.54,14,0,1,0,0,1
175,Ridle Baku,DEU,DF,1.FSV Mainz 05,Bundesliga,22,1998,2.0,1,0.50,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
176,Dilane Bakwa,FRA,FW,FC Girondins Bordeaux,Ligue 1,17,2002,0.6,5,8.04,2,0,0,1,2,0,1,1.61,0,0,0,1,0,0
