Rk,Player,Nation,Pos,Squad,Comp,Age,Born,Min/90,CrdY,CrdR,2CrdY,FlsCom,FlsRec,Off,Crs,Int,TklW,PKRec,PKCom,OG,Recov,AWon,ALost,AWon%
1395,Dereck Kutesa,CHE,MF,Stade Reims,Ligue 1,22,1997,7.6,2,0,0,13,16,5,14,6,9,0,0,0,28,8,9,47.1
1396,Ahmed Kutucu,TUR,FW,FC Schalke 04,Bundesliga,20,2000,1.2,1,0,0,2,1,0,2,0,0,0,0,0,4,5,6,45.5
1397,Enock Kwateng,FRA,DF,FC Girondins Bordeaux,Ligue 1,23,1997,11.5,4,0,0,15,17,0,14,26,14,0,0,0,112,23,13,63.9
1398,Antonino La Gumina,ITA,FW,UC Sampdoria,Serie A,24,1996,3.8,0,0,0,5,6,2,4,4,3,0,0,0,13,11,30,26.8
1399,Gaëtan Laborde,FRA,FW,Montpellier HSC,Ligue 1,26,1994,36.2,3,0,0,63,30,6,54,16,33,0,0,0,214,130,124,51.2
1400,Alexandre Lacazette,FRA,FW,Arsenal FC,Premier League,29,1991,21.4,3,0,0,37,54,10,4,14,19,1,0,0,99,30,61,33.0
1401,Tom Lacoux,FRA,MF,FC Girondins Bordeaux,Ligue 1,18,2002,5.8,4,1,1,18,1,0,2,12,14,0,0,0,59,4,5,44.4
1402,Maxence Lacroix,FRA,DF,VfL Wolfsburg,Bundesliga,20,2000,28.8,5,0,0,25,27,1,7,76,34,0,0,0,344,71,63,53.0
1403,Alban Lafont,FRA,GK,FC Nantes,Ligue 1,21,1999,38.0,2,0,0,1,8,0,0,0,0,0,1,0,186,0,1,0.0
1404,Víctor Laguardia,ESP,DF,Deportivo Alavés,La Liga,30,1989,29.2,5,1,0,26,12,1,3,26,16,0,0,0,234,65,36,64.4
1405,Konrad Laimer,AUT,DF,RB Leipzig,Bundesliga,23,1997,0.9,0,0,0,2,2,1,1,1,2,0,0,0,12,2,1,66.7
1406,Stefan Lainer,AUT,DF,Borussia Mönchengladbach,Bundesliga,27,1992,30.8,2,0,0,29,21,1,83,40,39,1,2,0,208,40,33,54.8
1407,Diego Lainez,MEX,FW,Real Betis Balompié,La Liga,20,2000,9.6,5,0,0,14,28,2,19,16,9,0,0,0,64,10,8,55.6
1408,Kenny Lala,FRA,DF,RC Strasbourg Alsace,Ligue 1,28,1991,20.4,1,0,0,20,16,1,62,13,15,0,0,0,160,18,22,45.0
1409,Adam Lallana,ENG,MF,Brighton & Hove Albion,Premier League,32,1988,17.7,0,0,0,18,20,3,17,16,26,0,1,0,158,13,32,28.9
1410,Erik Lamela,ARG,FW,Tottenham Hotspur,Premier League,28,1992,8.0,6,1,1,24,10,0,9,4,11,0,0,0,48,5,17,22.7
1411,Sam Lammers,NLD,FW,Atalanta BC,Serie A,23,1997,3.2,0,0,0,5,5,2,1,0,3,0,0,0,19,10,12,45.5
1412,Tariq Lamptey,ENG,DF,Brighton & Hove Albion,Premier League,19,2000,9.8,4,1,1,21,28,1,30,13,10,2,1,0,83,5,12,29.4
1413,Loïck Landre,FRA,DF,Nîmes Olympique,Ligue 1,28,1992,18.1,2,1,0,19,11,0,0,24,15,0,2,0,113,35,27,56.5
1414,Michael Langer,AUT,GK,FC Schalke 04,Bundesliga,35,1985,2.7,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,
1415,Manuel Lanzini,ARG,MF,West Ham United,Premier League,27,1993,6.3,1,0,0,7,10,2,2,6,6,0,0,0,67,1,9,10.0
1416,Gianluca Lapadula,PER,FW,Benevento Calcio,Serie A,30,1990,28.5,2,0,0,48,68,34,17,7,20,3,0,0,112,40,98,29.0
1417,Aymeric Laporte,ESP,DF,Manchester City,Premier League,26,1994,14.9,1,0,0,9,10,2,0,8,6,0,1,0,139,46,18,71.9
1418,Julien Laporte,FRA,DF,FC Lorient,Ligue 1,26,1993,29.5,8,1,1,30,20,0,0,48,40,1,3,0,255,92,39,70.2
1419,Danilo,BRA,DF,Bologna FC 1909,Serie A,36,1984,34.8,8,0,0,39,15,1,3,42,21,0,2,0,335,94,66,58.8
1420,Gautier Larsonneur,FRA,GK,Stade Brest 29,Ligue 1,23,1997,35.0,2,0,0,1,7,0,0,1,0,0,1,0,174,0,0,
1421,Kevin Lasagna,ITA,FW,Udinese Calcio,Serie A,27,1992,12.3,1,0,0,20,11,9,10,7,3,0,0,0,54,19,38,33.3
1422,Kevin Lasagna,ITA,FW,Hellas Verona,Serie A,27,1992,14.1,0,0,0,32,21,23,8,4,1,0,0,0,51,25,62,28.7
1423,Jamaal Lascelles,ENG,DF,Newcastle United,Premier League,26,1993,18.1,4,0,0,17,9,0,1,15,12,0,0,0,142,53,20,72.6
1424,Paul Lasne,FRA,MF,Stade Brest 29,Ligue 1,31,1989,18.7,4,1,0,27,19,1,4,34,36,0,1,0,179,24,21,53.3
1425,Toni Lato,ESP,DF,Valencia CF,La Liga,22,1997,8.1,3,0,0,14,5,1,7,11,6,0,1,1,67,14,8,63.6
1426,Danny Latza,DEU,MF,1.FSV Mainz 05,Bundesliga,30,1989,20.0,8,0,0,32,29,1,16,27,31,0,0,0,228,27,38,41.5
1427,Armand Laurienté,FRA,FW,FC Lorient,Ligue 1,21,1998,18.0,4,0,0,23,38,8,42,14,17,1,0,0,103,7,21,25.0
1428,Vincent Laurini,FRA,DF,Parma Calcio 1913,Serie A,31,1989,9.7,1,0,0,12,18,0,21,15,13,0,0,0,64,7,12,36.8
1429,Lautaro de León,URY,MF,Celta de Vigo,La Liga,19,2001,0.2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0.0
1430,Wesley Lautoa,NCL,MF,Dijon FCO,Ligue 1,32,1987,17.9,4,0,0,41,16,0,2,29,28,0,0,1,163,21,14,60.0
1431,Valentino Lazaro,AUT,DF,Borussia Mönchengladbach,Bundesliga,24,1996,13.8,3,0,0,8,13,3,26,18,9,0,0,0,105,17,20,45.9
1432,Darko Lazovic,SRB,DF,Hellas Verona,Serie A,29,1990,27.8,3,0,0,10,3,10,96,20,20,0,0,0,229,26,26,50.0
1433,Manuel Lazzari,ITA,DF,SS Lazio,Serie A,26,1993,29.0,2,1,0,26,54,2,91,24,15,0,0,1,167,16,22,42.1
1434,Jérémy Le Douaron,FRA,FW,Stade Brest 29,Ligue 1,22,1998,9.1,0,0,0,18,17,1,11,6,6,1,0,0,68,29,25,53.7
1435,Enzo Le Fée,FRA,MF,FC Lorient,Ligue 1,20,2000,20.2,6,0,0,25,41,1,21,27,36,0,0,0,146,2,21,8.7
1436,Vincent Le Goff,FRA,DF,FC Lorient,Ligue 1,30,1989,25.6,0,0,0,16,11,1,57,39,23,0,0,0,177,24,35,40.7
1437,Maxime Le Marchand,FRA,DF,Fulham FC,Premier League,30,1989,1.4,2,0,0,3,1,0,0,0,1,0,0,0,11,4,3,57.1
1438,Robin Le Normand,FRA,DF,Real Sociedad,La Liga,23,1996,30.5,5,1,0,41,19,2,3,34,21,1,1,0,323,140,62,69.3
1439,Damien Le Tallec,FRA,MF,Montpellier HSC,Ligue 1,30,1990,13.6,3,1,0,20,10,0,0,23,7,0,0,1,123,33,23,58.9
1440,James Léa Siliki,CMR,MF,Stade Rennais FC,Ligue 1,24,1996,2.8,0,0,0,3,0,0,5,0,4,0,0,0,23,2,2,50.0
1441,Rafael Leão,PRT,FW,AC Milan,Serie A,21,1999,21.4,5,0,0,28,21,4,35,5,9,1,0,0,79,49,57,46.2
1442,Jean-Louis Leca,FRA,GK,RC Lens,Ligue 1,34,1985,36.8,2,0,0,1,10,0,0,0,0,0,1,0,150,0,0,
