Rk,Player,Nation,Pos,Squad,Comp,Age,Born,Min/90,TklPl,TklW,TkDef3rd,TkMid3rd,TkAtt3rd,TklDr,TklDrAtt,TklDr%,DrPast,PressAtt,PressSucc,Press%,PressDef3rd,PressMid3rd,PressAtt3rd,Blocks,BlocksSh,BlocksSoT,BlocksPass,Int,Tkl+Int,Clr,ErrSh
1,Ismaël Aaneba,FRA,FW,RC Strasbourg Alsace,Ligue 1,21,1999,0.1,0,0,0,0,0,0,1,0.0,1,2,0,0.0,1,1,0,0,0,0,0,0,0,2,0
2,Patrick van Aanholt,NLD,DF,Crystal Palace,Premier League,29,1990,19.7,33,19,21,11,1,15,42,35.7,27,206,69,33.5,130,56,20,31,7,1,24,34,67,40,1
3,Issah Abass,GHA,DF,1.FSV Mainz 05,Bundesliga,21,1998,0.2,0,0,0,0,0,0,0,,0,3,0,0.0,0,1,2,0,0,0,0,0,0,0,0
4,Yunis Abdelhamid,MAR,DF,Stade Reims,Ligue 1,32,1987,32.1,71,45,51,20,0,15,37,40.5,22,379,146,38.5,252,110,17,51,20,2,31,56,127,170,0
5,Sabit Abdulai,GHA,MF,Getafe CF,La Liga,21,1999,0.7,1,0,0,1,0,0,1,0.0,1,16,4,25.0,5,8,3,0,0,0,0,1,2,1,0
6,Mehdi Abeid,DZA,MF,FC Nantes,Ligue 1,27,1992,14.7,37,24,16,18,3,11,25,44.0,14,245,85,34.7,75,133,37,18,2,0,16,23,60,14,1
7,Laurent Abergel,FRA,MF,FC Lorient,Ligue 1,27,1993,32.9,160,108,65,79,16,52,178,29.2,126,958,269,28.1,323,539,96,51,6,1,45,46,206,13,0
8,Charles Abi,FRA,FW,AS Saint-Étienne,Ligue 1,20,2000,10.1,7,4,6,1,0,5,14,35.7,9,224,57,25.4,24,106,94,7,1,0,6,7,14,6,0
9,Matthis Abline,FRA,FW,Stade Rennais FC,Ligue 1,17,2003,0.0,0,0,0,0,0,0,0,,0,1,0,0.0,0,1,0,0,0,0,0,0,0,0,0
10,Pape Abou Cissé,SEN,DF,AS Saint-Étienne,Ligue 1,24,1995,14.0,22,11,16,6,0,9,17,52.9,8,107,45,42.1,73,29,5,16,5,0,11,32,54,142,2
11,David Abraham,ARG,DF,Eintracht Frankfurt,Bundesliga,34,1986,13.6,17,13,10,5,2,8,20,40.0,12,144,64,44.4,81,47,16,26,5,1,21,15,32,33,0
12,Tammy Abraham,ENG,FW,Chelsea FC,Premier League,22,1997,11.6,8,4,3,4,1,1,6,16.7,5,162,38,23.5,13,71,78,9,2,0,7,2,10,17,0
13,Amir Abrashi,ALB,MF,SC Freiburg,Bundesliga,30,1990,0.7,2,1,1,0,1,1,1,100.0,0,13,1,7.7,6,6,1,3,1,0,2,2,4,0,0
