SquadIn,PlayerIn,NationIn,PosIn,Value,SquadOut,Fee,PlayerOut,PosOut,Relevant,PredRelevant,PredSuccess%
FC Barcelona,Antoine Griezmann,FRA,FW,60000000.0,Atlético de Madrid,120000000.0,André Gomes,MF,False,False,0.7623903711151041
FC Barcelona,Antoine Griezmann,FRA,FW,60000000.0,Atlético de Madrid,120000000.0,Arthur,MF,False,False,0.7149379361012429
FC Barcelona,Antoine Griezmann,FRA,FW,60000000.0,Atlético de Madrid,120000000.0,Arturo Vidal,MF,False,False,0.7918041317502402
FC Barcelona,Antoine Griezmann,FRA,FW,60000000.0,Atlético de Madrid,120000000.0,Clément Lenglet,DF,False,False,0.658841857331949
FC Barcelona,Antoine Griezmann,FRA,FW,60000000.0,Atlético de Madrid,120000000.0,Gerard Piqué,DF,False,False,0.7124548620761595
FC Barcelona,Antoine Griezmann,FRA,FW,60000000.0,Atlético de Madrid,120000000.0,Ivan Rakitic,MF,False,False,0.776748559371164
FC Barcelona,Antoine Griezmann,FRA,FW,60000000.0,Atlético de Madrid,120000000.0,Jordi Alba,DF,False,False,0.804638734553466
FC Barcelona,Antoine Griezmann,FRA,FW,60000000.0,Atlético de Madrid,120000000.0,Lionel Messi,FW,True,False,0.8757841744014082
FC Barcelona,Antoine Griezmann,FRA,FW,60000000.0,Atlético de Madrid,120000000.0,Luis Suárez,FW,True,False,0.8814666265475235
FC Barcelona,Antoine Griezmann,FRA,FW,60000000.0,Atlético de Madrid,120000000.0,Marc Cucurella,MF,False,False,0.8032085080376499
FC Barcelona,Antoine Griezmann,FRA,FW,60000000.0,Atlético de Madrid,120000000.0,Marc-André ter Stegen,GK,False,False,0.4910179264847665
FC Barcelona,Antoine Griezmann,FRA,FW,60000000.0,Atlético de Madrid,120000000.0,Nélson Semedo,DF,False,False,0.7000342893286527
FC Barcelona,Antoine Griezmann,FRA,FW,60000000.0,Atlético de Madrid,120000000.0,Ousmane Dembélé,FW,True,False,0.8826421780783138
FC Barcelona,Antoine Griezmann,FRA,FW,60000000.0,Atlético de Madrid,120000000.0,Philippe Coutinho,MF,False,False,0.84296490403313
FC Barcelona,Antoine Griezmann,FRA,FW,60000000.0,Atlético de Madrid,120000000.0,Sergi Roberto,DF,False,False,0.78137090457046
FC Barcelona,Antoine Griezmann,FRA,FW,60000000.0,Atlético de Madrid,120000000.0,Sergio Busquets,MF,False,False,0.729408872619498
FC Barcelona,Neto,BRA,GK,6000000.0,Valencia CF,26000000.0,André Gomes,MF,False,False,0.5156643032381171
FC Barcelona,Neto,BRA,GK,6000000.0,Valencia CF,26000000.0,Arthur,MF,False,False,0.5192072372066509
FC Barcelona,Neto,BRA,GK,6000000.0,Valencia CF,26000000.0,Arturo Vidal,MF,False,False,0.45501374511643006
FC Barcelona,Neto,BRA,GK,6000000.0,Valencia CF,26000000.0,Clément Lenglet,DF,False,False,0.5338717135203294
FC Barcelona,Neto,BRA,GK,6000000.0,Valencia CF,26000000.0,Gerard Piqué,DF,False,False,0.5440212036934939
FC Barcelona,Neto,BRA,GK,6000000.0,Valencia CF,26000000.0,Ivan Rakitic,MF,False,False,0.4815982545698068
FC Barcelona,Neto,BRA,GK,6000000.0,Valencia CF,26000000.0,Jordi Alba,DF,False,False,0.46511752114854066
FC Barcelona,Neto,BRA,GK,6000000.0,Valencia CF,26000000.0,Lionel Messi,FW,False,False,0.3216545576062763
FC Barcelona,Neto,BRA,GK,6000000.0,Valencia CF,26000000.0,Luis Suárez,FW,False,False,0.3687314278373506
FC Barcelona,Neto,BRA,GK,6000000.0,Valencia CF,26000000.0,Marc Cucurella,MF,False,False,0.45720264635522556
FC Barcelona,Neto,BRA,GK,6000000.0,Valencia CF,26000000.0,Marc-André ter Stegen,GK,True,False,0.8805948823173936
FC Barcelona,Neto,BRA,GK,6000000.0,Valencia CF,26000000.0,Nélson Semedo,DF,False,False,0.49998831634463825
FC Barcelona,Neto,BRA,GK,6000000.0,Valencia CF,26000000.0,Ousmane Dembélé,FW,False,False,0.42840902691509386
FC Barcelona,Neto,BRA,GK,6000000.0,Valencia CF,26000000.0,Philippe Coutinho,MF,False,False,0.44642367348339695
FC Barcelona,Neto,BRA,GK,6000000.0,Valencia CF,26000000.0,Sergi Roberto,DF,False,False,0.500035365672137
FC Barcelona,Neto,BRA,GK,6000000.0,Valencia CF,26000000.0,Sergio Busquets,MF,False,False,0.4781081028981094
FC Barcelona,Martin Braithwaite,DNK,FW,9000000.0,CD Leganés,18000000.0,André Gomes,MF,False,False,0.7118195180332684
FC Barcelona,Martin Braithwaite,DNK,FW,9000000.0,CD Leganés,18000000.0,Arthur,MF,False,False,0.6951211902792934
FC Barcelona,Martin Braithwaite,DNK,FW,9000000.0,CD Leganés,18000000.0,Arturo Vidal,MF,False,False,0.7326273314152245
FC Barcelona,Martin Braithwaite,DNK,FW,9000000.0,CD Leganés,18000000.0,Clément Lenglet,DF,False,False,0.6716021658118316
FC Barcelona,Martin Braithwaite,DNK,FW,9000000.0,CD Leganés,18000000.0,Gerard Piqué,DF,False,False,0.61930133019611
FC Barcelona,Martin Braithwaite,DNK,FW,9000000.0,CD Leganés,18000000.0,Ivan Rakitic,MF,False,False,0.6375726697480517
FC Barcelona,Martin Braithwaite,DNK,FW,9000000.0,CD Leganés,18000000.0,Jordi Alba,DF,False,False,0.6319218949784018
FC Barcelona,Martin Braithwaite,DNK,FW,9000000.0,CD Leganés,18000000.0,Lionel Messi,FW,True,False,0.6950160953427672
FC Barcelona,Martin Braithwaite,DNK,FW,9000000.0,CD Leganés,18000000.0,Luis Suárez,FW,True,False,0.8125290630196952
FC Barcelona,Martin Braithwaite,DNK,FW,9000000.0,CD Leganés,18000000.0,Marc Cucurella,MF,False,False,0.716274255582263
FC Barcelona,Martin Braithwaite,DNK,FW,9000000.0,CD Leganés,18000000.0,Marc-André ter Stegen,GK,False,False,0.5286609324225048
FC Barcelona,Martin Braithwaite,DNK,FW,9000000.0,CD Leganés,18000000.0,Nélson Semedo,DF,False,False,0.6998299455786643
FC Barcelona,Martin Braithwaite,DNK,FW,9000000.0,CD Leganés,18000000.0,Ousmane Dembélé,FW,True,False,0.8504092949065379
FC Barcelona,Martin Braithwaite,DNK,FW,9000000.0,CD Leganés,18000000.0,Philippe Coutinho,MF,False,False,0.7156201740501607
FC Barcelona,Martin Braithwaite,DNK,FW,9000000.0,CD Leganés,18000000.0,Sergi Roberto,DF,False,False,0.702984357271659
FC Barcelona,Martin Braithwaite,DNK,FW,9000000.0,CD Leganés,18000000.0,Sergio Busquets,MF,False,False,0.5948810257375027
Atlético de Madrid,Marcos Llorente,ESP,MF,80000000.0,Real Madrid,30000000.0,Antoine Griezmann,FW,False,False,0.515155371548832
Atlético de Madrid,Marcos Llorente,ESP,MF,80000000.0,Real Madrid,30000000.0,Diego Godín,DF,False,False,0.6746671343813907
Atlético de Madrid,Marcos Llorente,ESP,MF,80000000.0,Real Madrid,30000000.0,Filipe Luís,DF,False,False,0.6812972581229423
Atlético de Madrid,Marcos Llorente,ESP,MF,80000000.0,Real Madrid,30000000.0,Gelson Martins,FW,False,False,0.6701812289248009
Atlético de Madrid,Marcos Llorente,ESP,MF,80000000.0,Real Madrid,30000000.0,Jan Oblak,GK,False,False,0.47896007196052914
Atlético de Madrid,Marcos Llorente,ESP,MF,80000000.0,Real Madrid,30000000.0,José María Giménez,DF,False,False,0.7370007501406535
Atlético de Madrid,Marcos Llorente,ESP,MF,80000000.0,Real Madrid,30000000.0,Juanfran,DF,False,False,0.6693704423307414
Atlético de Madrid,Marcos Llorente,ESP,MF,80000000.0,Real Madrid,30000000.0,Koke,MF,True,False,0.6515385914332286
Atlético de Madrid,Marcos Llorente,ESP,MF,80000000.0,Real Madrid,30000000.0,Rodri,MF,True,False,0.6895052241215256
Atlético de Madrid,Marcos Llorente,ESP,MF,80000000.0,Real Madrid,30000000.0,Santiago Arias,DF,False,False,0.6591183390480758
Atlético de Madrid,Marcos Llorente,ESP,MF,80000000.0,Real Madrid,30000000.0,Saúl Ñíguez,MF,True,False,0.6430366088704136
Atlético de Madrid,Marcos Llorente,ESP,MF,80000000.0,Real Madrid,30000000.0,Stefan Savic,DF,False,False,0.7110731524210997
Atlético de Madrid,Marcos Llorente,ESP,MF,80000000.0,Real Madrid,30000000.0,Thomas Lemar,MF,True,False,0.7622721000649293
Atlético de Madrid,Marcos Llorente,ESP,MF,80000000.0,Real Madrid,30000000.0,Thomas Partey,MF,True,False,0.7347489483969731
Atlético de Madrid,Marcos Llorente,ESP,MF,80000000.0,Real Madrid,30000000.0,Ángel Correa,FW,False,False,0.6067161920730739
Atlético de Madrid,Mario Hermoso,ESP,DF,35000000.0,RCD Espanyol Barcelona,25000000.0,Antoine Griezmann,FW,False,False,0.7071034007689725
Atlético de Madrid,Mario Hermoso,ESP,DF,35000000.0,RCD Espanyol Barcelona,25000000.0,Diego Godín,DF,True,True,0.9184005872809626
Atlético de Madrid,Mario Hermoso,ESP,DF,35000000.0,RCD Espanyol Barcelona,25000000.0,Filipe Luís,DF,True,False,0.8883377134689816
Atlético de Madrid,Mario Hermoso,ESP,DF,35000000.0,RCD Espanyol Barcelona,25000000.0,Gelson Martins,FW,False,False,0.7034870753150921
Atlético de Madrid,Mario Hermoso,ESP,DF,35000000.0,RCD Espanyol Barcelona,25000000.0,Jan Oblak,GK,False,False,0.613656191313334
Atlético de Madrid,Mario Hermoso,ESP,DF,35000000.0,RCD Espanyol Barcelona,25000000.0,José María Giménez,DF,True,True,0.9104862476612072
Atlético de Madrid,Mario Hermoso,ESP,DF,35000000.0,RCD Espanyol Barcelona,25000000.0,Juanfran,DF,True,False,0.8439311393722172
Atlético de Madrid,Mario Hermoso,ESP,DF,35000000.0,RCD Espanyol Barcelona,25000000.0,Koke,MF,False,False,0.7909715234981213
Atlético de Madrid,Mario Hermoso,ESP,DF,35000000.0,RCD Espanyol Barcelona,25000000.0,Rodri,MF,False,False,0.8306790785199392
Atlético de Madrid,Mario Hermoso,ESP,DF,35000000.0,RCD Espanyol Barcelona,25000000.0,Santiago Arias,DF,True,False,0.8563148067841749
Atlético de Madrid,Mario Hermoso,ESP,DF,35000000.0,RCD Espanyol Barcelona,25000000.0,Saúl Ñíguez,MF,False,False,0.8213232788932272
Atlético de Madrid,Mario Hermoso,ESP,DF,35000000.0,RCD Espanyol Barcelona,25000000.0,Stefan Savic,DF,True,False,0.8208181028766028
Atlético de Madrid,Mario Hermoso,ESP,DF,35000000.0,RCD Espanyol Barcelona,25000000.0,Thomas Lemar,MF,False,False,0.7653672876458498
Atlético de Madrid,Mario Hermoso,ESP,DF,35000000.0,RCD Espanyol Barcelona,25000000.0,Thomas Partey,MF,False,False,0.8177044499830292
Atlético de Madrid,Mario Hermoso,ESP,DF,35000000.0,RCD Espanyol Barcelona,25000000.0,Ángel Correa,FW,False,False,0.7028063383396294
Atlético de Madrid,Kieran Trippier,ENG,DF,20000000.0,Tottenham Hotspur,22000000.0,Antoine Griezmann,FW,False,False,0.785930711040179
Atlético de Madrid,Kieran Trippier,ENG,DF,20000000.0,Tottenham Hotspur,22000000.0,Diego Godín,DF,True,False,0.8303285115680719
Atlético de Madrid,Kieran Trippier,ENG,DF,20000000.0,Tottenham Hotspur,22000000.0,Filipe Luís,DF,True,False,0.895367640680132
Atlético de Madrid,Kieran Trippier,ENG,DF,20000000.0,Tottenham Hotspur,22000000.0,Gelson Martins,FW,False,False,0.7453818677720105
Atlético de Madrid,Kieran Trippier,ENG,DF,20000000.0,Tottenham Hotspur,22000000.0,Jan Oblak,GK,False,False,0.5051210491606929
Atlético de Madrid,Kieran Trippier,ENG,DF,20000000.0,Tottenham Hotspur,22000000.0,José María Giménez,DF,True,False,0.7829236835326938
Atlético de Madrid,Kieran Trippier,ENG,DF,20000000.0,Tottenham Hotspur,22000000.0,Juanfran,DF,True,False,0.8860424176927588
Atlético de Madrid,Kieran Trippier,ENG,DF,20000000.0,Tottenham Hotspur,22000000.0,Koke,MF,False,False,0.8646183471303681
Atlético de Madrid,Kieran Trippier,ENG,DF,20000000.0,Tottenham Hotspur,22000000.0,Rodri,MF,False,False,0.8159167530941686
Atlético de Madrid,Kieran Trippier,ENG,DF,20000000.0,Tottenham Hotspur,22000000.0,Santiago Arias,DF,True,False,0.8782954164403035
Atlético de Madrid,Kieran Trippier,ENG,DF,20000000.0,Tottenham Hotspur,22000000.0,Saúl Ñíguez,MF,False,False,0.8258859630734755
Atlético de Madrid,Kieran Trippier,ENG,DF,20000000.0,Tottenham Hotspur,22000000.0,Stefan Savic,DF,True,False,0.7116928377655087
Atlético de Madrid,Kieran Trippier,ENG,DF,20000000.0,Tottenham Hotspur,22000000.0,Thomas Lemar,MF,False,False,0.7908206390337243
Atlético de Madrid,Kieran Trippier,ENG,DF,20000000.0,Tottenham Hotspur,22000000.0,Thomas Partey,MF,False,False,0.8271953624345222
Atlético de Madrid,Kieran Trippier,ENG,DF,20000000.0,Tottenham Hotspur,22000000.0,Ángel Correa,FW,False,False,0.7536207988469746
Real Madrid,Eden Hazard,BEL,FW,40000000.0,Chelsea FC,115000000.0,Borja Mayoral,FW,True,False,0.7441871048027131
Real Madrid,Eden Hazard,BEL,FW,40000000.0,Chelsea FC,115000000.0,Casemiro,MF,False,False,0.6394385231089349
Real Madrid,Eden Hazard,BEL,FW,40000000.0,Chelsea FC,115000000.0,Daniel Carvajal,DF,False,False,0.7437532285446502
Real Madrid,Eden Hazard,BEL,FW,40000000.0,Chelsea FC,115000000.0,Gareth Bale,FW,True,False,0.814339655796182
