Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA
599,Wylan Cyprien\Wylan-Cyprien,fr FRA,MF,Nice,fr Ligue 1,24,1995,20,20,1772,19.7,7,3,2,5,5,3,1,0.36,0.15,0.51,0.10,0.25,6.3,2.5,2.7,5.2,0.32,0.14,0.46,0.13,0.26
600,Rafael Czichos\Rafael-Czichos,de GER,DF,Köln,de Bundesliga,29,1990,26,26,2207,24.5,1,1,1,0,0,4,1,0.04,0.04,0.08,0.04,0.08,1.2,1.2,0.3,1.6,0.05,0.01,0.07,0.05,0.07
601,Lennart-Marten Czyborra\Lennart-Marten-Czyborra,de GER,DF,Atalanta,it Serie A,20,1999,1,0,17,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
602,Marco D'Alessandro\Marco-DAlessandro,it ITA,MFDF,SPAL,it Serie A,28,1991,15,10,781,8.7,2,0,2,0,0,0,1,0.23,0.00,0.23,0.23,0.23,0.5,0.5,1.0,1.6,0.06,0.12,0.18,0.06,0.18
603,Danilo D'Ambrosio\Danilo-DAmbrosio,it ITA,DF,Inter,it Serie A,30,1988,22,15,1402,15.6,4,0,4,0,0,6,0,0.26,0.00,0.26,0.26,0.26,1.8,1.8,1.4,3.2,0.12,0.09,0.21,0.12,0.21
604,Felice D'Amico\Felice-DAmico,it ITA,MF,Sampdoria,it Serie A,18,2000,2,0,3,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,1.02,0.00,1.02,1.02,1.02
605,Lucas Da Cunha\Lucas-Da-Cunha,fr FRA,MF,Rennes,fr Ligue 1,18,2001,2,1,72,0.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.2,0.06,0.13,0.19,0.06,0.19
606,Jacopo Da Riva\Jacopo-Da-Riva,it ITA,FW,Atalanta,it Serie A,18,2000,1,0,1,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,2.10,2.10,0.00,2.10
607,Damien Da Silva\Damien-Da-Silva,fr FRA,DF,Rennes,fr Ligue 1,31,1988,25,25,2244,24.9,1,2,1,0,0,3,0,0.04,0.08,0.12,0.04,0.12,0.5,0.5,1.0,1.4,0.02,0.04,0.06,0.02,0.06
608,Bryan Dabo\Bryan-Dabo,bf BFA,MF,SPAL,it Serie A,27,1992,16,13,1122,12.5,1,4,1,0,0,4,0,0.08,0.32,0.40,0.08,0.40,0.7,0.7,0.8,1.5,0.05,0.06,0.12,0.05,0.12
609,Moanes Dabour\Moanes-Dabour,il ISR,FW,Sevilla,es La Liga,27,1992,2,0,26,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.47,0.00,0.47,0.47,0.47
610,Moanes Dabour\Moanes-Dabour,il ISR,FW,Hoffenheim,de Bundesliga,27,1992,14,11,766,8.5,4,0,4,0,0,4,0,0.47,0.00,0.47,0.47,0.47,3.0,3.0,0.6,3.5,0.35,0.07,0.42,0.35,0.42
611,Colin Dagba\Colin-Dagba,fr FRA,DF,Paris S-G,fr Ligue 1,20,1998,10,7,668,7.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.6,0.6,0.00,0.08,0.08,0.00,0.08
612,Mahmoud Dahoud\Mahmoud-Dahoud,de GER,MF,Dortmund,de Bundesliga,23,1996,12,6,558,6.2,0,1,0,0,0,1,0,0.00,0.16,0.16,0.00,0.16,1.1,1.1,0.4,1.5,0.18,0.06,0.23,0.18,0.23
613,Leon Dajaku\Leon-Dajaku,de GER,DF,Bayern Munich,de Bundesliga,18,2001,2,0,12,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
614,Felipe dal Belo\Felipe-dal-Belo,br BRA,DF,SPAL,it Serie A,35,1984,15,11,997,11.1,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.0,0.6,0.06,0.00,0.06,0.06,0.06
615,Christian Dalle Mura\Christian-Dalle-Mura,it ITA,MF,Fiorentina,it Serie A,17,2002,1,0,1,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
616,Diogo Dalot\Diogo-Dalot,pt POR,DF,Manchester Utd,eng Premier League,20,1999,4,1,67,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.24,0.00,0.24,0.24,0.24
617,Charlie Daniels\Charlie-Daniels,eng ENG,DF,Bournemouth,eng Premier League,32,1986,2,2,126,1.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.06,0.06,0.00,0.06
618,Danilo\Danilo,br BRA,DF,Juventus,it Serie A,28,1991,22,16,1440,16.0,2,0,2,0,0,4,1,0.12,0.00,0.12,0.12,0.12,0.7,0.7,0.6,1.3,0.04,0.04,0.08,0.04,0.08
619,Scott Dann\Scott-Dann,eng ENG,DF,Crystal Palace,eng Premier League,32,1987,16,14,1266,14.1,0,1,0,0,0,0,0,0.00,0.07,0.07,0.00,0.07,0.4,0.4,0.4,0.8,0.03,0.03,0.06,0.03,0.06
620,Kevin Danso\Kevin-Danso,at AUT,DF,Southampton,eng Premier League,20,1998,6,3,277,3.1,0,1,0,0,0,2,1,0.00,0.32,0.32,0.00,0.32,0.1,0.1,0.2,0.3,0.04,0.06,0.10,0.04,0.10
621,Dante\Dante,br BRA,DF,Nice,fr Ligue 1,35,1983,21,21,1890,21.0,1,0,1,0,0,7,0,0.05,0.00,0.05,0.05,0.05,1.2,1.2,0.3,1.4,0.05,0.01,0.07,0.05,0.07
622,Andrea Danzi\Andrea-Danzi,it ITA,MF,Hellas Verona,it Serie A,20,1999,1,0,1,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
623,Sergi Darder\Sergi-Darder,es ESP,MFFW,Espanyol,es La Liga,25,1993,36,29,2658,29.5,2,1,2,0,0,4,0,0.07,0.03,0.10,0.07,0.10,2.6,2.6,2.1,4.7,0.09,0.07,0.16,0.09,0.16
624,Vladimír Darida\Vladimir-Darida,cz CZE,MF,Hertha BSC,de Bundesliga,28,1990,28,25,2256,25.1,3,4,3,0,0,8,1,0.12,0.16,0.28,0.12,0.28,3.1,3.1,3.9,7.0,0.12,0.15,0.28,0.12,0.28
625,Matteo Darmian\Matteo-Darmian,it ITA,DF,Parma,it Serie A,29,1989,33,30,2685,29.8,1,1,1,0,0,6,0,0.03,0.03,0.07,0.03,0.07,0.8,0.8,0.8,1.6,0.03,0.03,0.05,0.03,0.05
626,Alphonso Davies\Alphonso-Davies,ca CAN,DF,Bayern Munich,de Bundesliga,18,2000,29,24,2234,24.8,3,5,3,0,0,4,1,0.12,0.20,0.32,0.12,0.32,2.1,2.1,3.6,5.7,0.09,0.15,0.23,0.09,0.23
627,Ben Davies\Ben-Davies,wal WAL,DF,Tottenham,eng Premier League,26,1993,18,16,1431,15.9,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.6,0.9,0.01,0.04,0.05,0.01,0.05
628,Tom Davies\Tom-Davies,eng ENG,MF,Everton,eng Premier League,21,1998,30,23,2027,22.5,1,0,1,0,0,8,0,0.04,0.00,0.04,0.04,0.04,2.0,2.0,0.3,2.3,0.09,0.01,0.10,0.09,0.10
629,Keinan Davis\Keinan-Davis,eng ENG,FW,Aston Villa,eng Premier League,21,1998,18,4,548,6.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1.9,1.9,0.2,2.1,0.31,0.03,0.34,0.31,0.34
630,Paweł Dawidowicz\Pawel-Dawidowicz,pl POL,DF,Hellas Verona,it Serie A,24,1995,15,7,693,7.7,1,0,1,0,0,4,2,0.13,0.00,0.13,0.13,0.13,0.4,0.4,0.0,0.4,0.05,0.00,0.05,0.05,0.05
631,Craig Dawson\Craig-Dawson,eng ENG,DF,Watford,eng Premier League,29,1990,29,26,2361,26.2,2,0,2,0,0,6,0,0.08,0.00,0.08,0.08,0.08,2.3,2.3,0.3,2.6,0.09,0.01,0.10,0.09,0.10
632,Kevin De Bruyne\Kevin-De-Bruyne,be BEL,MF,Manchester City,eng Premier League,28,1991,35,32,2791,31.0,13,20,11,2,2,3,0,0.42,0.64,1.06,0.35,1.00,7.6,6.1,18.4,24.5,0.24,0.59,0.84,0.20,0.79
633,Sebastien De Maio\Sebastien-De-Maio,fr FRA,DF,Udinese,it Serie A,32,1987,21,17,1500,16.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.9,0.9,0.0,0.9,0.05,0.00,0.05,0.05,0.05
634,Rodrigo De Paul\Rodrigo-De-Paul,ar ARG,MF,Udinese,it Serie A,25,1994,34,33,2822,31.4,7,6,7,0,0,5,1,0.22,0.19,0.41,0.22,0.41,5.4,5.4,7.0,12.4,0.17,0.22,0.40,0.17,0.40
635,Mattia De Sciglio\Mattia-De-Sciglio,it ITA,DF,Juventus,it Serie A,26,1992,9,6,471,5.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.01,0.01,0.02,0.01,0.02
636,Lorenzo De Silvestri\Lorenzo-De-Silvestri,it ITA,DF,Torino,it Serie A,31,1988,29,28,2243,24.9,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,2.0,2.0,1.6,3.6,0.08,0.06,0.14,0.08,0.14
637,Lucas Deaux\Lucas-Deaux,fr FRA,MF,Nîmes,fr Ligue 1,30,1988,17,15,1335,14.8,2,1,2,0,0,2,0,0.13,0.07,0.20,0.13,0.20,1.3,1.3,0.8,2.2,0.09,0.06,0.15,0.09,0.15
638,Mathieu Debuchy\Mathieu-Debuchy,fr FRA,DF,Saint-Étienne,fr Ligue 1,34,1985,21,20,1769,19.7,1,1,1,0,0,2,0,0.05,0.05,0.10,0.05,0.10,0.9,0.9,1.1,2.0,0.04,0.06,0.10,0.04,0.10
639,Troy Deeney\Troy-Deeney,eng ENG,FW,Watford,eng Premier League,31,1988,27,26,2225,24.7,10,2,5,5,6,3,0,0.40,0.08,0.49,0.20,0.28,9.8,5.2,3.6,8.8,0.40,0.14,0.54,0.21,0.36
640,Grégoire Defrel\Gregoire-Defrel,mq MTQ,FWMF,Sassuolo,it Serie A,28,1991,17,9,980,10.9,3,3,2,1,1,1,0,0.28,0.28,0.55,0.18,0.46,3.3,2.5,1.4,3.9,0.30,0.13,0.43,0.23,0.36
641,Alessandro Deiola\Alessandro-Deiola,it ITA,MF,Cagliari,it Serie A,23,1995,1,0,1,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
642,Alessandro Deiola\Alessandro-Deiola,it ITA,MF,Lecce,it Serie A,23,1995,10,8,717,8.0,1,1,1,0,0,3,0,0.13,0.13,0.25,0.13,0.25,0.4,0.4,0.3,0.7,0.05,0.03,0.09,0.05,0.09
643,Romain Del Castillo\Romain-Del-Castillo,fr FRA,FWMF,Rennes,fr Ligue 1,23,1996,21,14,1242,13.8,2,5,1,1,1,2,0,0.14,0.36,0.51,0.07,0.43,2.3,1.6,2.9,4.4,0.17,0.21,0.38,0.11,0.32
644,Thomas Delaine\Thomas-Delaine,fr FRA,DF,Metz,fr Ligue 1,27,1992,16,14,1254,13.9,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.4,0.7,0.02,0.03,0.05,0.02,0.05
645,Thomas Delaney\Thomas-Delaney,dk DEN,MF,Dortmund,de Bundesliga,27,1991,11,11,830,9.2,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.0,0.5,0.05,0.00,0.06,0.05,0.06
646,Paul Delecroix\Paul-Delecroix,fr FRA,GK,Metz,fr Ligue 1,30,1988,2,1,136,1.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
647,Cristian Dell'Orco\Cristian-DellOrco,it ITA,DF,Lecce,it Serie A,25,1994,14,11,1007,11.2,0,1,0,0,0,2,1,0.00,0.09,0.09,0.00,0.09,0.0,0.0,0.5,0.5,0.00,0.04,0.04,0.00,0.04
648,Andy Delort\Andy-Delort,dz ALG,FW,Montpellier,fr Ligue 1,27,1991,26,26,2280,25.3,9,3,9,0,2,5,0,0.36,0.12,0.47,0.36,0.47,10.9,9.4,4.1,13.5,0.43,0.16,0.59,0.37,0.53
649,Fabian Delph\Fabian-Delph,eng ENG,MF,Everton,eng Premier League,29,1989,16,13,1190,13.2,0,0,0,0,0,5,1,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.3,0.4,0.00,0.02,0.03,0.00,0.03
650,Moussa Dembélé\Moussa-Dembele,fr FRA,FW,Lyon,fr Ligue 1,23,1996,27,24,2188,24.3,16,2,12,4,5,3,0,0.66,0.08,0.74,0.49,0.58,11.6,7.8,1.8,9.6,0.48,0.07,0.55,0.32,0.39
651,Ousmane Dembélé\Ousmane-Dembele,fr FRA,FW,Barcelona,es La Liga,22,1997,5,3,357,4.0,1,0,1,0,0,1,1,0.25,0.00,0.25,0.25,0.25,1.0,1.0,0.6,1.6,0.26,0.15,0.41,0.26,0.41
652,Merih Demiral\Merih-Demiral,tr TUR,DF,Juventus,it Serie A,21,1998,6,5,418,4.6,1,1,1,0,0,1,0,0.22,0.22,0.43,0.22,0.43,0.4,0.4,0.3,0.7,0.09,0.06,0.14,0.09,0.14
653,Kerem Demirbay\Kerem-Demirbay,de GER,MF,Leverkusen,de Bundesliga,26,1993,25,18,1573,17.5,1,5,1,0,0,4,1,0.06,0.29,0.34,0.06,0.34,2.8,2.8,3.8,6.6,0.16,0.22,0.38,0.16,0.38
654,Diego Demme\Diego-Demme,de GER,MF,RB Leipzig,de Bundesliga,27,1991,17,14,1211,13.5,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,1.1,1.5,0.03,0.08,0.11,0.03,0.11
655,Diego Demme\Diego-Demme,de GER,MF,Napoli,it Serie A,27,1991,15,10,902,10.0,1,0,1,0,0,6,0,0.10,0.00,0.10,0.10,0.10,0.3,0.3,0.4,0.7,0.03,0.04,0.07,0.03,0.07
656,Jason Denayer\Jason-Denayer,be BEL,DF,Lyon,fr Ligue 1,24,1995,25,24,2131,23.7,0,1,0,0,0,0,0,0.00,0.04,0.04,0.00,0.04,0.7,0.7,0.2,0.9,0.03,0.01,0.04,0.03,0.04
657,Leander Dendoncker\Leander-Dendoncker,be BEL,MFDF,Wolves,eng Premier League,24,1995,38,32,2795,31.1,4,0,4,0,0,5,0,0.13,0.00,0.13,0.13,0.13,1.6,1.6,0.6,2.1,0.05,0.02,0.07,0.05,0.07
658,Kevin Denkey\Kevin-Denkey,tg TOG,FW,Nîmes,fr Ligue 1,18,2000,17,6,603,6.7,3,1,3,0,0,1,0,0.45,0.15,0.60,0.45,0.60,1.6,1.6,0.4,2.0,0.24,0.06,0.30,0.24,0.30
659,Stefano Denswil\Stefano-Denswil,nl NED,DF,Bologna,it Serie A,26,1993,26,25,2240,24.9,0,1,0,0,0,7,1,0.00,0.04,0.04,0.00,0.04,1.1,1.1,0.5,1.6,0.04,0.02,0.06,0.04,0.06
660,Fabio Depaoli\Fabio-Depaoli,it ITA,MFDF,Sampdoria,it Serie A,22,1997,29,21,1854,20.6,0,1,0,0,0,7,0,0.00,0.05,0.05,0.00,0.05,1.5,1.5,2.2,3.7,0.07,0.11,0.18,0.07,0.18
661,Memphis Depay\Memphis-Depay,nl NED,FWMF,Lyon,fr Ligue 1,25,1994,13,12,1018,11.3,9,2,8,1,1,0,0,0.80,0.18,0.97,0.71,0.88,5.0,4.2,2.9,7.1,0.44,0.26,0.70,0.37,0.63
662,Kastriot Dermaku\Kastriot-Dermaku,al ALB,DF,Parma,it Serie A,27,1992,16,10,1026,11.4,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.8,0.8,0.0,0.8,0.07,0.00,0.07,0.07,0.07
663,Daniele Dessena\Daniele-Dessena,it ITA,MF,Brescia,it Serie A,32,1987,24,22,1869,20.8,2,0,2,0,0,7,1,0.10,0.00,0.10,0.10,0.10,1.3,1.3,0.2,1.5,0.06,0.01,0.07,0.06,0.07
664,Mattia Destro\Mattia-Destro,it ITA,FW,Bologna,it Serie A,28,1991,5,2,185,2.1,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.9,1.3,0.21,0.43,0.65,0.21,0.65
665,Mattia Destro\Mattia-Destro,it ITA,FWMF,Genoa,it Serie A,28,1991,8,1,150,1.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.0,0.4,0.27,0.00,0.27,0.27,0.27
666,Gerard Deulofeu\Gerard-Deulofeu,es ESP,FW,Watford,eng Premier League,25,1994,28,25,2098,23.3,4,5,3,1,1,3,0,0.17,0.21,0.39,0.13,0.34,5.2,4.5,4.6,9.1,0.22,0.20,0.42,0.19,0.39
667,Deyverson\Deyverson,br BRA,FW,Getafe,es La Liga,28,1991,5,3,204,2.3,0,1,0,0,0,2,0,0.00,0.44,0.44,0.00,0.44,0.6,0.6,0.6,1.1,0.25,0.24,0.50,0.25,0.50
668,Samuel Di Carmine\Samuel-Di-Carmine,it ITA,FW,Hellas Verona,it Serie A,30,1988,22,17,1293,14.4,8,0,7,1,2,3,0,0.56,0.00,0.56,0.49,0.49,6.3,4.8,0.6,5.4,0.44,0.04,0.48,0.33,0.38
669,Federico Di Francesco\Federico-Di-Francesco,it ITA,FW,SPAL,it Serie A,25,1994,20,13,1082,12.0,2,0,2,0,0,4,0,0.17,0.00,0.17,0.17,0.17,2.4,2.4,1.0,3.4,0.20,0.08,0.28,0.20,0.28
670,Giovanni Di Lorenzo\Giovanni-Di-Lorenzo,it ITA,DF,Napoli,it Serie A,25,1993,33,33,2970,33.0,3,3,3,0,0,5,0,0.09,0.09,0.18,0.09,0.18,3.1,3.1,2.8,6.0,0.09,0.09,0.18,0.09,0.18
671,Ángel Di María\Angel-Di-Maria,ar ARG,FWMF,Paris S-G,fr Ligue 1,31,1988,26,23,2000,22.2,8,14,7,1,2,2,0,0.36,0.63,0.99,0.32,0.95,9.1,7.6,13.9,21.5,0.41,0.62,1.03,0.34,0.97
672,Boulaye Dia\Boulaye-Dia,sn SEN,FW,Reims,fr Ligue 1,22,1996,24,21,1812,20.1,7,1,6,1,1,0,0,0.35,0.05,0.40,0.30,0.35,5.3,4.6,2.3,6.8,0.26,0.11,0.38,0.23,0.34
673,Fousseni Diabaté\Fousseni-Diabate,ml MLI,FWMF,Amiens,fr Ligue 1,23,1995,20,15,1190,13.2,1,3,1,0,0,3,0,0.08,0.23,0.30,0.08,0.30,0.8,0.8,1.8,2.6,0.06,0.13,0.20,0.06,0.20
674,Moussa Diaby\Moussa-Diaby,fr FRA,FWMF,Leverkusen,de Bundesliga,20,1999,28,18,1771,19.7,5,5,5,0,0,3,0,0.25,0.25,0.51,0.25,0.51,4.8,4.8,4.7,9.5,0.24,0.24,0.48,0.24,0.48
675,Mouctar Diakhaby\Mouctar-Diakhaby,fr FRA,DF,Valencia,es La Liga,22,1996,21,15,1444,16.0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.1,0.00,0.00,0.01,0.00,0.01
676,Bafodé Diakité\Bafode-Diakite,fr FRA,DF,Toulouse,fr Ligue 1,18,2001,16,16,1366,15.2,2,0,2,0,0,1,1,0.13,0.00,0.13,0.13,0.13,1.7,1.7,0.0,1.7,0.11,0.00,0.11,0.11,0.11
677,Abdou Diallo\Abdou-Diallo,sn SEN,DF,Paris S-G,fr Ligue 1,23,1996,16,14,1201,13.3,0,1,0,0,0,4,0,0.00,0.07,0.07,0.00,0.07,0.8,0.8,0.1,0.9,0.06,0.01,0.07,0.06,0.07
678,Amad Diallo\Amad-Diallo,ci CIV,FW,Atalanta,it Serie A,17,2002,3,0,27,0.3,1,0,1,0,0,0,0,3.33,0.00,3.33,3.33,3.33,0.1,0.1,0.1,0.2,0.36,0.17,0.53,0.36,0.53
679,Habib Diallo\Habib-Diallo,sn SEN,FW,Metz,fr Ligue 1,24,1995,26,26,2196,24.4,12,3,11,1,3,2,1,0.49,0.12,0.61,0.45,0.57,10.4,8.1,2.4,10.5,0.43,0.10,0.53,0.33,0.43
680,Ibrahima Diallo\Ibrahima-Diallo,fr FRA,MF,Brest,fr Ligue 1,20,1999,19,18,1561,17.3,0,1,0,0,0,2,0,0.00,0.06,0.06,0.00,0.06,0.1,0.1,0.7,0.8,0.01,0.04,0.05,0.01,0.05
681,Moussa Diarra\Moussa-Diarra,fr FRA,DF,Toulouse,fr Ligue 1,18,2000,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
682,Raphael Dias Belloli\Raphael-Dias-Belloli,br BRA,MFFW,Rennes,fr Ligue 1,22,1996,22,20,1690,18.8,5,3,4,1,1,4,0,0.27,0.16,0.43,0.21,0.37,6.5,5.0,5.5,10.5,0.34,0.29,0.64,0.27,0.56
683,Lucas Dias\Lucas-Dias,fr FRA,GK,Nîmes,fr Ligue 1,20,1999,4,3,317,3.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
684,Amadou Diawara\Amadou-Diawara,gn GUI,MF,Roma,it Serie A,22,1997,22,19,1518,16.9,1,1,0,1,1,4,0,0.06,0.06,0.12,0.00,0.06,1.0,0.3,0.5,0.7,0.06,0.03,0.09,0.01,0.04
685,Brahim Díaz\Brahim-Diaz,es ESP,FWMF,Real Madrid,es La Liga,19,1999,6,0,65,0.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.0,0.4,0.61,0.00,0.61,0.61,0.61
686,Víctor Díaz\Victor-Diaz,es ESP,DF,Granada,es La Liga,31,1988,36,33,2884,32.0,1,5,1,0,0,4,0,0.03,0.16,0.19,0.03,0.19,0.7,0.7,2.9,3.7,0.02,0.09,0.11,0.02,0.11
687,Bakaye Dibassy\Bakaye-Dibassy,ml MLI,DF,Amiens,fr Ligue 1,29,1989,22,22,1868,20.8,2,0,2,0,0,5,1,0.10,0.00,0.10,0.10,0.10,0.8,0.8,0.1,1.0,0.04,0.00,0.05,0.04,0.05
688,Eric Dier\Eric-Dier,eng ENG,DFMF,Tottenham,eng Premier League,25,1994,19,15,1344,14.9,0,2,0,0,0,5,0,0.00,0.13,0.13,0.00,0.13,1.0,1.0,0.1,1.1,0.07,0.01,0.07,0.07,0.07
689,Lucas Digne\Lucas-Digne,fr FRA,DF,Everton,eng Premier League,26,1993,35,35,3030,33.7,0,7,0,0,0,6,0,0.00,0.21,0.21,0.00,0.21,1.4,1.4,6.0,7.5,0.04,0.18,0.22,0.04,0.22
690,Virgil van Dijk\Virgil-van-Dijk,nl NED,DF,Liverpool,eng Premier League,28,1991,38,38,3420,38.0,5,1,5,0,0,1,0,0.13,0.03,0.16,0.13,0.16,2.9,2.9,1.3,4.2,0.08,0.03,0.11,0.08,0.11
691,Mitchell Dijks\Mitchell-Dijks,nl NED,DF,Bologna,it Serie A,26,1993,13,12,1006,11.2,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.8,0.8,0.00,0.07,0.07,0.00,0.07
692,Javairô Dilrosun\Javairo-Dilrosun,nl NED,MFFW,Hertha BSC,de Bundesliga,21,1998,23,16,1309,14.5,4,2,4,0,0,2,0,0.28,0.14,0.41,0.28,0.41,2.0,2.0,1.2,3.2,0.13,0.08,0.22,0.13,0.22
693,Federico Dimarco\Federico-Dimarco,it ITA,DF,Hellas Verona,it Serie A,21,1997,13,5,521,5.8,0,3,0,0,0,1,0,0.00,0.52,0.52,0.00,0.52,0.7,0.7,2.0,2.7,0.12,0.35,0.46,0.12,0.46
694,Federico Dimarco\Federico-Dimarco,it ITA,DFMF,Inter,it Serie A,21,1997,3,0,27,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.14,0.00,0.14,0.14,0.14
695,Tristan Dingomé\Tristan-Dingome,cm CMR,MF,Reims,fr Ligue 1,28,1991,15,12,892,9.9,0,1,0,0,0,1,0,0.00,0.10,0.10,0.00,0.10,0.4,0.4,1.0,1.4,0.04,0.10,0.14,0.04,0.14
696,Lois Diony\Lois-Diony,fr FRA,FW,Saint-Étienne,fr Ligue 1,26,1992,12,8,666,7.4,2,0,2,0,0,1,0,0.27,0.00,0.27,0.27,0.27,1.4,1.4,0.2,1.6,0.19,0.03,0.22,0.19,0.22
697,Issa Diop\Issa-Diop,fr FRA,DF,West Ham,eng Premier League,22,1997,32,31,2766,30.7,3,1,3,0,0,8,0,0.10,0.03,0.13,0.10,0.13,1.6,1.6,0.9,2.5,0.05,0.03,0.08,0.05,0.08
698,Papakouli Diop\Papakouli-Diop,sn SEN,MF,Eibar,es La Liga,33,1986,30,25,2253,25.0,1,0,1,0,0,7,0,0.04,0.00,0.04,0.04,0.04,1.1,1.1,0.5,1.6,0.05,0.02,0.06,0.05,0.06
699,Assane Dioussé\Assane-Diousse,sn SEN,MF,Saint-Étienne,fr Ligue 1,21,1997,4,1,120,1.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.1,0.04,0.06,0.10,0.04,0.10
700,Axel Disasi\Axel-Disasi,fr FRA,DF,Reims,fr Ligue 1,21,1998,27,27,2430,27.0,1,0,1,0,0,3,0,0.04,0.00,0.04,0.04,0.04,2.2,2.2,0.5,2.7,0.08,0.02,0.10,0.08,0.10
701,Tiago Djaló\Tiago-Djalo,pt POR,DF,Lille,fr Ligue 1,19,2000,8,8,661,7.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
702,Djené\Djene,tg TOG,DF,Getafe,es La Liga,27,1991,34,34,3060,34.0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.4,0.6,0.01,0.01,0.02,0.01,0.02
703,Moussa Djenepo\Moussa-Djenepo,ml MLI,MFDF,Southampton,eng Premier League,21,1998,18,10,928,10.3,2,2,2,0,0,4,1,0.19,0.19,0.39,0.19,0.39,2.7,2.7,1.3,4.1,0.26,0.13,0.39,0.26,0.39
704,Koffi Djidji\Koffi-Djidji,ci CIV,DF,Torino,it Serie A,26,1992,17,9,851,9.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.01,0.01,0.00,0.01
705,Alexander Djiku\Alexander-Djiku,gh GHA,DFMF,Strasbourg,fr Ligue 1,24,1994,25,23,2064,22.9,1,1,1,0,0,6,0,0.04,0.04,0.09,0.04,0.09,2.3,2.3,0.5,2.8,0.10,0.02,0.12,0.10,0.12
