Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,Min/90,GA,GA/90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKA,PKGA,PKsv,PKm,PK%
1,Antonio Adán,ESP,GK,Atlético de Madrid,La Liga,32,1987,1,0,25,0.3,0,0.00,1,1,100.0,0,0,0,0,,0,0,0,0,
2,Adrián,ESP,GK,Liverpool FC,Premier League,32,1987,11,9,875,9.7,10,1.03,28,17,64.3,9,0,0,2,22.2,0,0,0,0,
3,Rúnar Alex Rúnarsson,ISL,GK,Dijon FCO,Ligue 1,24,1995,11,9,900,10.0,17,1.70,46,29,63.0,1,2,6,0,0.0,0,0,0,0,
4,Enrico Alfonso,ITA,GK,Brescia Calcio,Serie A,31,1988,4,4,279,3.1,4,1.29,11,7,63.6,1,0,3,1,25.0,0,0,0,0,
5,Alisson,BRA,GK,Liverpool FC,Premier League,26,1992,29,29,2543,28.3,23,0.81,79,58,72.2,23,3,3,13,44.8,1,1,0,0,0.0
6,Sergio Álvarez,ESP,GK,Celta de Vigo,La Liga,32,1986,4,4,180,2.0,1,0.50,4,3,75.0,1,1,0,2,50.0,0,0,0,0,
7,Lorenzo Andrenacci,ITA,GK,Brescia Calcio,Serie A,24,1995,6,5,531,5.9,16,2.71,45,28,64.4,0,1,4,0,0.0,1,0,0,1,
8,Miguel Ángel Moyá,ESP,GK,Real Sociedad,La Liga,35,1984,13,13,1170,13.0,16,1.23,51,36,68.6,5,4,4,3,23.1,1,0,0,1,
9,Alphonse Areola,FRA,GK,Real Madrid,La Liga,26,1993,4,4,360,4.0,5,1.25,13,10,76.9,3,1,0,1,25.0,2,2,0,0,0.0
10,Alphonse Areola,FRA,GK,Paris Saint-Germain,Ligue 1,26,1993,3,3,270,3.0,2,0.67,4,2,50.0,2,0,1,2,66.7,0,0,0,0,
11,Kepa,ESP,GK,Chelsea FC,Premier League,24,1994,33,33,2970,33.0,47,1.42,99,55,54.5,18,4,11,8,24.2,2,2,0,0,0.0
12,Sergio Asenjo,ESP,GK,Villarreal CF,La Liga,30,1989,34,34,3060,34.0,41,1.21,142,107,74.6,17,4,13,11,32.4,6,5,1,0,16.7
13,Emil Audero,ITA,GK,UC Sampdoria,Serie A,22,1997,36,36,3240,36.0,60,1.67,160,110,66.9,12,5,19,9,25.0,8,7,0,1,0.0
14,Stefan Bajic,FRA,GK,AS Saint-Étienne,Ligue 1,17,2001,1,1,90,1.0,1,1.00,2,1,50.0,0,0,1,0,0.0,0,0,0,0,
15,Oliver Baumann,DEU,GK,TSG 1899 Hoffenheim,Bundesliga,29,1990,30,30,2700,30.0,49,1.63,143,101,69.2,13,7,10,7,23.3,7,5,2,0,28.6
16,Asmir Begovic,BIH,GK,AC Milan,Serie A,32,1987,2,1,129,1.4,3,2.09,6,4,66.7,0,0,1,0,0.0,1,1,0,0,0.0
17,Walter Benítez,ARG,GK,OGC Nice,Ligue 1,26,1993,26,26,2340,26.0,36,1.38,129,99,75.2,9,8,9,4,15.4,6,4,1,1,20.0
18,Etrit Berisha,ALB,GK,SPAL,Serie A,30,1989,26,26,2340,26.0,41,1.58,142,106,75.4,5,3,18,3,11.5,6,6,0,0,0.0
19,Paul Bernardoni,FRA,GK,Nîmes Olympique,Ligue 1,22,1997,25,25,2204,24.5,38,1.55,102,69,66.7,7,4,14,6,24.0,4,4,0,0,0.0
20,Dimitry Bertaud,FRA,GK,Montpellier HSC,Ligue 1,21,1998,3,3,196,2.2,3,1.38,6,3,50.0,0,0,3,0,0.0,0,0,0,0,
21,Rubén Blanco,ESP,GK,Celta de Vigo,La Liga,24,1995,33,33,2960,32.9,43,1.31,126,87,69.8,6,14,13,10,30.3,5,5,0,0,0.0
22,Bono,MAR,GK,Sevilla FC,La Liga,28,1991,6,5,495,5.5,3,0.55,19,17,89.5,4,1,0,4,80.0,1,1,0,0,0.0
23,Federico Brancolini,ITA,GK,ACF Fiorentina,Serie A,18,2001,1,0,6,0.1,0,0.00,0,0,,0,0,0,1,,0,0,0,0,
24,Claudio Bravo,CHL,GK,Manchester City,Premier League,36,1983,4,3,347,3.9,7,1.82,15,8,53.3,2,0,1,1,33.3,0,0,0,0,
25,Gianluigi Buffon,ITA,GK,Juventus FC,Serie A,41,1978,9,9,810,9.0,10,1.11,32,23,71.9,7,1,1,1,11.1,2,1,0,1,0.0
26,Roman Bürki,CHE,GK,Borussia Dortmund,Bundesliga,28,1990,31,31,2770,30.8,40,1.30,93,59,60.2,19,5,7,13,41.9,3,3,0,0,0.0
27,Ludovic Butelle,FRA,GK,SCO Angers,Ligue 1,36,1983,26,26,2340,26.0,32,1.23,78,50,62.8,10,6,10,11,42.3,3,3,0,0,0.0
28,Marcin Bulka,POL,GK,Paris Saint-Germain,Ligue 1,19,1999,1,1,90,1.0,0,0.00,2,2,100.0,1,0,0,1,100.0,0,0,0,0,
29,Willy Caballero,ARG,GK,Chelsea FC,Premier League,37,1981,5,5,450,5.0,7,1.40,16,10,56.3,2,2,1,1,20.0,0,0,0,0,
30,Matis Carvalho,PRT,GK,Montpellier HSC,Ligue 1,20,1999,1,0,71,0.8,4,5.07,8,5,50.0,0,0,0,0,,0,0,0,0,
31,Koen Casteels,BEL,GK,VfL Wolfsburg,Bundesliga,27,1992,26,26,2340,26.0,38,1.46,104,69,67.3,11,6,9,5,19.2,4,4,0,0,0.0
32,José Antonio Caro,ESP,GK,Real Valladolid CF,La Liga,25,1994,3,3,244,2.7,3,1.11,13,10,76.9,1,0,2,1,33.3,0,0,0,0,
33,Jasper Cillessen,NLD,GK,Valencia CF,La Liga,30,1989,24,24,2096,23.3,30,1.29,102,78,76.5,10,7,7,5,20.8,8,6,2,0,25.0
34,Yannis Clementia,FRA,GK,OGC Nice,Ligue 1,22,1997,2,2,180,2.0,2,1.00,6,5,83.3,2,0,0,0,0.0,1,1,0,0,0.0
35,Simone Colombi,ITA,GK,Parma Calcio 1913,Serie A,28,1991,4,4,360,4.0,4,1.00,17,14,82.4,1,1,2,1,25.0,2,1,0,1,0.0
36,Andrea Consigli,ITA,GK,US Sassuolo,Serie A,32,1987,31,31,2790,31.0,55,1.77,140,93,65.7,12,5,14,5,16.1,8,7,1,0,12.5
37,Angelo da Costa,BRA,GK,Bologna FC 1909,Serie A,35,1983,1,1,90,1.0,1,1.00,2,1,50.0,0,1,0,0,0.0,0,0,0,0,
38,Benoît Costil,FRA,GK,FC Girondins Bordeaux,Ligue 1,32,1987,28,28,2520,28.0,34,1.21,106,75,69.8,9,10,9,6,21.4,3,2,1,0,33.3
39,Thibaut Courtois,BEL,GK,Real Madrid,La Liga,27,1992,34,34,3060,34.0,20,0.59,95,74,78.9,23,8,3,18,52.9,0,0,0,0,
40,Alessio Cragno,ITA,GK,Cagliari Calcio,Serie A,25,1994,16,16,1440,16.0,21,1.31,86,66,76.7,2,6,8,3,18.8,2,1,1,0,50.0
41,Iván Cuéllar,ESP,GK,CD Leganés,La Liga,35,1984,27,27,2429,27.0,33,1.22,99,67,67.7,7,9,11,8,29.6,2,1,1,0,50.0
42,Paul Delecroix,FRA,GK,FC Metz,Ligue 1,30,1988,2,1,135,1.5,4,2.67,5,2,40.0,0,0,1,0,0.0,1,1,0,0,0.0
43,Lucas Dias,FRA,GK,Nîmes Olympique,Ligue 1,20,1999,4,3,316,3.5,6,1.71,18,12,66.7,0,2,1,1,33.3,0,0,0,0,
44,Marko Dmitrovic,SRB,GK,SD Eibar,La Liga,27,1992,35,35,3150,35.0,51,1.46,113,67,58.4,9,9,17,10,28.6,5,4,1,0,20.0
45,Jaume Doménech,ESP,GK,Valencia CF,La Liga,28,1990,15,14,1324,14.7,23,1.56,80,58,72.5,4,4,6,3,21.4,1,1,0,0,0.0
46,Gianluigi Donnarumma,ITA,GK,AC Milan,Serie A,20,1999,36,36,3201,35.6,42,1.18,134,97,71.6,18,9,9,12,33.3,8,4,4,0,50.0
47,Bartlomiej Dragowski,POL,GK,ACF Fiorentina,Serie A,21,1997,31,31,2790,31.0,43,1.39,131,94,71.8,7,12,12,8,25.8,8,6,2,0,25.0
48,Martin Dubravka,SVK,GK,Newcastle United,Premier League,30,1989,38,38,3420,38.0,58,1.53,190,134,70.5,11,11,16,11,28.9,2,2,0,0,0.0
49,Ederson,BRA,GK,Manchester City,Premier League,25,1993,35,35,3071,34.1,28,0.82,92,65,72.8,24,3,8,16,45.7,3,3,0,0,0.0
50,Aarón Escandell,ESP,GK,Granada CF,La Liga,23,1995,3,3,270,3.0,3,1.00,13,10,76.9,1,0,2,1,33.3,0,0,0,0,
51,Lukasz Fabianski,POL,GK,West Ham United,Premier League,34,1985,25,25,2117,23.5,34,1.45,98,69,68.4,8,7,10,5,20.0,4,3,1,0,25.0
52,Fabri,ESP,GK,RCD Mallorca,La Liga,31,1987,2,2,90,1.0,3,3.00,5,3,80.0,0,0,1,0,0.0,2,2,0,0,0.0
53,Ralf Fährmann,DEU,GK,Norwich City,Premier League,30,1988,1,1,21,0.2,1,4.29,1,1,100.0,0,0,1,0,0.0,1,1,0,0,0.0
54,Wladimiro Falcone,ITA,GK,UC Sampdoria,Serie A,24,1995,2,2,180,2.0,5,2.50,13,8,69.2,0,1,1,0,0.0,1,1,0,0,0.0
55,Aitor Fernández,ESP,GK,Levante UD,La Liga,28,1991,36,36,3240,36.0,51,1.42,201,152,76.1,12,7,17,5,13.9,6,3,3,0,50.0
56,Andrés Fernández,ESP,GK,Villarreal CF,La Liga,32,1986,4,4,360,4.0,8,2.00,17,13,70.6,1,2,1,1,25.0,3,3,0,0,0.0
57,Mark Flekken,NLD,GK,SC Freiburg,Bundesliga,26,1993,10,10,900,10.0,14,1.40,70,54,80.0,4,3,3,3,30.0,1,0,0,1,
58,Ben Foster,ENG,GK,Watford FC,Premier League,36,1983,38,38,3420,38.0,64,1.68,166,109,66.3,8,10,20,9,23.7,9,8,1,0,11.1
59,Daniel Fuzato,BRA,GK,AS Roma,Serie A,22,1997,1,1,90,1.0,1,1.00,2,1,50.0,1,0,0,0,0.0,0,0,0,0,
60,Gabriel,BRA,GK,US Lecce,Serie A,26,1992,34,34,2997,33.3,76,2.28,217,153,69.6,6,8,20,2,5.9,12,10,2,0,16.7
61,Paulo Gazzaniga,ARG,GK,Tottenham Hotspur,Premier League,27,1992,18,17,1613,17.9,26,1.45,79,56,70.9,5,5,7,2,11.8,4,3,1,0,25.0
62,David de Gea,ESP,GK,Manchester United,Premier League,28,1990,38,38,3420,38.0,36,0.95,125,92,73.6,18,12,8,13,34.2,3,3,0,0,0.0
63,Rafal Gikiewicz,POL,GK,1.FC Union Berlin,Bundesliga,31,1987,33,33,2970,33.0,54,1.64,160,109,68.1,12,5,16,8,24.2,4,3,1,0,25.0
64,Mauro Goicoechea,URY,GK,FC Toulouse,Ligue 1,31,1988,2,2,180,2.0,5,2.50,13,8,61.5,0,0,2,0,0.0,0,0,0,0,
65,Pierluigi Gollini,ITA,GK,Atalanta BC,Serie A,24,1995,33,33,2884,32.0,42,1.31,113,78,68.1,19,9,5,8,24.2,6,6,0,0,0.0
66,Alfred Gomis,SEN,GK,Dijon FCO,Ligue 1,25,1993,19,19,1620,18.0,20,1.11,83,65,77.1,6,7,6,6,31.6,1,1,0,0,0.0
67,Vicente Guaita,ESP,GK,Crystal Palace,Premier League,32,1987,35,35,3150,35.0,42,1.20,147,106,71.4,11,9,15,10,28.6,1,0,0,1,
68,Péter Gulácsi,HUN,GK,RB Leipzig,Bundesliga,29,1990,32,32,2880,32.0,34,1.06,117,82,72.6,16,12,4,10,31.3,2,2,0,0,0.0
