Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,Min/90,GA,GA/90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKA,PKGA,PKsv,PKm,PK%
69,Angus Gunn,ENG,GK,Southampton FC,Premier League,23,1996,10,10,900,10.0,25,2.50,53,30,56.6,2,2,6,2,20.0,2,2,0,0,0.0
70,Régis Gurtner,FRA,GK,Amiens SC,Ligue 1,32,1986,28,28,2520,28.0,50,1.79,140,92,65.0,4,11,13,5,17.9,1,1,0,0,0.0
71,Samir Handanovic,SVN,GK,Inter Milan,Serie A,35,1984,35,35,3150,35.0,32,0.91,108,79,72.2,22,10,3,13,37.1,3,2,1,0,33.3
72,Tom Heaton,ENG,GK,Aston Villa,Premier League,33,1986,20,20,1794,19.9,35,1.76,99,67,67.7,6,3,11,4,20.0,3,3,0,0,0.0
73,Dean Henderson,ENG,GK,Sheffield United,Premier League,22,1997,36,36,3240,36.0,33,0.92,129,97,75.2,14,11,11,13,36.1,3,1,1,1,50.0
74,Wayne Hennessey,WAL,GK,Crystal Palace,Premier League,32,1987,3,3,270,3.0,8,2.67,22,14,63.6,0,1,2,0,0.0,0,0,0,0,
75,Sergio Herrera,ESP,GK,CA Osasuna,La Liga,26,1993,19,18,1655,18.4,27,1.47,79,52,67.1,7,3,8,7,38.9,1,1,0,0,0.0
76,Iago Herrerín,ESP,GK,Athletic Bilbao,La Liga,31,1988,5,4,425,4.7,9,1.91,18,9,50.0,0,3,1,0,0.0,0,0,0,0,
77,Marwin Hitz,CHE,GK,Borussia Dortmund,Bundesliga,31,1987,4,3,290,3.2,1,0.31,7,6,85.7,2,1,0,3,100.0,0,0,0,0,
78,Timo Horn,DEU,GK,1. FC Köln,Bundesliga,26,1993,34,34,3060,34.0,69,2.03,152,87,57.2,10,6,18,6,17.6,6,4,2,0,33.3
79,Lukas Hradecky,FIN,GK,Bayer 04 Leverkusen,Bundesliga,29,1989,34,34,3060,34.0,44,1.29,137,92,69.3,19,6,9,10,29.4,2,2,0,0,0.0
80,Jannik Huth,DEU,GK,SC Paderborn 07,Bundesliga,25,1994,6,6,540,6.0,17,2.83,32,16,50.0,0,1,5,0,0.0,1,1,0,0,0.0
81,Rune Jarstein,NOR,GK,Hertha BSC,Bundesliga,34,1984,29,29,2547,28.3,46,1.63,131,94,70.2,11,5,13,9,31.0,7,7,0,0,0.0
82,Jesse Joronen,FIN,GK,Brescia Calcio,Serie A,26,1993,29,29,2610,29.0,59,2.03,172,123,70.9,5,6,18,5,17.2,10,9,1,0,10.0
83,Lovre Kalinic,HRV,GK,FC Toulouse,Ligue 1,29,1990,4,4,306,3.4,4,1.18,15,11,73.3,0,1,3,1,25.0,0,0,0,0,
84,Stefanos Kapino,GRC,GK,SV Werder Bremen,Bundesliga,25,1994,1,1,90,1.0,2,2.00,5,3,60.0,0,1,0,0,0.0,0,0,0,0,
85,Florian Kastenmeier,DEU,GK,Fortuna Düsseldorf,Bundesliga,22,1997,17,17,1530,17.0,31,1.82,76,50,61.8,2,9,6,2,11.8,3,2,1,0,33.3
86,Tomas Koubek,CZE,GK,FC Augsburg,Bundesliga,26,1992,24,24,2160,24.0,51,2.12,122,72,58.2,6,6,12,4,16.7,1,0,1,0,100.0
87,Thomas Kraft,DEU,GK,Hertha BSC,Bundesliga,31,1988,4,4,360,4.0,9,2.25,20,11,55.0,0,3,1,0,0.0,0,0,0,0,
88,Tim Krul,NLD,GK,Norwich City,Premier League,31,1988,36,36,3240,36.0,68,1.89,189,123,65.6,5,6,25,5,13.9,5,3,2,0,40.0
89,Alban Lafont,FRA,GK,FC Nantes,Ligue 1,20,1999,27,27,2430,27.0,29,1.07,91,65,71.4,11,4,12,10,37.0,6,3,2,1,40.0
90,Gautier Larsonneur,FRA,GK,Stade Brest 29,Ligue 1,22,1997,27,27,2398,26.6,34,1.28,128,95,75.8,7,10,10,7,25.9,5,3,1,1,25.0
91,Benjamin Lecomte,FRA,GK,AS Monaco,Ligue 1,28,1991,28,28,2520,28.0,44,1.57,132,95,71.2,11,7,10,7,25.0,6,6,0,0,0.0
92,Nicolas Lemaître,FRA,GK,Stade Reims,Ligue 1,22,1997,1,1,90,1.0,3,3.00,3,1,33.3,0,0,1,0,0.0,1,1,0,0,0.0
93,Bernd Leno,DEU,GK,Arsenal FC,Premier League,27,1992,30,30,2649,29.4,39,1.33,147,110,77.6,9,13,8,7,23.3,7,6,1,0,14.3
94,Donovan Léon,GUF,GK,Stade Brest 29,Ligue 1,26,1992,2,1,122,1.4,3,2.21,10,8,80.0,1,0,0,1,100.0,1,1,0,0,0.0
95,Karlo Letica,HRV,GK,SPAL,Serie A,22,1997,10,10,900,10.0,29,2.90,66,38,56.1,0,1,9,0,0.0,1,0,1,0,100.0
96,Hugo Lloris,FRA,GK,Tottenham Hotspur,Premier League,32,1986,21,21,1807,20.1,21,1.05,93,74,79.6,11,6,4,6,28.6,3,2,1,0,33.3
97,Anthony Lopes,PRT,GK,Olympique Lyon,Ligue 1,28,1990,26,26,2340,26.0,25,0.96,85,64,72.9,10,7,9,8,30.8,3,2,0,1,0.0
98,Diego López,ESP,GK,RCD Espanyol Barcelona,La Liga,37,1981,36,36,3232,35.9,58,1.62,153,101,66.0,4,9,23,4,11.1,7,6,1,0,14.3
99,Pau López,ESP,GK,AS Roma,Serie A,24,1994,32,32,2880,32.0,45,1.41,122,83,69.7,18,6,8,5,15.6,9,8,1,0,11.1
100,Andreas Luthe,DEU,GK,FC Augsburg,Bundesliga,32,1987,10,10,900,10.0,12,1.20,35,23,65.7,3,3,4,3,30.0,0,0,0,0,
101,Mike Maignan,FRA,GK,LOSC Lille,Ligue 1,23,1995,28,28,2520,28.0,27,0.96,78,58,70.5,15,4,9,12,42.9,6,4,1,1,20.0
102,Steve Mandanda,FRA,GK,Olympique Marseille,Ligue 1,34,1985,27,27,2371,26.3,27,1.02,91,71,74.7,15,8,4,11,40.7,4,4,0,0,0.0
103,Dani Martín,ESP,GK,Real Betis Balompié,La Liga,21,1998,6,5,531,5.9,12,2.03,26,14,53.8,1,0,4,1,20.0,0,0,0,0,
104,David Martin,ENG,GK,West Ham United,Premier League,33,1986,5,4,436,4.8,6,1.24,20,14,70.0,2,0,2,2,50.0,0,0,0,0,
105,Emiliano Martínez,ARG,GK,Arsenal FC,Premier League,26,1992,9,8,771,8.6,9,1.05,42,33,81.0,5,1,2,3,37.5,1,1,0,0,0.0
106,Jordi Masip,ESP,GK,Real Valladolid CF,La Liga,30,1989,35,35,3150,35.0,39,1.11,121,88,72.7,8,15,12,11,31.4,7,6,1,0,14.3
107,Alex McCarthy,ENG,GK,Southampton FC,Premier League,29,1989,28,28,2520,28.0,35,1.25,110,77,69.1,13,5,10,7,25.0,2,1,1,0,50.0
108,Michael McGovern,NIR,GK,Norwich City,Premier League,35,1984,2,1,159,1.8,6,3.40,11,5,45.5,0,0,1,0,0.0,1,0,1,0,100.0
109,Edouard Mendy,SEN,GK,Stade Rennais FC,Ligue 1,27,1992,24,24,2160,24.0,19,0.79,74,59,78.4,13,5,6,9,37.5,4,3,1,0,25.0
110,Alex Meret,ITA,GK,SSC Napoli,Serie A,22,1997,22,21,1951,21.7,33,1.52,76,46,63.2,9,5,7,3,14.3,6,5,1,0,16.7
111,Antonio Mirante,ITA,GK,AS Roma,Serie A,36,1983,5,5,450,5.0,5,1.00,22,17,81.8,2,1,2,2,40.0,1,1,0,0,0.0
112,Simon Moore,ENG,GK,Sheffield United,Premier League,29,1990,2,2,180,2.0,6,3.00,12,6,50.0,0,1,1,0,0.0,0,0,0,0,
113,Jessy Moulin,FRA,GK,AS Saint-Étienne,Ligue 1,33,1986,5,5,450,5.0,4,0.80,20,18,90.0,2,2,1,2,40.0,2,2,0,0,0.0
114,Florian Müller,DEU,GK,1.FSV Mainz 05,Bundesliga,21,1997,13,12,1125,12.5,25,2.00,64,41,64.1,3,2,7,2,16.7,3,2,1,0,33.3
115,Juan Musso,ARG,GK,Udinese Calcio,Serie A,25,1994,38,38,3420,38.0,51,1.34,186,139,76.9,12,9,17,14,36.8,10,8,2,0,20.0
116,Yvon Mvogo,CHE,GK,RB Leipzig,Bundesliga,25,1994,2,2,180,2.0,3,1.50,5,2,40.0,2,0,0,0,0.0,0,0,0,0,
117,Keylor Navas,CRI,GK,Paris Saint-Germain,Ligue 1,32,1986,21,21,1890,21.0,18,0.86,65,46,72.3,17,2,2,11,52.4,0,0,0,0,
118,Neto,BRA,GK,FC Barcelona,La Liga,30,1989,2,2,180,2.0,2,1.00,3,1,33.3,1,1,0,1,50.0,0,0,0,0,
119,Manuel Neuer,DEU,GK,Bayern Munich,Bundesliga,33,1986,33,33,2970,33.0,31,0.94,111,84,74.8,25,4,4,15,45.5,4,3,1,0,25.0
120,Moritz Nicolas,DEU,GK,1.FC Union Berlin,Bundesliga,21,1997,1,1,90,1.0,4,4.00,8,4,50.0,0,0,1,0,0.0,0,0,0,0,
121,Alexander Nübel,DEU,GK,FC Schalke 04,Bundesliga,22,1996,26,26,2315,25.7,40,1.56,114,79,68.4,8,9,9,6,23.1,4,4,0,0,0.0
122,Örjan Nyland,NOR,GK,Aston Villa,Premier League,28,1990,7,5,539,6.0,12,2.00,26,14,53.8,0,2,3,1,20.0,0,0,0,0,
123,Jan Oblak,SVN,GK,Atlético de Madrid,La Liga,26,1993,38,38,3395,37.7,27,0.72,105,82,77.1,18,16,4,17,44.7,4,3,0,1,0.0
124,Oier Olazábal,ESP,GK,RCD Espanyol Barcelona,La Liga,29,1989,2,2,180,2.0,0,0.00,4,4,100.0,1,1,0,2,100.0,0,0,0,0,
125,Robin Olsen,SWE,GK,Cagliari Calcio,Serie A,29,1990,17,17,1524,16.9,24,1.42,83,63,75.9,8,5,4,4,23.5,4,4,0,0,0.0
126,David Ospina,COL,GK,SSC Napoli,Serie A,30,1988,17,17,1469,16.3,17,1.04,53,36,71.7,9,3,5,4,23.5,2,2,0,0,0.0
127,Alexandre Oukidja,DZA,GK,FC Metz,Ligue 1,31,1988,27,27,2385,26.5,31,1.17,127,99,78.0,8,10,9,8,29.6,3,3,0,0,0.0
128,Fernando Pacheco,ESP,GK,Deportivo Alavés,La Liga,27,1992,27,27,2358,26.2,37,1.41,92,61,68.5,7,7,13,6,22.2,11,8,3,0,27.3
129,Daniele Padelli,ITA,GK,Inter Milan,Serie A,33,1985,4,4,270,3.0,4,1.33,6,3,50.0,2,0,1,1,25.0,1,1,0,0,0.0
130,Miquel Parera,ESP,GK,RCD Mallorca,La Liga,23,1996,1,1,90,1.0,2,2.00,5,3,60.0,0,1,0,0,0.0,0,0,0,0,
131,Rui Patrício,PRT,GK,Wolverhampton Wanderers,Premier League,31,1988,38,38,3420,38.0,40,1.05,120,80,67.5,15,14,9,13,34.2,3,1,2,0,66.7
132,Jiri Pavlenka,CZE,GK,SV Werder Bremen,Bundesliga,27,1992,33,33,2970,33.0,67,2.03,170,106,61.2,8,6,19,4,12.1,1,1,0,0,0.0
133,Gianluca Pegolo,ITA,GK,US Sassuolo,Serie A,38,1981,5,5,450,5.0,4,0.80,26,23,84.6,2,2,1,2,40.0,0,0,0,0,
134,Yohann Pelé,FRA,GK,Olympique Marseille,Ligue 1,36,1982,2,1,149,1.7,2,1.21,6,4,66.7,1,0,0,0,0.0,1,0,1,0,100.0
135,Philipp Pentke,DEU,GK,TSG 1899 Hoffenheim,Bundesliga,34,1985,4,4,360,4.0,4,1.00,20,16,85.0,2,0,2,1,25.0,1,1,0,0,0.0
136,Juan Pérez,ESP,GK,CA Osasuna,La Liga,23,1996,2,2,180,2.0,3,1.50,8,6,75.0,1,1,0,0,0.0,1,1,0,0,0.0
137,Samuel Pérez,ESP,GK,Real Valladolid CF,La Liga,22,1997,1,0,26,0.3,1,3.46,0,0,,0,0,0,0,,1,1,0,0,0.0
138,Mattia Perin,ITA,GK,Genoa CFC,Serie A,26,1992,21,21,1890,21.0,38,1.81,99,63,62.6,8,4,9,5,23.8,2,1,0,1,0.0
139,Pavao Pervan,AUT,GK,VfL Wolfsburg,Bundesliga,31,1987,8,8,720,8.0,8,1.00,36,29,80.6,2,4,2,3,37.5,1,1,0,0,0.0
140,Danijel Petkovic,MNE,GK,SCO Angers,Ligue 1,26,1993,2,2,180,2.0,1,0.50,7,6,85.7,1,0,1,1,50.0,0,0,0,0,
141,Denis Petric,SRB,GK,FC Nantes,Ligue 1,31,1988,1,1,90,1.0,2,2.00,6,4,66.7,0,0,1,0,0.0,0,0,0,0,
142,Jordan Pickford,ENG,GK,Everton FC,Premier League,25,1994,38,38,3420,38.0,56,1.47,145,95,63.4,13,10,15,9,23.7,4,3,0,1,0.0
143,Carlo Pinsoglio,ITA,GK,Juventus FC,Serie A,29,1990,1,0,19,0.2,0,0.00,0,0,,0,0,0,0,,0,0,0,0,
144,Nick Pope,ENG,GK,Burnley FC,Premier League,27,1992,38,38,3420,38.0,50,1.32,159,112,71.1,15,9,14,15,39.5,5,4,1,0,20.0
145,Ionut Radu,ROU,GK,Genoa CFC,Serie A,22,1997,17,17,1530,17.0,35,2.06,89,61,67.4,2,5,10,2,11.8,7,6,0,1,0.0
146,Boris Radunović,SRB,GK,Hellas Verona,Serie A,23,1996,3,3,270,3.0,8,2.67,13,7,53.8,1,0,2,1,33.3,2,2,0,0,0.0
147,Rafael,BRA,GK,Cagliari Calcio,Serie A,37,1982,6,5,454,5.0,11,2.18,15,6,40.0,1,1,3,0,0.0,3,2,0,1,0.0
148,Predrag Rajkovic,SRB,GK,Stade Reims,Ligue 1,23,1995,27,27,2430,27.0,18,0.67,84,65,79.8,10,11,6,12,44.4,5,1,3,1,75.0
149,Aaron Ramsdale,ENG,GK,AFC Bournemouth,Premier League,21,1998,37,37,3330,37.0,62,1.68,177,120,67.8,9,7,21,5,13.5,6,5,1,0,16.7
150,Darren Randolph,IRL,GK,West Ham United,Premier League,32,1987,2,2,180,2.0,5,2.50,9,5,55.6,0,1,1,0,0.0,1,1,0,0,0.0
151,Manolo Reina,ESP,GK,RCD Mallorca,La Liga,34,1985,36,36,3240,36.0,60,1.67,164,117,71.3,9,5,22,5,13.9,14,13,1,0,7.1
152,Pepe Reina,ESP,GK,Aston Villa,Premier League,36,1982,12,12,1080,12.0,20,1.67,50,32,64.0,3,3,6,2,16.7,3,2,1,0,33.3
153,Pepe Reina,ESP,GK,AC Milan,Serie A,36,1982,2,2,90,1.0,1,1.00,5,4,80.0,1,0,0,0,0.0,1,0,1,0,100.0
154,Álex Remiro,ESP,GK,Real Sociedad,La Liga,24,1995,25,25,2250,25.0,32,1.28,87,62,71.3,11,4,10,6,24.0,8,7,1,0,12.5
155,Baptiste Reynet,FRA,GK,FC Toulouse,Ligue 1,28,1990,23,22,2034,22.6,49,2.17,112,67,58.9,3,3,16,2,9.1,5,3,2,0,40.0
156,Sergio Rico,ESP,GK,Paris Saint-Germain,Ligue 1,25,1993,2,2,180,2.0,4,2.00,11,7,63.6,2,0,0,0,0.0,0,0,0,0,
157,Roberto,ESP,GK,West Ham United,Premier League,33,1986,8,7,687,7.6,17,2.23,51,36,68.6,0,1,6,0,0.0,1,1,0,0,0.0
158,Roberto,ESP,GK,Deportivo Alavés,La Liga,33,1986,9,8,790,8.8,19,2.16,51,35,68.6,2,1,5,2,25.0,3,3,0,0,0.0
159,Joel Robles,ESP,GK,Real Betis Balompié,La Liga,29,1990,33,33,2887,32.1,48,1.50,118,80,68.6,9,11,13,5,15.2,11,11,0,0,0.0
160,Antonio Rosati,ITA,GK,Torino FC,Serie A,36,1983,1,1,90,1.0,1,1.00,5,4,80.0,0,1,0,0,0.0,0,0,0,0,
161,Francesco Rossi,ITA,GK,Atalanta BC,Serie A,28,1991,1,0,11,0.1,1,8.18,1,0,0.0,0,0,0,0,,0,0,0,0,
162,Rubén Martínez,ESP,GK,CA Osasuna,La Liga,35,1984,19,18,1583,17.6,24,1.36,51,29,58.8,5,9,4,5,27.8,3,3,0,0,0.0
163,Stéphane Ruffier,FRA,GK,AS Saint-Étienne,Ligue 1,32,1986,22,22,1980,22.0,40,1.82,94,56,60.6,6,4,12,3,13.6,4,3,0,1,0.0
