Rk,Player,Nation,Pos,Squad,Comp,Age,Born,Min/90,SCA,SCA/90,PassLiveSh,PassDeadSh,DribSh,ShSh,FldSh,DefSh,GCA,GCA/90,PassLiveG,PassDeadG,DribG,ShG,FldG,DefG
13,Sargis Adamyan,ARM,FW,TSG 1899 Hoffenheim,Bundesliga,26,1993,8.3,20,2.41,16,0,1,1,2,0,4,0.48,3,0,0,0,1,0
14,Antonio Adán,ESP,GK,Atlético de Madrid,La Liga,32,1987,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
15,Bobby Adekanye,NLD,FW,SS Lazio,Serie A,20,1999,2.1,6,2.87,3,0,0,1,2,0,0,0.00,0,0,0,0,0,0
16,Claud Adjapong,ITA,DF,Hellas Verona,Serie A,21,1998,2.6,1,0.39,0,0,1,0,0,0,0,0.00,0,0,0,0,0,0
17,Amine Adli,FRA,MF,FC Toulouse,Ligue 1,19,2000,0.5,3,5.87,2,1,0,0,0,0,0,0.00,0,0,0,0,0,0
18,Yacine Adli,FRA,MF,FC Girondins Bordeaux,Ligue 1,19,2000,11.3,38,3.35,25,5,4,2,1,1,7,0.62,3,1,2,1,0,0
19,Adrián,ESP,GK,Liverpool FC,Premier League,32,1987,9.7,2,0.21,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
20,Aritz Aduriz,ESP,FW,Athletic Bilbao,La Liga,38,1981,2.3,2,0.87,1,0,1,0,0,0,0,0.00,0,0,0,0,0,0
21,Lumor,GHA,DF,RCD Mallorca,La Liga,22,1996,20.1,33,1.65,23,4,2,1,3,0,0,0.00,0,0,0,0,0,0
22,Martín Aguirregabiria,ESP,DF,Deportivo Alavés,La Liga,23,1996,23.3,23,0.99,18,1,2,0,2,0,3,0.13,3,0,0,0,0,0
23,Lucien Agoume,FRA,MF,Inter Milan,Serie A,17,2002,0.8,2,2.65,2,0,0,0,0,0,1,1.32,1,0,0,0,0,0
24,Kevin Agudelo,COL,MF,ACF Fiorentina,Serie A,20,1998,0.7,6,8.44,4,0,2,0,0,0,1,1.41,1,0,0,0,0,0
25,Kevin Agudelo,COL,MF,Genoa CFC,Serie A,20,1998,7.4,31,4.19,21,0,5,0,1,4,2,0.27,1,0,0,0,0,1
26,Nayef Aguerd,MAR,DF,Dijon FCO,Ligue 1,23,1996,10.6,3,0.28,3,0,0,0,0,0,1,0.09,1,0,0,0,0,0
27,Sergio Agüero,ARG,FW,Manchester City,Premier League,31,1988,16.1,51,3.16,28,0,9,9,5,0,8,0.50,4,0,1,2,1,0
28,Ruben Aguilar,FRA,DF,AS Monaco,Ligue 1,26,1993,11.9,24,2.01,22,0,0,0,1,1,3,0.25,3,0,0,0,0,0
29,Emmanuel Badu,GHA,MF,Hellas Verona,Serie A,28,1990,2.6,3,1.17,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0
30,Jean-Eudes Aholou,CIV,MF,AS Saint-Étienne,Ligue 1,25,1994,7.0,12,1.71,7,0,1,0,1,3,1,0.14,0,0,0,0,0,1
31,Joseph Aidoo,GHA,DF,Celta de Vigo,La Liga,23,1995,27.8,13,0.47,9,1,1,2,0,0,2,0.07,2,0,0,0,0,0
32,Ola Aina,NGA,DF,Torino FC,Serie A,22,1996,23.1,46,1.99,25,11,4,0,5,1,7,0.30,3,2,0,0,2,0
33,Youssef Aït Bennasser,MAR,MF,FC Girondins Bordeaux,Ligue 1,23,1996,6.0,8,1.34,8,0,0,0,0,0,2,0.34,2,0,0,0,0,0
34,Rayan Aït Nouri,FRA,DF,SCO Angers,Ligue 1,18,2001,14.2,22,1.54,17,3,0,0,1,1,4,0.28,4,0,0,0,0,0
35,Albian Ajeti,CHE,MF,West Ham United,Premier League,22,1997,1.5,2,1.29,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
36,Ludovic Ajorque,REU,FW,RC Strasbourg Alsace,Ligue 1,25,1994,22.9,36,1.57,27,0,3,3,2,1,10,0.44,6,0,1,1,2,0
37,Manuel Akanji,CHE,DF,Borussia Dortmund,Bundesliga,24,1995,25.7,10,0.39,9,1,0,0,0,0,3,0.12,3,0,0,0,0,0
38,Marley Aké,FRA,FW,Olympique Marseille,Ligue 1,18,2001,1.1,4,3.64,3,0,1,0,0,0,1,0.91,1,0,0,0,0,0
39,Nathan Aké,NLD,DF,AFC Bournemouth,Premier League,24,1995,27.8,13,0.47,7,0,1,4,1,0,2,0.07,1,0,0,1,0,0
40,Chadrac Akolo,COD,FW,Amiens SC,Ligue 1,24,1995,6.0,17,2.81,9,0,2,2,1,3,4,0.66,1,0,1,1,0,1
41,Kevin Akpoguma,NGA,DF,TSG 1899 Hoffenheim,Bundesliga,24,1995,12.7,4,0.32,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0
42,David Alaba,AUT,DF,Bayern Munich,Bundesliga,27,1992,27.8,38,1.37,33,2,1,2,0,0,2,0.07,1,1,0,0,0,0
43,Sofiane Alakouch,FRA,DF,Nîmes Olympique,Ligue 1,21,1998,15.6,25,1.61,22,1,1,0,1,0,3,0.19,3,0,0,0,0,0
44,Lucas Alario,ARG,FW,Bayer 04 Leverkusen,Bundesliga,26,1992,13.0,30,2.30,21,0,2,7,0,0,3,0.23,1,0,0,2,0,0
45,Jordi Alba,ESP,DF,FC Barcelona,La Liga,30,1989,24.3,45,1.85,44,1,0,0,0,0,5,0.21,5,0,0,0,0,0
46,Luis Alberto,ESP,MF,SS Lazio,Serie A,26,1992,34.6,206,5.96,135,37,16,12,2,3,29,0.84,22,2,0,2,1,1
47,Raúl Albiol,ESP,DF,Villarreal CF,La Liga,33,1985,36.0,16,0.44,16,0,0,0,0,0,1,0.03,1,0,0,0,0,0
48,Marc Albrighton,ENG,MF,Leicester City,Premier League,29,1989,9.6,26,2.70,22,2,1,1,0,0,5,0.52,5,0,0,0,0,0
49,Paco Alcácer,ESP,FW,Villarreal CF,La Liga,25,1993,10.3,16,1.56,14,0,0,1,1,0,3,0.29,2,0,0,0,1,0
50,Paco Alcácer,ESP,FW,Borussia Dortmund,Bundesliga,25,1993,5.9,14,2.38,10,1,2,0,1,0,3,0.51,2,1,0,0,0,0
51,Thiago,ESP,MF,Bayern Munich,Bundesliga,28,1991,19.7,57,2.90,44,5,3,3,1,1,8,0.41,6,0,2,0,0,0
52,Rubén Alcaraz,ESP,MF,Real Valladolid CF,La Liga,28,1991,21.4,44,2.06,24,6,5,4,5,0,4,0.19,4,0,0,0,0,0
53,Toby Alderweireld,BEL,DF,Tottenham Hotspur,Premier League,30,1989,32.9,21,0.64,18,0,0,1,0,2,3,0.09,2,0,0,0,0,1
54,Haitam Aleesami,NOR,DF,Amiens SC,Ligue 1,28,1991,21.3,27,1.27,23,3,0,0,0,1,3,0.14,3,0,0,0,0,0
55,Alex Alegría,ESP,FW,RCD Mallorca,La Liga,26,1992,1.2,1,0.83,0,0,0,0,1,0,0,0.00,0,0,0,0,0,0
56,Carles Aleñá,ESP,MF,FC Barcelona,La Liga,21,1998,1.9,2,1.05,2,0,0,0,0,0,1,0.52,1,0,0,0,0,0
57,Carles Aleñá,ESP,MF,Real Betis Balompié,La Liga,21,1998,8.2,13,1.59,13,0,0,0,0,0,1,0.12,1,0,0,0,0,0
58,Rúnar Alex Rúnarsson,ISL,GK,Dijon FCO,Ligue 1,24,1995,10.0,3,0.30,1,2,0,0,0,0,0,0.00,0,0,0,0,0,0
59,Trent Alexander-Arnold,ENG,DF,Liverpool FC,Premier League,20,1998,35.3,152,4.31,91,50,3,5,1,1,24,0.68,14,7,0,2,0,0
60,Enrico Alfonso,ITA,GK,Brescia Calcio,Serie A,31,1988,3.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
61,Rachid Alioui,MAR,FW,SCO Angers,Ligue 1,27,1992,17.4,39,2.25,30,0,4,3,2,0,2,0.12,2,0,0,0,0,0
62,Alisson,BRA,GK,Liverpool FC,Premier League,26,1992,28.3,4,0.14,4,0,0,0,0,0,1,0.04,1,0,0,0,0,0
63,Allan,BRA,MF,SSC Napoli,Serie A,28,1991,14.2,41,2.88,36,0,4,0,0,1,3,0.21,3,0,0,0,0,0
64,Dele Alli,ENG,MF,Tottenham Hotspur,Premier League,23,1996,20.5,54,2.63,39,1,9,2,2,1,12,0.58,5,0,5,2,0,0
65,Miguel Almirón,PRY,MF,Newcastle United,Premier League,25,1994,33.6,80,2.38,58,0,7,5,7,3,2,0.06,2,0,0,0,0,0
66,Marcos Alonso,ESP,DF,Chelsea FC,Premier League,28,1990,15.9,47,2.96,36,5,1,2,3,0,6,0.38,4,0,0,0,2,0
67,Mickaël Alphonse,GLP,DF,Dijon FCO,Ligue 1,30,1989,15.3,17,1.11,12,4,0,0,1,0,3,0.20,2,1,0,0,0,0
68,Sergio Álvarez,ESP,GK,Celta de Vigo,La Liga,32,1986,2.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
69,Sergio Álvarez,ESP,MF,SD Eibar,La Liga,27,1992,12.7,12,0.94,10,0,1,0,0,1,0,0.00,0,0,0,0,0,0
70,Yeray Álvarez,ESP,DF,Athletic Bilbao,La Liga,24,1995,31.2,19,0.61,17,0,0,0,1,1,1,0.03,1,0,0,0,0,0
71,Bruno Alves,PRT,DF,Parma Calcio 1913,Serie A,37,1981,29.7,15,0.51,11,1,0,2,0,1,0,0.00,0,0,0,0,0,0
72,Steven Alzate,COL,MF,Brighton & Hove Albion,Premier League,20,1998,13.2,30,2.27,22,0,5,2,1,0,1,0.08,0,0,0,0,1,0
73,Ibrahim Amadou,FRA,DF,Norwich City,Premier League,26,1993,8.4,1,0.12,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
74,Ibrahim Amadou,FRA,MF,CD Leganés,La Liga,26,1993,8.6,2,0.23,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
75,Romain Amalfitano,FRA,MF,Dijon FCO,Ligue 1,29,1989,18.8,27,1.43,18,0,3,2,3,1,2,0.11,2,0,0,0,0,0
76,Amath Ndiaye,SEN,MF,Getafe CF,La Liga,23,1996,0.7,1,1.36,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
77,Jordan Amavi,FRA,DF,Olympique Marseille,Ligue 1,25,1994,24.0,27,1.12,21,1,1,1,1,2,2,0.08,2,0,0,0,0,0
78,Thierry Ambrose,FRA,FW,FC Metz,Ligue 1,22,1997,6.1,23,3.78,17,0,4,1,1,0,0,0.00,0,0,0,0,0,0
79,Kelvin Amian,FRA,DF,FC Toulouse,Ligue 1,21,1998,18.1,11,0.61,10,0,0,1,0,0,1,0.06,1,0,0,0,0,0
80,Nadiem Amiri,DEU,MF,Bayer 04 Leverkusen,Bundesliga,22,1996,20.6,89,4.31,57,22,6,2,2,0,9,0.44,8,0,0,0,1,0
81,Ethan Ampadu,WAL,DF,RB Leipzig,Bundesliga,18,2000,0.9,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
82,Nana Ampomah,GHA,FW,Fortuna Düsseldorf,Bundesliga,23,1996,5.6,17,3.06,11,0,4,1,1,0,0,0.00,0,0,0,0,0,0
83,Sofyan Amrabat,MAR,MF,Hellas Verona,Serie A,22,1996,32.4,75,2.31,63,0,5,0,4,3,5,0.15,4,0,0,0,1,0
84,Joachim Andersen,DNK,DF,Olympique Lyon,Ligue 1,23,1996,17.0,12,0.71,12,0,0,0,0,0,0,0.00,0,0,0,0,0,0
85,Djavan Anderson,NLD,DF,SS Lazio,Serie A,24,1995,1.9,2,1.08,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
86,Felipe Anderson,BRA,MF,West Ham United,Premier League,26,1993,16.6,58,3.49,44,2,5,3,3,1,8,0.48,7,0,1,0,0,0
87,Sebastian Andersson,SWE,FW,1.FC Union Berlin,Bundesliga,28,1991,29.8,48,1.61,35,0,4,5,2,1,9,0.30,2,0,2,4,0,0
88,Florin Andone,ROU,MF,Brighton & Hove Albion,Premier League,26,1993,0.8,1,1.23,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
89,Benjamin André,FRA,MF,LOSC Lille,Ligue 1,28,1990,22.8,43,1.88,34,0,3,1,1,4,5,0.22,4,0,0,0,0,1
90,Lorenzo Andrenacci,ITA,GK,Brescia Calcio,Serie A,24,1995,5.9,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
91,Robert Andrich,DEU,MF,1.FC Union Berlin,Bundesliga,24,1994,28.6,79,2.76,54,5,4,9,5,2,6,0.21,5,0,0,0,1,0
92,Victorien Angban,CIV,MF,FC Metz,Ligue 1,22,1996,11.4,11,0.96,10,0,0,0,1,0,0,0.00,0,0,0,0,0,0
93,Miguel Ángel Guerrero,ESP,FW,CD Leganés,La Liga,29,1990,8.8,18,2.05,14,0,1,0,3,0,2,0.23,1,0,0,0,1,0
94,Miguel Ángel Moyá,ESP,GK,Real Sociedad,La Liga,35,1984,13.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
95,José Ángel,ESP,DF,SD Eibar,La Liga,29,1989,26.2,51,1.94,35,10,0,3,2,1,5,0.19,4,0,0,1,0,0
96,Angeliño,ESP,DF,RB Leipzig,Bundesliga,22,1997,12.2,39,3.21,24,10,4,1,0,0,5,0.41,3,1,1,0,0,0
97,Angeliño,ESP,DF,Manchester City,Premier League,22,1997,4.7,14,2.98,13,0,1,0,0,0,0,0.00,0,0,0,0,0,0
98,Faustino Anjorin,ENG,FW,Chelsea FC,Premier League,17,2001,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
99,Peter Ankersen,DNK,DF,Genoa CFC,Serie A,28,1990,11.8,21,1.78,17,0,3,1,0,0,1,0.08,1,0,0,0,0,0
100,Cristian Ansaldi,ARG,DF,Torino FC,Serie A,32,1986,19.6,58,2.95,42,4,5,2,2,3,8,0.41,6,0,2,0,0,0
101,Janis Antiste,FRA,MF,FC Toulouse,Ligue 1,16,2002,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
102,Michail Antonio,ENG,FW,West Ham United,Premier League,29,1990,19.6,59,3.00,31,1,15,5,6,1,7,0.36,2,0,2,2,1,0
103,Antoñito,ESP,DF,Real Valladolid CF,La Liga,31,1987,11.4,19,1.66,16,1,0,0,0,2,0,0.00,0,0,0,0,0,0
104,Mirko Antonucci,ITA,FW,AS Roma,Serie A,20,1999,0.9,2,2.20,1,0,0,0,0,1,0,0.00,0,0,0,0,0,0
105,Vitorino Antunes,PRT,MF,Getafe CF,La Liga,32,1987,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
106,Christopher Antwi-Adjei,GHA,MF,SC Paderborn 07,Bundesliga,25,1994,27.4,80,2.91,53,8,9,2,7,1,5,0.18,3,1,1,0,0,0
107,Anuar,MAR,MF,Real Valladolid CF,La Liga,24,1995,2.1,2,0.95,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
108,Houssem Aouar,FRA,MF,Olympique Lyon,Ligue 1,21,1998,21.7,69,3.17,45,1,8,6,7,2,10,0.46,9,0,0,1,0,0
109,Adil Aouchiche,FRA,MF,Paris Saint-Germain,Ligue 1,17,2002,0.7,1,1.41,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
110,Dennis Appiah,FRA,DF,FC Nantes,Ligue 1,27,1992,17.8,18,1.01,13,4,0,0,0,1,0,0.00,0,0,0,0,0,0
111,Mauro Arambarri,URY,MF,Getafe CF,La Liga,23,1995,34.1,37,1.09,19,7,2,4,5,0,4,0.12,3,1,0,0,0,0
112,Guilherme Arana,BRA,DF,Atalanta BC,Serie A,22,1997,0.9,2,2.25,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
113,Charles Aránguiz,CHL,MF,Bayer 04 Leverkusen,Bundesliga,30,1989,23.5,43,1.83,38,1,0,0,2,1,5,0.21,4,0,0,0,0,0
114,Luiz Araújo,BRA,FW,LOSC Lille,Ligue 1,23,1996,9.2,31,3.37,16,1,8,2,3,1,2,0.22,1,0,0,1,0,0
115,Néstor Araújo,MEX,DF,Celta de Vigo,La Liga,27,1991,32.1,7,0.22,4,0,1,2,0,0,3,0.09,2,0,0,1,0,0
116,Ronald Araújo,URY,DF,FC Barcelona,La Liga,20,1999,2.6,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
117,Anaitz Arbilla,ESP,DF,SD Eibar,La Liga,32,1987,22.3,20,0.90,15,3,0,2,0,0,2,0.09,2,0,0,0,0,0
118,Alphonse Areola,FRA,GK,Real Madrid,La Liga,26,1993,4.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
119,Alphonse Areola,FRA,GK,Paris Saint-Germain,Ligue 1,26,1993,3.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
120,Santiago Arias,COL,DF,Atlético de Madrid,La Liga,27,1992,12.0,21,1.76,18,2,0,1,0,0,2,0.17,2,0,0,0,0,0
121,Nicolò Armini,ITA,DF,SS Lazio,Serie A,18,2001,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
122,Stuart Armstrong,SCO,MF,Southampton FC,Premier League,27,1992,19.1,50,2.62,37,0,4,4,3,2,9,0.47,5,0,1,2,0,1
123,José Manuel Arnáiz,ESP,FW,CA Osasuna,La Liga,24,1995,8.8,15,1.71,10,0,0,1,4,0,2,0.23,1,0,0,0,1,0
124,José Manuel Arnáiz,ESP,MF,CD Leganés,La Liga,24,1995,3.7,14,3.74,8,2,3,0,1,0,0,0.00,0,0,0,0,0,0
125,Maximilian Arnold,DEU,MF,VfL Wolfsburg,Bundesliga,25,1994,31.3,121,3.86,51,49,4,8,8,1,13,0.41,5,5,0,2,1,0
126,Kepa,ESP,GK,Chelsea FC,Premier League,24,1994,33.0,1,0.03,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0
127,Kwadwo Asamoah,GHA,DF,Inter Milan,Serie A,30,1988,7.1,16,2.25,16,0,0,0,0,0,3,0.42,3,0,0,0,0,0
128,Santiago Ascacíbar,ARG,MF,Hertha BSC,Bundesliga,22,1997,7.0,4,0.57,4,0,0,0,0,0,1,0.14,1,0,0,0,0,0
129,Sergio Asenjo,ESP,GK,Villarreal CF,La Liga,30,1989,34.0,3,0.09,2,1,0,0,0,0,1,0.03,1,0,0,0,0,0
130,Marco Asensio,ESP,FW,Real Madrid,La Liga,23,1996,3.7,11,2.95,8,0,2,1,0,0,1,0.27,1,0,0,0,0,0
131,Kristoffer Askildsen,NOR,MF,UC Sampdoria,Serie A,18,2001,0.8,5,5.92,3,0,2,0,0,0,0,0.00,0,0,0,0,0,0
132,Iago Aspas,ESP,FW,Celta de Vigo,La Liga,31,1987,36.2,107,2.95,76,1,10,5,11,4,12,0.33,6,0,4,0,2,0
133,Roger Assalé,CIV,FW,CD Leganés,La Liga,25,1993,5.9,19,3.22,13,0,1,0,5,0,3,0.51,1,0,0,0,2,0
134,Miguel Atienza,ESP,MF,SD Eibar,La Liga,20,1999,0.3,1,3.00,0,0,0,1,0,0,0,0.00,0,0,0,0,0,0
135,Christian Atsu,GHA,FW,Newcastle United,Premier League,27,1992,8.3,23,2.76,17,2,2,0,1,1,3,0.36,2,1,0,0,0,0
136,Youcef Atal,DZA,FW,OGC Nice,Ligue 1,23,1996,11.1,32,2.87,18,0,9,1,3,1,2,0.18,1,0,0,0,1,0
137,Pierre-Emerick Aubameyang,GAB,FW,Arsenal FC,Premier League,30,1989,34.8,56,1.61,38,0,7,4,5,2,10,0.29,6,0,0,2,1,1
138,Emil Audero,ITA,GK,UC Sampdoria,Serie A,22,1997,36.0,2,0.06,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
139,Tommaso Augello,ITA,DF,UC Sampdoria,Serie A,24,1994,12.6,40,3.17,35,2,2,0,0,1,3,0.24,3,0,0,0,0,0
140,Jean-Kévin Augustin,FRA,FW,AS Monaco,Ligue 1,22,1997,3.0,7,2.37,2,0,1,0,4,0,2,0.68,0,0,0,0,2,0
141,Ludwig Augustinsson,SWE,DF,SV Werder Bremen,Bundesliga,25,1994,10.3,20,1.95,15,4,0,0,1,0,1,0.10,1,0,0,0,0,0
142,Serge Aurier,CIV,DF,Tottenham Hotspur,Premier League,26,1992,30.0,49,1.63,43,2,2,0,0,1,6,0.20,4,0,1,0,0,0
143,Mathias Autret,FRA,MF,Stade Brest 29,Ligue 1,28,1991,13.6,57,4.20,36,14,2,2,1,2,6,0.44,5,0,0,1,0,0
144,Chimy Ávila,ARG,FW,CA Osasuna,La Liga,25,1994,17.7,50,2.83,29,0,7,5,7,2,7,0.40,3,0,1,0,2,1
145,Javier Avilés,ESP,MF,CD Leganés,La Liga,21,1997,2.0,6,2.93,5,0,1,0,0,0,2,0.98,1,0,1,0,0,0
146,Chidozie Awaziem,NGA,DF,CD Leganés,La Liga,22,1997,22.2,10,0.45,8,0,0,1,1,0,0,0.00,0,0,0,0,0,0
147,Taiwo Awoniyi,NGA,FW,1.FSV Mainz 05,Bundesliga,21,1997,5.4,12,2.24,10,0,2,0,0,0,0,0.00,0,0,0,0,0,0
148,Florian Ayé,FRA,FW,Brescia Calcio,Serie A,22,1997,15.3,30,1.96,16,1,4,6,3,0,1,0.07,0,0,0,0,1,0
149,Jordan Ayew,GHA,FW,Crystal Palace,Premier League,27,1991,35.0,68,1.94,43,0,11,1,11,2,7,0.20,3,0,3,0,1,0
150,Kaan Ayhan,TUR,DF,Fortuna Düsseldorf,Bundesliga,24,1994,30.3,31,1.02,27,0,0,1,0,3,3,0.10,3,0,0,0,0,0
151,Ramon Azeez,NGA,MF,Granada CF,La Liga,26,1992,15.1,17,1.12,11,1,0,2,1,2,1,0.07,1,0,0,0,0,0
152,César Azpilicueta,ESP,DF,Chelsea FC,Premier League,29,1989,35.9,80,2.23,71,2,1,2,3,1,7,0.20,6,1,0,0,0,0
153,Ludovic Baal,GUF,DF,Stade Brest 29,Ligue 1,33,1986,9.2,20,2.18,17,1,1,0,1,0,1,0.11,1,0,0,0,0,0
154,Iddrisu Baba,GHA,MF,RCD Mallorca,La Liga,23,1996,32.3,25,0.78,24,0,0,0,1,0,1,0.03,1,0,0,0,0,0
155,Khouma Babacar,SEN,FW,US Lecce,Serie A,26,1993,15.8,46,2.91,27,0,6,5,7,1,5,0.32,0,0,1,1,3,0
156,Carlos Bacca,COL,FW,Villarreal CF,La Liga,32,1986,7.6,12,1.57,7,0,3,0,2,0,2,0.26,1,0,0,0,1,0
157,Milan Badelj,HRV,MF,ACF Fiorentina,Serie A,30,1989,17.6,44,2.50,36,2,2,0,3,1,1,0.06,1,0,0,0,0,0
158,Matthias Bader,DEU,DF,1. FC Köln,Bundesliga,22,1997,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
159,Bastian Badu,FRA,FW,Montpellier HSC,Ligue 1,19,2000,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
160,Álex Baena,ESP,MF,Villarreal CF,La Liga,18,2001,0.2,1,6.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
161,Stéphane Bahoken,CMR,FW,SCO Angers,Ligue 1,27,1992,10.1,21,2.08,16,0,0,3,1,1,3,0.30,2,0,0,1,0,0
162,Daniel Baier,DEU,MF,FC Augsburg,Bundesliga,35,1984,21.6,33,1.53,27,0,1,1,3,1,4,0.19,3,0,0,0,1,0
163,Leon Bailey,JAM,FW,Bayer 04 Leverkusen,Bundesliga,21,1997,12.1,41,3.39,22,10,3,4,2,0,8,0.66,4,2,0,1,1,0
164,Eric Bailly,CIV,DF,Manchester United,Premier League,25,1994,1.7,1,0.60,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
165,Denys Bain,FRA,DF,Stade Brest 29,Ligue 1,26,1993,14.1,4,0.28,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0
166,Leighton Baines,ENG,DF,Everton FC,Premier League,34,1984,4.5,12,2.67,8,3,0,0,1,0,0,0.00,0,0,0,0,0,0
167,Stefan Bajic,FRA,GK,AS Saint-Étienne,Ligue 1,17,2001,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
168,Tiemoué Bakayoko,FRA,MF,AS Monaco,Ligue 1,24,1994,19.1,30,1.57,18,0,3,2,5,2,3,0.16,2,0,1,0,0,0
169,Lewis Baker,ENG,MF,Fortuna Düsseldorf,Bundesliga,24,1995,6.1,15,2.48,7,2,2,1,3,0,1,0.17,1,0,0,0,0,0
170,Mitchel Bakker,NLD,DF,Paris Saint-Germain,Ligue 1,19,2000,1.0,1,1.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
171,Ridle Baku,DEU,DF,1.FSV Mainz 05,Bundesliga,21,1998,26.1,65,2.49,51,3,3,2,6,0,10,0.38,9,1,0,0,0,0
172,Fabián Balbuena,PRY,DF,West Ham United,Premier League,27,1991,13.1,4,0.31,3,0,0,1,0,0,0,0.00,0,0,0,0,0,0
173,Keita Baldé,SEN,FW,AS Monaco,Ligue 1,24,1995,9.5,22,2.31,15,0,2,2,3,0,5,0.52,3,0,0,1,1,0
174,George Baldock,ENG,DF,Sheffield United,Premier League,26,1993,38.0,65,1.71,52,4,6,0,3,0,6,0.16,4,0,1,0,1,0
175,Gareth Bale,WAL,FW,Real Madrid,La Liga,30,1989,12.1,33,2.73,21,2,5,3,2,0,7,0.58,6,0,0,1,0,0
176,Mikel Balenziaga,ESP,DF,Athletic Bilbao,La Liga,31,1988,6.3,2,0.32,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
177,Leonardo Balerdi,ARG,DF,Borussia Dortmund,Bundesliga,20,1999,1.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
