Rk,Player,Nation,Pos,Squad,Comp,Age,Born,Min/90,SCA,SCA/90,PassLiveSh,PassDeadSh,DribSh,ShSh,FldSh,DefSh,GCA,GCA/90,PassLiveG,PassDeadG,DribG,ShG,FldG,DefG
1,Patrick van Aanholt,NLD,DF,Crystal Palace,Premier League,28,1990,27.9,62,2.23,32,23,3,2,2,0,5,0.18,3,1,1,0,0,0
2,Max Aarons,ENG,DF,Norwich City,Premier League,19,2000,36.0,55,1.53,42,2,3,3,4,1,3,0.08,1,1,0,0,1,0
3,Yunis Abdelhamid,MAR,DF,Stade Reims,Ligue 1,31,1987,28.0,16,0.57,11,0,0,4,1,0,1,0.04,1,0,0,0,0,0
4,Suleiman Abdullahi,NGA,FW,1.FC Union Berlin,Bundesliga,22,1996,1.7,2,1.15,1,0,1,0,0,0,0,0.00,0,0,0,0,0,0
5,Mehdi Abeid,DZA,MF,FC Nantes,Ligue 1,26,1992,20.2,46,2.28,27,14,1,2,1,1,4,0.20,2,1,0,1,0,0
6,Charles Abi,FRA,FW,AS Saint-Étienne,Ligue 1,19,2000,6.9,12,1.73,8,0,0,0,4,0,1,0.14,0,0,0,0,1,0
7,David Abraham,ARG,DF,Eintracht Frankfurt,Bundesliga,33,1986,18.8,11,0.59,10,0,0,1,0,0,0,0.00,0,0,0,0,0,0
8,Tammy Abraham,ENG,FW,Chelsea FC,Premier League,21,1997,24.6,50,2.03,33,0,6,6,2,3,10,0.41,4,0,3,2,1,0
9,Amir Abrashi,ALB,MF,SC Freiburg,Bundesliga,29,1990,7.4,10,1.36,8,1,1,0,0,0,0,0.00,0,0,0,0,0,0
10,Francesco Acerbi,ITA,DF,SS Lazio,Serie A,31,1988,35.1,27,0.77,24,0,1,1,1,0,3,0.09,3,0,0,0,0,0
11,Ché Adams,SCO,FW,Southampton FC,Premier League,23,1996,12.3,25,2.03,15,0,3,2,4,1,5,0.41,2,0,1,0,2,0
12,Tyler Adams,USA,DF,RB Leipzig,Bundesliga,20,1999,10.6,18,1.70,14,1,0,2,1,0,2,0.19,1,0,0,0,1,0
