Rk,Player,Nation,Pos,Squad,Comp,Age,Born,Min/90,CrdY,CrdR,2CrdY,FlsCom,FlsRec,Off,Crs,Int,TklW,PKRec,PKCom,OG,Recov,AWon,ALost,AWon%
1,Patrick van Aanholt,NLD,DF,Crystal Palace,Premier League,28,1990,27.9,0,0,0,9,8,2,44,23,32,0,0,1,243,12,17,41.4
2,Max Aarons,ENG,DF,Norwich City,Premier League,19,2000,36.0,7,0,0,29,49,3,54,20,36,1,0,0,281,23,42,35.4
3,Yunis Abdelhamid,MAR,DF,Stade Reims,Ligue 1,31,1987,28.0,0,0,0,21,20,0,1,24,37,0,1,0,226,86,42,67.2
4,Suleiman Abdullahi,NGA,FW,1.FC Union Berlin,Bundesliga,22,1996,1.7,1,0,0,0,0,3,7,1,1,0,0,0,15,6,11,35.3
5,Mehdi Abeid,DZA,MF,FC Nantes,Ligue 1,26,1992,20.2,5,0,0,55,43,1,18,17,41,0,1,0,194,14,19,42.4
6,Charles Abi,FRA,FW,AS Saint-Étienne,Ligue 1,19,2000,6.9,2,0,0,16,10,7,4,4,8,1,0,0,25,27,39,40.9
7,David Abraham,ARG,DF,Eintracht Frankfurt,Bundesliga,33,1986,18.8,2,1,0,14,12,0,5,16,22,0,0,0,224,51,32,61.4
8,Tammy Abraham,ENG,FW,Chelsea FC,Premier League,21,1997,24.6,2,0,0,17,24,23,10,5,10,1,0,1,95,67,110,37.9
9,Amir Abrashi,ALB,MF,SC Freiburg,Bundesliga,29,1990,7.4,3,0,0,17,12,0,5,8,13,0,0,0,84,12,9,57.1
10,Francesco Acerbi,ITA,DF,SS Lazio,Serie A,31,1988,35.1,4,0,0,25,41,5,24,28,33,1,0,0,357,72,35,67.3
11,Ché Adams,SCO,FW,Southampton FC,Premier League,23,1996,12.3,0,0,0,17,16,10,12,3,6,1,0,0,73,29,86,25.2
12,Tyler Adams,USA,DF,RB Leipzig,Bundesliga,20,1999,10.6,0,0,0,9,16,0,9,7,12,0,0,0,106,10,16,38.5
13,Sargis Adamyan,ARM,FW,TSG 1899 Hoffenheim,Bundesliga,26,1993,8.3,1,0,0,12,7,7,6,3,4,1,0,0,47,14,40,25.9
14,Antonio Adán,ESP,GK,Atlético de Madrid,La Liga,32,1987,0.3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,
15,Bobby Adekanye,NLD,FW,SS Lazio,Serie A,20,1999,2.1,1,0,0,2,3,1,1,2,3,0,0,0,10,1,6,14.3
16,Claud Adjapong,ITA,DF,Hellas Verona,Serie A,21,1998,2.6,0,0,0,3,2,1,2,3,3,0,0,0,12,4,2,66.7
17,Amine Adli,FRA,MF,FC Toulouse,Ligue 1,19,2000,0.5,1,0,0,2,0,0,1,1,0,0,0,0,4,1,1,50.0
18,Yacine Adli,FRA,MF,FC Girondins Bordeaux,Ligue 1,19,2000,11.3,3,0,0,13,18,0,11,9,18,0,0,0,85,9,14,39.1
19,Adrián,ESP,GK,Liverpool FC,Premier League,32,1987,9.7,1,0,0,0,1,0,0,0,0,0,0,0,47,0,0,
20,Aritz Aduriz,ESP,FW,Athletic Bilbao,La Liga,38,1981,2.3,3,0,0,7,1,0,1,0,1,0,0,0,7,20,6,76.9
21,Lumor,GHA,DF,RCD Mallorca,La Liga,22,1996,20.1,5,1,1,13,10,0,54,11,23,0,0,0,205,14,15,48.3
22,Martín Aguirregabiria,ESP,DF,Deportivo Alavés,La Liga,23,1996,23.3,5,1,0,32,19,1,30,9,22,0,1,0,207,23,20,53.5
23,Lucien Agoume,FRA,MF,Inter Milan,Serie A,17,2002,0.8,1,0,0,1,0,0,1,1,3,0,0,0,10,1,0,100.0
24,Kevin Agudelo,COL,MF,ACF Fiorentina,Serie A,20,1998,0.7,0,0,0,3,1,0,0,0,1,0,0,0,11,0,2,0.0
25,Kevin Agudelo,COL,MF,Genoa CFC,Serie A,20,1998,7.4,5,1,1,20,11,1,10,6,18,0,1,0,55,4,6,40.0
26,Nayef Aguerd,MAR,DF,Dijon FCO,Ligue 1,23,1996,10.6,2,0,0,13,6,0,0,10,11,0,0,0,94,41,13,75.9
27,Sergio Agüero,ARG,FW,Manchester City,Premier League,31,1988,16.1,1,0,0,9,9,6,8,2,5,2,0,0,61,2,14,12.5
28,Ruben Aguilar,FRA,DF,AS Monaco,Ligue 1,26,1993,11.9,2,2,0,10,20,0,52,11,28,0,0,0,119,16,15,51.6
29,Emmanuel Badu,GHA,MF,Hellas Verona,Serie A,28,1990,2.6,2,0,0,7,3,1,0,1,1,0,0,0,22,5,12,29.4
30,Jean-Eudes Aholou,CIV,MF,AS Saint-Étienne,Ligue 1,25,1994,7.0,3,1,0,11,14,1,2,12,19,0,0,0,72,12,10,54.5
31,Joseph Aidoo,GHA,DF,Celta de Vigo,La Liga,23,1995,27.8,4,0,0,17,16,0,1,33,26,0,2,0,248,59,50,54.1
32,Ola Aina,NGA,DF,Torino FC,Serie A,22,1996,23.1,8,0,0,26,35,2,70,26,28,0,0,0,165,26,23,53.1
33,Youssef Aït Bennasser,MAR,MF,FC Girondins Bordeaux,Ligue 1,23,1996,6.0,1,0,0,10,3,0,1,5,7,0,0,0,79,8,7,53.3
34,Rayan Aït Nouri,FRA,DF,SCO Angers,Ligue 1,18,2001,14.2,3,0,0,11,12,0,38,13,18,0,0,0,143,19,8,70.4
35,Albian Ajeti,CHE,MF,West Ham United,Premier League,22,1997,1.5,0,0,0,6,0,2,0,1,0,0,0,0,4,1,9,10.0
36,Ludovic Ajorque,REU,FW,RC Strasbourg Alsace,Ligue 1,25,1994,22.9,3,0,0,37,21,4,18,3,14,1,1,0,74,112,71,61.2
37,Manuel Akanji,CHE,DF,Borussia Dortmund,Bundesliga,24,1995,25.7,2,0,0,11,23,0,0,18,23,0,0,1,231,41,31,56.9
38,Marley Aké,FRA,FW,Olympique Marseille,Ligue 1,18,2001,1.1,1,0,0,3,3,0,1,2,2,0,0,0,7,0,4,0.0
39,Nathan Aké,NLD,DF,AFC Bournemouth,Premier League,24,1995,27.8,2,0,0,9,13,3,2,27,11,0,0,0,247,64,58,52.5
40,Chadrac Akolo,COD,FW,Amiens SC,Ligue 1,24,1995,6.0,1,0,0,9,8,2,7,5,13,0,0,0,35,4,10,28.6
41,Kevin Akpoguma,NGA,DF,TSG 1899 Hoffenheim,Bundesliga,24,1995,12.7,2,0,0,8,13,1,1,11,11,0,1,1,121,21,26,44.7
42,David Alaba,AUT,DF,Bayern Munich,Bundesliga,27,1992,27.8,0,0,0,10,7,1,25,11,17,0,0,0,328,22,27,44.9
43,Sofiane Alakouch,FRA,DF,Nîmes Olympique,Ligue 1,21,1998,15.6,3,0,0,14,26,2,27,18,30,0,1,1,148,8,20,28.6
44,Lucas Alario,ARG,FW,Bayer 04 Leverkusen,Bundesliga,26,1992,13.0,6,0,0,23,13,18,5,2,2,0,0,0,49,34,51,40.0
45,Jordi Alba,ESP,DF,FC Barcelona,La Liga,30,1989,24.3,7,0,0,18,18,5,79,25,14,0,0,1,211,10,14,41.7
46,Luis Alberto,ESP,MF,SS Lazio,Serie A,26,1992,34.6,5,0,0,20,38,1,44,16,34,0,0,0,292,8,15,34.8
47,Raúl Albiol,ESP,DF,Villarreal CF,La Liga,33,1985,36.0,9,0,0,30,25,2,4,17,33,0,2,0,338,78,41,65.5
48,Marc Albrighton,ENG,MF,Leicester City,Premier League,29,1989,9.6,2,0,0,8,11,1,49,9,11,0,1,0,90,2,5,28.6
49,Paco Alcácer,ESP,FW,Villarreal CF,La Liga,25,1993,10.3,1,0,0,4,11,13,3,2,2,1,0,0,40,8,18,30.8
50,Paco Alcácer,ESP,FW,Borussia Dortmund,Bundesliga,25,1993,5.9,0,0,0,2,3,7,2,2,2,0,0,0,17,4,15,21.1
51,Thiago,ESP,MF,Bayern Munich,Bundesliga,28,1991,19.7,7,0,0,24,14,0,7,23,38,0,0,0,305,29,38,43.3
52,Rubén Alcaraz,ESP,MF,Real Valladolid CF,La Liga,28,1991,21.4,10,0,0,37,57,0,12,16,36,0,2,0,283,43,43,50.0
53,Toby Alderweireld,BEL,DF,Tottenham Hotspur,Premier League,30,1989,32.9,7,0,0,18,4,1,8,11,24,0,0,1,322,76,54,58.5
54,Haitam Aleesami,NOR,DF,Amiens SC,Ligue 1,28,1991,21.3,4,0,0,31,9,1,36,26,28,0,0,0,197,38,22,63.3
55,Alex Alegría,ESP,FW,RCD Mallorca,La Liga,26,1992,1.2,0,0,0,5,4,1,0,1,0,0,0,0,5,11,9,55.0
56,Carles Aleñá,ESP,MF,FC Barcelona,La Liga,21,1998,1.9,0,0,0,3,2,0,0,0,1,0,0,0,12,2,3,40.0
57,Carles Aleñá,ESP,MF,Real Betis Balompié,La Liga,21,1998,8.2,1,0,0,9,19,3,2,1,11,0,0,0,55,4,11,26.7
58,Rúnar Alex Rúnarsson,ISL,GK,Dijon FCO,Ligue 1,24,1995,10.0,0,0,0,0,2,0,0,0,0,0,0,0,45,0,0,
59,Trent Alexander-Arnold,ENG,DF,Liverpool FC,Premier League,20,1998,35.3,5,0,0,22,9,3,183,34,25,0,0,0,352,14,32,30.4
60,Enrico Alfonso,ITA,GK,Brescia Calcio,Serie A,31,1988,3.1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,
61,Rachid Alioui,MAR,FW,SCO Angers,Ligue 1,27,1992,17.4,1,0,0,24,34,5,14,4,11,0,0,0,67,43,63,40.6
62,Alisson,BRA,GK,Liverpool FC,Premier League,26,1992,28.3,0,1,0,1,1,0,0,1,0,0,0,0,153,0,0,
63,Allan,BRA,MF,SSC Napoli,Serie A,28,1991,14.2,3,0,0,30,24,0,9,5,36,0,0,0,123,10,7,58.8
64,Dele Alli,ENG,MF,Tottenham Hotspur,Premier League,23,1996,20.5,2,0,0,12,33,6,5,7,29,0,0,0,157,17,32,34.7
65,Miguel Almirón,PRY,MF,Newcastle United,Premier League,25,1994,33.6,5,0,0,30,58,24,38,20,36,0,0,0,228,9,37,19.6
66,Marcos Alonso,ESP,DF,Chelsea FC,Premier League,28,1990,15.9,4,0,0,16,15,2,51,14,19,1,0,0,183,42,31,57.5
67,Mickaël Alphonse,GLP,DF,Dijon FCO,Ligue 1,30,1989,15.3,2,0,0,14,13,1,26,13,19,0,0,1,101,35,9,79.5
68,Sergio Álvarez,ESP,MF,SD Eibar,La Liga,27,1992,12.7,6,0,0,24,7,0,3,9,20,0,0,0,143,24,34,41.4
69,Sergio Álvarez,ESP,GK,Celta de Vigo,La Liga,32,1986,2.0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,
70,Yeray Álvarez,ESP,DF,Athletic Bilbao,La Liga,24,1995,31.2,2,0,0,18,32,1,11,34,25,0,1,0,326,88,61,59.1
71,Bruno Alves,PRT,DF,Parma Calcio 1913,Serie A,37,1981,29.7,4,0,0,24,12,1,16,15,11,0,2,0,256,88,23,79.3
72,Steven Alzate,COL,MF,Brighton & Hove Albion,Premier League,20,1998,13.2,1,0,0,17,18,3,11,10,23,0,0,0,137,14,11,56.0
73,Ibrahim Amadou,FRA,DF,Norwich City,Premier League,26,1993,8.4,1,0,0,8,2,0,1,11,7,0,1,0,75,15,14,51.7
74,Ibrahim Amadou,FRA,MF,CD Leganés,La Liga,26,1993,8.6,2,0,0,15,6,0,3,5,9,0,0,0,82,20,17,54.1
75,Romain Amalfitano,FRA,MF,Dijon FCO,Ligue 1,29,1989,18.8,5,0,0,26,43,0,11,17,22,0,0,0,214,11,13,45.8
76,Amath Ndiaye,SEN,MF,Getafe CF,La Liga,23,1996,0.7,0,0,0,3,4,0,0,1,0,0,0,0,8,1,1,50.0
77,Jordan Amavi,FRA,DF,Olympique Marseille,Ligue 1,25,1994,24.0,9,0,0,41,19,1,32,30,28,0,1,0,219,72,19,79.1
78,Thierry Ambrose,FRA,FW,FC Metz,Ligue 1,22,1997,6.1,1,0,0,7,9,1,12,4,5,0,0,0,50,21,18,53.8
79,Kelvin Amian,FRA,DF,FC Toulouse,Ligue 1,21,1998,18.1,3,0,0,23,8,0,9,12,15,0,1,0,132,20,17,54.1
80,Nadiem Amiri,DEU,MF,Bayer 04 Leverkusen,Bundesliga,22,1996,20.6,3,0,0,27,39,3,32,14,13,1,0,0,198,7,21,25.0
81,Ethan Ampadu,WAL,DF,RB Leipzig,Bundesliga,18,2000,0.9,0,0,0,0,0,0,0,0,3,0,0,0,8,3,0,100.0
82,Nana Ampomah,GHA,FW,Fortuna Düsseldorf,Bundesliga,23,1996,5.6,1,0,0,16,5,8,7,3,6,0,0,0,33,4,9,30.8
83,Sofyan Amrabat,MAR,MF,Hellas Verona,Serie A,22,1996,32.4,10,2,0,63,60,0,28,27,42,1,0,0,356,24,41,36.9
