Rk,Player,Nation,Pos,Squad,Comp,Age,Born,Min/90,SCA,SCA/90,PassLiveSh,PassDeadSh,DribSh,ShSh,FldSh,DefSh,GCA,GCA/90,PassLiveG,PassDeadG,DribG,ShG,FldG,DefG
1,Ismaël Aaneba,FRA,DF,RC Strasbourg Alsace,Ligue 1,19,1999,2.3,2,0.88,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
2,Patrick van Aanholt,NLD,DF,Crystal Palace,Premier League,27,1990,35.5,71,2.00,59,7,1,2,2,0,6,0.17,5,1,0,0,0,0
3,Ignazio Abate,ITA,DF,AC Milan,Serie A,31,1986,14.5,18,1.24,18,0,0,0,0,0,0,0.00,0,0,0,0,0,0
4,Issah Abass,GHA,FW,1.FSV Mainz 05,Bundesliga,19,1998,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
5,Yunis Abdelhamid,MAR,DF,Stade Reims,Ligue 1,30,1987,38.0,20,0.53,15,0,3,2,0,0,1,0.03,1,0,0,0,0,0
6,Mehdi Abeid,DZA,MF,Dijon FCO,Ligue 1,25,1992,22.5,43,1.91,32,5,3,1,1,1,2,0.09,2,0,0,0,0,0
7,Charles Abi,FRA,FW,AS Saint-Étienne,Ligue 1,18,2000,0.4,2,5.63,0,0,1,0,1,0,0,0.00,0,0,0,0,0,0
8,David Abraham,ARG,DF,Eintracht Frankfurt,Bundesliga,32,1986,15.8,11,0.70,8,0,0,1,1,1,1,0.06,0,0,0,1,0,0
9,Amir Abrashi,ALB,MF,SC Freiburg,Bundesliga,28,1990,8.8,4,0.46,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0
10,Francesco Acerbi,ITA,DF,SS Lazio,Serie A,30,1988,36.8,22,0.60,17,0,0,1,3,1,2,0.05,1,0,0,1,0,0
11,Afriyie Acquah,GHA,MF,FC Empoli,Serie A,26,1992,16.8,34,2.03,26,0,5,2,1,0,0,0.00,0,0,0,0,0,0
12,Tyler Adams,USA,MF,RB Leipzig,Bundesliga,19,1999,8.0,13,1.62,11,0,1,0,1,0,4,0.50,3,0,1,0,0,0
13,Antonio Adán,ESP,GK,Atlético de Madrid,La Liga,31,1987,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
14,Aday Benítez,ESP,DF,Girona FC,La Liga,30,1987,7.2,25,3.49,14,5,3,2,1,0,2,0.28,2,0,0,0,0,0
15,Khaled Adénon,BEN,DF,Amiens SC,Ligue 1,33,1985,22.2,7,0.32,5,0,0,1,1,0,0,0.00,0,0,0,0,0,0
16,Claud Adjapong,ITA,MF,US Sassuolo,Serie A,20,1998,3.0,2,0.67,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
17,Yacine Adli,FRA,MF,FC Girondins Bordeaux,Ligue 1,18,2000,2.4,7,2.92,7,0,0,0,0,0,0,0.00,0,0,0,0,0,0
18,Ali Adnan,IRQ,MF,Atalanta BC,Serie A,24,1993,1.8,6,3.25,4,1,1,0,0,0,1,0.54,1,0,0,0,0,0
19,Aritz Aduriz,ESP,FW,Athletic Bilbao,La Liga,37,1981,10.5,15,1.43,13,0,0,1,1,0,1,0.10,1,0,0,0,0,0
20,Luis Advíncula,PER,DF,Rayo Vallecano,La Liga,28,1990,26.5,41,1.54,28,3,2,1,7,0,7,0.26,4,0,0,0,3,0
21,Martín Aguirregabiria,ESP,DF,Deportivo Alavés,La Liga,22,1996,22.6,22,0.97,20,0,1,0,0,1,1,0.04,1,0,0,0,0,0
22,Nayef Aguerd,MAR,DF,Dijon FCO,Ligue 1,22,1996,11.7,6,0.51,4,1,1,0,0,0,0,0.00,0,0,0,0,0,0
23,Sergio Agüero,ARG,FW,Manchester City,Premier League,30,1988,27.3,74,2.71,51,1,6,8,7,1,17,0.62,12,0,2,1,2,0
24,Ruben Aguilar,FRA,DF,Montpellier HSC,Ligue 1,25,1993,28.1,98,3.49,74,7,5,2,7,3,9,0.32,5,0,1,1,1,1
25,Juan Aguilera,ESP,MF,SD Huesca,La Liga,32,1985,3.8,5,1.31,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0
26,Emmanuel Badu,GHA,MF,Udinese Calcio,Serie A,27,1990,1.8,2,1.12,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
27,Jean-Eudes Aholou,CIV,MF,AS Monaco,Ligue 1,24,1994,11.9,20,1.67,16,0,0,3,0,1,2,0.17,1,0,0,1,0,0
28,Antonis Aidonis,DEU,DF,VfB Stuttgart,Bundesliga,17,2001,0.9,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
29,Ola Aina,NGA,DF,Torino FC,Serie A,21,1996,24.0,47,1.96,30,2,6,2,4,2,4,0.17,1,1,0,1,0,0
30,Youssef Aït Bennasser,MAR,MF,AS Saint-Étienne,Ligue 1,22,1996,10.4,21,2.02,20,0,1,0,0,0,0,0.00,0,0,0,0,0,0
31,Youssef Aït Bennasser,MAR,MF,AS Monaco,Ligue 1,22,1996,11.9,25,2.10,24,0,1,0,0,0,3,0.25,2,0,1,0,0,0
32,Rayan Aït Nouri,FRA,DF,SCO Angers,Ligue 1,17,2001,0.6,1,1.58,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
33,Ludovic Ajorque,REU,FW,RC Strasbourg Alsace,Ligue 1,24,1994,17.0,31,1.82,19,0,1,3,6,2,5,0.29,2,0,1,1,0,1
34,Manuel Akanji,CHE,DF,Borussia Dortmund,Bundesliga,23,1995,24.5,18,0.73,14,0,0,1,1,2,5,0.20,2,0,0,1,1,1
35,Carlos Akapo,GNQ,DF,SD Huesca,La Liga,25,1993,11.4,16,1.41,10,1,3,1,1,0,2,0.18,1,0,0,0,1,0
36,Nathan Aké,NLD,DF,AFC Bournemouth,Premier League,23,1995,37.9,17,0.45,14,0,0,1,1,0,2,0.05,0,0,0,0,1,0
37,Sergio Akieme,ESP,DF,Rayo Vallecano,La Liga,20,1997,2.0,2,1.00,1,1,0,0,0,0,1,0.50,1,0,0,0,0,0
