Rk,Player,Nation,Pos,Squad,Comp,Age,Born,Min/90,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
1,Ismaël Aaneba,FRA,DF,RC Strasbourg Alsace,Ligue 1,19,1999,2.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
2,Patrick van Aanholt,NLD,DF,Crystal Palace,Premier League,27,1990,35.5,3,44,12,27.3,1.24,0.34,0.07,0.25,19.7,0,0,0,2.7,2.7,0.06,+0.3,+0.3
3,Ignazio Abate,ITA,DF,AC Milan,Serie A,31,1986,14.5,0,1,1,100.0,0.07,0.07,0.00,0.00,14.8,0,0,0,0.0,0.0,0.03,0.0,0.0
4,Issah Abass,GHA,FW,1.FSV Mainz 05,Bundesliga,19,1998,0.1,0,1,0,0.0,10.00,0.00,0.00,,30.2,0,0,0,0.0,0.0,0.02,0.0,0.0
5,Yunis Abdelhamid,MAR,DF,Stade Reims,Ligue 1,30,1987,38.0,0,18,4,22.2,0.47,0.11,0.00,0.00,13.1,0,0,0,1.8,1.8,0.10,-1.8,-1.8
6,Mehdi Abeid,DZA,MF,Dijon FCO,Ligue 1,25,1992,22.5,3,35,11,31.4,1.56,0.49,0.06,0.18,22.9,0,1,1,3.1,2.3,0.07,-0.1,-0.3
7,Charles Abi,FRA,FW,AS Saint-Étienne,Ligue 1,18,2000,0.4,0,1,0,0.0,2.81,0.00,0.00,,12.0,0,0,0,0.2,0.2,0.16,-0.2,-0.2
8,David Abraham,ARG,DF,Eintracht Frankfurt,Bundesliga,32,1986,15.8,0,5,1,20.0,0.32,0.06,0.00,0.00,12.7,0,0,0,0.4,0.4,0.09,-0.4,-0.4
9,Amir Abrashi,ALB,MF,SC Freiburg,Bundesliga,28,1990,8.8,0,7,2,28.6,0.80,0.23,0.00,0.00,25.9,0,0,0,0.2,0.2,0.02,-0.2,-0.2
10,Francesco Acerbi,ITA,DF,SS Lazio,Serie A,30,1988,36.8,3,19,7,36.8,0.52,0.19,0.16,0.43,8.6,0,0,0,3.0,3.0,0.16,0.0,0.0
11,Afriyie Acquah,GHA,MF,FC Empoli,Serie A,26,1992,16.8,2,23,7,30.4,1.37,0.42,0.09,0.29,20.8,0,0,0,1.6,1.6,0.07,+0.4,+0.4
12,Tyler Adams,USA,MF,RB Leipzig,Bundesliga,19,1999,8.0,0,3,1,33.3,0.37,0.12,0.00,0.00,19.5,0,0,0,0.2,0.2,0.08,-0.2,-0.2
13,Antonio Adán,ESP,GK,Atlético de Madrid,La Liga,31,1987,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
14,Aday Benítez,ESP,DF,Girona FC,La Liga,30,1987,7.2,0,9,3,33.3,1.26,0.42,0.00,0.00,28.4,2,0,0,0.2,0.2,0.02,-0.2,-0.2
15,Khaled Adénon,BEN,DF,Amiens SC,Ligue 1,33,1985,22.2,0,11,0,0.0,0.50,0.00,0.00,,9.1,0,0,0,0.9,0.9,0.08,-0.9,-0.9
16,Claud Adjapong,ITA,MF,US Sassuolo,Serie A,20,1998,3.0,1,3,1,33.3,1.00,0.33,0.33,1.00,19.3,0,0,0,0.5,0.5,0.17,+0.5,+0.5
17,Yacine Adli,FRA,MF,FC Girondins Bordeaux,Ligue 1,18,2000,2.4,0,1,0,0.0,0.42,0.00,0.00,,47.3,0,0,0,0.0,0.0,0.02,0.0,0.0
18,Ali Adnan,IRQ,MF,Atalanta BC,Serie A,24,1993,1.8,0,3,0,0.0,1.63,0.00,0.00,,17.2,0,0,0,0.1,0.1,0.05,-0.1,-0.1
19,Aritz Aduriz,ESP,FW,Athletic Bilbao,La Liga,37,1981,10.5,2,14,7,50.0,1.34,0.67,0.00,0.00,12.1,0,2,2,3.4,1.8,0.13,-1.4,-1.8
20,Luis Advíncula,PER,DF,Rayo Vallecano,La Liga,28,1990,26.5,1,17,5,29.4,0.64,0.19,0.06,0.20,21.7,0,0,0,0.9,0.9,0.06,+0.1,+0.1
21,Martín Aguirregabiria,ESP,DF,Deportivo Alavés,La Liga,22,1996,22.6,0,2,0,0.0,0.09,0.00,0.00,,18.5,0,0,0,0.1,0.1,0.07,-0.1,-0.1
22,Nayef Aguerd,MAR,DF,Dijon FCO,Ligue 1,22,1996,11.7,3,10,4,40.0,0.86,0.34,0.30,0.75,12.6,0,0,0,1.5,1.5,0.15,+1.5,+1.5
23,Sergio Agüero,ARG,FW,Manchester City,Premier League,30,1988,27.3,21,118,41,34.7,4.32,1.50,0.16,0.46,14.0,3,2,2,20.7,19.2,0.16,+0.3,-0.2
24,Ruben Aguilar,FRA,DF,Montpellier HSC,Ligue 1,25,1993,28.1,1,13,4,30.8,0.46,0.14,0.08,0.25,21.7,0,0,0,0.7,0.7,0.06,+0.3,+0.3
25,Juan Aguilera,ESP,MF,SD Huesca,La Liga,32,1985,3.8,0,3,1,33.3,0.78,0.26,0.00,0.00,17.8,0,0,0,0.5,0.5,0.17,-0.5,-0.5
26,Emmanuel Badu,GHA,MF,Udinese Calcio,Serie A,27,1990,1.8,0,3,0,0.0,1.68,0.00,0.00,,10.0,0,0,0,0.3,0.3,0.10,-0.3,-0.3
27,Jean-Eudes Aholou,CIV,MF,AS Monaco,Ligue 1,24,1994,11.9,0,14,3,21.4,1.17,0.25,0.00,0.00,18.3,0,0,0,0.6,0.6,0.04,-0.6,-0.6
28,Antonis Aidonis,DEU,DF,VfB Stuttgart,Bundesliga,17,2001,0.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
29,Ola Aina,NGA,DF,Torino FC,Serie A,21,1996,24.0,1,25,6,24.0,1.04,0.25,0.04,0.17,18.2,0,0,0,1.9,1.9,0.08,-0.9,-0.9
30,Youssef Aït Bennasser,MAR,MF,AS Saint-Étienne,Ligue 1,22,1996,10.4,0,7,0,0.0,0.67,0.00,0.00,,26.6,0,0,0,0.2,0.2,0.03,-0.2,-0.2
31,Youssef Aït Bennasser,MAR,MF,AS Monaco,Ligue 1,22,1996,11.9,0,10,1,10.0,0.84,0.08,0.00,0.00,27.8,0,0,0,0.4,0.4,0.04,-0.4,-0.4
32,Rayan Aït Nouri,FRA,DF,SCO Angers,Ligue 1,17,2001,0.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
33,Ludovic Ajorque,REU,FW,RC Strasbourg Alsace,Ligue 1,24,1994,17.0,9,47,17,36.2,2.76,1.00,0.19,0.53,13.7,2,0,0,5.8,5.8,0.12,+3.2,+3.2
34,Manuel Akanji,CHE,DF,Borussia Dortmund,Bundesliga,23,1995,24.5,1,9,2,22.2,0.37,0.08,0.11,0.50,9.9,0,0,0,0.8,0.8,0.09,+0.2,+0.2
35,Carlos Akapo,GNQ,DF,SD Huesca,La Liga,25,1993,11.4,0,8,2,25.0,0.70,0.18,0.00,0.00,22.6,0,0,0,0.3,0.3,0.04,-0.3,-0.3
36,Nathan Aké,NLD,DF,AFC Bournemouth,Premier League,23,1995,37.9,4,22,8,36.4,0.58,0.21,0.18,0.50,7.4,0,0,0,3.4,3.4,0.16,+0.6,+0.6
37,Sergio Akieme,ESP,DF,Rayo Vallecano,La Liga,20,1997,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
38,Chadrac Akolo,COD,MF,VfB Stuttgart,Bundesliga,23,1995,5.8,0,16,3,18.8,2.74,0.51,0.00,0.00,18.7,0,0,0,0.9,0.9,0.06,-0.9,-0.9
39,Kevin Akpoguma,NGA,DF,Hannover 96,Bundesliga,23,1995,3.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
40,Kevin Akpoguma,NGA,DF,TSG 1899 Hoffenheim,Bundesliga,23,1995,5.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
41,David Alaba,AUT,DF,Bayern Munich,Bundesliga,26,1992,28.1,3,47,16,34.0,1.67,0.57,0.06,0.19,25.8,16,0,0,2.2,2.2,0.05,+0.8,+0.8
42,Sofiane Alakouch,FRA,DF,Nîmes Olympique,Ligue 1,20,1998,21.1,1,13,2,15.4,0.62,0.09,0.08,0.50,22.3,0,0,0,0.6,0.6,0.04,+0.4,+0.4
43,Lucas Alario,ARG,FW,Bayer 04 Leverkusen,Bundesliga,25,1992,14.1,9,44,17,38.6,3.13,1.21,0.20,0.53,10.5,0,0,0,7.9,7.9,0.19,+1.1,+1.1
44,Jordi Alba,ESP,DF,FC Barcelona,La Liga,29,1989,33.2,2,14,4,28.6,0.42,0.12,0.14,0.50,13.7,0,0,0,1.8,1.8,0.13,+0.2,+0.2
