Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,Min/90,GA,GA/90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKA,PKGA,PKsv,PKm,PK%
188,Pietro Terracciano,ITA,GK,FC Empoli,Serie A,28,1990,8,8,720,8.0,10,1.25,34,25,70.6,1,2,5,2,25.0,0,0,0,0,
189,Pietro Terracciano,ITA,GK,ACF Fiorentina,Serie A,28,1990,2,2,180,2.0,3,1.50,11,7,72.7,0,1,1,0,0.0,0,0,0,0,
190,Kevin Trapp,DEU,GK,Eintracht Frankfurt,Bundesliga,28,1990,33,33,2938,32.6,48,1.47,159,113,70.4,14,9,10,8,24.2,1,1,0,0,0.0
191,Mark Travers,IRL,GK,AFC Bournemouth,Premier League,19,1999,2,2,180,2.0,5,2.50,13,9,61.5,1,0,1,1,50.0,0,0,0,0,
192,Philipp Tschauner,DEU,GK,Hannover 96,Bundesliga,32,1985,1,1,90,1.0,3,3.00,5,3,60.0,0,0,1,0,0.0,1,1,0,0,0.0
193,Sven Ulreich,DEU,GK,Bayern Munich,Bundesliga,29,1988,9,8,757,8.4,9,1.07,20,13,65.0,4,3,1,2,25.0,3,2,0,1,0.0
194,Tomas Vaclík,CZE,GK,Sevilla FC,La Liga,29,1989,33,33,2970,33.0,44,1.33,134,95,70.1,13,8,12,8,24.2,5,4,1,0,20.0
195,Koke Vegas,ESP,GK,Levante UD,La Liga,22,1995,1,1,90,1.0,2,2.00,8,6,75.0,0,1,0,0,0.0,0,0,0,0,
196,Emiliano Viviano,ITA,GK,SPAL,Serie A,32,1985,17,17,1525,16.9,25,1.48,82,60,74.4,7,3,7,4,23.5,4,4,0,0,0.0
197,Michel Vorm,NLD,GK,Tottenham Hotspur,Premier League,34,1983,2,2,180,2.0,4,2.00,13,9,69.2,0,0,2,0,0.0,0,0,0,0,
198,Axel Werner,ARG,GK,SD Huesca,La Liga,22,1996,6,6,540,6.0,16,2.67,35,21,57.1,1,1,4,0,0.0,1,1,0,0,0.0
199,Yoel Rodríguez,ESP,GK,Real Valladolid CF,La Liga,29,1988,3,3,270,3.0,6,2.00,11,6,54.5,0,2,1,0,0.0,1,1,0,0,0.0
200,Robin Zentner,DEU,GK,1.FSV Mainz 05,Bundesliga,23,1994,10,10,900,10.0,14,1.40,51,37,72.5,4,4,2,2,20.0,0,0,0,0,
201,Luca Zidane,FRA,GK,Real Madrid,La Liga,20,1998,1,1,90,1.0,2,2.00,3,1,33.3,1,0,0,0,0.0,0,0,0,0,
202,Ron-Robert Zieler,DEU,GK,VfB Stuttgart,Bundesliga,29,1989,34,34,3060,34.0,70,2.06,178,114,61.8,7,7,20,6,17.6,3,2,0,1,0.0
