Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,Min/90,GA,GA/90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKA,PKGA,PKsv,PKm,PK%
90,Rune Jarstein,NOR,GK,Hertha BSC,Bundesliga,33,1984,31,31,2745,30.5,48,1.57,141,96,67.4,9,10,12,8,25.8,4,2,1,1,33.3
91,Karl-Johan Johnsson,SWE,GK,EA Guingamp,Ligue 1,28,1990,17,17,1530,17.0,34,2.00,73,41,56.2,1,5,11,4,23.5,4,2,1,1,33.3
92,Aleksandar Jovanovic,SRB,GK,SD Huesca,La Liga,25,1992,12,12,1080,12.0,19,1.58,43,27,60.5,1,4,7,0,0.0,2,2,0,0,0.0
93,Stefanos Kapino,GRC,GK,SV Werder Bremen,Bundesliga,24,1994,1,0,45,0.5,1,2.00,3,2,66.7,0,0,0,0,,0,0,0,0,
94,Orestis Karnezis,GRC,GK,SSC Napoli,Serie A,33,1985,9,9,810,9.0,7,0.78,25,19,76.0,6,2,1,4,44.4,1,1,0,0,0.0
95,Eiji Kawashima,JPN,GK,RC Strasbourg Alsace,Ligue 1,35,1983,1,1,90,1.0,0,0.00,1,1,100.0,1,0,0,1,100.0,0,0,0,0,
96,Gregor Kobel,CHE,GK,TSG 1899 Hoffenheim,Bundesliga,20,1997,1,1,90,1.0,1,1.00,6,6,100.0,1,0,0,0,0.0,1,1,0,0,0.0
97,Gregor Kobel,CHE,GK,FC Augsburg,Bundesliga,20,1997,16,16,1390,15.4,42,2.72,85,44,51.8,4,2,10,3,18.8,2,1,1,0,50.0
98,Tomas Koubek,CZE,GK,Stade Rennais FC,Ligue 1,25,1992,33,32,2925,32.5,48,1.48,134,90,66.4,10,11,11,9,28.1,4,3,1,0,25.0
99,Thomas Kraft,DEU,GK,Hertha BSC,Bundesliga,30,1988,4,3,315,3.5,9,2.57,13,6,46.2,2,0,1,1,33.3,2,2,0,0,0.0
100,Alban Lafont,FRA,GK,ACF Fiorentina,Serie A,19,1999,34,34,3015,33.5,40,1.19,118,86,70.3,8,15,11,9,26.5,6,5,1,0,16.7
101,Benjamin Lecomte,FRA,GK,Montpellier HSC,Ligue 1,27,1991,37,37,3330,37.0,42,1.14,136,100,71.3,15,13,9,11,29.7,5,3,1,1,25.0
102,Bernd Leno,DEU,GK,Arsenal FC,Premier League,26,1992,32,31,2835,31.5,42,1.33,139,105,74.8,16,7,8,7,22.6,7,7,0,0,0.0
103,Hugo Lloris,FRA,GK,Tottenham Hotspur,Premier League,31,1986,33,33,2970,33.0,33,1.00,122,94,75.4,21,2,10,12,36.4,5,3,2,0,40.0
104,Anthony Lopes,PRT,GK,Olympique Lyon,Ligue 1,27,1990,34,34,3060,34.0,42,1.24,131,97,71.8,18,9,7,9,26.5,5,5,0,0,0.0
105,Diego López,ESP,GK,RCD Espanyol Barcelona,La Liga,36,1981,38,38,3420,38.0,50,1.32,156,114,71.8,14,11,13,10,26.3,8,6,2,0,25.0
106,Pau López,ESP,GK,Real Betis Balompié,La Liga,23,1994,33,33,2970,33.0,47,1.42,135,91,67.4,12,7,14,10,30.3,4,3,1,0,25.0
107,Jonas Lössl,DNK,GK,Huddersfield Town,Premier League,29,1989,31,30,2777,30.9,54,1.75,137,87,63.5,3,5,22,5,16.7,5,4,1,0,20.0
108,Andriy Lunin,UKR,GK,CD Leganés,La Liga,19,1999,5,4,364,4.1,5,1.24,18,13,77.8,1,0,3,2,50.0,2,1,1,0,50.0
109,Andreas Luthe,DEU,GK,FC Augsburg,Bundesliga,31,1987,15,14,1310,14.6,22,1.51,77,56,71.4,3,5,6,2,14.3,0,0,0,0,
110,Mike Maignan,FRA,GK,LOSC Lille,Ligue 1,22,1995,38,38,3420,38.0,34,0.89,118,91,76.3,22,9,7,15,39.5,10,6,2,2,25.0
111,Steve Mandanda,FRA,GK,Olympique Marseille,Ligue 1,33,1985,31,31,2736,30.4,41,1.35,108,74,67.6,14,5,12,9,29.0,7,6,1,0,14.3
112,Federico Marchetti,ITA,GK,Genoa CFC,Serie A,35,1983,4,4,360,4.0,10,2.50,19,10,47.4,2,0,2,1,25.0,0,0,0,0,
113,Jordi Masip,ESP,GK,Real Valladolid CF,La Liga,29,1989,35,35,3150,35.0,45,1.29,140,102,71.4,10,9,16,9,25.7,8,5,3,0,37.5
114,Christian Mathenia,DEU,GK,1.FC Nuremberg,Bundesliga,26,1992,22,22,1933,21.5,40,1.86,116,75,66.4,1,7,14,2,9.1,1,1,0,0,0.0
115,Alex McCarthy,ENG,GK,Southampton FC,Premier League,28,1989,25,25,2250,25.0,44,1.76,116,77,63.8,5,8,12,4,16.0,2,2,0,0,0.0
116,Edouard Mendy,SEN,GK,Stade Reims,Ligue 1,26,1992,38,38,3420,38.0,42,1.11,147,114,76.2,13,16,9,14,36.8,7,7,0,0,0.0
117,Alex Meret,ITA,GK,SSC Napoli,Serie A,21,1997,14,13,1150,12.8,9,0.70,47,40,85.1,9,1,3,5,38.5,2,2,0,0,0.0
118,Vanja Milinković-Savić,SRB,GK,SPAL,Serie A,21,1997,2,2,164,1.8,4,2.20,16,12,75.0,1,0,1,1,50.0,0,0,0,0,
119,Antonio Mirante,ITA,GK,AS Roma,Serie A,35,1983,11,11,990,11.0,6,0.55,36,28,83.3,6,4,1,6,54.5,1,0,1,0,100.0
120,Jessy Moulin,FRA,GK,AS Saint-Étienne,Ligue 1,32,1986,1,1,90,1.0,1,1.00,5,5,80.0,0,1,0,0,0.0,0,0,0,0,
121,Florian Müller,DEU,GK,1.FSV Mainz 05,Bundesliga,20,1997,24,24,2160,24.0,43,1.79,118,78,66.1,8,3,13,5,20.8,4,3,0,1,0.0
122,Juan Musso,ARG,GK,Udinese Calcio,Serie A,24,1994,29,29,2610,29.0,41,1.41,133,101,75.2,9,8,12,7,24.1,8,8,0,0,0.0
123,Yvon Mvogo,CHE,GK,RB Leipzig,Bundesliga,24,1994,2,1,135,1.5,2,1.33,3,2,66.7,0,0,1,1,100.0,1,1,0,0,0.0
124,Keylor Navas,CRI,GK,Real Madrid,La Liga,31,1986,10,10,900,10.0,8,0.80,30,22,73.3,6,2,2,4,40.0,0,0,0,0,
125,Neto,BRA,GK,Valencia CF,La Liga,29,1989,34,34,3060,34.0,34,1.00,134,109,79.9,13,14,7,10,29.4,8,7,1,0,12.5
126,Manuel Neuer,DEU,GK,Bayern Munich,Bundesliga,32,1986,26,26,2303,25.6,23,0.90,51,32,60.8,20,3,3,10,38.5,3,3,0,0,0.0
127,Will Norris,ENG,GK,Wolverhampton Wanderers,Premier League,24,1993,1,0,,0.0,0,,0,0,,0,0,0,1,,0,0,0,0,
128,Alexander Nübel,DEU,GK,FC Schalke 04,Bundesliga,21,1996,18,18,1588,17.6,29,1.64,77,49,66.2,4,6,8,4,22.2,4,3,1,0,25.0
129,Jan Oblak,SVN,GK,Atlético de Madrid,La Liga,25,1993,37,37,3330,37.0,27,0.73,123,103,82.1,22,9,6,20,54.1,5,5,0,0,0.0
130,Oier Olazábal,ESP,GK,Levante UD,La Liga,28,1989,21,21,1890,21.0,40,1.90,134,99,73.1,7,5,9,5,23.8,5,4,1,0,20.0
131,Alexandre Olliero,FRA,GK,FC Nantes,Ligue 1,22,1996,1,1,90,1.0,1,1.00,0,0,,0,0,1,0,0.0,1,1,0,0,0.0
132,Robin Olsen,SWE,GK,AS Roma,Serie A,28,1990,27,27,2430,27.0,43,1.59,124,87,68.5,12,8,7,4,14.8,6,4,0,2,0.0
133,David Ospina,COL,GK,SSC Napoli,Serie A,29,1988,17,16,1457,16.2,20,1.24,63,44,69.8,9,4,3,5,31.3,1,1,0,0,0.0
134,Ramazan Özcan,AUT,GK,Bayer 04 Leverkusen,Bundesliga,34,1984,2,2,180,2.0,5,2.50,12,8,66.7,0,0,2,0,0.0,2,1,1,0,50.0
135,Fernando Pacheco,ESP,GK,Deportivo Alavés,La Liga,26,1992,35,35,3150,35.0,46,1.31,145,105,72.4,11,11,13,8,22.9,6,6,0,0,0.0
136,Rui Patrício,PRT,GK,Wolverhampton Wanderers,Premier League,30,1988,37,37,3330,37.0,46,1.24,138,98,68.8,15,9,13,8,21.6,4,3,0,1,0.0
137,Jiri Pavlenka,CZE,GK,SV Werder Bremen,Bundesliga,26,1992,34,34,2978,33.1,47,1.42,153,108,71.2,14,11,9,5,14.7,4,3,0,1,0.0
138,Gianluca Pegolo,ITA,GK,US Sassuolo,Serie A,37,1981,3,2,202,2.3,4,1.78,12,8,66.7,0,1,1,0,0.0,0,0,0,0,
139,Yohann Pelé,FRA,GK,Olympique Marseille,Ligue 1,35,1982,9,7,680,7.6,12,1.59,22,14,63.6,4,2,1,3,42.9,5,4,1,0,20.0
140,Mattia Perin,ITA,GK,Juventus FC,Serie A,25,1992,9,9,810,9.0,8,0.89,26,19,73.1,6,1,2,5,55.6,1,1,0,0,0.0
141,Pavao Pervan,AUT,GK,VfL Wolfsburg,Bundesliga,30,1987,10,8,765,8.5,11,1.29,41,29,73.2,5,1,2,1,12.5,1,0,0,1,
142,Jordan Pickford,ENG,GK,Everton FC,Premier League,24,1994,38,38,3420,38.0,46,1.21,128,86,65.6,15,9,14,14,36.8,5,2,3,0,60.0
143,Carlo Pinsoglio,ITA,GK,Juventus FC,Serie A,28,1990,1,1,90,1.0,2,2.00,3,1,33.3,0,0,1,0,0.0,0,0,0,0,
144,Luca Plogmann,DEU,GK,SV Werder Bremen,Bundesliga,18,2000,1,0,37,0.4,1,2.43,0,0,,0,0,0,0,,1,1,0,0,0.0
145,Giacomo Poluzzi,ITA,GK,SPAL,Serie A,30,1988,1,0,5,0.1,0,0.00,0,0,,0,0,0,1,,0,0,0,0,
146,Gaëtan Poussin,FRA,GK,FC Girondins Bordeaux,Ligue 1,19,1999,1,1,90,1.0,0,0.00,1,1,100.0,1,0,0,1,100.0,0,0,0,0,
147,Silvio Proto,BEL,GK,SS Lazio,Serie A,35,1983,2,2,180,2.0,4,2.00,13,9,69.2,1,0,1,0,0.0,0,0,0,0,
148,Ivan Provedel,ITA,GK,FC Empoli,Serie A,24,1994,16,16,1440,16.0,36,2.25,101,69,67.3,4,4,8,0,0.0,4,3,0,1,0.0
149,Ionut Radu,ROU,GK,Genoa CFC,Serie A,21,1997,33,33,2970,33.0,47,1.42,142,102,70.4,6,14,13,6,18.2,6,5,1,0,16.7
150,Pepe Reina,ESP,GK,AC Milan,Serie A,35,1982,4,2,328,3.7,5,1.37,12,8,66.7,1,0,1,1,50.0,1,1,0,0,0.0
151,Michael Rensing,DEU,GK,Fortuna Düsseldorf,Bundesliga,34,1984,32,32,2880,32.0,62,1.94,164,107,66.5,12,5,15,5,15.6,7,7,0,0,0.0
152,Baptiste Reynet,FRA,GK,FC Toulouse,Ligue 1,27,1990,31,31,2704,30.0,46,1.53,140,99,70.0,6,11,14,6,19.4,5,4,1,0,20.0
153,Sergio Rico,ESP,GK,Fulham FC,Premier League,24,1993,29,29,2610,29.0,56,1.93,161,110,67.7,6,3,20,5,17.2,4,4,0,0,0.0
154,Asier Riesgo,ESP,GK,SD Eibar,La Liga,34,1983,15,14,1260,14.0,20,1.43,45,26,55.6,2,8,4,4,28.6,0,0,0,0,
155,Joel Robles,ESP,GK,Real Betis Balompié,La Liga,28,1990,5,5,450,5.0,5,1.00,21,17,81.0,2,1,2,1,20.0,1,1,0,0,0.0
156,Francesco Rossi,ITA,GK,Atalanta BC,Serie A,27,1991,1,0,,0.0,0,,0,0,,0,0,0,0,,0,0,0,0,
157,John Ruddy,ENG,GK,Wolverhampton Wanderers,Premier League,31,1986,1,1,90,1.0,0,0.00,3,3,100.0,1,0,0,1,100.0,0,0,0,0,
158,Stéphane Ruffier,FRA,GK,AS Saint-Étienne,Ligue 1,31,1986,37,37,3330,37.0,40,1.08,147,114,77.6,19,8,10,13,35.1,9,7,1,1,12.5
159,Gerónimo Rulli,ARG,GK,Real Sociedad,La Liga,26,1992,27,27,2430,27.0,35,1.30,108,77,69.4,10,9,8,7,25.9,3,2,1,0,33.3
160,Mathew Ryan,AUS,GK,Brighton & Hove Albion,Premier League,26,1992,34,34,3060,34.0,55,1.62,140,93,66.4,8,8,18,6,17.6,8,8,0,0,0.0
161,Frederik Rönnow,DNK,GK,Eintracht Frankfurt,Bundesliga,25,1992,2,1,122,1.4,0,0.00,8,8,100.0,1,0,0,1,100.0,0,0,0,0,
162,Samuel Sahin-Radlinger,AUT,GK,Hannover 96,Bundesliga,25,1992,1,1,90,1.0,2,2.00,6,4,66.7,0,0,1,0,0.0,0,0,0,0,
163,Brice Samba,COG,GK,SM Caen,Ligue 1,24,1994,38,38,3420,38.0,54,1.42,182,134,73.6,7,12,19,9,23.7,8,6,2,0,25.0
164,Roberto Santamaría,ESP,GK,SD Huesca,La Liga,33,1985,20,20,1800,20.0,30,1.50,89,64,73.0,5,7,8,6,30.0,6,6,0,0,0.0
165,Kasper Schmeichel,DNK,GK,Leicester City,Premier League,31,1986,38,38,3420,38.0,48,1.26,139,96,69.1,15,7,16,10,26.3,5,5,0,0,0.0
166,Alexander Schwolow,DEU,GK,SC Freiburg,Bundesliga,26,1992,33,33,2970,33.0,60,1.82,162,108,67.3,7,12,14,5,15.2,7,7,0,0,0.0
167,Simone Scuffet,ITA,GK,Udinese Calcio,Serie A,22,1996,9,9,810,9.0,13,1.44,36,24,66.7,2,2,5,2,22.2,1,1,0,0,0.0
168,Andrea Seculin,ITA,GK,Chievo Verona,Serie A,28,1990,2,1,90,1.0,6,6.00,12,5,50.0,0,0,1,0,0.0,0,0,0,0,
169,Matz Sels,BEL,GK,RC Strasbourg Alsace,Ligue 1,26,1992,37,37,3330,37.0,48,1.30,151,111,72.8,10,16,11,8,21.6,9,7,2,0,22.2
170,Adrian Semper,HRV,GK,Chievo Verona,Serie A,20,1998,6,6,540,6.0,8,1.33,31,23,74.2,1,3,2,2,33.3,0,0,0,0,
171,Luigi Sepe,ITA,GK,Parma Calcio 1913,Serie A,27,1991,37,37,3330,37.0,60,1.62,191,144,72.8,10,11,16,10,27.0,8,8,0,0,0.0
172,Unai Simón,ESP,GK,Athletic Bilbao,La Liga,21,1997,7,7,630,7.0,13,1.86,31,20,64.5,1,4,2,0,0.0,2,2,0,0,0.0
173,Salvatore Sirigu,ITA,GK,Torino FC,Serie A,31,1987,36,36,3170,35.2,36,1.02,136,103,75.0,15,14,7,14,38.9,4,2,2,0,50.0
174,Antonio Sivera,ESP,GK,Deportivo Alavés,La Liga,21,1996,3,3,270,3.0,4,1.33,14,10,71.4,2,0,1,0,0.0,0,0,0,0,
175,Lukasz Skorupski,POL,GK,Bologna FC 1909,Serie A,27,1991,38,38,3420,38.0,56,1.47,173,121,69.9,11,11,16,10,26.3,4,4,0,0,0.0
176,Yann Sommer,CHE,GK,Borussia Mönchengladbach,Bundesliga,29,1988,34,34,3060,34.0,43,1.26,154,115,74.0,16,7,11,13,38.2,3,3,0,0,0.0
177,David Soria,ESP,GK,Getafe CF,La Liga,25,1993,37,37,3330,37.0,34,0.92,127,100,76.4,14,14,9,13,35.1,7,4,2,1,33.3
178,Juan Soriano,ESP,GK,Sevilla FC,La Liga,20,1997,4,4,359,4.0,2,0.50,11,10,90.9,4,0,0,3,75.0,1,1,0,0,0.0
179,Stefano Sorrentino,ITA,GK,Chievo Verona,Serie A,39,1979,31,31,2790,31.0,62,2.00,167,111,64.1,1,11,19,5,16.1,4,2,2,0,50.0
180,Julián Speroni,ARG,GK,Crystal Palace,Premier League,39,1979,1,1,90,1.0,4,4.00,9,5,55.6,0,0,1,0,0.0,0,0,0,0,
181,Marco Sportiello,ITA,GK,Frosinone Calcio,Serie A,26,1992,35,35,3150,35.0,64,1.83,198,140,70.2,5,9,21,8,22.9,5,5,0,0,0.0
182,Thomas Strakosha,ALB,GK,SS Lazio,Serie A,23,1995,35,35,3150,35.0,39,1.11,129,96,73.6,16,7,12,10,28.6,7,5,2,0,28.6
183,Danijel Subasic,HRV,GK,AS Monaco,Ligue 1,33,1984,14,14,1138,12.6,12,0.95,36,26,72.2,4,5,5,4,28.6,3,2,1,0,33.3
184,Seydou Sy,SEN,GK,AS Monaco,Ligue 1,22,1995,3,2,225,2.5,7,2.80,12,6,41.7,0,1,1,0,0.0,0,0,0,0,
185,Wojciech Szczesny,POL,GK,Juventus FC,Serie A,28,1990,28,28,2520,28.0,20,0.71,78,59,75.6,22,5,1,11,39.3,3,1,1,1,50.0
186,Ciprian Tatarusanu,ROU,GK,FC Nantes,Ligue 1,32,1986,27,27,2391,26.6,30,1.13,95,67,69.5,8,6,13,7,25.9,4,1,3,0,75.0
187,Marc-André ter Stegen,DEU,GK,FC Barcelona,La Liga,26,1992,35,35,3150,35.0,32,0.91,116,86,73.3,25,8,2,16,45.7,1,1,0,0,0.0
