Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,Min/90,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls/90,Ast/90,G+A/90,G-PK/90,G+A-PK/90,xG,npxG,xA,npxG+xA,xG/90,xA/90,xG+xA/90,npxG/90,npxG+xA/90
88,Felipe Anderson,BRA,FW,West Ham United,Premier League,25,1993,36,36,3043,33.8,9,4,9,0,0,3,0,0.27,0.12,0.38,0.27,0.38,5.2,5.2,6.7,11.9,0.16,0.20,0.35,0.16,0.35
89,Florin Andone,ROU,FW,Brighton & Hove Albion,Premier League,25,1993,23,8,881,9.8,3,0,3,0,0,5,0,0.31,0.00,0.31,0.31,0.31,2.2,2.2,0.1,2.4,0.23,0.01,0.24,0.23,0.24
90,Benjamin André,FRA,MF,Stade Rennais FC,Ligue 1,27,1990,30,28,2495,27.7,3,1,3,0,0,8,1,0.11,0.04,0.14,0.11,0.14,3.3,3.3,1.2,4.6,0.12,0.05,0.16,0.12,0.16
91,Marco Andreolli,ITA,DF,Cagliari Calcio,Serie A,32,1986,3,1,106,1.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.02,0.00,0.02,0.02,0.02
92,Marco Andreolli,ITA,DF,Chievo Verona,Serie A,32,1986,8,7,646,7.2,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.03,0.00,0.03,0.03,0.03
93,Yoann Andreu,FRA,DF,SCO Angers,Ligue 1,29,1989,1,0,4,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
94,Miguel Ángel Moyá,ESP,GK,Real Sociedad,La Liga,34,1984,11,11,990,11.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
95,José Ángel,ESP,DF,SD Eibar,La Liga,28,1989,35,34,3028,33.6,1,1,1,0,0,10,0,0.03,0.03,0.06,0.03,0.06,0.7,0.7,3.6,4.3,0.02,0.11,0.13,0.02,0.13
96,Cristian Ansaldi,ARG,DF,Torino FC,Serie A,31,1986,24,23,1807,20.1,3,2,3,0,0,3,0,0.15,0.10,0.25,0.15,0.25,1.4,1.4,2.5,3.8,0.07,0.12,0.19,0.07,0.19
97,Mirco Antenucci,ITA,FW,SPAL,Serie A,33,1984,35,22,2133,23.7,5,0,4,1,2,0,0,0.21,0.00,0.21,0.17,0.17,6.7,5.1,1.5,6.6,0.28,0.06,0.34,0.22,0.28
98,Waldemar Anton,DEU,DF,Hannover 96,Bundesliga,22,1996,34,34,3060,34.0,1,0,1,0,0,4,0,0.03,0.00,0.03,0.03,0.03,1.2,1.2,0.2,1.4,0.04,0.01,0.04,0.04,0.04
99,Luca Antonelli,ITA,DF,FC Empoli,Serie A,31,1987,13,10,755,8.4,0,1,0,0,0,1,0,0.00,0.12,0.12,0.00,0.12,0.8,0.8,0.2,1.0,0.09,0.03,0.12,0.09,0.12
100,Mauro Burruchaga,ARG,MF,Chievo Verona,Serie A,20,1998,1,0,58,0.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.02,0.00,0.02,0.02,0.02
101,Michail Antonio,ENG,FW,West Ham United,Premier League,28,1990,33,22,2103,23.4,6,4,6,0,0,3,0,0.26,0.17,0.43,0.26,0.43,7.3,7.3,3.4,10.7,0.31,0.15,0.46,0.31,0.46
102,Antoñito,ESP,DF,Real Valladolid CF,La Liga,30,1987,30,18,1863,20.7,2,1,2,0,0,5,0,0.10,0.05,0.14,0.10,0.14,1.0,1.0,1.9,2.9,0.05,0.09,0.14,0.05,0.14
103,Vitorino Antunes,PRT,DF,Getafe CF,La Liga,31,1987,28,25,2181,24.2,1,3,1,0,0,5,0,0.04,0.12,0.17,0.04,0.17,0.9,0.9,2.7,3.6,0.04,0.11,0.15,0.04,0.15
104,Anuar,MAR,MF,Real Valladolid CF,La Liga,23,1995,19,12,1081,12.0,1,0,1,0,0,6,0,0.08,0.00,0.08,0.08,0.08,2.6,2.6,0.1,2.7,0.22,0.01,0.23,0.22,0.23
105,Dennis Aogo,DEU,MF,VfB Stuttgart,Bundesliga,31,1987,15,13,1025,11.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,1.3,1.7,0.04,0.11,0.15,0.04,0.15
106,Houssem Aouar,FRA,MF,Olympique Lyon,Ligue 1,20,1998,37,35,3061,34.0,7,7,7,0,0,2,0,0.21,0.21,0.41,0.21,0.41,7.5,7.5,3.3,10.8,0.22,0.10,0.32,0.22,0.32
107,Emmanuel Apeh,NGA,MF,Celta de Vigo,La Liga,21,1996,2,0,14,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.43,0.43,0.00,0.43
108,Mauro Arambarri,URY,MF,Getafe CF,La Liga,22,1995,33,32,2676,29.7,1,2,1,0,0,8,0,0.03,0.07,0.10,0.03,0.10,1.4,1.4,1.6,3.0,0.05,0.05,0.10,0.05,0.10
109,Guilherme Arana,BRA,MF,Sevilla FC,La Liga,21,1997,9,8,629,7.0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.1,0.3,0.03,0.02,0.04,0.03,0.04
110,Charles Aránguiz,CHL,MF,Bayer 04 Leverkusen,Bundesliga,29,1989,24,22,1891,21.0,2,7,2,0,0,3,0,0.10,0.33,0.43,0.10,0.43,1.4,1.4,2.8,4.1,0.06,0.13,0.20,0.06,0.20
111,Luiz Araújo,BRA,FW,LOSC Lille,Ligue 1,22,1996,25,6,781,8.7,3,2,3,0,0,2,1,0.35,0.23,0.58,0.35,0.58,2.4,2.4,1.2,3.6,0.28,0.13,0.41,0.28,0.41
112,Néstor Araújo,MEX,DF,Celta de Vigo,La Liga,26,1991,32,30,2682,29.8,3,0,3,0,0,3,1,0.10,0.00,0.10,0.10,0.10,1.7,1.7,0.3,2.0,0.06,0.01,0.07,0.06,0.07
113,Anaitz Arbilla,ESP,DF,SD Eibar,La Liga,31,1987,25,22,1950,21.7,1,2,1,0,0,6,1,0.05,0.09,0.14,0.05,0.14,0.8,0.8,0.4,1.2,0.04,0.02,0.06,0.04,0.06
114,Joaquín Ardaiz,URY,FW,Frosinone Calcio,Serie A,19,1999,1,0,20,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
115,Alphonse Areola,FRA,GK,Paris Saint-Germain,Ligue 1,25,1993,21,21,1890,21.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
