Rk,Player,Nation,Pos,Squad,Comp,Age,Born,Min/90,P_Att,P_Live,P_Dead,P_FK,P_TB,P_Press,P_Sw,P_Crs,P_CK,P_InCK,P_OutCK,P_StrCK,P_Ground,P_Low,P_High,P_Left,P_Right,P_Head,P_TI,P_Other,P_Cmp,P_Off,P_Out,P_Int,P_Blocks
16,Claud Adjapong,ITA,MF,US Sassuolo,Serie A,20,1998,3.0,101,78,23,0,0,11,1,3,0,0,0,0,65,24,12,10,66,1,23,0,77,2,1,3,7
17,Yacine Adli,FRA,MF,FC Girondins Bordeaux,Ligue 1,18,2000,2.4,151,145,6,2,1,32,5,7,2,1,0,0,111,22,18,14,132,2,2,0,111,1,3,2,5
18,Ali Adnan,IRQ,MF,Atalanta BC,Serie A,24,1993,1.8,123,99,24,4,0,24,4,5,6,0,0,0,69,27,27,78,22,5,14,1,78,2,4,4,5
19,Aritz Aduriz,ESP,FW,Athletic Bilbao,La Liga,37,1981,10.5,237,227,10,0,0,66,1,9,1,0,0,0,115,67,55,24,123,46,1,11,149,1,6,10,7
20,Luis Advíncula,PER,DF,Rayo Vallecano,La Liga,28,1990,26.5,1204,979,225,28,0,186,50,49,2,0,1,0,694,241,269,297,633,61,195,2,980,2,22,17,37
21,Martín Aguirregabiria,ESP,DF,Deportivo Alavés,La Liga,22,1996,22.6,968,750,218,17,0,118,18,30,3,3,0,0,470,212,286,51,633,80,196,1,673,4,30,23,41
22,Nayef Aguerd,MAR,DF,Dijon FCO,Ligue 1,22,1996,11.7,577,539,38,17,0,83,20,1,0,0,0,0,386,41,150,452,68,24,21,3,452,3,17,9,10
23,Sergio Agüero,ARG,FW,Manchester City,Premier League,30,1988,27.3,785,736,49,0,6,201,3,15,1,0,0,0,612,112,61,75,668,18,8,8,665,3,9,17,21
24,Ruben Aguilar,FRA,DF,Montpellier HSC,Ligue 1,25,1993,28.1,1642,1355,287,12,0,286,36,81,1,0,0,0,998,305,339,68,1233,41,274,9,1328,9,19,32,59
25,Juan Aguilera,ESP,MF,SD Huesca,La Liga,32,1985,3.8,185,181,4,4,0,18,7,2,0,0,0,0,148,15,22,15,158,10,0,0,163,1,2,3,1
26,Emmanuel Badu,GHA,MF,Udinese Calcio,Serie A,27,1990,1.8,31,31,0,0,0,2,2,0,0,0,0,0,19,8,4,2,22,3,0,2,26,0,0,1,2
27,Jean-Eudes Aholou,CIV,MF,AS Monaco,Ligue 1,24,1994,11.9,552,541,11,9,0,76,12,2,0,0,0,0,425,58,69,428,81,32,1,1,465,0,12,10,6
28,Antonis Aidonis,DEU,DF,VfB Stuttgart,Bundesliga,17,2001,0.9,34,26,8,0,0,1,0,5,0,0,0,0,13,13,8,2,21,3,8,0,14,1,1,3,2
29,Ola Aina,NGA,DF,Torino FC,Serie A,21,1996,24.0,1160,913,247,13,1,171,35,72,1,0,0,0,615,224,321,220,608,73,232,4,845,1,39,17,48
30,Youssef Aït Bennasser,MAR,MF,AS Saint-Étienne,Ligue 1,22,1996,10.4,664,650,14,8,1,147,17,2,0,0,0,0,530,76,58,110,524,19,6,1,580,3,10,7,15
31,Youssef Aït Bennasser,MAR,MF,AS Monaco,Ligue 1,22,1996,11.9,739,717,22,22,2,133,32,2,0,0,0,0,587,76,76,199,513,23,0,1,638,1,21,13,11
32,Rayan Aït Nouri,FRA,DF,SCO Angers,Ligue 1,17,2001,0.6,33,31,2,0,0,3,0,1,0,0,0,0,29,2,2,28,3,0,2,0,30,0,0,1,0
33,Ludovic Ajorque,REU,FW,RC Strasbourg Alsace,Ligue 1,24,1994,17.0,467,441,26,0,0,169,13,8,0,0,0,0,244,144,79,251,85,45,1,15,355,2,8,10,12
34,Manuel Akanji,CHE,DF,Borussia Dortmund,Bundesliga,23,1995,24.5,1828,1785,43,26,1,180,67,3,0,0,0,0,1579,115,134,369,1363,62,17,5,1698,3,23,15,11
35,Carlos Akapo,GNQ,DF,SD Huesca,La Liga,25,1993,11.4,442,352,90,3,1,62,6,8,0,0,0,0,243,103,96,63,253,30,87,1,346,4,11,5,15
36,Nathan Aké,NLD,DF,AFC Bournemouth,Premier League,23,1995,37.9,1701,1618,83,51,0,216,28,8,0,0,0,0,1286,163,252,1283,234,104,32,6,1469,0,33,17,17
37,Sergio Akieme,ESP,DF,Rayo Vallecano,La Liga,20,1997,2.0,89,79,10,1,0,17,4,6,0,0,0,0,62,13,14,64,14,2,9,0,70,2,3,1,3
38,Chadrac Akolo,COD,MF,VfB Stuttgart,Bundesliga,23,1995,5.8,160,159,1,0,1,32,0,7,1,0,0,0,132,16,12,18,134,5,0,0,122,0,4,4,6
39,Kevin Akpoguma,NGA,DF,TSG 1899 Hoffenheim,Bundesliga,23,1995,5.5,271,257,14,8,0,25,6,0,0,0,0,0,203,28,40,33,212,16,6,2,229,0,6,4,8
40,Kevin Akpoguma,NGA,DF,Hannover 96,Bundesliga,23,1995,3.5,169,162,7,5,0,30,6,0,0,0,0,0,128,13,28,17,140,6,2,2,140,0,8,3,4
41,David Alaba,AUT,DF,Bayern Munich,Bundesliga,26,1992,28.1,2137,1846,291,27,7,397,48,103,5,0,0,0,1463,314,360,1606,203,52,259,1,1768,10,32,29,61
42,Sofiane Alakouch,FRA,DF,Nîmes Olympique,Ligue 1,20,1998,21.1,1104,858,246,6,3,155,8,26,0,0,0,0,598,267,239,72,737,47,239,3,837,4,27,18,42
43,Lucas Alario,ARG,FW,Bayer 04 Leverkusen,Bundesliga,25,1992,14.1,391,373,18,1,1,83,5,9,0,0,0,0,262,87,42,50,282,29,1,7,304,1,6,10,11
44,Jordi Alba,ESP,DF,FC Barcelona,La Liga,29,1989,33.2,2686,2366,320,52,1,356,35,85,1,0,0,0,1995,414,277,2002,334,70,267,7,2305,6,24,60,71
45,Luis Alberto,ESP,MF,SS Lazio,Serie A,25,1992,22.1,1479,1247,232,50,9,285,76,42,135,17,22,8,999,165,315,68,1343,27,26,7,1121,9,22,40,39
46,Raúl Albiol,ESP,DF,SSC Napoli,Serie A,32,1985,19.0,1126,1094,32,32,1,117,54,3,0,0,0,0,820,112,194,134,917,45,0,5,1000,1,18,3,11
47,Miiko Albornoz,CHL,DF,Hannover 96,Bundesliga,27,1990,18.4,972,765,207,18,0,126,21,44,2,0,1,0,489,234,249,628,98,50,187,3,725,6,24,17,34
48,Marc Albrighton,ENG,FW,Leicester City,Premier League,28,1989,18.1,776,745,31,6,1,205,40,81,10,0,0,0,423,106,247,60,664,29,14,2,459,10,22,24,62
49,Paco Alcácer,ESP,FW,Borussia Dortmund,Bundesliga,24,1993,13.5,274,246,28,0,1,46,0,6,0,0,0,0,186,49,39,43,212,14,1,1,210,2,3,6,5
50,Pedro Alcalá,ESP,DF,Girona FC,La Liga,29,1989,20.8,843,797,46,46,0,102,37,3,0,0,0,0,575,93,175,38,729,54,0,2,698,1,31,12,6
51,Thiago,ESP,MF,Bayern Munich,Bundesliga,27,1991,26.8,2573,2431,142,72,4,360,143,16,61,19,1,14,1866,281,426,144,2299,81,8,19,2327,3,33,26,20
52,Rubén Alcaraz,ESP,MF,Real Valladolid CF,La Liga,27,1991,33.1,1748,1641,107,91,0,300,120,19,16,4,3,1,1195,177,376,236,1395,90,0,8,1435,6,43,17,26
53,Toby Alderweireld,BEL,DF,Tottenham Hotspur,Premier League,29,1989,32.5,2342,2262,80,70,2,258,96,3,0,0,0,0,1714,159,469,449,1752,109,10,7,2067,8,44,7,13
54,Alex Alegría,ESP,FW,Rayo Vallecano,La Liga,25,1992,1.6,38,35,3,0,0,9,1,1,0,0,0,0,20,12,6,12,18,3,0,0,24,0,0,1,4
55,Alexis Alégué,FRA,FW,FC Nantes,Ligue 1,21,1996,0.1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
56,Iván Alejo,ESP,MF,Getafe CF,La Liga,23,1995,1.6,41,36,5,3,0,11,0,2,0,0,0,0,20,9,12,6,27,4,2,0,16,1,4,1,5
57,Carles Aleñá,ESP,MF,FC Barcelona,La Liga,20,1998,7.1,587,575,12,5,1,106,13,1,1,0,0,0,497,59,31,545,29,4,6,1,540,2,4,6,9
58,Rúnar Alex Rúnarsson,ISL,GK,Dijon FCO,Ligue 1,23,1995,25.0,831,554,277,74,0,48,36,0,0,0,0,0,391,37,403,75,618,3,0,105,581,3,30,1,4
59,Alexander Szymanowski,ARG,DF,CD Leganés,La Liga,29,1988,0.1,7,5,2,1,0,0,0,1,1,0,1,0,4,0,3,7,0,0,0,0,4,0,0,0,0
60,Trent Alexander-Arnold,ENG,DF,Liverpool FC,Premier League,19,1998,27.4,2213,1781,432,44,5,321,113,111,73,22,15,2,1152,324,737,178,1669,47,315,3,1644,13,66,32,78
61,Rachid Alioui,MAR,FW,Nîmes Olympique,Ligue 1,26,1992,13.9,383,364,19,0,0,104,8,23,0,0,0,0,233,88,62,67,244,36,4,6,273,0,15,9,11
62,Alisson,BRA,GK,Liverpool FC,Premier League,25,1992,38.0,1262,969,293,85,0,153,63,0,0,0,0,0,793,100,369,100,924,1,0,197,1039,2,33,6,2
63,Bobby Allain,FRA,GK,Dijon FCO,Ligue 1,26,1991,13.0,466,290,176,50,0,29,7,0,0,0,0,0,149,12,305,27,342,0,0,71,288,0,24,1,0
64,Allan,BRA,MF,Eintracht Frankfurt,Bundesliga,21,1997,2.0,65,63,2,1,0,10,1,1,0,0,0,0,41,13,11,48,8,5,0,2,43,0,3,4,0
65,Allan,BRA,MF,SSC Napoli,Serie A,27,1991,29.1,2235,2128,107,69,12,271,43,9,1,0,0,0,1644,307,284,152,2006,48,17,9,1981,13,21,38,43
66,Dele Alli,ENG,MF,Tottenham Hotspur,Premier League,22,1996,20.3,1050,1018,32,9,13,255,18,17,2,0,0,0,815,97,138,45,943,37,11,6,843,7,15,24,38
67,Miguel Almirón,PRY,FW,Newcastle United,Premier League,24,1994,8.4,260,256,4,0,2,71,13,19,1,0,1,0,189,40,31,235,11,9,1,2,188,0,5,7,15
68,Júnior Alonso,PRY,DF,Celta de Vigo,La Liga,25,1993,6.0,319,288,31,4,1,34,10,13,0,0,0,0,186,56,77,217,39,26,27,1,237,1,10,5,11
69,Marcos Alonso,ESP,DF,Chelsea FC,Premier League,27,1990,30.7,2226,1950,276,26,2,402,48,77,0,0,0,0,1544,326,356,1674,177,85,250,5,1838,4,41,39,61
70,Mickaël Alphonse,GLP,DF,Dijon FCO,Ligue 1,29,1989,6.3,307,246,61,6,0,32,1,15,0,0,0,0,153,36,118,23,199,22,55,1,197,0,12,2,13
71,Sergio Álvarez,ESP,GK,Celta de Vigo,La Liga,31,1986,13.0,444,296,148,24,0,45,8,0,0,0,0,0,182,15,247,49,330,0,0,43,293,4,8,4,1
72,Sergio Álvarez,ESP,MF,SD Eibar,La Liga,26,1992,11.9,496,488,8,8,0,69,12,1,0,0,0,0,329,56,111,57,377,41,0,2,404,2,12,5,3
73,Yeray Álvarez,ESP,DF,Athletic Bilbao,La Liga,23,1995,29.0,1247,1190,57,52,1,143,31,3,0,0,0,0,873,110,264,85,1045,86,4,5,1027,3,31,15,9
74,Bruno Alves,PRT,DF,Parma Calcio 1913,Serie A,36,1981,32.5,1204,1132,72,69,0,168,66,16,0,0,0,0,695,168,341,132,913,106,0,11,963,12,26,10,12
75,Dani Alves,BRA,MF,Paris Saint-Germain,Ligue 1,35,1983,18.0,1589,1505,84,17,18,360,42,45,6,0,0,0,1167,195,227,164,1328,29,61,3,1327,11,28,27,45
76,Alfons Amade,DEU,MF,TSG 1899 Hoffenheim,Bundesliga,18,1999,0.1,2,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0
77,Ibrahim Amadou,FRA,MF,Sevilla FC,La Liga,25,1993,8.5,365,358,7,6,0,89,11,2,0,0,0,0,264,49,52,49,278,23,0,2,313,2,7,3,13
78,Romain Amalfitano,FRA,MF,Dijon FCO,Ligue 1,28,1989,28.0,1071,1050,21,9,4,182,53,17,0,0,0,0,721,125,225,116,887,43,12,4,839,5,24,16,24
79,Daniel Amartey,GHA,DF,Leicester City,Premier League,23,1994,7.1,433,380,53,3,0,50,7,4,0,0,0,0,286,58,89,36,314,24,50,4,354,1,8,9,4
80,Jordi Amat,ESP,DF,Rayo Vallecano,La Liga,26,1992,30.7,1289,1216,73,66,0,179,59,1,0,0,0,0,936,137,216,263,917,86,7,3,1081,6,31,11,17
81,Amath Ndiaye,SEN,MF,Getafe CF,La Liga,22,1996,11.1,217,215,2,0,0,36,3,18,1,0,0,0,143,33,41,55,133,17,0,4,151,5,5,10,10
82,Jordan Amavi,FRA,DF,Olympique Marseille,Ligue 1,24,1994,24.2,1295,1051,244,19,1,243,24,62,0,0,0,0,713,235,347,698,236,92,225,2,967,3,36,23,51
83,Kelvin Amian,FRA,DF,FC Toulouse,Ligue 1,20,1998,32.0,1188,956,232,30,1,191,20,17,0,0,0,0,714,211,263,158,749,50,202,1,938,4,29,27,27
84,Nadiem Amiri,DEU,MF,TSG 1899 Hoffenheim,Bundesliga,21,1996,8.4,382,370,12,5,0,71,4,13,1,1,0,0,279,68,35,54,306,14,6,1,327,1,1,5,8
85,Yanis Ammour,FRA,MF,Montpellier HSC,Ligue 1,19,1999,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,Luke Amos,ENG,MF,Tottenham Hotspur,Premier League,21,1997,0.0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,1,0,0,0,0
87,Joachim Andersen,DNK,DF,UC Sampdoria,Serie A,22,1996,32.0,2048,1957,91,89,0,284,118,1,0,0,0,0,1551,174,323,350,1546,100,2,5,1816,3,35,22,14
88,Felipe Anderson,BRA,FW,West Ham United,Premier League,25,1993,33.8,1819,1688,131,57,10,313,83,76,46,1,5,0,1243,223,353,202,1531,47,26,8,1328,9,28,49,108
89,Florin Andone,ROU,FW,Brighton & Hove Albion,Premier League,25,1993,9.8,180,173,7,0,0,49,2,9,0,0,0,0,104,42,34,18,112,25,0,3,122,0,8,5,10
90,Benjamin André,FRA,MF,Stade Rennais FC,Ligue 1,27,1990,27.7,1479,1444,35,27,3,336,24,11,0,0,0,0,1019,233,227,187,1105,90,1,7,1182,10,30,39,33
91,Marco Andreolli,ITA,DF,Cagliari Calcio,Serie A,32,1986,1.2,69,69,0,0,0,6,0,0,0,0,0,0,54,4,11,9,54,6,0,0,62,0,1,0,1
92,Marco Andreolli,ITA,DF,Chievo Verona,Serie A,32,1986,7.2,233,226,7,7,0,40,6,0,0,0,0,0,153,22,58,51,160,10,0,2,191,1,9,0,1
93,Yoann Andreu,FRA,DF,SCO Angers,Ligue 1,29,1989,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
94,Miguel Ángel Moyá,ESP,GK,Real Sociedad,La Liga,34,1984,11.0,362,258,104,27,0,17,9,0,0,0,0,0,189,21,152,45,266,0,0,33,292,2,7,1,0
95,José Ángel,ESP,DF,SD Eibar,La Liga,28,1989,33.6,2147,1628,519,65,3,307,132,142,46,1,14,0,756,394,997,1429,176,100,408,10,1403,12,81,35,72
96,Cristian Ansaldi,ARG,DF,Torino FC,Serie A,31,1986,20.1,878,675,203,31,0,122,82,131,24,1,3,0,391,136,351,354,361,12,147,1,579,7,23,18,26
97,Mirco Antenucci,ITA,FW,SPAL,Serie A,33,1984,23.7,563,523,40,1,1,132,3,29,0,0,0,0,404,98,61,74,419,30,4,13,425,0,7,15,29
98,Waldemar Anton,DEU,DF,Hannover 96,Bundesliga,22,1996,34.0,1704,1628,76,64,1,243,58,2,0,0,0,0,1250,180,274,280,1262,112,12,6,1434,3,36,11,40
99,Luca Antonelli,ITA,DF,FC Empoli,Serie A,31,1987,8.4,379,326,53,8,0,31,5,9,0,0,0,0,240,52,87,238,80,14,45,0,273,4,9,8,14
100,Mauro Burruchaga,ARG,MF,Chievo Verona,Serie A,20,1998,0.6,37,35,2,2,0,11,0,0,0,0,0,0,27,6,4,27,9,0,0,0,31,0,1,1,1
101,Michail Antonio,ENG,FW,West Ham United,Premier League,28,1990,23.4,777,720,57,1,4,163,25,45,0,0,0,0,449,138,190,82,527,62,53,11,513,2,28,20,40
102,Antoñito,ESP,DF,Real Valladolid CF,La Liga,30,1987,20.7,902,743,159,9,0,127,20,65,0,0,0,0,475,208,219,74,645,26,150,2,671,5,20,15,36
103,Vitorino Antunes,PRT,DF,Getafe CF,La Liga,31,1987,24.2,1178,814,364,62,2,127,59,83,47,1,5,2,398,279,501,764,77,71,255,1,713,8,49,36,53
104,Anuar,MAR,MF,Real Valladolid CF,La Liga,23,1995,12.0,401,390,11,5,0,81,10,4,4,0,2,1,263,60,78,35,305,43,0,2,306,4,12,7,11
105,Dennis Aogo,DEU,MF,VfB Stuttgart,Bundesliga,31,1987,11.4,565,509,56,21,0,77,32,16,25,0,0,0,361,73,131,462,54,31,9,4,465,3,7,3,12
106,Houssem Aouar,FRA,MF,Olympique Lyon,Ligue 1,20,1998,34.0,2069,2035,34,23,11,321,58,12,2,0,0,0,1736,191,142,159,1854,38,8,4,1801,4,21,42,47
107,Emmanuel Apeh,NGA,MF,Celta de Vigo,La Liga,21,1996,0.2,7,7,0,0,0,1,0,0,0,0,0,0,5,2,0,2,5,0,0,0,6,0,0,0,1
108,Mauro Arambarri,URY,MF,Getafe CF,La Liga,22,1995,29.7,804,775,29,19,0,146,65,18,2,0,2,0,369,136,299,98,597,67,3,6,560,7,23,14,25
109,Guilherme Arana,BRA,MF,Sevilla FC,La Liga,21,1997,7.0,295,242,53,5,0,54,3,10,0,0,0,0,194,57,44,212,22,10,48,1,239,2,6,5,15
110,Charles Aránguiz,CHL,MF,Bayer 04 Leverkusen,Bundesliga,29,1989,21.0,1647,1596,51,37,10,251,31,10,11,0,3,1,1270,190,187,196,1371,50,3,17,1449,8,15,24,26
111,Luiz Araújo,BRA,FW,LOSC Lille,Ligue 1,22,1996,8.7,311,284,27,10,1,72,18,17,10,2,4,0,200,40,71,253,41,7,7,1,232,5,6,5,9
112,Néstor Araújo,MEX,DF,Celta de Vigo,La Liga,26,1991,29.8,1478,1432,46,41,1,195,25,3,0,0,0,0,1156,119,203,200,1158,83,5,2,1299,3,17,11,10
113,Anaitz Arbilla,ESP,DF,SD Eibar,La Liga,31,1987,21.7,1094,1033,61,39,0,123,79,7,0,0,0,0,637,120,337,235,727,97,22,2,855,2,37,17,15
114,Joaquín Ardaiz,URY,FW,Frosinone Calcio,Serie A,19,1999,0.2,4,4,0,0,0,1,0,0,0,0,0,0,2,2,0,2,0,1,0,0,2,0,0,0,0
115,Alphonse Areola,FRA,GK,Paris Saint-Germain,Ligue 1,25,1993,21.0,508,350,158,24,0,37,11,0,0,0,0,0,378,15,115,36,372,0,0,96,437,0,11,1,1
116,Santiago Arias,COL,DF,Atlético de Madrid,La Liga,26,1992,19.7,1037,856,181,8,5,191,11,43,0,0,0,0,618,190,229,71,702,65,173,4,821,1,8,24,31
117,Lorenzo Ariaudo,ITA,DF,Frosinone Calcio,Serie A,29,1989,18.7,608,570,38,37,1,84,18,0,0,0,0,0,427,44,137,271,275,42,1,4,512,1,10,1,2
118,Nicolò Armini,ITA,DF,SS Lazio,Serie A,17,2001,0.4,25,23,2,0,0,5,0,0,0,0,0,0,18,4,3,3,19,1,2,0,17,0,2,1,0
119,Yoël Armougom,FRA,DF,SM Caen,Ligue 1,20,1998,20.6,910,724,186,6,2,128,21,49,1,0,0,0,448,167,295,629,43,47,179,1,636,0,21,18,32
120,Stuart Armstrong,SCO,MF,Southampton FC,Premier League,26,1992,15.9,652,619,33,4,4,155,17,13,13,0,0,0,448,112,92,114,478,37,7,5,498,3,8,21,34
121,José Manuel Arnáiz,ESP,DF,CD Leganés,La Liga,23,1995,1.3,32,31,1,1,0,13,0,1,0,0,0,0,23,2,7,8,20,2,0,0,25,0,1,1,3
122,Marko Arnautovic,AUT,FW,West Ham United,Premier League,29,1989,22.1,655,614,41,2,4,126,9,28,0,0,0,0,459,120,76,85,505,46,4,6,496,2,14,15,34
123,Maximilian Arnold,DEU,MF,VfL Wolfsburg,Bundesliga,24,1994,31.9,1469,1262,207,116,5,221,114,61,69,8,7,1,824,213,432,1060,304,62,22,9,1105,6,41,17,35
124,Kepa,ESP,GK,Chelsea FC,Premier League,23,1994,36.0,1136,851,285,37,0,123,36,0,0,0,0,0,774,63,299,152,809,2,0,164,974,2,22,4,0
125,Harry Arter,IRL,MF,Cardiff City,Premier League,28,1989,22.2,689,628,61,14,0,119,17,14,0,0,0,0,448,123,118,316,307,55,2,4,534,3,15,12,17
126,Kwadwo Asamoah,GHA,DF,Inter Milan,Serie A,29,1988,29.7,2216,1990,226,25,0,264,51,59,0,0,0,0,1571,331,314,1769,194,35,201,8,1933,1,13,42,44
127,Takuma Asano,JPN,MF,Hannover 96,Bundesliga,23,1994,7.8,170,167,3,2,0,48,3,8,0,0,0,0,117,35,18,39,110,10,1,5,118,1,4,8,9
128,Santiago Ascacíbar,ARG,MF,VfB Stuttgart,Bundesliga,21,1997,27.0,1140,1111,29,22,1,167,23,10,1,0,0,0,810,158,172,200,793,120,5,5,923,4,20,21,34
129,Sergio Asenjo,ESP,GK,Villarreal CF,La Liga,29,1989,32.0,805,471,334,83,0,26,22,0,0,0,0,0,296,57,452,79,547,0,0,129,521,8,19,3,0
130,Marco Asensio,ESP,FW,Real Madrid,La Liga,22,1996,19.8,1020,969,51,6,8,175,31,72,22,1,1,0,803,95,122,846,131,15,22,5,842,6,9,16,43
131,Iago Aspas,ESP,FW,Celta de Vigo,La Liga,30,1987,25.0,904,859,45,14,2,187,23,31,5,0,0,0,667,147,90,604,223,46,12,8,722,4,4,27,29
132,Simon Asta,DEU,DF,FC Augsburg,Bundesliga,17,2001,1.0,35,30,5,0,0,7,0,1,0,0,0,0,18,4,13,3,23,3,5,0,21,0,0,1,1
133,Christian Atsu,GHA,MF,Newcastle United,Premier League,26,1992,16.6,454,445,9,0,0,132,6,30,3,1,1,0,296,78,80,348,64,26,6,4,335,3,12,9,20
134,Youcef Atal,DZA,DF,OGC Nice,Ligue 1,22,1996,25.1,1278,1077,201,28,1,176,26,58,2,0,1,0,888,182,208,66,982,39,171,1,1027,1,17,34,39
135,Pierre-Emerick Aubameyang,GAB,FW,Arsenal FC,Premier League,29,1989,30.3,742,703,39,0,4,165,8,42,0,0,0,0,507,126,109,69,614,32,4,4,526,7,13,19,41
136,Emil Audero,ITA,GK,UC Sampdoria,Serie A,21,1997,36.0,1158,775,383,88,0,93,13,0,0,0,0,0,636,61,461,127,810,0,0,187,849,4,18,7,4
137,Jean-Kévin Augustin,FRA,FW,RB Leipzig,Bundesliga,21,1997,5.1,80,80,0,0,1,14,0,6,0,0,0,0,64,8,8,8,63,8,0,0,65,0,1,3,2
138,Ludwig Augustinsson,SWE,DF,SV Werder Bremen,Bundesliga,24,1994,33.6,1979,1623,356,40,1,279,53,100,20,0,0,0,1107,451,421,1393,155,97,296,8,1559,3,30,35,55
139,Serge Aurier,CIV,DF,Tottenham Hotspur,Premier League,25,1992,6.3,343,289,54,4,0,65,5,17,0,0,0,0,203,74,66,39,232,15,50,0,253,0,5,7,16
140,Charlie Austin,ENG,FW,Southampton FC,Premier League,29,1989,10.9,208,200,8,1,1,58,3,2,0,0,0,0,108,48,52,17,132,38,0,5,127,1,6,2,6
141,Chimy Ávila,ARG,FW,SD Huesca,La Liga,24,1994,22.2,576,548,28,1,4,106,42,39,3,0,0,0,230,131,215,148,299,69,12,8,314,6,25,18,36
142,Jordan Ayew,GHA,FW,Crystal Palace,Premier League,26,1991,13.1,273,262,11,0,0,66,0,10,0,0,0,0,195,36,42,24,214,8,1,6,201,2,2,5,19
143,Kaan Ayhan,TUR,DF,Fortuna Düsseldorf,Bundesliga,23,1994,27.2,1430,1339,91,80,1,167,93,4,0,0,0,0,1075,106,249,103,1243,55,11,7,1265,2,20,15,16
144,Floyd Ayité,TGO,FW,Fulham FC,Premier League,29,1988,5.3,209,203,6,2,0,34,3,5,2,0,0,1,155,21,33,43,143,12,2,4,159,0,2,1,10
145,César Azpilicueta,ESP,DF,Chelsea FC,Premier League,28,1989,37.8,2892,2533,359,27,2,390,30,91,0,0,0,0,2078,379,435,158,2239,132,332,7,2471,6,26,23,93
146,Abdoulaye Ba,SEN,DF,Rayo Vallecano,La Liga,27,1991,23.4,1037,995,42,40,0,140,38,0,0,0,0,0,731,117,189,134,816,57,2,7,856,1,33,8,11
