Rk,Player,Nation,Pos,Squad,Comp,Age,Born,Min/90,P_Att,P_Live,P_Dead,P_FK,P_TB,P_Press,P_Sw,P_Crs,P_CK,P_InCK,P_OutCK,P_StrCK,P_Ground,P_Low,P_High,P_Left,P_Right,P_Head,P_TI,P_Other,P_Cmp,P_Off,P_Out,P_Int,P_Blocks
1,Ismaël Aaneba,FRA,DF,RC Strasbourg Alsace,Ligue 1,19,1999,2.3,122,92,30,4,0,16,5,5,0,0,0,0,67,11,44,9,83,2,26,1,80,0,6,0,10
2,Patrick van Aanholt,NLD,DF,Crystal Palace,Premier League,27,1990,35.5,1962,1608,354,47,4,274,29,54,1,0,0,0,1322,307,333,1299,310,40,306,4,1587,3,34,57,52
3,Ignazio Abate,ITA,DF,AC Milan,Serie A,31,1986,14.5,918,804,114,19,3,144,14,20,0,0,0,0,625,139,154,59,736,21,95,2,766,1,12,14,23
4,Issah Abass,GHA,FW,1.FSV Mainz 05,Bundesliga,19,1998,0.1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,1,0,0,1,0
5,Yunis Abdelhamid,MAR,DF,Stade Reims,Ligue 1,30,1987,38.0,1576,1522,54,52,1,187,53,0,0,0,0,0,1173,119,284,1007,436,90,2,5,1318,4,36,9,22
6,Mehdi Abeid,DZA,MF,Dijon FCO,Ligue 1,25,1992,22.5,1081,1048,33,16,2,198,32,13,10,0,0,1,828,96,157,101,912,46,4,4,919,4,26,7,15
7,Charles Abi,FRA,FW,AS Saint-Étienne,Ligue 1,18,2000,0.4,16,16,0,0,0,5,0,0,0,0,0,0,9,2,5,13,0,1,0,0,6,0,1,2,1
8,David Abraham,ARG,DF,Eintracht Frankfurt,Bundesliga,32,1986,15.8,671,648,23,20,0,101,24,4,0,0,0,0,427,73,171,72,518,60,3,0,520,2,12,12,12
9,Amir Abrashi,ALB,MF,SC Freiburg,Bundesliga,28,1990,8.8,384,374,10,6,0,77,4,1,0,0,0,0,291,47,46,25,321,28,2,4,333,0,4,4,10
10,Francesco Acerbi,ITA,DF,SS Lazio,Serie A,30,1988,36.8,1787,1721,66,51,1,262,48,8,0,0,0,0,1284,184,319,1278,318,121,15,7,1554,3,32,16,9
11,Afriyie Acquah,GHA,MF,FC Empoli,Serie A,26,1992,16.8,735,722,13,5,3,146,20,22,0,0,0,0,566,72,97,32,660,23,8,0,591,1,16,10,27
12,Tyler Adams,USA,MF,RB Leipzig,Bundesliga,19,1999,8.0,516,500,16,14,4,89,6,2,0,0,0,0,364,70,82,79,373,48,2,2,416,1,8,3,14
13,Antonio Adán,ESP,GK,Atlético de Madrid,La Liga,31,1987,1.0,24,13,11,1,0,0,1,0,0,0,0,0,8,1,15,16,5,0,0,3,12,0,2,0,0
14,Aday Benítez,ESP,DF,Girona FC,La Liga,30,1987,7.2,325,258,67,15,0,65,25,41,7,1,0,0,170,45,110,37,228,14,45,1,230,2,3,7,12
15,Khaled Adénon,BEN,DF,Amiens SC,Ligue 1,33,1985,22.2,967,939,28,27,0,106,45,0,0,0,0,0,674,97,196,145,707,86,1,8,842,1,23,6,7
