Rk,Player,Nation,Pos,Squad,Comp,Age,Born,Min/90,Touches,TouchesDefPen,TouchesDef3rd,TouchesMid3rd,TouchesAtt3rd,TouchesAttPen,TouchesLive,DribSucc,DribAtt,DribSucc%,DribPl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,PR_Prog
651,Lorenzo Dickmann,ITA,DF,SPAL,Serie A,21,1996,1.9,76,3,35,27,16,1,66,1,1,100.0,1,0,48,191,91,4,0,0,4,1,53,38,71.7,5
652,Daniel Didavi,DEU,MF,VfB Stuttgart,Bundesliga,28,1990,10.6,598,6,60,327,247,27,540,13,26,50.0,14,0,404,1871,1037,51,16,5,26,21,568,420,73.9,72
653,Étienne Didot,FRA,MF,EA Guingamp,Ligue 1,35,1983,23.4,1449,53,333,907,285,17,1367,11,16,68.8,13,1,886,3656,1631,56,11,3,19,25,925,843,91.1,36
654,Adrián Diéguez,ESP,DF,SD Huesca,La Liga,22,1996,8.3,305,48,194,118,11,3,291,5,5,100.0,5,0,143,795,363,7,3,0,2,2,131,123,93.9,2
655,Eric Dier,ENG,MF,Tottenham Hotspur,Premier League,24,1994,16.7,1210,78,380,765,137,18,1182,4,8,50.0,4,0,851,3591,1751,58,16,2,5,13,927,880,94.9,23
656,Tim Dierßen,DEU,FW,Hannover 96,Bundesliga,22,1996,0.2,4,0,1,3,0,0,4,0,0,,0,0,3,5,0,0,0,0,0,0,4,3,75.0,1
657,Lucas Digne,FRA,DF,Everton FC,Premier League,25,1993,32.9,2474,117,658,1034,895,41,1942,14,32,43.8,16,3,1268,6062,3264,156,47,4,24,33,1382,1205,87.2,102
658,Virgil van Dijk,NLD,DF,Liverpool FC,Premier League,27,1991,37.6,3376,264,1475,1935,126,59,3320,7,10,70.0,8,0,2346,10152,5525,154,21,1,6,2,2474,2410,97.4,51
659,Mitchell Dijks,NLD,DF,Bologna FC 1909,Serie A,25,1993,22.5,1270,63,372,577,467,26,1049,33,79,41.8,40,5,776,5445,3539,123,65,7,31,24,809,703,86.9,50
660,Javairô Dilrosun,NLD,FW,Hertha BSC,Bundesliga,20,1998,10.0,381,11,68,175,175,18,372,12,20,60.0,14,0,292,1839,1093,54,18,10,17,17,317,253,79.8,38
661,Federico Dimarco,ITA,DF,Parma Calcio 1913,Serie A,20,1997,9.9,547,44,167,246,171,13,454,9,14,64.3,9,0,322,1812,1079,36,14,4,7,10,323,288,89.2,19
662,Stole Dimitrievski,MKD,GK,Rayo Vallecano,La Liga,24,1993,21.0,696,635,695,2,0,0,452,0,0,,0,0,315,1699,1038,0,0,0,0,0,208,208,100.0,0
663,Tristan Dingomé,CMR,MF,Stade Reims,Ligue 1,27,1991,14.9,750,8,123,445,220,15,734,11,22,50.0,14,0,543,1808,751,33,15,1,20,19,672,534,79.5,92
664,Ismaël Diomandé,CIV,MF,SM Caen,Ligue 1,25,1992,14.4,737,48,261,481,44,2,723,13,17,76.5,14,1,534,2489,1188,39,3,0,5,13,491,471,95.9,5
665,Federico Dionisi,ITA,FW,Frosinone Calcio,Serie A,31,1987,2.3,108,0,4,46,64,17,105,1,4,25.0,1,0,77,304,154,12,4,0,9,9,119,89,74.8,37
666,Loïs Diony,FRA,FW,AS Saint-Étienne,Ligue 1,25,1992,17.7,525,6,48,186,314,108,514,20,39,51.3,22,0,390,2046,989,50,7,18,32,29,695,373,53.7,183
667,Issa Diop,FRA,DF,West Ham United,Premier League,21,1997,33.0,1515,221,875,732,29,20,1493,5,5,100.0,5,2,823,5426,2711,48,4,0,7,6,823,801,97.3,16
668,Pape Diop,SEN,MF,SD Eibar,La Liga,32,1986,26.1,1410,36,169,950,340,41,1396,25,30,83.3,26,0,812,2932,1311,84,19,5,23,11,854,762,89.2,60
669,Sofiane Diop,FRA,MF,AS Monaco,Ligue 1,18,2000,8.2,357,2,48,206,141,14,348,20,35,57.1,22,2,296,1443,813,38,14,4,20,30,350,251,71.7,73
670,Assane Dioussé,SEN,MF,Chievo Verona,Serie A,20,1997,9.9,588,26,160,380,85,0,570,10,13,76.9,11,0,410,2070,849,27,11,0,5,6,399,363,91.0,9
671,Assane Dioussé,SEN,MF,AS Saint-Étienne,Ligue 1,20,1997,2.4,164,9,47,109,19,1,162,4,5,80.0,4,0,131,468,195,12,1,0,3,7,128,113,88.3,6
672,Axel Disasi,FRA,DF,Stade Reims,Ligue 1,20,1998,1.8,95,11,62,31,8,2,92,2,2,100.0,2,0,61,369,232,3,0,0,1,0,52,50,96.2,3
673,Djené,TGO,DF,Getafe CF,La Liga,26,1991,33.1,1325,187,632,662,76,24,1295,20,23,87.0,21,1,644,3885,1505,49,2,0,7,13,465,432,92.9,19
674,Koffi Djidji,CIV,DF,Torino FC,Serie A,25,1992,15.4,782,114,409,379,35,1,761,15,18,83.3,16,0,467,2211,972,26,10,1,2,9,411,402,97.8,0
675,Koffi Djidji,CIV,DF,FC Nantes,Ligue 1,25,1992,1.0,58,6,37,26,0,0,57,0,0,,0,0,43,191,104,2,0,0,0,1,41,41,100.0,0
676,Alexander Djiku,GHA,DF,SM Caen,Ligue 1,23,1994,30.6,1801,223,1075,782,41,18,1745,16,20,80.0,17,1,990,4648,2484,29,1,0,4,8,965,950,98.4,8
677,Papy Djilobodji,SEN,DF,EA Guingamp,Ligue 1,29,1988,1.9,110,14,48,62,9,3,105,0,0,,0,0,63,330,212,4,1,0,1,0,61,60,98.4,3
678,Berat Djimsiti,ALB,DF,Atalanta BC,Serie A,25,1993,20.1,1255,188,705,568,50,17,1223,6,7,85.7,6,0,783,4772,1698,36,8,0,9,3,811,790,97.4,13
679,Johan Djourou,CHE,DF,SPAL,Serie A,31,1987,3.1,149,25,102,48,4,2,144,1,1,100.0,1,0,85,299,132,2,1,0,0,0,87,85,97.7,2
680,Marko Dmitrovic,SRB,GK,SD Eibar,La Liga,26,1992,24.0,822,669,814,9,0,0,566,1,1,100.0,1,0,385,2382,1514,0,0,0,0,0,270,270,100.0,0
681,Matt Doherty,IRL,DF,Wolverhampton Wanderers,Premier League,26,1992,34.9,2274,124,535,959,867,123,1921,27,56,48.2,30,1,1227,5265,3168,186,43,21,56,34,1597,1294,81.0,152
682,Keagan Dolly,ZAF,FW,Montpellier HSC,Ligue 1,25,1993,1.0,52,0,7,27,20,3,45,1,1,100.0,1,0,38,153,60,3,0,0,6,3,44,37,84.1,9
683,Jaume Doménech,ESP,GK,Valencia CF,La Liga,27,1990,4.0,102,93,102,0,0,0,63,0,0,,0,0,38,245,147,0,0,0,0,0,19,19,100.0,0
684,Giulio Donati,ITA,DF,1.FSV Mainz 05,Bundesliga,28,1990,6.9,432,39,141,192,130,2,347,8,11,72.7,8,2,231,1241,732,38,16,0,4,7,222,209,94.1,15
685,Dong-won Ji,KOR,FW,FC Augsburg,Bundesliga,27,1991,9.9,511,10,72,285,200,43,501,14,20,70.0,15,0,335,1760,1028,50,22,7,23,22,477,354,74.2,77
686,Anastasios Donis,GRC,FW,VfB Stuttgart,Bundesliga,21,1996,10.7,347,4,37,123,222,50,326,21,38,55.3,23,0,267,1665,885,44,15,11,35,21,459,249,54.2,69
687,Gianluigi Donnarumma,ITA,GK,AC Milan,Serie A,19,1999,34.3,1254,1155,1252,4,0,0,898,1,1,100.0,1,0,647,2771,1549,0,0,0,0,0,536,536,100.0,0
688,Godfred Donsah,GHA,MF,Bologna FC 1909,Serie A,22,1996,1.7,77,8,19,50,14,1,77,6,7,85.7,6,0,59,344,212,14,4,0,0,1,57,49,86.0,2
689,Riccardo Doratiotto,ITA,FW,Cagliari Calcio,Serie A,19,1999,0.9,15,0,1,9,5,2,15,1,1,100.0,1,0,11,47,26,1,0,1,2,3,29,7,24.1,2
690,Gabriel,BRA,DF,LOSC Lille,Ligue 1,20,1997,11.8,771,81,402,414,14,11,744,1,2,50.0,1,0,503,3142,1849,37,0,0,2,4,519,515,99.2,8
691,Mathieu Dossevi,TGO,FW,FC Toulouse,Ligue 1,30,1988,27.4,1290,16,170,536,694,103,1204,52,82,63.4,55,1,1000,5789,3366,181,52,19,78,69,1244,875,70.3,241
692,Abdoulaye Doucouré,FRA,MF,Watford FC,Premier League,25,1993,34.0,2324,67,477,1442,565,90,2277,41,62,66.1,44,4,1702,7940,4065,167,41,13,52,43,1773,1578,89.0,127
693,Cheick Doukouré,CIV,MF,Levante UD,La Liga,25,1992,3.5,161,4,32,112,24,4,160,2,2,100.0,2,0,104,389,159,3,1,0,7,4,120,99,82.5,5
694,Moussa Doumbia,MLI,FW,Stade Reims,Ligue 1,23,1994,17.8,924,12,159,449,413,56,905,55,83,66.3,59,3,787,4886,2900,128,45,16,47,47,897,681,75.9,150
695,Seydou Doumbia,CIV,FW,Girona FC,La Liga,30,1987,6.0,139,3,7,68,76,31,130,12,21,57.1,15,0,96,320,212,14,4,2,13,13,232,93,40.1,40
696,Souleyman Doumbia,CIV,DF,Stade Rennais FC,Ligue 1,21,1996,6.7,424,30,145,241,73,2,364,8,11,72.7,8,0,282,1507,800,25,8,2,6,10,279,258,92.5,9
697,Aleksandar Dragovic,AUT,DF,Bayer 04 Leverkusen,Bundesliga,27,1991,14.8,1241,85,546,732,39,12,1216,0,0,,0,0,881,4116,2595,69,7,0,1,0,903,888,98.3,6
698,Bartlomiej Dragowski,POL,GK,ACF Fiorentina,Serie A,20,1997,2.5,113,105,112,1,0,0,80,0,1,0.0,0,0,64,226,102,0,0,0,0,0,54,54,100.0,0
699,Bartlomiej Dragowski,POL,GK,FC Empoli,Serie A,20,1997,14.0,539,500,538,2,0,0,354,0,0,,0,0,208,1199,754,0,0,0,0,1,157,156,99.4,0
700,Julian Draxler,DEU,MF,Paris Saint-Germain,Ligue 1,24,1993,22.7,1809,12,194,1073,708,80,1748,56,71,78.9,59,0,1455,8239,4467,219,74,14,31,37,1624,1474,90.8,198
701,Luke Dreher,ENG,MF,Crystal Palace,Premier League,19,1998,0.0,3,0,0,1,2,0,3,0,0,,0,0,3,18,13,1,0,0,0,0,4,3,75.0,1
702,Josip Drmic,CHE,FW,Borussia Mönchengladbach,Bundesliga,25,1992,2.5,80,0,4,43,36,11,75,2,4,50.0,3,0,61,238,97,7,0,1,3,4,100,61,61.0,26
703,Jaroslav Drobny,CZE,GK,Fortuna Düsseldorf,Bundesliga,38,1979,2.0,41,32,41,0,0,0,26,0,0,,0,0,15,77,56,0,0,0,0,0,9,9,100.0,0
704,Óscar Duarte,CRI,DF,RCD Espanyol Barcelona,La Liga,29,1989,7.3,417,48,227,194,11,3,412,0,0,,0,0,241,1301,512,13,1,0,1,1,268,262,97.8,5
705,Rubén Duarte,ESP,DF,Deportivo Alavés,La Liga,22,1995,30.8,1625,145,583,795,317,21,1377,9,15,60.0,10,1,776,3853,2014,91,28,3,11,3,775,691,89.2,48
706,Léo Dubois,FRA,DF,Olympique Lyon,Ligue 1,23,1994,22.7,1711,75,403,937,487,46,1497,15,29,51.7,16,0,1132,6396,3746,171,52,15,16,12,1155,1080,93.5,71
707,Martin Dubravka,SVK,GK,Newcastle United,Premier League,29,1989,38.0,1254,1084,1246,8,0,0,843,1,1,100.0,1,0,582,3533,1838,0,0,0,0,0,441,438,99.3,0
708,Marvin Ducksch,DEU,FW,Fortuna Düsseldorf,Bundesliga,24,1994,9.1,363,10,28,178,167,38,329,2,5,40.0,2,0,196,638,355,23,7,4,24,5,378,252,66.7,98
709,Ondrej Duda,SVK,MF,Hertha BSC,Bundesliga,23,1994,28.5,1601,24,189,970,545,70,1525,43,65,66.2,45,2,1122,4541,2079,96,34,10,55,46,1362,1105,81.1,185
710,Shane Duffy,IRL,DF,Brighton & Hove Albion,Premier League,26,1992,34.3,1761,363,1160,557,112,71,1732,5,5,100.0,5,0,864,3345,1519,17,7,0,9,8,970,918,94.6,63
711,Demeaco Duhaney,ENG,DF,Huddersfield Town,Premier League,19,1998,0.5,40,4,10,19,12,0,34,0,0,,0,0,25,102,39,3,0,0,1,3,23,21,91.3,1
712,Paul Dummett,WAL,DF,Newcastle United,Premier League,26,1991,22.1,1140,113,529,487,164,8,1018,2,3,66.7,3,0,544,2030,1115,39,12,1,4,2,570,537,94.2,9
713,Alfred Duncan,GHA,MF,US Sassuolo,Serie A,25,1993,20.5,1063,31,199,616,313,35,1044,29,48,60.4,33,5,801,3437,1884,93,32,9,23,29,934,792,84.8,93
714,Lewis Dunk,ENG,DF,Brighton & Hove Albion,Premier League,26,1991,35.0,1904,303,1156,778,83,39,1848,1,3,33.3,1,0,1081,5534,2855,55,15,0,9,6,1099,1061,96.5,34
715,Maxime Dupé,FRA,GK,FC Nantes,Ligue 1,25,1993,10.4,317,275,315,3,0,0,191,0,0,,0,0,122,612,344,0,0,0,0,0,113,113,100.0,0
716,Erik Durm,DEU,DF,Huddersfield Town,Premier League,26,1992,22.8,1299,53,341,609,419,29,1051,15,20,75.0,15,0,708,3587,1664,68,22,4,21,28,764,636,83.2,72
717,Jimmy Durmaz,SWE,MF,FC Toulouse,Ligue 1,29,1989,21.1,1458,15,175,870,534,40,1324,53,88,60.2,59,4,1065,5259,3132,172,46,9,37,43,1204,1048,87.0,116
718,Riza Durmisi,DNK,DF,SS Lazio,Serie A,24,1994,3.6,193,10,47,70,93,14,165,4,7,57.1,5,0,132,749,477,20,4,7,1,1,140,120,85.7,12
719,Hugo Duro,ESP,MF,Getafe CF,La Liga,18,1999,4.6,115,3,16,57,46,8,110,2,5,40.0,2,0,68,311,138,9,1,2,11,4,166,70,42.2,24
720,Raphael Dwamena,GHA,FW,Levante UD,La Liga,22,1995,2.5,80,2,6,32,48,13,78,2,6,33.3,2,0,53,268,173,8,4,1,8,3,125,58,46.4,26
721,Paulo Dybala,ARG,FW,Juventus FC,Serie A,24,1993,23.7,1612,6,149,846,742,87,1479,54,106,50.9,60,4,1320,6590,2932,169,48,7,58,37,1518,1251,82.4,205
722,Edin Dzeko,BIH,FW,AS Roma,Serie A,32,1986,28.7,1136,35,72,512,622,222,1073,51,83,61.4,53,1,796,4074,1713,112,30,28,66,56,1461,876,60.0,391
723,Blerim Dzemaili,CHE,MF,Bologna FC 1909,Serie A,32,1986,19.4,939,14,186,527,331,33,905,23,36,63.9,23,0,674,4093,2621,127,52,6,20,27,680,599,88.1,97
724,Félix Eboa Eboa,CMR,DF,EA Guingamp,Ligue 1,21,1997,27.0,1309,177,718,593,82,27,1253,11,12,91.7,11,0,690,3713,1851,38,9,0,7,6,653,630,96.5,14
725,Dennis Eckert Ayensa,DEU,FW,Celta de Vigo,La Liga,21,1997,2.4,75,2,3,28,48,20,72,3,7,42.9,4,0,45,250,121,7,3,1,5,1,97,54,55.7,24
726,Bruno Ecuele Manga,GAB,DF,Cardiff City,Premier League,30,1988,37.5,1488,234,630,717,182,18,1336,14,17,82.4,14,1,664,3085,1280,49,8,2,10,12,507,466,91.9,11
727,Simone Edera,ITA,FW,Torino FC,Serie A,21,1997,0.9,48,1,8,18,26,2,44,1,4,25.0,1,0,36,127,86,4,1,0,6,2,41,35,85.4,7
728,Simone Edera,ITA,FW,Bologna FC 1909,Serie A,21,1997,2.2,119,0,21,45,60,12,110,6,16,37.5,6,1,90,468,331,17,3,3,3,5,123,81,65.9,8
729,Ederson,BRA,GK,Manchester City,Premier League,24,1993,38.0,1130,980,1121,17,0,0,914,1,1,100.0,1,0,700,3066,1772,0,0,0,0,0,629,628,99.8,0
730,Johannes Eggestein,DEU,FW,SV Werder Bremen,Bundesliga,20,1998,12.4,529,8,63,246,267,69,526,17,33,51.5,19,1,420,1897,1060,61,19,14,36,48,593,373,62.9,137
731,Maximilian Eggestein,DEU,MF,SV Werder Bremen,Bundesliga,21,1996,33.9,2027,68,428,1119,641,67,1984,20,30,66.7,20,0,1436,7290,4318,221,93,9,32,40,1561,1354,86.7,151
732,Albin Ekdal,SWE,MF,UC Sampdoria,Serie A,29,1989,29.4,1981,115,494,1319,301,14,1929,37,44,84.1,37,0,1397,6554,3348,152,50,2,19,35,1451,1358,93.6,48
733,Josip Elez,HRV,DF,Hannover 96,Bundesliga,24,1994,7.2,382,40,165,222,20,1,353,2,2,100.0,2,0,217,1428,900,30,4,0,3,2,219,215,98.2,1
734,Harvey Elliott,ENG,MF,Fulham FC,Premier League,15,2003,0.2,16,0,0,8,11,1,16,1,1,100.0,1,0,15,116,42,2,1,0,2,0,14,13,92.9,4
735,Mohamed Elneny,EGY,MF,Arsenal FC,Premier League,26,1992,4.2,325,17,105,189,56,5,317,1,2,50.0,1,0,246,1226,611,26,5,0,4,1,269,251,93.3,6
736,Aritz Elustondo,ESP,DF,Real Sociedad,La Liga,24,1994,25.0,1524,192,784,682,150,27,1398,15,17,88.2,16,1,894,5596,3093,88,15,2,13,4,886,849,95.8,25
737,Gorka Elustondo,ESP,MF,Rayo Vallecano,La Liga,31,1987,3.2,162,20,61,97,14,2,159,0,0,,0,0,87,424,238,4,1,0,1,0,100,94,94.0,3
738,Nico Elvedi,CHE,DF,Borussia Mönchengladbach,Bundesliga,21,1996,29.1,2375,234,1132,1409,62,19,2317,5,6,83.3,5,0,1721,12317,7549,198,18,0,7,2,1718,1699,98.9,18
739,Rodrigo Ely,BRA,DF,Deportivo Alavés,La Liga,24,1993,4.8,219,37,124,90,11,9,211,0,0,,0,0,76,356,187,2,0,0,3,0,92,86,93.5,7
740,Mohamed Elyounoussi,NOR,MF,Southampton FC,Premier League,23,1994,8.8,383,5,58,149,213,33,353,8,16,50.0,12,1,256,1678,908,44,16,5,19,13,320,232,72.5,66
741,Adrián Embarba,ESP,FW,Rayo Vallecano,La Liga,26,1992,25.4,1215,21,191,480,645,83,1049,49,95,51.6,54,2,820,4733,2638,126,46,21,63,67,1038,715,68.9,160
742,Breel Embolo,CHE,FW,FC Schalke 04,Bundesliga,21,1997,14.9,504,4,31,245,265,76,493,21,50,42.0,27,4,378,1393,758,47,12,7,59,43,650,369,56.8,169
743,Emerson Royal,BRA,DF,Real Betis Balompié,La Liga,19,1999,3.5,258,11,77,96,101,8,216,1,6,16.7,2,0,157,603,366,21,6,3,8,2,174,156,89.7,12
744,Youssef En-Nesyri,MAR,FW,CD Leganés,La Liga,21,1997,23.4,838,25,71,391,426,119,819,34,72,47.2,37,6,500,1955,1021,47,13,22,66,59,1241,640,51.6,230
745,Björn Engels,BEL,DF,Stade Reims,Ligue 1,23,1994,33.0,1580,241,993,684,45,27,1535,8,12,66.7,8,0,960,5835,3946,75,8,0,3,3,961,949,98.8,15
746,Sergi Enrich,ESP,FW,SD Eibar,La Liga,28,1990,28.7,1257,14,49,532,723,194,1223,23,31,74.2,23,1,716,2168,606,35,15,7,90,46,1878,956,50.9,389
747,Javi Eraso,ESP,MF,CD Leganés,La Liga,28,1990,7.0,297,6,36,155,127,16,268,7,9,77.8,7,0,201,861,422,19,8,0,10,15,300,193,64.3,52
748,Christian Eriksen,DNK,MF,Tottenham Hotspur,Premier League,26,1992,30.8,2294,15,262,1239,931,78,2134,21,37,56.8,23,2,1688,7225,3826,210,76,13,47,36,1978,1692,85.5,195
749,Patrick Erras,DEU,MF,1.FC Nuremberg,Bundesliga,23,1995,13.6,578,63,232,318,52,13,570,0,0,,0,0,274,1265,583,27,3,1,2,5,320,308,96.3,7
750,Gonzalo Escalante,ARG,MF,SD Eibar,La Liga,25,1993,19.9,973,22,116,653,250,36,967,23,31,74.2,24,5,576,2409,1044,59,20,4,11,20,623,527,84.6,51
751,Sergio Escudero,ESP,DF,Sevilla FC,La Liga,28,1989,17.2,1168,67,361,540,334,37,990,14,27,51.9,15,1,691,3431,2170,101,29,7,18,12,719,646,89.8,66
752,Bernardo Espinosa,COL,DF,Girona FC,La Liga,29,1989,30.3,1726,292,1105,629,67,44,1692,4,4,100.0,4,0,994,3907,1742,19,1,0,11,2,1072,1035,96.5,36
753,Michael Esser,DEU,GK,Hannover 96,Bundesliga,30,1987,32.0,1350,1140,1346,6,1,1,981,0,0,,0,0,705,4317,2193,0,0,0,0,0,575,572,99.5,0
754,Alexander Esswein,DEU,FW,VfB Stuttgart,Bundesliga,28,1990,13.9,624,15,72,272,311,55,599,15,25,60.0,16,0,416,2123,1109,54,18,12,32,25,681,449,65.9,113
755,Neil Etheridge,PHL,GK,Cardiff City,Premier League,28,1990,38.0,1318,1076,1286,33,0,0,855,0,0,,0,0,580,3614,2159,2,0,0,0,0,413,411,99.5,0
756,Beñat Etxebarria,ESP,MF,Athletic Bilbao,La Liga,31,1987,22.6,1404,27,228,892,343,7,1241,12,19,63.2,13,0,916,3411,1533,76,21,1,10,22,941,874,92.9,26
757,Xabi Etxeita,ESP,DF,SD Huesca,La Liga,30,1987,29.7,1214,189,669,539,81,42,1178,3,4,75.0,4,0,601,3585,2135,58,11,0,10,1,637,598,93.9,32
758,Lucas Evangelista,BRA,FW,FC Nantes,Ligue 1,23,1995,8.0,435,7,59,213,193,20,432,12,19,63.2,13,1,312,1299,587,29,16,2,20,21,395,302,76.5,74
759,Jonny Evans,NIR,DF,Leicester City,Premier League,30,1988,22.2,1284,202,775,538,49,25,1250,0,0,,0,0,749,3880,1825,29,3,0,6,5,752,732,97.3,16
760,Ewerton,BRA,DF,1.FC Nuremberg,Bundesliga,29,1989,14.9,785,143,549,269,15,12,764,10,10,100.0,10,0,467,2211,984,6,1,0,2,3,419,410,97.9,8
761,Valentin Eysseric,FRA,FW,ACF Fiorentina,Serie A,26,1992,4.0,224,3,46,108,87,9,213,5,9,55.6,5,0,185,771,398,19,7,3,9,8,193,161,83.4,40
762,Valentin Eysseric,FRA,MF,FC Nantes,Ligue 1,26,1992,2.3,136,1,9,72,62,12,110,4,4,100.0,4,0,82,269,111,8,3,0,9,2,118,82,69.5,24
763,Marco Fabián,MEX,FW,Eintracht Frankfurt,Bundesliga,29,1989,0.7,26,0,7,16,7,1,26,0,0,,0,0,19,107,39,3,2,1,4,1,14,14,100.0,3
764,Lukasz Fabianski,POL,GK,West Ham United,Premier League,33,1985,38.0,1319,1189,1319,0,1,1,868,1,1,100.0,1,0,569,3018,1681,0,0,0,0,0,420,417,99.3,0
765,Fabinho,BRA,MF,Liverpool FC,Premier League,24,1993,22.4,1857,53,381,1290,324,19,1824,14,19,73.7,16,1,1326,5937,3135,143,40,1,13,10,1395,1349,96.7,38
766,Fábio,BRA,DF,FC Nantes,Ligue 1,28,1990,14.2,783,35,208,397,238,10,643,7,12,58.3,7,1,398,2738,1751,70,35,2,9,8,412,383,93.0,19
767,Cesc Fàbregas,ESP,MF,Chelsea FC,Premier League,31,1987,2.0,217,5,54,133,47,7,206,0,0,,0,0,173,665,392,7,3,0,4,3,183,177,96.7,8
768,Cesc Fàbregas,ESP,MF,AS Monaco,Ligue 1,31,1987,10.7,836,20,149,517,202,16,763,3,4,75.0,3,0,564,2244,1172,46,7,1,10,10,654,592,90.5,35
769,Fabri,ESP,GK,Fulham FC,Premier League,30,1987,2.0,68,63,68,0,0,0,57,0,0,,0,0,29,122,71,0,0,0,0,0,21,21,100.0,0
770,Ralf Fährmann,DEU,GK,FC Schalke 04,Bundesliga,29,1988,16.3,565,467,561,3,1,0,408,0,0,,0,0,289,1219,703,0,0,0,0,0,242,242,100.0,0
771,Romain Faivre,FRA,MF,AS Monaco,Ligue 1,20,1998,1.0,51,0,2,34,18,3,51,4,5,80.0,4,0,48,281,126,8,2,1,1,2,48,41,85.4,7
772,Fayçal Fajr,MAR,MF,SM Caen,Ligue 1,29,1988,36.0,2415,34,415,1528,609,20,2121,47,73,64.4,49,2,1733,7070,3149,140,50,3,32,40,1750,1562,89.3,80
773,Falcao,COL,FW,AS Monaco,Ligue 1,32,1986,28.4,1057,28,74,553,473,137,976,35,53,66.0,38,3,719,2128,800,50,18,6,86,57,1349,767,56.9,342
774,Diego Falcinelli,ITA,FW,Bologna FC 1909,Serie A,27,1991,7.8,257,3,27,124,123,30,249,12,22,54.5,12,1,193,824,374,21,3,5,18,25,349,189,54.2,80
775,Simon Falette,GIN,DF,Eintracht Frankfurt,Bundesliga,26,1992,6.7,386,31,211,190,22,2,366,1,1,100.0,1,0,215,1357,681,9,2,0,2,5,202,197,97.5,2
776,Iago Falque,ESP,FW,Torino FC,Serie A,28,1990,17.9,1150,2,70,552,613,108,1047,27,54,50.0,28,2,918,5454,2690,175,47,24,38,37,1162,876,75.4,177
777,Paolo Faragò,ITA,MF,Cagliari Calcio,Serie A,25,1993,18.9,1098,56,244,527,379,58,1016,16,26,61.5,16,1,621,2854,1329,65,19,7,30,19,812,645,79.4,95
778,Mohamed Fares,DZA,DF,SPAL,Serie A,22,1996,32.8,1946,99,605,834,671,56,1711,43,68,63.2,44,2,1235,7688,4840,182,65,7,42,47,1289,1158,89.8,96
779,Diego Farias,BRA,FW,Cagliari Calcio,Serie A,28,1990,7.8,341,5,31,141,199,42,329,12,22,54.5,14,0,266,1140,614,32,13,6,15,18,414,271,65.5,78
780,Diego Farias,BRA,FW,FC Empoli,Serie A,28,1990,13.3,472,4,25,187,305,77,461,14,30,46.7,16,0,384,2353,1576,85,30,28,28,20,592,383,64.7,126
781,Andrea Favilli,ITA,FW,Genoa CFC,Serie A,21,1997,1.9,70,1,4,22,48,17,65,1,3,33.3,1,0,44,284,198,7,1,4,4,3,91,53,58.2,30
782,Federico Fazio,ARG,DF,AS Roma,Serie A,31,1987,31.2,1779,268,848,918,108,42,1729,17,17,100.0,17,0,1046,5133,2719,66,11,0,7,11,1038,1010,97.3,32
783,Zouhair Feddal,MAR,DF,Real Betis Balompié,La Liga,29,1989,18.9,1515,178,721,789,105,26,1450,12,15,80.0,12,0,1018,5449,3299,99,13,0,8,9,1053,1021,97.0,30
784,Nabil Fekir,FRA,MF,Olympique Lyon,Ligue 1,25,1993,22.1,1432,10,114,722,705,132,1328,52,82,63.4,59,2,1163,5803,3021,172,59,26,42,57,1418,1107,78.1,238
785,Yassin Fekir,FRA,FW,Olympique Lyon,Ligue 1,21,1997,0.1,22,0,4,12,7,0,22,0,1,0.0,0,0,18,58,37,3,0,0,1,0,19,18,94.7,3
786,Felipe,BRA,DF,Hannover 96,Bundesliga,31,1987,12.2,666,109,379,285,23,12,648,2,3,66.7,2,0,370,1931,876,19,1,0,4,2,358,350,97.8,4
787,Luiz Felipe,BRA,DF,SS Lazio,Serie A,21,1997,14.3,862,107,420,434,68,7,828,4,9,44.4,5,1,556,3769,2122,66,9,0,1,6,570,557,97.7,5
788,Felix Uduokhai,DEU,DF,VfL Wolfsburg,Bundesliga,20,1997,2.7,185,9,69,99,28,2,164,2,2,100.0,2,0,110,704,399,16,3,0,2,3,110,107,97.3,4
789,Marouane Fellaini,BEL,MF,Manchester United,Premier League,30,1987,8.4,537,33,130,307,118,33,534,4,7,57.1,5,0,351,1004,386,14,7,1,13,5,448,369,82.4,61
790,Kiko Femenía,ESP,DF,Watford FC,Premier League,27,1991,22.8,1392,84,398,657,414,23,1187,16,24,66.7,17,0,858,4185,1992,86,37,4,16,14,880,793,90.1,44
791,Edimilson Fernandes,CHE,MF,ACF Fiorentina,Serie A,22,1996,21.9,1132,43,216,743,258,28,1122,23,40,57.5,25,2,861,4546,2063,95,32,3,19,38,818,743,90.8,73
792,Gelson Fernandes,CHE,MF,Eintracht Frankfurt,Bundesliga,31,1986,24.7,1054,49,277,697,111,7,1045,6,7,85.7,6,0,589,2027,775,24,5,0,10,16,588,535,91.0,15
793,Aitor Fernández,ESP,GK,Levante UD,La Liga,27,1991,16.0,508,445,508,0,0,0,293,0,0,,0,0,178,1046,736,0,0,0,0,0,112,109,97.3,0
794,Andrés Fernández,ESP,GK,Villarreal CF,La Liga,31,1986,6.0,207,182,207,1,0,0,131,0,1,0.0,0,0,83,567,327,0,0,0,0,0,68,68,100.0,0
