Rk,Player,Nation,Pos,Squad,Comp,Age,Born,Min/90,P_Cmp,P_Att,P_Cmp%,P_TotDist,P_PrgDist,PS_Cmp,PS_Att,PS_Cmp%,PM_Cmp,PM_Att,PM_Cmp%,PL_Cmp,PL_Att,PL_Cmp%,Ast,xA,A-xA,P_KP,P_1/3,P_PPA,P_CrsPA,P_Prog
1,Ismaël Aaneba,FRA,DF,RC Strasbourg Alsace,Ligue 1,19,1999,2.3,80,122,65.6,1603,786,33,40,82.5,36,59,61.0,11,18,61.1,0,0.5,-0.5,1,6,2,2,12
2,Patrick van Aanholt,NLD,DF,Crystal Palace,Premier League,27,1990,35.5,1587,1962,80.9,26851,11857,792,912,86.8,623,752,82.8,149,248,60.1,2,3.9,-1.9,34,115,63,9,224
3,Ignazio Abate,ITA,DF,AC Milan,Serie A,31,1986,14.5,766,918,83.4,14840,5802,301,325,92.6,358,401,89.3,100,167,59.9,0,0.3,-0.3,7,73,13,4,77
4,Issah Abass,GHA,FW,1.FSV Mainz 05,Bundesliga,19,1998,0.1,1,2,50.0,32,9,0,1,0.0,0,0,,1,1,100.0,0,0.0,0.0,0,0,0,0,0
5,Yunis Abdelhamid,MAR,DF,Stade Reims,Ligue 1,30,1987,38.0,1318,1576,83.6,30166,10127,286,339,84.4,758,818,92.7,269,394,68.3,0,0.1,-0.1,3,51,3,0,59
6,Mehdi Abeid,DZA,MF,Dijon FCO,Ligue 1,25,1992,22.5,919,1081,85.0,17137,3889,403,438,92.0,377,431,87.5,121,183,66.1,0,1.5,-1.5,23,87,11,2,72
7,Charles Abi,FRA,FW,AS Saint-Étienne,Ligue 1,18,2000,0.4,6,16,37.5,58,15,5,7,71.4,1,4,25.0,0,3,0.0,0,0.0,0.0,0,0,2,0,2
8,David Abraham,ARG,DF,Eintracht Frankfurt,Bundesliga,32,1986,15.8,520,671,77.5,12124,4564,141,171,82.5,243,288,84.4,132,199,66.3,0,0.1,-0.1,3,58,7,3,66
9,Amir Abrashi,ALB,MF,SC Freiburg,Bundesliga,28,1990,8.8,333,384,86.7,5636,968,153,174,87.9,150,162,92.6,26,34,76.5,0,0.1,-0.1,2,22,1,0,16
10,Francesco Acerbi,ITA,DF,SS Lazio,Serie A,30,1988,36.8,1554,1787,87.0,33525,10694,443,500,88.6,810,875,92.6,287,389,73.8,1,0.6,+0.4,8,112,6,2,94
