Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
32,Yoan Cardinale\Yoan-Cardinale,fr FRA,GK,Nice,fr Ligue 1,24,1994,3,3,270,3.0,6,2.00,12,7,58.3,0,1,2,0,0.0,1,1,0,0,0.0
33,Koen Casteels\Koen-Casteels,be BEL,GK,Wolfsburg,de Bundesliga,26,1992,26,26,2295,25.5,39,1.53,121,86,71.1,11,6,9,8,30.8,5,4,1,0,20.0
34,Petr Čech\Petr-Cech,cz CZE,GK,Arsenal,eng Premier League,36,1982,7,7,585,6.5,9,1.38,36,27,75.0,5,0,2,2,28.6,0,0,0,0,
35,Leandro Chichizola\Leandro-Chichizola,ar ARG,GK,Getafe,es La Liga,28,1990,1,1,90,1.0,1,1.00,1,0,0.0,1,0,0,0,0.0,0,0,0,0,
36,Jasper Cillessen\Jasper-Cillessen,nl NED,GK,Barcelona,es La Liga,29,1989,3,3,270,3.0,4,1.33,13,10,76.9,1,1,1,1,33.3,1,1,0,0,0.0
37,Joel Coleman\Joel-Coleman,eng ENG,GK,Huddersfield,eng Premier League,22,1995,1,1,90,1.0,1,1.00,3,1,66.7,0,1,0,0,0.0,0,0,0,0,
38,Andrea Consigli\Andrea-Consigli,it ITA,GK,Sassuolo,it Serie A,31,1987,36,36,3213,35.7,57,1.60,144,94,63.2,9,15,12,12,33.3,8,4,3,1,42.9
39,Benoît Costil\Benoit-Costil,fr FRA,GK,Bordeaux,fr Ligue 1,31,1987,37,37,3330,37.0,42,1.14,146,110,75.3,9,11,17,10,27.0,7,6,1,0,14.3
40,Thibaut Courtois\Thibaut-Courtois,be BEL,GK,Real Madrid,es La Liga,26,1992,27,27,2430,27.0,36,1.33,100,70,70.0,14,3,10,8,29.6,8,6,1,1,14.3
41,Alessio Cragno\Alessio-Cragno,it ITA,GK,Cagliari,it Serie A,24,1994,38,38,3420,38.0,54,1.42,195,147,76.4,10,11,17,7,18.4,10,8,2,0,20.0
42,Iván Cuéllar\Ivan-Cuellar,es ESP,GK,Leganés,es La Liga,34,1984,34,34,3056,33.9,38,1.12,111,76,67.6,10,12,12,10,29.4,2,2,0,0,0.0
43,Abdoulaye Diallo\Abdoulaye-Diallo,sn SEN,GK,Rennes,fr Ligue 1,26,1992,6,6,495,5.5,4,0.73,18,15,83.3,3,2,1,2,33.3,1,1,0,0,0.0
44,Javier Díaz\Javier-Diaz,es ESP,GK,Sevilla,es La Liga,21,1997,1,1,90,1.0,1,1.00,0,0,,0,0,1,0,0.0,1,1,0,0,0.0
45,Stole Dimitrievski\Stole-Dimitrievski,mk MKD,GK,Rayo Vallecano,es La Liga,24,1993,21,21,1890,21.0,35,1.67,91,62,68.1,5,4,12,3,14.3,7,6,1,0,14.3
46,Marko Dmitrović\Marko-Dmitrovic,rs SRB,GK,Eibar,es La Liga,26,1992,24,24,2160,24.0,30,1.25,81,54,66.7,9,6,9,5,20.8,4,3,1,0,25.0
47,Jaume Doménech\Jaume-Domenech,es ESP,GK,Valencia,es La Liga,27,1990,4,4,360,4.0,1,0.25,12,10,91.7,2,2,0,3,75.0,0,0,0,0,
48,Gianluigi Donnarumma\Gianluigi-Donnarumma,it ITA,GK,Milan,it Serie A,19,1999,36,36,3092,34.3,32,0.93,121,94,76.0,18,11,7,11,30.6,4,3,1,0,25.0
49,Bartłomiej Drągowski\Bartlomiej-Dragowski,pl POL,GK,Fiorentina,it Serie A,20,1997,3,2,225,2.5,2,0.80,7,5,71.4,0,1,1,1,50.0,0,0,0,0,
50,Bartłomiej Drągowski\Bartlomiej-Dragowski,pl POL,GK,Empoli,it Serie A,20,1997,14,14,1260,14.0,24,1.71,91,70,76.9,5,2,7,3,21.4,4,3,1,0,25.0
51,Jaroslav Drobný\Jaroslav-Drobny,cz CZE,GK,Düsseldorf,de Bundesliga,38,1979,2,2,180,2.0,3,1.50,9,6,66.7,1,0,1,0,0.0,0,0,0,0,
52,Martin Dúbravka\Martin-Dubravka,sk SVK,GK,Newcastle Utd,eng Premier League,29,1989,38,38,3420,38.0,48,1.26,135,94,68.9,12,9,17,11,28.9,6,6,0,0,0.0
53,Maxime Dupé\Maxime-Dupe,fr FRA,GK,Nantes,fr Ligue 1,25,1993,11,10,939,10.4,17,1.63,31,16,51.6,5,3,2,1,10.0,3,2,1,0,33.3
54,Ederson\Ederson,br BRA,GK,Manchester City,eng Premier League,24,1993,38,38,3420,38.0,23,0.61,76,57,75.0,32,2,4,20,52.6,4,4,0,0,0.0
55,Michael Esser\Michael-Esser,de GER,GK,Hannover 96,de Bundesliga,30,1987,32,32,2880,32.0,67,2.09,209,149,70.3,5,6,21,5,15.6,6,5,1,0,16.7
56,Neil Etheridge\Neil-Etheridge,ph PHI,GK,Cardiff City,eng Premier League,28,1990,38,38,3420,38.0,69,1.82,201,135,67.7,10,4,24,10,26.3,7,4,3,0,42.9
57,Łukasz Fabiański\Lukasz-Fabianski,pl POL,GK,West Ham,eng Premier League,33,1985,38,38,3420,38.0,55,1.45,191,139,73.3,15,7,16,7,18.4,5,4,1,0,20.0
58,Fabricio\Fabricio,es ESP,GK,Fulham,eng Premier League,30,1987,2,2,180,2.0,5,2.50,23,18,78.3,0,0,2,0,0.0,0,0,0,0,
59,Ralf Fährmann\Ralf-Fahrmann,de GER,GK,Schalke 04,de Bundesliga,29,1988,17,16,1469,16.3,26,1.59,80,57,70.0,4,3,9,3,18.8,2,2,0,0,0.0
60,Aitor Fernández\Aitor-Fernandez,es ESP,GK,Levante,es La Liga,27,1991,16,16,1440,16.0,24,1.50,74,56,73.0,4,5,7,2,12.5,4,4,0,0,0.0
61,Andrés Fernández\Andres-Fernandez,es ESP,GK,Villarreal,es La Liga,31,1986,6,6,540,6.0,7,1.17,22,16,72.7,3,2,1,2,33.3,1,1,0,0,0.0
62,Mark Flekken\Mark-Flekken,nl NED,GK,Freiburg,de Bundesliga,25,1993,1,1,90,1.0,1,1.00,5,4,80.0,1,0,0,0,0.0,0,0,0,0,
63,Fraser Forster\Fraser-Forster,eng ENG,GK,Southampton,eng Premier League,30,1988,1,1,90,1.0,3,3.00,6,3,50.0,0,0,1,0,0.0,0,0,0,0,
64,Ben Foster\Ben-Foster,eng ENG,GK,Watford,eng Premier League,35,1983,38,38,3420,38.0,59,1.55,173,118,68.2,14,8,16,7,18.4,5,4,1,0,20.0
65,Pierluigi Frattali\Pierluigi-Frattali,it ITA,GK,Parma,it Serie A,32,1985,1,1,90,1.0,2,2.00,9,7,77.8,0,0,1,0,0.0,0,0,0,0,
66,Alberto García\Alberto-Garcia,es ESP,GK,Rayo Vallecano,es La Liga,33,1985,17,17,1530,17.0,35,2.06,83,51,59.0,3,4,10,4,23.5,4,1,3,0,75.0
67,Paulo Gazzaniga\Paulo-Gazzaniga,ar ARG,GK,Tottenham,eng Premier League,26,1992,3,3,270,3.0,2,0.67,13,11,84.6,2,0,1,1,33.3,0,0,0,0,
68,David de Gea\David-de-Gea,es ESP,GK,Manchester Utd,eng Premier League,27,1990,38,38,3420,38.0,54,1.42,169,124,71.6,19,9,10,7,18.4,6,6,0,0,0.0
69,Fabian Giefer\Fabian-Giefer,de GER,GK,Augsburg,de Bundesliga,28,1990,4,4,360,4.0,7,1.75,18,11,61.1,1,1,2,0,0.0,0,0,0,0,
70,Mauro Goicoechea\Mauro-Goicoechea,uy URU,GK,Toulouse,fr Ligue 1,30,1988,8,7,712,7.9,12,1.52,35,24,68.6,2,3,2,3,42.9,1,1,0,0,0.0
71,Pierluigi Gollini\Pierluigi-Gollini,it ITA,GK,Atalanta,it Serie A,23,1995,20,20,1800,20.0,21,1.05,68,50,73.5,11,6,3,4,20.0,3,3,0,0,0.0
72,Alfred Gomis\Alfred-Gomis,sn SEN,GK,SPAL,it Serie A,24,1993,20,19,1723,19.2,27,1.41,76,50,65.8,3,6,10,6,31.6,1,1,0,0,0.0
73,Mathieu Gorgelin\Mathieu-Gorgelin,fr FRA,GK,Lyon,fr Ligue 1,27,1990,4,4,360,4.0,5,1.25,15,10,66.7,3,0,1,1,25.0,0,0,0,0,
74,Vicente Guaita\Vicente-Guaita,es ESP,GK,Crystal Palace,eng Premier League,31,1987,20,20,1755,19.5,23,1.18,82,60,73.2,10,4,6,7,35.0,1,1,0,0,0.0
75,Guido Guerrieri\Guido-Guerrieri,it ITA,GK,Lazio,it Serie A,22,1996,1,1,90,1.0,3,3.00,5,2,40.0,0,1,0,0,0.0,0,0,0,0,
76,Péter Gulácsi\Peter-Gulacsi,hu HUN,GK,RB Leipzig,de Bundesliga,28,1990,33,33,2925,32.5,28,0.86,108,86,77.8,19,9,5,16,48.5,5,4,0,1,0.0
77,Angus Gunn\Angus-Gunn,eng ENG,GK,Southampton,eng Premier League,22,1996,12,12,1080,12.0,18,1.50,48,30,62.5,4,4,4,3,25.0,1,0,1,0,100.0
78,Régis Gurtner\Regis-Gurtner,fr FRA,GK,Amiens,fr Ligue 1,31,1986,38,38,3420,38.0,54,1.42,155,109,69.0,9,11,18,11,28.9,9,6,2,1,25.0
79,Ben Hamer\Ben-Hamer,eng ENG,GK,Huddersfield,eng Premier League,30,1987,7,7,553,6.1,21,3.42,37,20,51.4,0,1,6,1,14.3,3,3,0,0,0.0
80,Samir Handanović\Samir-Handanovic,si SVN,GK,Inter,it Serie A,34,1984,38,38,3420,38.0,35,0.92,128,101,75.0,20,9,9,17,44.7,5,3,0,2,0.0
81,Joe Hart\Joe-Hart,eng ENG,GK,Burnley,eng Premier League,31,1987,19,19,1710,19.0,41,2.16,117,78,65.8,3,3,13,4,21.1,2,1,1,0,50.0
82,Tom Heaton\Tom-Heaton,eng ENG,GK,Burnley,eng Premier League,32,1986,19,19,1710,19.0,27,1.42,82,59,68.3,8,4,7,4,21.1,1,1,0,0,0.0
83,Wayne Hennessey\Wayne-Hennessey,wal WAL,GK,Crystal Palace,eng Premier League,31,1987,18,17,1575,17.5,26,1.49,65,42,64.6,4,3,10,5,29.4,4,3,1,0,25.0
84,Iago Herrerín\Iago-Herrerin,es ESP,GK,Athletic Club,es La Liga,30,1988,31,31,2790,31.0,32,1.03,85,56,65.9,12,10,9,10,32.3,3,3,0,0,0.0
85,Marwin Hitz\Marwin-Hitz,ch SUI,GK,Dortmund,de Bundesliga,30,1987,2,2,180,2.0,4,2.00,5,1,20.0,2,0,0,0,0.0,1,0,0,1,
86,Lukáš Hrádecký\Lukas-Hradecky,fi FIN,GK,Leverkusen,de Bundesliga,28,1989,32,32,2880,32.0,49,1.53,125,83,63.2,18,4,10,9,28.1,4,3,1,0,25.0
87,Salvador Ichazo\Salvador-Ichazo,uy URU,GK,Torino,it Serie A,26,1992,3,2,250,2.8,2,0.72,8,7,87.5,1,1,0,1,50.0,1,1,0,0,0.0
88,Gorka Iraizoz\Gorka-Iraizoz,es ESP,GK,Girona,es La Liga,37,1981,7,6,558,6.2,10,1.61,36,29,77.8,1,0,5,1,16.7,2,2,0,0,0.0
89,Jandrei\Jandrei,br BRA,GK,Genoa,it Serie A,25,1993,1,1,90,1.0,1,1.00,2,0,50.0,0,0,1,0,0.0,0,0,0,0,
90,Rune Jarstein\Rune-Jarstein,no NOR,GK,Hertha BSC,de Bundesliga,33,1984,31,31,2745,30.5,48,1.57,141,96,67.4,9,10,12,8,25.8,4,2,1,1,33.3
91,Karl-Johan Johnsson\Karl-Johan-Johnsson,se SWE,GK,Guingamp,fr Ligue 1,28,1990,17,17,1530,17.0,34,2.00,73,41,56.2,1,5,11,4,23.5,4,2,1,1,33.3
92,Aleksandar Jovanović\Aleksandar-Jovanovic,rs SRB,GK,Huesca,es La Liga,25,1992,12,12,1080,12.0,19,1.58,43,27,60.5,1,4,7,0,0.0,2,2,0,0,0.0
93,Stefanos Kapino\Stefanos-Kapino,gr GRE,GK,Werder Bremen,de Bundesliga,24,1994,1,0,45,0.5,1,2.00,3,2,66.7,0,0,0,0,,0,0,0,0,
94,Orestis Karnezis\Orestis-Karnezis,gr GRE,GK,Napoli,it Serie A,33,1985,9,9,810,9.0,7,0.78,25,19,76.0,6,2,1,4,44.4,1,1,0,0,0.0
95,Eiji Kawashima\Eiji-Kawashima,jp JPN,GK,Strasbourg,fr Ligue 1,35,1983,1,1,90,1.0,0,0.00,1,1,100.0,1,0,0,1,100.0,0,0,0,0,
96,Gregor Kobel\Gregor-Kobel,ch SUI,GK,Hoffenheim,de Bundesliga,20,1997,1,1,90,1.0,1,1.00,6,6,100.0,1,0,0,0,0.0,1,1,0,0,0.0
97,Gregor Kobel\Gregor-Kobel,ch SUI,GK,Augsburg,de Bundesliga,20,1997,16,16,1390,15.4,42,2.72,85,44,51.8,4,2,10,3,18.8,2,1,1,0,50.0
98,Tomáš Koubek\Tomas-Koubek,cz CZE,GK,Rennes,fr Ligue 1,25,1992,33,32,2925,32.5,48,1.48,134,90,66.4,10,11,11,9,28.1,4,3,1,0,25.0
99,Thomas Kraft\Thomas-Kraft,de GER,GK,Hertha BSC,de Bundesliga,30,1988,4,3,315,3.5,9,2.57,13,6,46.2,2,0,1,1,33.3,2,2,0,0,0.0
100,Alban Lafont\Alban-Lafont,fr FRA,GK,Fiorentina,it Serie A,19,1999,34,34,3015,33.5,40,1.19,118,86,70.3,8,15,11,9,26.5,6,5,1,0,16.7
101,Benjamin Lecomte\Benjamin-Lecomte,fr FRA,GK,Montpellier,fr Ligue 1,27,1991,37,37,3330,37.0,42,1.14,136,100,71.3,15,13,9,11,29.7,5,3,1,1,25.0
102,Bernd Leno\Bernd-Leno,de GER,GK,Arsenal,eng Premier League,26,1992,32,31,2835,31.5,42,1.33,139,105,74.8,16,7,8,7,22.6,7,7,0,0,0.0
103,Hugo Lloris\Hugo-Lloris,fr FRA,GK,Tottenham,eng Premier League,31,1986,33,33,2970,33.0,33,1.00,122,94,75.4,21,2,10,12,36.4,5,3,2,0,40.0
104,Anthony Lopes\Anthony-Lopes,pt POR,GK,Lyon,fr Ligue 1,27,1990,34,34,3060,34.0,42,1.24,131,97,71.8,18,9,7,9,26.5,5,5,0,0,0.0
105,Diego López\Diego-Lopez,es ESP,GK,Espanyol,es La Liga,36,1981,38,38,3420,38.0,50,1.32,156,114,71.8,14,11,13,10,26.3,8,6,2,0,25.0
106,Pau López\Pau-Lopez,es ESP,GK,Betis,es La Liga,23,1994,33,33,2970,33.0,47,1.42,135,91,67.4,12,7,14,10,30.3,4,3,1,0,25.0
107,Jonas Lössl\Jonas-Lossl,dk DEN,GK,Huddersfield,eng Premier League,29,1989,31,30,2777,30.9,54,1.75,137,87,63.5,3,5,22,5,16.7,5,4,1,0,20.0
108,Andriy Lunin\Andriy-Lunin,ua UKR,GK,Leganés,es La Liga,19,1999,5,4,364,4.1,5,1.24,18,13,77.8,1,0,3,2,50.0,2,1,1,0,50.0
109,Andreas Luthe\Andreas-Luthe,de GER,GK,Augsburg,de Bundesliga,31,1987,15,14,1310,14.6,22,1.51,77,56,71.4,3,5,6,2,14.3,0,0,0,0,
110,Mike Maignan\Mike-Maignan,fr FRA,GK,Lille,fr Ligue 1,22,1995,38,38,3420,38.0,34,0.89,118,91,76.3,22,9,7,15,39.5,10,6,2,2,25.0
111,Steve Mandanda\Steve-Mandanda,fr FRA,GK,Marseille,fr Ligue 1,33,1985,31,31,2736,30.4,41,1.35,108,74,67.6,14,5,12,9,29.0,7,6,1,0,14.3
112,Federico Marchetti\Federico-Marchetti,it ITA,GK,Genoa,it Serie A,35,1983,4,4,360,4.0,10,2.50,19,10,47.4,2,0,2,1,25.0,0,0,0,0,
113,Jordi Masip\Jordi-Masip,es ESP,GK,Valladolid,es La Liga,29,1989,35,35,3150,35.0,45,1.29,140,102,71.4,10,9,16,9,25.7,8,5,3,0,37.5
114,Christian Mathenia\Christian-Mathenia,de GER,GK,Nürnberg,de Bundesliga,26,1992,22,22,1933,21.5,40,1.86,116,75,66.4,1,7,14,2,9.1,1,1,0,0,0.0
115,Alex McCarthy\Alex-McCarthy,eng ENG,GK,Southampton,eng Premier League,28,1989,25,25,2250,25.0,44,1.76,116,77,63.8,5,8,12,4,16.0,2,2,0,0,0.0
116,Edouard Mendy\Edouard-Mendy,sn SEN,GK,Reims,fr Ligue 1,26,1992,38,38,3420,38.0,42,1.11,147,114,76.2,13,16,9,14,36.8,7,7,0,0,0.0
117,Alex Meret\Alex-Meret,it ITA,GK,Napoli,it Serie A,21,1997,14,13,1150,12.8,9,0.70,47,40,85.1,9,1,3,5,38.5,2,2,0,0,0.0
118,Vanja Milinković-Savić\Vanja-Milinkovic-Savic,rs SRB,GK,SPAL,it Serie A,21,1997,2,2,164,1.8,4,2.20,16,12,75.0,1,0,1,1,50.0,0,0,0,0,
119,Antonio Mirante\Antonio-Mirante,it ITA,GK,Roma,it Serie A,35,1983,11,11,990,11.0,6,0.55,36,28,83.3,6,4,1,6,54.5,1,0,1,0,100.0
120,Jessy Moulin\Jessy-Moulin,fr FRA,GK,Saint-Étienne,fr Ligue 1,32,1986,1,1,90,1.0,1,1.00,5,5,80.0,0,1,0,0,0.0,0,0,0,0,
121,Florian Müller\Florian-Muller,de GER,GK,Mainz 05,de Bundesliga,20,1997,24,24,2160,24.0,43,1.79,118,78,66.1,8,3,13,5,20.8,4,3,0,1,0.0
122,Juan Musso\Juan-Musso,ar ARG,GK,Udinese,it Serie A,24,1994,29,29,2610,29.0,41,1.41,133,101,75.2,9,8,12,7,24.1,8,8,0,0,0.0
123,Yvon Mvogo\Yvon-Mvogo,ch SUI,GK,RB Leipzig,de Bundesliga,24,1994,2,1,135,1.5,2,1.33,3,2,66.7,0,0,1,1,100.0,1,1,0,0,0.0
124,Keylor Navas\Keylor-Navas,cr CRC,GK,Real Madrid,es La Liga,31,1986,10,10,900,10.0,8,0.80,30,22,73.3,6,2,2,4,40.0,0,0,0,0,
125,Neto\Neto,br BRA,GK,Valencia,es La Liga,29,1989,34,34,3060,34.0,34,1.00,134,109,79.9,13,14,7,10,29.4,8,7,1,0,12.5
126,Manuel Neuer\Manuel-Neuer,de GER,GK,Bayern Munich,de Bundesliga,32,1986,26,26,2303,25.6,23,0.90,51,32,60.8,20,3,3,10,38.5,3,3,0,0,0.0
127,Will Norris\Will-Norris,eng ENG,GK,Wolves,eng Premier League,24,1993,1,0,,0.0,0,,0,0,,0,0,0,1,,0,0,0,0,
128,Alexander Nübel\Alexander-Nubel,de GER,GK,Schalke 04,de Bundesliga,21,1996,18,18,1588,17.6,29,1.64,77,49,66.2,4,6,8,4,22.2,4,3,1,0,25.0
129,Jan Oblak\Jan-Oblak,si SVN,GK,Atlético Madrid,es La Liga,25,1993,37,37,3330,37.0,27,0.73,123,103,82.1,22,9,6,20,54.1,5,5,0,0,0.0
130,Oier Olazábal\Oier-Olazabal,es ESP,GK,Levante,es La Liga,28,1989,21,21,1890,21.0,40,1.90,134,99,73.1,7,5,9,5,23.8,5,4,1,0,20.0
131,Alexandre Olliero\Alexandre-Olliero,fr FRA,GK,Nantes,fr Ligue 1,22,1996,1,1,90,1.0,1,1.00,0,0,,0,0,1,0,0.0,1,1,0,0,0.0
132,Robin Olsen\Robin-Olsen,se SWE,GK,Roma,it Serie A,28,1990,27,27,2430,27.0,43,1.59,124,87,68.5,12,8,7,4,14.8,6,4,0,2,0.0
133,David Ospina\David-Ospina,co COL,GK,Napoli,it Serie A,29,1988,17,16,1457,16.2,20,1.24,63,44,69.8,9,4,3,5,31.3,1,1,0,0,0.0
134,Ramazan Özcan\Ramazan-Ozcan,at AUT,GK,Leverkusen,de Bundesliga,34,1984,2,2,180,2.0,5,2.50,12,8,66.7,0,0,2,0,0.0,2,1,1,0,50.0
135,Fernando Pacheco\Fernando-Pacheco,es ESP,GK,Alavés,es La Liga,26,1992,35,35,3150,35.0,46,1.31,145,105,72.4,11,11,13,8,22.9,6,6,0,0,0.0
136,Rui Patrício\Rui-Patricio,pt POR,GK,Wolves,eng Premier League,30,1988,37,37,3330,37.0,46,1.24,138,98,68.8,15,9,13,8,21.6,4,3,0,1,0.0
137,Jiří Pavlenka\Jiri-Pavlenka,cz CZE,GK,Werder Bremen,de Bundesliga,26,1992,34,34,2978,33.1,47,1.42,153,108,71.2,14,11,9,5,14.7,4,3,0,1,0.0
138,Gianluca Pegolo\Gianluca-Pegolo,it ITA,GK,Sassuolo,it Serie A,37,1981,3,2,202,2.3,4,1.78,12,8,66.7,0,1,1,0,0.0,0,0,0,0,
139,Yohann Pelé\Yohann-Pele,fr FRA,GK,Marseille,fr Ligue 1,35,1982,9,7,680,7.6,12,1.59,22,14,63.6,4,2,1,3,42.9,5,4,1,0,20.0
140,Mattia Perin\Mattia-Perin,it ITA,GK,Juventus,it Serie A,25,1992,9,9,810,9.0,8,0.89,26,19,73.1,6,1,2,5,55.6,1,1,0,0,0.0
141,Pavao Pervan\Pavao-Pervan,at AUT,GK,Wolfsburg,de Bundesliga,30,1987,10,8,765,8.5,11,1.29,41,29,73.2,5,1,2,1,12.5,1,0,0,1,
142,Jordan Pickford\Jordan-Pickford,eng ENG,GK,Everton,eng Premier League,24,1994,38,38,3420,38.0,46,1.21,128,86,65.6,15,9,14,14,36.8,5,2,3,0,60.0
143,Carlo Pinsoglio\Carlo-Pinsoglio,it ITA,GK,Juventus,it Serie A,28,1990,1,1,90,1.0,2,2.00,3,1,33.3,0,0,1,0,0.0,0,0,0,0,
144,Luca Plogmann\Luca-Plogmann,de GER,GK,Werder Bremen,de Bundesliga,18,2000,1,0,37,0.4,1,2.43,0,0,,0,0,0,0,,1,1,0,0,0.0
