Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog
181,Léo Baptistão\Leo-Baptistao,br BRA,FWMF,Espanyol,es La Liga,25,1992,13.7,289,394,73.4,4561,1115,149,186,80.1,116,144,80.6,18,33,54.5,2,2.7,-0.7,22,17,16,4,33
182,Antonín Barák\Antonin-Barak,cz CZE,MFFW,Udinese,it Serie A,23,1994,3.7,152,183,83.1,2478,576,73,84,86.9,65,76,85.5,10,17,58.8,0,0.1,-0.1,2,7,1,1,13
183,Federico Barba\Federico-Barba,it ITA,DF,Chievo,it Serie A,24,1993,27.6,1021,1309,78.0,21014,8373,367,412,89.1,481,573,83.9,163,294,55.4,0,1.2,-1.2,12,74,18,8,87
184,Danilo Barbosa\Danilo-Barbosa,br BRA,MF,Nice,fr Ligue 1,22,1996,17.2,581,671,86.6,9156,2065,314,350,89.7,220,246,89.4,35,51,68.6,0,0.7,-0.7,14,47,5,0,49
185,Enis Bardhi\Enis-Bardhi,mk MKD,MF,Levante,es La Liga,23,1995,31.5,894,1211,73.8,15555,4756,451,554,81.4,305,380,80.3,111,218,50.9,4,2.8,+1.2,27,89,34,10,97
186,Francesco Bardi\Francesco-Bardi,it ITA,GK,Frosinone,it Serie A,26,1992,3.0,42,74,56.8,1293,855,5,5,100.0,20,20,100.0,16,48,33.3,0,0.0,0.0,0,0,0,0,0
187,Phil Bardsley\Phil-Bardsley,sco SCO,DF,Burnley,eng Premier League,33,1985,18.6,523,770,67.9,10171,4847,215,254,84.6,226,302,74.8,76,199,38.2,0,0.7,-0.7,6,61,20,6,58
188,Nicolò Barella\Nicolo-Barella,it ITA,MFFW,Cagliari,it Serie A,21,1997,34.5,1532,1926,79.5,27347,7213,747,854,87.5,565,682,82.8,196,318,61.6,3,3.0,0.0,43,151,52,9,158
189,Philipp Bargfrede\Philipp-Bargfrede,de GER,MFDF,Werder Bremen,de Bundesliga,29,1989,12.0,476,580,82.1,9693,3071,149,173,86.1,256,293,87.4,65,97,67.0,0,0.3,-0.3,5,75,9,1,62
190,Antonino Barillà\Antonino-Barilla,it ITA,MF,Parma,it Serie A,30,1988,29.1,604,848,71.2,10505,3780,294,352,83.5,219,282,77.7,76,167,45.5,2,1.8,+0.2,18,92,14,2,88
191,Ross Barkley\Ross-Barkley,eng ENG,MF,Chelsea,eng Premier League,24,1993,13.8,881,973,90.5,15589,2677,419,450,93.1,349,387,90.2,100,112,89.3,5,2.1,+2.9,21,62,17,2,64
192,Aymen Barkok\Aymen-Barkok,ma MAR,MF,Düsseldorf,de Bundesliga,20,1998,5.7,181,233,77.7,3621,989,69,84,82.1,76,88,86.4,33,47,70.2,0,0.2,-0.2,4,11,8,2,22
193,Ashley Barnes\Ashley-Barnes,eng ENG,FW,Burnley,eng Premier League,28,1989,26.5,346,559,61.9,5019,1092,214,294,72.8,96,167,57.5,23,60,38.3,2,3.6,-1.6,20,23,13,2,42
194,Harvey Barnes\Harvey-Barnes,eng ENG,FWMF,Leicester City,eng Premier League,20,1997,11.2,257,344,74.7,3546,944,168,203,82.8,71,94,75.5,11,20,55.0,2,1.4,+0.6,16,16,13,4,29
195,Antonio Barragán\Antonio-Barragan,es ESP,DFMF,Betis,es La Liga,31,1987,10.4,540,650,83.1,9051,3364,281,317,88.6,205,235,87.2,48,79,60.8,0,0.8,-0.8,10,26,16,8,45
196,Antonio Barreca\Antonio-Barreca,it ITA,DF,Newcastle Utd,eng Premier League,23,1995,0.1,1,3,33.3,16,16,0,0,,1,1,100.0,0,1,0.0,0,0.0,0.0,0,0,0,0,1
197,Antonio Barreca\Antonio-Barreca,it ITA,DF,Monaco,fr Ligue 1,23,1995,6.6,204,289,70.6,3782,1842,78,101,77.2,111,136,81.6,15,41,36.6,1,0.4,+0.6,7,9,6,3,18
198,Leandro Barreiro Martins\Leandro-Barreiro-Martins,lu LUX,MF,Mainz 05,de Bundesliga,18,2000,1.0,22,34,64.7,512,165,7,12,58.3,10,14,71.4,5,8,62.5,0,0.0,0.0,1,4,0,0,3
199,Ander Barrenetxea\Ander-Barrenetxea,es ESP,FWMF,Real Sociedad,es La Liga,16,2001,4.4,87,115,75.7,1256,286,52,61,85.2,30,37,81.1,4,10,40.0,0,0.6,-0.6,6,5,3,1,7
