Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
727,Simone Edera\Simone-Edera,it ITA,FWMF,Torino,it Serie A,21,1997,0.9,0,1,0,0.0,1.17,0.00,0.00,,13.3,0,0,0,0.0,0.0,0.05,0.0,0.0
728,Simone Edera\Simone-Edera,it ITA,FW,Bologna,it Serie A,21,1997,2.2,0,8,4,50.0,3.67,1.84,0.00,0.00,19.8,0,0,0,0.5,0.5,0.07,-0.5,-0.5
729,Ederson\Ederson,br BRA,GK,Manchester City,eng Premier League,24,1993,38.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
730,Johannes Eggestein\Johannes-Eggestein,de GER,FWMF,Werder Bremen,de Bundesliga,20,1998,12.4,4,32,12,37.5,2.59,0.97,0.13,0.33,14.3,0,0,0,3.3,3.3,0.10,+0.7,+0.7
731,Maximilian Eggestein\Maximilian-Eggestein,de GER,MF,Werder Bremen,de Bundesliga,21,1996,33.9,5,44,15,34.1,1.30,0.44,0.11,0.33,19.7,0,0,0,3.0,3.0,0.07,+2.0,+2.0
732,Albin Ekdal\Albin-Ekdal,se SWE,MF,Sampdoria,it Serie A,29,1989,29.4,0,15,1,6.7,0.51,0.03,0.00,0.00,22.5,0,0,0,0.7,0.7,0.05,-0.7,-0.7
733,Josip Elez\Josip-Elez,hr CRO,DF,Hannover 96,de Bundesliga,24,1994,7.2,0,3,0,0.0,0.42,0.00,0.00,,23.8,0,0,0,0.1,0.1,0.02,-0.1,-0.1
734,Harvey Elliot\Harvey-Elliot,eng ENG,MF,Fulham,eng Premier League,15,2003,0.2,0,1,1,100.0,4.50,4.50,0.00,0.00,15.0,0,0,0,0.1,0.1,0.12,-0.1,-0.1
735,Mohamed Elneny\Mohamed-Elneny,eg EGY,MF,Arsenal,eng Premier League,26,1992,4.2,0,7,0,0.0,1.66,0.00,0.00,,17.2,0,0,0,0.6,0.6,0.08,-0.6,-0.6
736,Aritz Elustondo\Aritz-Elustondo,es ESP,DF,Real Sociedad,es La Liga,24,1994,25.0,1,11,5,45.5,0.44,0.20,0.09,0.20,9.2,0,0,0,1.1,1.1,0.10,-0.1,-0.1
737,Gorka Elustondo\Gorka-Elustondo,es ESP,MF,Rayo Vallecano,es La Liga,31,1987,3.2,0,3,0,0.0,0.95,0.00,0.00,,23.2,0,0,0,0.1,0.1,0.02,-0.1,-0.1
738,Nico Elvedi\Nico-Elvedi,ch SUI,DF,M'Gladbach,de Bundesliga,21,1996,29.1,2,14,5,35.7,0.48,0.17,0.14,0.40,8.8,0,0,0,1.6,1.6,0.11,+0.4,+0.4
739,Rodrigo Ely\Rodrigo-Ely,br BRA,DF,Alavés,es La Liga,24,1993,4.8,0,3,1,33.3,0.63,0.21,0.00,0.00,14.9,0,0,0,0.1,0.1,0.02,-0.1,-0.1
740,Mohamed Elyounoussi\Mohamed-Elyounoussi,no NOR,MFFW,Southampton,eng Premier League,23,1994,8.8,0,19,6,31.6,2.16,0.68,0.00,0.00,17.3,0,0,0,1.9,1.9,0.10,-1.9,-1.9
741,Adri Embarba\Adri-Embarba,es ESP,FWMF,Rayo Vallecano,es La Liga,26,1992,25.4,5,46,15,32.6,1.81,0.59,0.04,0.13,18.9,6,3,3,6.0,3.7,0.08,-1.0,-1.7
742,Breel Embolo\Breel-Embolo,ch SUI,FW,Schalke 04,de Bundesliga,21,1997,14.9,5,27,13,48.1,1.81,0.87,0.19,0.38,11.8,0,0,0,3.6,3.6,0.13,+1.4,+1.4
743,Emerson\Emerson,br BRA,DF,Betis,es La Liga,19,1999,3.5,0,3,1,33.3,0.85,0.28,0.00,0.00,18.2,0,0,0,0.2,0.2,0.06,-0.2,-0.2
744,Youssef En-Nesyri\Youssef-En-Nesyri,ma MAR,FW,Leganés,es La Liga,21,1997,23.4,9,72,23,31.9,3.08,0.98,0.13,0.39,14.6,0,0,0,7.4,7.4,0.10,+1.6,+1.6
745,Björn Engels\Bjorn-Engels,be BEL,DF,Reims,fr Ligue 1,23,1994,33.0,1,9,4,44.4,0.27,0.12,0.11,0.25,7.5,0,0,0,1.1,1.1,0.12,-0.1,-0.1
746,Sergi Enrich\Sergi-Enrich,es ESP,FW,Eibar,es La Liga,28,1990,28.7,7,70,17,24.3,2.44,0.59,0.10,0.41,10.4,0,0,0,9.8,9.8,0.14,-2.8,-2.8
747,Javier Eraso\Javier-Eraso,es ESP,MFFW,Leganés,es La Liga,28,1990,7.0,0,4,2,50.0,0.57,0.29,0.00,0.00,13.6,0,0,0,0.9,0.9,0.22,-0.9,-0.9
748,Christian Eriksen\Christian-Eriksen,dk DEN,MFFW,Tottenham,eng Premier League,26,1992,30.8,8,84,31,36.9,2.73,1.01,0.10,0.26,22.4,12,0,0,5.5,5.5,0.07,+2.5,+2.5
749,Patrick Erras\Patrick-Erras,de GER,MF,Nürnberg,de Bundesliga,23,1995,13.6,0,8,1,12.5,0.59,0.07,0.00,0.00,13.9,0,0,0,0.6,0.6,0.08,-0.6,-0.6
750,Gonzalo Escalante\Gonzalo-Escalante,ar ARG,MF,Eibar,es La Liga,25,1993,19.9,4,22,8,36.4,1.11,0.40,0.18,0.50,16.7,0,0,0,2.1,2.1,0.12,+1.9,+1.9
751,Sergio Escudero\Sergio-Escudero,es ESP,DFMF,Sevilla,es La Liga,28,1989,17.2,0,25,3,12.0,1.46,0.17,0.00,0.00,19.7,0,0,0,1.2,1.2,0.05,-1.2,-1.2
752,Bernardo Espinosa\Bernardo-Espinosa,co COL,DF,Girona,es La Liga,29,1989,30.3,1,15,7,46.7,0.50,0.23,0.07,0.14,8.5,0,0,0,1.4,1.4,0.09,-0.4,-0.4
753,Michael Esser\Michael-Esser,de GER,GK,Hannover 96,de Bundesliga,30,1987,32.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
754,Alexander Esswein\Alexander-Esswein,de GER,FWMF,Stuttgart,de Bundesliga,28,1990,13.9,0,27,8,29.6,1.94,0.58,0.00,0.00,19.6,0,0,0,1.7,1.7,0.06,-1.7,-1.7
755,Neil Etheridge\Neil-Etheridge,ph PHI,GK,Cardiff City,eng Premier League,28,1990,38.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
756,Beñat Etxebarria\Benat-Etxebarria,es ESP,MF,Athletic Club,es La Liga,31,1987,22.6,1,16,4,25.0,0.71,0.18,0.06,0.25,27.9,3,0,0,0.5,0.5,0.03,+0.5,+0.5
757,Xabier Etxeita\Xabier-Etxeita,es ESP,DF,Huesca,es La Liga,30,1987,29.7,4,23,8,34.8,0.77,0.27,0.17,0.50,10.0,0,0,0,2.3,2.3,0.10,+1.7,+1.7
758,Lucas Evangelista\Lucas-Evangelista,br BRA,FWMF,Nantes,fr Ligue 1,23,1995,8.0,1,13,4,30.8,1.62,0.50,0.08,0.25,20.6,0,0,0,0.8,0.8,0.06,+0.2,+0.2
759,Jonny Evans\Jonny-Evans,nir NIR,DF,Leicester City,eng Premier League,30,1988,22.2,1,10,4,40.0,0.45,0.18,0.10,0.25,8.8,0,0,0,0.9,0.9,0.09,+0.1,+0.1
760,Ewerton\Ewerton,br BRA,DF,Nürnberg,de Bundesliga,29,1989,14.9,0,8,2,25.0,0.54,0.13,0.00,0.00,8.5,0,0,0,0.4,0.4,0.05,-0.4,-0.4
761,Valentin Eysseric\Valentin-Eysseric,fr FRA,FWMF,Fiorentina,it Serie A,26,1992,4.0,0,4,2,50.0,1.01,0.50,0.00,0.00,22.7,1,0,0,0.1,0.1,0.03,-0.1,-0.1
762,Valentin Eysseric\Valentin-Eysseric,fr FRA,MFFW,Nantes,fr Ligue 1,26,1992,2.3,1,4,0,0.0,1.72,0.00,0.00,,19.4,0,1,2,1.9,0.4,0.10,-0.9,-0.4
763,Marco Fabián\Marco-Fabian,mx MEX,FW,Eint Frankfurt,de Bundesliga,29,1989,0.7,0,1,0,0.0,1.45,0.00,0.00,,14.3,0,0,0,0.1,0.1,0.09,-0.1,-0.1
764,Łukasz Fabiański\Lukasz-Fabianski,pl POL,GK,West Ham,eng Premier League,33,1985,38.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
765,Fabinho\Fabinho,br BRA,MF,Liverpool,eng Premier League,24,1993,22.4,1,17,4,23.5,0.76,0.18,0.06,0.25,23.2,0,0,0,1.0,1.0,0.06,0.0,0.0
766,Fábio\Fabio,br BRA,DF,Nantes,fr Ligue 1,28,1990,14.2,0,3,1,33.3,0.21,0.07,0.00,0.00,20.6,0,0,0,0.2,0.2,0.08,-0.2,-0.2
767,Cesc Fàbregas\Cesc-Fabregas,es ESP,MF,Chelsea,eng Premier League,31,1987,2.0,0,1,0,0.0,0.50,0.00,0.00,,14.0,0,0,0,0.1,0.1,0.11,-0.1,-0.1
768,Cesc Fàbregas\Cesc-Fabregas,es ESP,MF,Monaco,fr Ligue 1,31,1987,10.7,1,11,6,54.5,1.02,0.56,0.09,0.17,14.6,1,0,0,1.7,1.7,0.16,-0.7,-0.7
769,Fabricio\Fabricio,es ESP,GK,Fulham,eng Premier League,30,1987,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
770,Ralf Fährmann\Ralf-Fahrmann,de GER,GK,Schalke 04,de Bundesliga,29,1988,16.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
771,Romain Faivre\Romain-Faivre,fr FRA,MFFW,Monaco,fr Ligue 1,20,1998,1.0,0,2,0,0.0,2.00,0.00,0.00,,16.6,0,0,0,0.2,0.2,0.10,-0.2,-0.2
772,Fayçal Fajr\Faycal-Fajr,ma MAR,MF,Caen,fr Ligue 1,29,1988,36.0,5,50,15,30.0,1.39,0.42,0.10,0.33,27.1,17,0,0,2.4,2.4,0.05,+2.6,+2.6
773,Radamel Falcao\Radamel-Falcao,co COL,FW,Monaco,fr Ligue 1,32,1986,28.4,15,93,38,40.9,3.27,1.34,0.13,0.32,15.1,7,3,4,15.3,12.3,0.13,-0.3,-0.3
774,Diego Falcinelli\Diego-Falcinelli,it ITA,FW,Bologna,it Serie A,27,1991,7.8,0,17,4,23.5,2.18,0.51,0.00,0.00,12.5,0,0,0,2.2,2.2,0.13,-2.2,-2.2
775,Simon Falette\Simon-Falette,gn GUI,DF,Eint Frankfurt,de Bundesliga,26,1992,6.7,0,3,1,33.3,0.45,0.15,0.00,0.00,25.0,0,0,0,0.1,0.1,0.03,-0.1,-0.1
776,Iago Falque\Iago-Falque,es ESP,FWMF,Torino,it Serie A,28,1990,17.9,6,58,22,37.9,3.24,1.23,0.10,0.27,18.4,4,0,0,5.8,5.8,0.10,+0.2,+0.2
777,Paolo Faragò\Paolo-Farago,it ITA,MFDF,Cagliari,it Serie A,25,1993,18.9,1,19,12,63.2,1.00,0.63,0.05,0.08,15.1,0,0,0,2.1,2.1,0.11,-1.1,-1.1
778,Mohamed Fares\Mohamed-Fares,dz ALG,DFMF,SPAL,it Serie A,22,1996,32.8,3,54,16,29.6,1.65,0.49,0.06,0.19,21.9,0,0,0,2.7,2.7,0.05,+0.3,+0.3
779,Diego Farias\Diego-Farias,br BRA,FW,Cagliari,it Serie A,28,1990,7.8,3,23,10,43.5,2.96,1.29,0.13,0.30,13.6,0,0,0,2.5,2.5,0.11,+0.5,+0.5
780,Diego Farias\Diego-Farias,br BRA,FW,Empoli,it Serie A,28,1990,13.3,4,34,15,44.1,2.56,1.13,0.12,0.27,15.3,0,0,0,4.5,4.5,0.13,-0.5,-0.5
781,Andrea Favilli\Andrea-Favilli,it ITA,FWMF,Genoa,it Serie A,21,1997,1.9,0,5,3,60.0,2.65,1.59,0.00,0.00,13.2,0,0,0,0.3,0.3,0.07,-0.3,-0.3
782,Federico Fazio\Federico-Fazio,ar ARG,DF,Roma,it Serie A,31,1987,31.2,5,31,16,51.6,0.99,0.51,0.16,0.31,10.3,0,0,0,2.6,2.6,0.09,+2.4,+2.4
783,Zouhair Feddal\Zouhair-Feddal,ma MAR,DF,Betis,es La Liga,29,1989,18.9,1,17,3,17.6,0.90,0.16,0.06,0.33,9.7,0,0,0,1.6,1.6,0.09,-0.6,-0.6
784,Nabil Fekir\Nabil-Fekir,fr FRA,MF,Lyon,fr Ligue 1,25,1993,22.1,9,85,38,44.7,3.85,1.72,0.06,0.13,20.7,17,4,6,10.6,6.0,0.07,-1.6,-1.0
785,Yassin Fekir\Yassin-Fekir,fr FRA,FW,Lyon,fr Ligue 1,21,1997,0.1,0,1,0,0.0,7.50,0.00,0.00,,31.0,0,0,0,0.0,0.0,0.02,0.0,0.0
786,Felipe\Felipe,br BRA,DF,Hannover 96,de Bundesliga,31,1987,12.2,2,10,2,20.0,0.82,0.16,0.20,1.00,12.9,0,0,0,0.8,0.8,0.08,+1.2,+1.2
787,Luiz Felipe\Luiz-Felipe,br BRA,DF,Lazio,it Serie A,21,1997,14.3,1,8,2,25.0,0.56,0.14,0.13,0.50,16.9,0,0,0,0.5,0.5,0.07,+0.5,+0.5
788,Ohis Felix Uduokhai\Ohis-Felix-Uduokhai,de GER,DF,Wolfsburg,de Bundesliga,20,1997,2.7,0,1,0,0.0,0.37,0.00,0.00,,9.2,0,0,0,0.0,0.0,0.02,0.0,0.0
789,Marouane Fellaini\Marouane-Fellaini,be BEL,MF,Manchester Utd,eng Premier League,30,1987,8.4,0,8,3,37.5,0.96,0.36,0.00,0.00,14.3,0,0,0,0.4,0.4,0.05,-0.4,-0.4
790,Kiko Femenía\Kiko-Femenia,es ESP,DF,Watford,eng Premier League,27,1991,22.8,1,7,3,42.9,0.31,0.13,0.14,0.33,26.6,0,0,0,0.5,0.5,0.06,+0.5,+0.5
791,Edimilson Fernandes\Edimilson-Fernandes,ch SUI,MF,Fiorentina,it Serie A,22,1996,21.9,2,20,5,25.0,0.91,0.23,0.10,0.40,21.3,0,0,0,1.0,1.0,0.05,+1.0,+1.0
792,Gelson Fernandes\Gelson-Fernandes,ch SUI,MF,Eint Frankfurt,de Bundesliga,31,1986,24.7,1,4,3,75.0,0.16,0.12,0.25,0.33,13.4,0,0,0,0.9,0.9,0.22,+0.1,+0.1
793,Aitor Fernández\Aitor-Fernandez,es ESP,GK,Levante,es La Liga,27,1991,16.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
794,Andrés Fernández\Andres-Fernandez,es ESP,GK,Villarreal,es La Liga,31,1986,6.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
795,Borja Fernández\Borja-Fernandez,es ESP,MFDF,Valladolid,es La Liga,37,1981,9.3,0,4,0,0.0,0.43,0.00,0.00,,18.6,0,0,0,0.1,0.1,0.04,-0.1,-0.1
796,Federico Fernández\Federico-Fernandez,ar ARG,DF,Newcastle Utd,eng Premier League,29,1989,16.5,0,4,1,25.0,0.24,0.06,0.00,0.00,10.9,0,0,0,0.2,0.2,0.04,-0.2,-0.2
797,Joaquín Fernández\Joaquin-Fernandez,es ESP,DFMF,Valladolid,es La Liga,22,1996,9.3,1,7,2,28.6,0.75,0.21,0.14,0.50,10.7,0,0,0,0.5,0.5,0.07,+0.5,+0.5
798,Fernandinho\Fernandinho,br BRA,MF,Manchester City,eng Premier League,33,1985,26.4,1,31,7,22.6,1.17,0.27,0.03,0.14,21.1,0,0,0,1.9,1.9,0.06,-0.9,-0.9
799,Juan Ferney Otero\Juan-Ferney-Otero,co COL,FWMF,Amiens,fr Ligue 1,23,1995,24.2,2,59,13,22.0,2.44,0.54,0.03,0.15,20.8,4,0,0,3.9,3.9,0.07,-1.9,-1.9
800,Alex Ferrari\Alex-Ferrari,it ITA,DF,Sampdoria,it Serie A,24,1994,6.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
801,David Ferreiro\David-Ferreiro,es ESP,FWMF,Huesca,es La Liga,30,1988,25.3,1,37,12,32.4,1.46,0.47,0.03,0.08,19.1,3,0,0,2.7,2.7,0.07,-1.7,-1.7
802,Facundo Ferreyra\Facundo-Ferreyra,ar ARG,FWMF,Espanyol,es La Liga,27,1991,2.3,1,3,1,33.3,1.28,0.43,0.33,1.00,15.2,0,0,0,0.3,0.3,0.10,+0.7,+0.7
803,Jordan Ferri\Jordan-Ferri,fr FRA,MF,Lyon,fr Ligue 1,26,1992,1.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
804,Jordan Ferri\Jordan-Ferri,fr FRA,MF,Nîmes,fr Ligue 1,26,1992,20.8,2,15,3,20.0,0.72,0.14,0.13,0.67,21.2,0,0,0,1.1,1.1,0.07,+0.9,+0.9
805,Oliver Fink\Oliver-Fink,de GER,MF,Düsseldorf,de Bundesliga,36,1982,11.7,3,11,3,27.3,0.94,0.26,0.27,1.00,16.2,0,0,0,0.9,0.9,0.08,+2.1,+2.1
806,Alfreð Finnbogason\Alfred-Finnbogason,is ISL,FW,Augsburg,de Bundesliga,29,1989,14.8,10,36,14,38.9,2.43,0.94,0.17,0.43,13.1,0,4,4,10.4,7.4,0.21,-0.4,-1.4
807,Roberto Firmino\Roberto-Firmino,br BRA,FWMF,Liverpool,eng Premier League,26,1991,29.0,12,73,31,42.5,2.52,1.07,0.15,0.35,14.5,0,1,1,13.3,12.5,0.17,-1.3,-1.5
808,Junior Firpo\Junior-Firpo,es ESP,DFMF,Betis,es La Liga,21,1996,21.5,3,19,8,42.1,0.88,0.37,0.16,0.38,12.8,0,0,0,2.0,2.0,0.11,+1.0,+1.0
809,Mathieu Flamini\Mathieu-Flamini,fr FRA,MF,Getafe,es La Liga,34,1984,5.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
810,Mark Flekken\Mark-Flekken,nl NED,GK,Freiburg,de Bundesliga,25,1993,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
811,Sergio Floccari\Sergio-Floccari,it ITA,FW,SPAL,it Serie A,36,1981,10.8,3,23,7,30.4,2.12,0.65,0.13,0.43,10.9,0,0,0,2.5,2.5,0.11,+0.5,+0.5
812,Alessandro Florenzi\Alessandro-Florenzi,it ITA,DFFW,Roma,it Serie A,27,1991,24.2,3,35,9,25.7,1.44,0.37,0.09,0.33,20.3,0,0,0,2.1,2.1,0.06,+0.9,+0.9
813,Phil Foden\Phil-Foden,eng ENG,MF,Manchester City,eng Premier League,18,2000,3.7,1,14,6,42.9,3.76,1.61,0.07,0.17,14.5,0,0,0,2.5,2.5,0.18,-1.5,-1.5
814,Guessouma Fofana\Guessouma-Fofana,fr FRA,MF,Guingamp,fr Ligue 1,25,1992,5.3,0,5,0,0.0,0.94,0.00,0.00,,19.9,0,0,0,0.5,0.5,0.09,-0.5,-0.5
815,Guessouma Fofana\Guessouma-Fofana,fr FRA,MF,Amiens,fr Ligue 1,25,1992,2.1,0,1,1,100.0,0.48,0.48,0.00,0.00,40.8,1,0,0,0.0,0.0,0.05,0.0,0.0
816,Seko Fofana\Seko-Fofana,ci CIV,MF,Udinese,it Serie A,23,1995,29.3,2,58,12,20.7,1.98,0.41,0.03,0.17,23.7,0,0,0,3.1,3.1,0.05,-1.1,-1.1
817,Wesley Fofana\Wesley-Fofana,fr FRA,DF,Saint-Étienne,fr Ligue 1,17,2000,1.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
818,Youssouf Fofana\Youssouf-Fofana,fr FRA,MF,Strasbourg,fr Ligue 1,19,1999,10.1,2,12,3,25.0,1.18,0.30,0.17,0.67,24.0,0,0,0,0.8,0.8,0.07,+1.2,+1.2
819,Thomas Foket\Thomas-Foket,be BEL,DF,Reims,fr Ligue 1,23,1994,32.0,0,2,0,0.0,0.06,0.00,0.00,,25.1,0,0,0,0.1,0.1,0.04,-0.1,-0.1
820,Thomas Fontaine\Thomas-Fontaine,mg MAD,DFMF,Reims,fr Ligue 1,27,1991,4.7,0,1,0,0.0,0.21,0.00,0.00,,20.4,0,0,0,0.0,0.0,0.03,0.0,0.0
821,José Fonte\Jose-Fonte,pt POR,DF,Lille,fr Ligue 1,34,1983,34.6,3,33,12,36.4,0.95,0.35,0.09,0.25,10.6,0,0,0,2.8,2.8,0.09,+0.2,+0.2
822,Rui Fonte\Rui-Fonte,pt POR,FW,Lille,fr Ligue 1,28,1990,7.0,1,12,4,33.3,1.72,0.57,0.08,0.25,16.6,0,0,0,0.6,0.6,0.05,+0.4,+0.4
823,Pablo Fornals\Pablo-Fornals,es ESP,MFFW,Villarreal,es La Liga,22,1996,27.5,2,57,16,28.1,2.07,0.58,0.04,0.13,18.5,0,0,0,4.3,4.3,0.08,-2.3,-2.3
824,Emil Forsberg\Emil-Forsberg,se SWE,MFFW,RB Leipzig,de Bundesliga,26,1991,13.9,4,26,11,42.3,1.87,0.79,0.04,0.09,21.5,2,3,3,4.5,2.2,0.08,-0.5,-1.2
825,Fraser Forster\Fraser-Forster,eng ENG,GK,Southampton,eng Premier League,30,1988,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
826,Steven Fortes\Steven-Fortes,cv CPV,DF,Toulouse,fr Ligue 1,26,1992,1.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
827,Iver Fossum\Iver-Fossum,no NOR,MFFW,Hannover 96,de Bundesliga,22,1996,5.1,0,5,1,20.0,0.99,0.20,0.00,0.00,21.6,0,0,0,0.2,0.2,0.04,-0.2,-0.2
828,Ben Foster\Ben-Foster,eng ENG,GK,Watford,eng Premier League,35,1983,38.0,0,1,0,0.0,0.03,0.00,0.00,,25.3,0,0,0,0.0,0.0,0.01,0.0,0.0
829,Timothy Fosu-Mensah\Timothy-Fosu-Mensah,nl NED,DF,Fulham,eng Premier League,20,1998,8.8,0,4,1,25.0,0.45,0.11,0.00,0.00,28.0,0,0,0,0.1,0.1,0.02,-0.1,-0.1
830,Dimitri Foulquier\Dimitri-Foulquier,fr FRA,MFFW,Getafe,es La Liga,25,1993,20.0,3,13,4,30.8,0.65,0.20,0.23,0.75,15.0,0,0,0,1.1,1.1,0.09,+1.9,+1.9
831,Juan Foyth\Juan-Foyth,ar ARG,DF,Tottenham,eng Premier League,20,1998,9.9,1,5,1,20.0,0.51,0.10,0.20,1.00,12.1,0,0,0,0.7,0.7,0.15,+0.3,+0.3
832,Raphael Framberger\Raphael-Framberger,de GER,DFMF,Augsburg,de Bundesliga,22,1995,6.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
833,Simon Francis\Simon-Francis,eng ENG,DF,Bournemouth,eng Premier League,33,1985,13.7,0,3,1,33.3,0.22,0.07,0.00,0.00,26.7,0,0,0,0.1,0.1,0.03,-0.1,-0.1
834,Mike Frantz\Mike-Frantz,de GER,MFFW,Freiburg,de Bundesliga,31,1986,24.6,2,19,10,52.6,0.77,0.41,0.11,0.20,16.0,0,0,0,1.9,1.9,0.10,+0.1,+0.1
835,Ryan Fraser\Ryan-Fraser,sco SCO,MFFW,Bournemouth,eng Premier League,24,1994,35.2,7,50,24,48.0,1.42,0.68,0.14,0.29,18.8,3,0,0,4.4,4.4,0.09,+2.6,+2.6
836,Pierluigi Frattali\Pierluigi-Frattali,it ITA,GK,Parma,it Serie A,32,1985,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
837,Fred\Fred,br BRA,MF,Manchester Utd,eng Premier League,25,1993,11.6,1,17,2,11.8,1.47,0.17,0.06,0.50,23.8,1,0,0,0.8,0.8,0.05,+0.2,+0.2
838,Ryan Fredericks\Ryan-Fredericks,eng ENG,DF,West Ham,eng Premier League,25,1992,12.1,1,5,2,40.0,0.41,0.17,0.20,0.50,20.0,0,0,0,0.5,0.5,0.09,+0.5,+0.5
839,Remo Freuler\Remo-Freuler,ch SUI,MF,Atalanta,it Serie A,26,1992,33.6,2,28,6,21.4,0.83,0.18,0.07,0.33,17.8,0,0,0,3.0,3.0,0.11,-1.0,-1.0
840,Nicolas Frey\Nicolas-Frey,fr FRA,DF,Chievo,it Serie A,34,1984,2.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
841,Marco Friedl\Marco-Friedl,at AUT,DF,Werder Bremen,de Bundesliga,20,1998,5.3,0,1,0,0.0,0.19,0.00,0.00,,13.4,0,0,0,0.0,0.0,0.02,0.0,0.0
842,Alexander Fuchs\Alexander-Fuchs,de GER,MF,Nürnberg,de Bundesliga,21,1997,7.3,1,6,1,16.7,0.82,0.14,0.17,1.00,16.6,0,0,0,0.7,0.7,0.12,+0.3,+0.3
843,Christian Fuchs\Christian-Fuchs,at AUT,DF,Leicester City,eng Premier League,32,1986,2.3,0,2,0,0.0,0.87,0.00,0.00,,24.3,0,0,0,0.1,0.1,0.03,-0.1,-0.1
844,Javi Fuego\Javi-Fuego,es ESP,MF,Villarreal,es La Liga,34,1984,2.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
845,Angelo Fulgini\Angelo-Fulgini,fr FRA,MFFW,Angers,fr Ligue 1,21,1996,18.2,4,31,11,35.5,1.71,0.61,0.13,0.36,16.9,3,0,0,3.2,3.2,0.10,+0.8,+0.8
846,Niclas Füllkrug\Niclas-Fullkrug,de GER,FW,Hannover 96,de Bundesliga,25,1993,12.4,2,38,13,34.2,3.08,1.05,0.03,0.08,15.1,0,1,1,3.7,2.9,0.08,-1.7,-1.9
847,Ramiro Funes Mori\Ramiro-Funes-Mori,ar ARG,DFMF,Villarreal,es La Liga,27,1991,29.2,2,26,6,23.1,0.89,0.21,0.08,0.33,15.6,0,0,0,2.1,2.1,0.08,-0.1,-0.1
848,Manolo Gabbiadini\Manolo-Gabbiadini,it ITA,FWMF,Southampton,eng Premier League,26,1991,5.3,1,21,8,38.1,3.97,1.51,0.05,0.13,22.4,1,0,0,1.9,1.9,0.09,-0.9,-0.9
849,Manolo Gabbiadini\Manolo-Gabbiadini,it ITA,FW,Sampdoria,it Serie A,26,1991,9.0,4,27,12,44.4,2.99,1.33,0.15,0.33,20.0,1,0,0,2.1,2.1,0.08,+1.9,+1.9
850,Mijat Gaćinović\Mijat-Gacinovic,rs SRB,MF,Eint Frankfurt,de Bundesliga,23,1995,18.1,0,22,1,4.5,1.22,0.06,0.00,0.00,23.7,0,0,0,1.7,1.7,0.08,-1.7,-1.7
851,Gianluca Gaetano\Gianluca-Gaetano,it ITA,FW,Napoli,it Serie A,18,2000,0.1,0,1,0,0.0,11.25,0.00,0.00,,21.5,0,0,0,0.0,0.0,0.03,0.0,0.0
852,Roberto Gagliardini\Roberto-Gagliardini,it ITA,MF,Inter,it Serie A,24,1994,12.1,5,22,11,50.0,1.82,0.91,0.23,0.45,15.1,0,0,0,2.7,2.7,0.12,+2.3,+2.3
853,Riccardo Gagliolo\Riccardo-Gagliolo,se SWE,DF,Parma,it Serie A,28,1990,33.8,0,20,3,15.0,0.59,0.09,0.00,0.00,14.5,0,0,0,1.3,1.3,0.07,-1.3,-1.3
854,Milan Gajić\Milan-Gajic,rs SRB,DF,Bordeaux,fr Ligue 1,22,1996,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
855,Javi Galán\Javi-Galan,es ESP,DFMF,Huesca,es La Liga,23,1994,16.0,0,1,0,0.0,0.06,0.00,0.00,,18.4,0,0,0,0.1,0.1,0.05,-0.1,-0.1
856,Sam Gallagher\Sam-Gallagher,eng ENG,FW,Southampton,eng Premier League,22,1995,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
