Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
29,Ola Aina\Ola-Aina,ng NGA,DFMF,Torino,it Serie A,21,1996,24.0,1,25,6,24.0,1.04,0.25,0.04,0.17,18.2,0,0,0,1.9,1.9,0.08,-0.9,-0.9
30,Youssef Aït Bennasser\Youssef-Ait-Bennasser,ma MAR,MF,Saint-Étienne,fr Ligue 1,22,1996,10.4,0,7,0,0.0,0.67,0.00,0.00,,26.6,0,0,0,0.2,0.2,0.03,-0.2,-0.2
31,Youssef Aït Bennasser\Youssef-Ait-Bennasser,ma MAR,MF,Monaco,fr Ligue 1,22,1996,11.9,0,10,1,10.0,0.84,0.08,0.00,0.00,27.8,0,0,0,0.4,0.4,0.04,-0.4,-0.4
32,Rayan Aït Nouri\Rayan-Ait-Nouri,fr FRA,DF,Angers,fr Ligue 1,17,2001,0.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
33,Ludovic Ajorque\Ludovic-Ajorque,re REU,FW,Strasbourg,fr Ligue 1,24,1994,17.0,9,47,17,36.2,2.76,1.00,0.19,0.53,13.7,2,0,0,5.8,5.8,0.12,+3.2,+3.2
34,Manuel Akanji\Manuel-Akanji,ch SUI,DF,Dortmund,de Bundesliga,23,1995,24.5,1,9,2,22.2,0.37,0.08,0.11,0.50,9.9,0,0,0,0.8,0.8,0.09,+0.2,+0.2
35,Carlos Akapo\Carlos-Akapo,gq EQG,DF,Huesca,es La Liga,25,1993,11.4,0,8,2,25.0,0.70,0.18,0.00,0.00,22.6,0,0,0,0.3,0.3,0.04,-0.3,-0.3
36,Nathan Aké\Nathan-Ake,nl NED,DF,Bournemouth,eng Premier League,23,1995,37.9,4,22,8,36.4,0.58,0.21,0.18,0.50,7.4,0,0,0,3.4,3.4,0.16,+0.6,+0.6
37,Sergio Akieme\Sergio-Akieme,es ESP,DF,Rayo Vallecano,es La Liga,20,1997,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
38,Chadrac Akolo\Chadrac-Akolo,cd COD,MFFW,Stuttgart,de Bundesliga,23,1995,5.8,0,16,3,18.8,2.74,0.51,0.00,0.00,18.7,0,0,0,0.9,0.9,0.06,-0.9,-0.9
39,Kevin Akpoguma\Kevin-Akpoguma,ng NGA,DF,Hannover 96,de Bundesliga,23,1995,3.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
40,Kevin Akpoguma\Kevin-Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,23,1995,5.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
41,David Alaba\David-Alaba,at AUT,DF,Bayern Munich,de Bundesliga,26,1992,28.1,3,47,16,34.0,1.67,0.57,0.06,0.19,25.8,16,0,0,2.2,2.2,0.05,+0.8,+0.8
42,Sofiane Alakouch\Sofiane-Alakouch,fr FRA,DF,Nîmes,fr Ligue 1,20,1998,21.1,1,13,2,15.4,0.62,0.09,0.08,0.50,22.3,0,0,0,0.6,0.6,0.04,+0.4,+0.4
43,Lucas Alario\Lucas-Alario,ar ARG,FW,Leverkusen,de Bundesliga,25,1992,14.1,9,44,17,38.6,3.13,1.21,0.20,0.53,10.5,0,0,0,7.9,7.9,0.19,+1.1,+1.1
44,Jordi Alba\Jordi-Alba,es ESP,DF,Barcelona,es La Liga,29,1989,33.2,2,14,4,28.6,0.42,0.12,0.14,0.50,13.7,0,0,0,1.8,1.8,0.13,+0.2,+0.2
45,Luis Alberto\Luis-Alberto,es ESP,MFFW,Lazio,it Serie A,25,1992,22.1,4,70,13,18.6,3.17,0.59,0.04,0.23,21.7,8,1,1,4.6,3.9,0.06,-0.6,-0.9
46,Raúl Albiol\Raul-Albiol,es ESP,DF,Napoli,it Serie A,32,1985,19.0,1,3,1,33.3,0.16,0.05,0.33,1.00,11.8,0,0,0,0.2,0.2,0.06,+0.8,+0.8
47,Miiko Albornoz\Miiko-Albornoz,cl CHI,DFMF,Hannover 96,de Bundesliga,27,1990,18.4,1,11,4,36.4,0.60,0.22,0.09,0.25,24.8,0,0,0,0.3,0.3,0.03,+0.7,+0.7
