Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks
1,Ismael Aaneba\Ismael-Aaneba,fr FRA,DF,Strasbourg,fr Ligue 1,19,1999,2.3,122,92,30,4,0,16,5,5,0,0,0,0,67,11,44,9,83,2,26,1,80,0,6,0,10
2,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,eng Premier League,27,1990,35.5,1962,1608,354,47,4,274,29,54,1,0,0,0,1322,307,333,1299,310,40,306,4,1587,3,34,57,52
3,Ignazio Abate\Ignazio-Abate,it ITA,DF,Milan,it Serie A,31,1986,14.5,918,804,114,19,3,144,14,20,0,0,0,0,625,139,154,59,736,21,95,2,766,1,12,14,23
4,Issah Abbas\Issah-Abbas,gh GHA,FW,Mainz 05,de Bundesliga,19,1998,0.1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,1,0,0,1,0
5,Yunis Abdelhamid\Yunis-Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,30,1987,38.0,1576,1522,54,52,1,187,53,0,0,0,0,0,1173,119,284,1007,436,90,2,5,1318,4,36,9,22
6,Mehdi Abeid\Mehdi-Abeid,dz ALG,MF,Dijon,fr Ligue 1,25,1992,22.5,1081,1048,33,16,2,198,32,13,10,0,0,1,828,96,157,101,912,46,4,4,919,4,26,7,15
7,Charles Abi\Charles-Abi,fr FRA,FWMF,Saint-Étienne,fr Ligue 1,18,2000,0.4,16,16,0,0,0,5,0,0,0,0,0,0,9,2,5,13,0,1,0,0,6,0,1,2,1
8,David Abraham\David-Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,32,1986,15.8,671,648,23,20,0,101,24,4,0,0,0,0,427,73,171,72,518,60,3,0,520,2,12,12,12
9,Amir Abrashi\Amir-Abrashi,al ALB,MF,Freiburg,de Bundesliga,28,1990,8.8,384,374,10,6,0,77,4,1,0,0,0,0,291,47,46,25,321,28,2,4,333,0,4,4,10
10,Francesco Acerbi\Francesco-Acerbi,it ITA,DF,Lazio,it Serie A,30,1988,36.8,1787,1721,66,51,1,262,48,8,0,0,0,0,1284,184,319,1278,318,121,15,7,1554,3,32,16,9
11,Afriyie Acquah\Afriyie-Acquah,gh GHA,MF,Empoli,it Serie A,26,1992,16.8,735,722,13,5,3,146,20,22,0,0,0,0,566,72,97,32,660,23,8,0,591,1,16,10,27
12,Tyler Adams\Tyler-Adams,us USA,MF,RB Leipzig,de Bundesliga,19,1999,8.0,516,500,16,14,4,89,6,2,0,0,0,0,364,70,82,79,373,48,2,2,416,1,8,3,14
13,Antonio Adán\Antonio-Adan,es ESP,GK,Atlético Madrid,es La Liga,31,1987,1.0,24,13,11,1,0,0,1,0,0,0,0,0,8,1,15,16,5,0,0,3,12,0,2,0,0
14,Aday\Aday,es ESP,DFMF,Girona,es La Liga,30,1987,7.2,325,258,67,15,0,65,25,41,7,1,0,0,170,45,110,37,228,14,45,1,230,2,3,7,12
15,Khaled Adénon\Khaled-Adenon,bj BEN,DF,Amiens,fr Ligue 1,33,1985,22.2,967,939,28,27,0,106,45,0,0,0,0,0,674,97,196,145,707,86,1,8,842,1,23,6,7
16,Claud Adjapong\Claud-Adjapong,it ITA,MFDF,Sassuolo,it Serie A,20,1998,3.0,101,78,23,0,0,11,1,3,0,0,0,0,65,24,12,10,66,1,23,0,77,2,1,3,7
17,Yacine Adli\Yacine-Adli,fr FRA,MFFW,Bordeaux,fr Ligue 1,18,2000,2.4,151,145,6,2,1,32,5,7,2,1,0,0,111,22,18,14,132,2,2,0,111,1,3,2,5
18,Ali Adnan Kadhim\Ali-Adnan-Kadhim,iq IRQ,MFDF,Atalanta,it Serie A,24,1993,1.8,123,99,24,4,0,24,4,5,6,0,0,0,69,27,27,78,22,5,14,1,78,2,4,4,5
19,Aritz Aduriz\Aritz-Aduriz,es ESP,FW,Athletic Club,es La Liga,37,1981,10.5,237,227,10,0,0,66,1,9,1,0,0,0,115,67,55,24,123,46,1,11,149,1,6,10,7
20,Luis Advíncula\Luis-Advincula,pe PER,DF,Rayo Vallecano,es La Liga,28,1990,26.5,1204,979,225,28,0,186,50,49,2,0,1,0,694,241,269,297,633,61,195,2,980,2,22,17,37
21,Martin Agirregabiria\Martin-Agirregabiria,es ESP,DF,Alavés,es La Liga,22,1996,22.6,968,750,218,17,0,118,18,30,3,3,0,0,470,212,286,51,633,80,196,1,673,4,30,23,41
22,Nayef Aguerd\Nayef-Aguerd,ma MAR,DF,Dijon,fr Ligue 1,22,1996,11.7,577,539,38,17,0,83,20,1,0,0,0,0,386,41,150,452,68,24,21,3,452,3,17,9,10
23,Sergio Agüero\Sergio-Aguero,ar ARG,FW,Manchester City,eng Premier League,30,1988,27.3,785,736,49,0,6,201,3,15,1,0,0,0,612,112,61,75,668,18,8,8,665,3,9,17,21
24,Ruben Aguilar\Ruben-Aguilar,fr FRA,DFMF,Montpellier,fr Ligue 1,25,1993,28.1,1642,1355,287,12,0,286,36,81,1,0,0,0,998,305,339,68,1233,41,274,9,1328,9,19,32,59
25,Juan Aguilera\Juan-Aguilera,es ESP,MF,Huesca,es La Liga,32,1985,3.8,185,181,4,4,0,18,7,2,0,0,0,0,148,15,22,15,158,10,0,0,163,1,2,3,1
26,Emmanuel Agyemang-Badu\Emmanuel-Agyemang-Badu,gh GHA,MF,Udinese,it Serie A,27,1990,1.8,31,31,0,0,0,2,2,0,0,0,0,0,19,8,4,2,22,3,0,2,26,0,0,1,2
27,Jean-Eudes Aholou\Jean-Eudes-Aholou,ci CIV,MF,Monaco,fr Ligue 1,24,1994,11.9,552,541,11,9,0,76,12,2,0,0,0,0,425,58,69,428,81,32,1,1,465,0,12,10,6
28,Antonis Aidonis\Antonis-Aidonis,de GER,DF,Stuttgart,de Bundesliga,17,2001,0.9,34,26,8,0,0,1,0,5,0,0,0,0,13,13,8,2,21,3,8,0,14,1,1,3,2
29,Ola Aina\Ola-Aina,ng NGA,DFMF,Torino,it Serie A,21,1996,24.0,1160,913,247,13,1,171,35,72,1,0,0,0,615,224,321,220,608,73,232,4,845,1,39,17,48
30,Youssef Aït Bennasser\Youssef-Ait-Bennasser,ma MAR,MF,Saint-Étienne,fr Ligue 1,22,1996,10.4,664,650,14,8,1,147,17,2,0,0,0,0,530,76,58,110,524,19,6,1,580,3,10,7,15
31,Youssef Aït Bennasser\Youssef-Ait-Bennasser,ma MAR,MF,Monaco,fr Ligue 1,22,1996,11.9,739,717,22,22,2,133,32,2,0,0,0,0,587,76,76,199,513,23,0,1,638,1,21,13,11
32,Rayan Aït Nouri\Rayan-Ait-Nouri,fr FRA,DF,Angers,fr Ligue 1,17,2001,0.6,33,31,2,0,0,3,0,1,0,0,0,0,29,2,2,28,3,0,2,0,30,0,0,1,0
33,Ludovic Ajorque\Ludovic-Ajorque,re REU,FW,Strasbourg,fr Ligue 1,24,1994,17.0,467,441,26,0,0,169,13,8,0,0,0,0,244,144,79,251,85,45,1,15,355,2,8,10,12
34,Manuel Akanji\Manuel-Akanji,ch SUI,DF,Dortmund,de Bundesliga,23,1995,24.5,1828,1785,43,26,1,180,67,3,0,0,0,0,1579,115,134,369,1363,62,17,5,1698,3,23,15,11
35,Carlos Akapo\Carlos-Akapo,gq EQG,DF,Huesca,es La Liga,25,1993,11.4,442,352,90,3,1,62,6,8,0,0,0,0,243,103,96,63,253,30,87,1,346,4,11,5,15
36,Nathan Aké\Nathan-Ake,nl NED,DF,Bournemouth,eng Premier League,23,1995,37.9,1701,1618,83,51,0,216,28,8,0,0,0,0,1286,163,252,1283,234,104,32,6,1469,0,33,17,17
37,Sergio Akieme\Sergio-Akieme,es ESP,DF,Rayo Vallecano,es La Liga,20,1997,2.0,89,79,10,1,0,17,4,6,0,0,0,0,62,13,14,64,14,2,9,0,70,2,3,1,3
38,Chadrac Akolo\Chadrac-Akolo,cd COD,MFFW,Stuttgart,de Bundesliga,23,1995,5.8,160,159,1,0,1,32,0,7,1,0,0,0,132,16,12,18,134,5,0,0,122,0,4,4,6
